wolfgang petersen's latest , the perfect storm , is like a pineapple . 	Translation	Positive	Negative	EmotionRationale
using a wonderfully patriotic score by james horner , petersen almost hides the in-your-face banality . 	using a wonderfully patriotic score by james horner , petersen almost hides the in-your-face banality .	3	-2	 using[0] a[0] wonderfully[2] patriotic[0] score[0] by[0] james[0] horner[0] petersen[0] almost[0] hides[0] the[0] in[0] your[0] face[0] banality[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
right away the central characters are introduced : the gritty , determined captain ( george clooney ) , the ingenue ( mark wahlberg ) torn between his job and his girlfriend ( diane lane ) , the loving father ( john c . reilly ) , the comic relief who's always trying to get laid ( john hawkes ) , the new guy ( william fichtner ) who immediately antagonizes a crewmate and the quiet , french guy ( allen payne ) . 	right away the central characters are introduced : the gritty , determined captain ( george clooney ) , the ingenue ( mark wahlberg ) torn between his job and his girlfriend ( diane lane ) , the loving father ( john c .<br> reilly ) , the comic relief who's always trying to get laid ( john hawkes ) , the new guy ( william fichtner ) who immediately antagonizes a crewmate and the quiet , french guy ( allen payne ) .	4	-2	 right[0] away[0] the[0] central[0] characters[0] are[0] introduced[0] the[0] gritty[0] determined[0] captain[0] george[0] clooney[0] the[0] ingenue[0] mark[0] wahlberg[0] torn[0] between[0] his[0] job[0] and[0] his[0] girlfriend[0] diane[0] lane[0] the[0] loving[3] father[0] john[0] c[0] [[Sentence=-1,4=word max, 1-5]] reilly[0] the[0] comic[0] relief[1] who's[0] always[0] trying[0] to[0] get[0] laid[0] john[0] hawkes[0] the[0] new[0] guy[0] william[0] fichtner[0] who[0] immediately[0] antagonizes[-1] a[0] crewmate[0] and[0] the[0] quiet[0] french[0] guy[0] allen[0] payne[0] [[Sentence=-2,2=word max, 1-5]][[[4,-2 max of sentences]]]
so many problems strike the opening segment of the film that the remaining portions directly suffer . 	so many problems strike the opening segment of the film that the remaining portions directly suffer .	1	-4	 so[0] many[0] problems[-1] strike[-1] the[0] opening[0] segment[0] of[0] the[0] film[0] that[0] the[0] remaining[0] portions[0] directly[0] suffer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it is not the all-star cast's fault , just the characters designed for their portrayal . 	it is not the all-star cast's fault , just the characters designed for their portrayal .	1	-2	 it[0] is[0] not[0] the[0] all[0] star[0] cast's[0] fault[-1] just[0] the[0] characters[0] designed[0] for[0] their[0] portrayal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
allen payne's character never speaks in the entire movie , not because he is mute , but because he's never given any lines ! 	allen payne's character never speaks in the entire movie , not because he is mute , but because he's never given any lines !	1	-1	 allen[0] payne's[0] character[0] never[0] speaks[0] in[0] the[0] entire[0] movie[0] not[0] because[0] he[0] is[0] mute[0] but[0] because[0] he's[0] never[0] given[0] any[0] lines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are we supposed to root for a guy whose face and voice we are never given a chance to interact with ? 	are we supposed to root for a guy whose face and voice we are never given a chance to interact with ?	1	-1	 are[0] we[0] supposed[0] to[0] root[0] for[0] a[0] guy[0] whose[0] face[0] and[0] voice[0] we[0] are[0] never[0] given[0] a[0] chance[0] to[0] interact[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fichtner's character is terribly underdeveloped - we don't know what he's doing there , where he's from , or who he's supposed to be . 	fichtner's character is terribly underdeveloped - we don't know what he's doing there , where he's from , or who he's supposed to be .	1	-4	 fichtner's[0] character[0] is[0] terribly[-3] underdeveloped[0] we[0] don't[0] know[0] what[0] he's[0] doing[0] there[0] where[0] he's[0] from[0] or[0] who[0] he's[0] supposed[0] to[0] be[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the remaining four fishermen are all cardboard stereotypes ( hawkes says to a female stranger in one scene " you know what would look good on you ? 	the remaining four fishermen are all cardboard stereotypes ( hawkes says to a female stranger in one scene " you know what would look good on you ?	2	-1	 the[0] remaining[0] four[0] fishermen[0] are[0] all[0] cardboard[0] stereotypes[0] hawkes[0] says[0] to[0] a[0] female[0] stranger[0] in[0] one[0] scene[0] you[0] know[0] what[0] would[0] look[0] good[1] on[0] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
me ! " 	me !<br> "	1	-1	 me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ooooh real creative ) . 	ooh real creative ) .	2	-1	 ooooh/ooh[0][+0.6 MultipleLetters] real[0] creative[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as the script advances and the andrea gail floats farther out into the waters , the crew continues to not feel human . 	as the script advances and the andrea gail floats farther out into the waters , the crew continues to not feel human .	1	-1	 as[0] the[0] script[0] advances[0] and[0] the[0] andrea[0] gail[0] floats[0] farther[0] out[0] into[0] the[0] waters[0] the[0] crew[0] continues[0] to[0] not[0] feel[0] human[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only when the storm takes center stage does the movie jump out of its sleepwalk . 	only when the storm takes center stage does the movie jump out of its sleepwalk .	1	-2	 only[0] when[0] the[0] storm[-1] takes[0] center[0] stage[0] does[0] the[0] movie[0] jump[0] out[0] of[0] its[0] sleepwalk[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the computer-generated images of gigantic waves crashing against a helpless boat are thunderously real . 	the computer-generated images of gigantic waves crashing against a helpless boat are thunderously real .	1	-2	 the[0] computer[0] generated[0] images[0] of[0] gigantic[0] waves[0] crashing[0] against[-1] a[0] helpless[-1] boat[0] are[0] thunderously[0] real[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i can only imagine if this was an imax film , this city kid would surely never go in the water again . 	i can only imagine if this was an imax film , this city kid would surely never go in the water again .	1	-1	 i[0] can[0] only[0] imagine[0] if[0] this[0] was[0] an[0] imax[0] film[0] this[0] city[0] kid[0] would[0] surely[0] never[0] go[0] in[0] the[0] water[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is loud , jolting entertainment - adjectives that completely negate the rest of the film . 	this is loud , jolting entertainment - adjectives that completely negate the rest of the film .	1	-1	 this[0] is[0] loud[0] jolting[0] entertainment[0] adjectives[0] that[0] completely[0] negate[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the perfect storm was unfortunately a disappointment . 	the perfect storm was unfortunately a disappointment .	2	-2	 the[0] perfect[1] storm[-1] was[0] unfortunately[-1] a[0] disappointment[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the maelstrom lived up to its potential but everything else failed to do so . 	the maelstrom lived up to its potential but everything else failed to do so .	1	-3	 the[0] maelstrom[0] lived[0] up[0] to[0] its[0] potential[0] but[0] everything[0] else[0] failed[-2] to[0] do[0] so[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i guess i'll stick to that other survival spectacle ? you know the one on cbs ? 	i guess i'll stick to that other survival spectacle ?<br> you know the one on cbs ?	1	-1	 i[0] guess[0] i'll[0] stick[0] to[0] that[0] other[0] survival[0] spectacle[0] [[Sentence=-1,1=word max, 1-5]] you[0] know[0] the[0] one[0] on[0] cbs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
