it seems like i'm reviewing cheeseball horror movies on a monthly basis now . 	Translation	Positive	Negative	EmotionRationale
not only is it storm season , not only is the desk clerk ( the frighteners' jeffrey combs ) a jerk , not only are the few island residents and our heroic vacationers getting picked off by the resourceful willis one-by-one , but the karaoke machine isn't working properly ! 	not only is it storm season , not only is the desk clerk ( the frighteners' jeffrey combs ) a jerk , not only are the few island residents and our heroic vacationers getting picked off by the resourceful willis one-by-one , but the karaoke machine isn't working properly !	3	-4	 not[0] only[0] is[0] it[0] storm[-1] season[0] not[0] only[0] is[0] the[0] desk[0] clerk[0] the[0] frighteners'[-3] jeffrey[0] combs[0] a[0] jerk[-2] not[0] only[0] are[0] the[0] few[0] island[0] residents[0] and[0] our[0] heroic[2] vacationers[0] getting[0] picked[0] off[0] by[0] the[0] resourceful[0] willis[0] one[0] by[0] one[0] but[0] the[0] karaoke[0] machine[0] isn't[0] working[0] properly[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
 ( you think killing is hard ? 	 ( you think killing is hard ?	1	-2	 you[0] think[0] killing[-1] is[0] hard[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
try reprogramming a laserdisc so that gloria gaynor's " i will survive " now contains the lyric " i still know what you did last summer ! " ) 	try reprogramming a laserdisc so that gloria gaynor's " i will survive " now contains the lyric " i still know what you did last summer !<br> " )	2	-1	 try[0] reprogramming[0] a[0] laserdisc[0] so[0] that[0] gloria[1] gaynor's[0] i[0] will[0] survive[0] now[0] contains[0] the[0] lyric[0] i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
all is not lost-ray is on his way to save the day , and a helpful witch doctor is saying little prayers for julie and co . 	all is not lost-ray is on his way to save the day , and a helpful witch doctor is saying little prayers for julie and co .	2	-1	 all[0] is[0] not[0] lost[0] ray[0] is[0] on[0] his[0] way[0] to[0] save[1] the[0] day[0] and[0] a[0] helpful[1] witch[0] doctor[0] is[0] saying[0] little[0] prayers[0] for[0] julie[0] and[0] co[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this picture is really about breasts : two of them . 	this picture is really about breasts : two of them .	1	-1	 this[0] picture[0] is[0] really[0] about[0] breasts[0] two[0] of[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
julie , like a good horror heroine , never does up her shirt to the collar , always wears white in the rain , and keeps sexy underwear on in case of a sudden desire to tan . 	julie , like a good horror heroine , never does up her shirt to the collar , always wears white in the rain , and keeps sexy underwear on in case of a sudden desire to tan .	3	-4	 julie[0] like[1] a[0] good[1] horror[-3] heroine[2] never[0] does[0] up[0] her[0] shirt[0] to[0] the[0] collar[0] always[0] wears[0] white[0] in[0] the[0] rain[0] and[0] keeps[0] sexy[2] underwear[0] on[0] in[0] case[0] of[0] a[0] sudden[0] desire[0] to[0] tan[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
based on the hormonal charge i got out of the movie , i can't imagine what it was doing to the ten year old boy who sat next to me-he gets jennifer love-hewitt , and my generation got heather langenkamp ! 	based on the hormonal charge i got out of the movie , i can't imagine what it was doing to the ten year old boy who sat next to me-he gets jennifer love-hewitt , and my generation got heather langenkamp !	3	-2	 based[0] on[0] the[0] hormonal[0] charge[-1] i[0] got[0] out[0] of[0] the[0] movie[0] i[0] can't[0] imagine[0] what[0] it[0] was[0] doing[0] to[0] the[0] ten[0] year[0] old[0] boy[0] who[0] sat[0] next[0] to[0] me[0] he[0] gets[0] jennifer[0] love[2] hewitt[0] and[0] my[0] generation[0] got[0] heather[0] langenkamp[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
lucky bastard . 	lucky bastard .	2	-3	 lucky[1] bastard[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
i didn't like i know what you did last summer and i can't say i liked this continuation any more or less . 	i didn't like i know what you did last summer and i can't say i liked this continuation any more or less .	3	-1	 i[0] didn't[0] like[1] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] and[0] i[0] can't[0] say[0] i[0] liked[2] this[0] continuation[0] any[0] more[0] or[0] less[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the pacing in both films is languid-how is it that so much time passes with neither murder nor character development ? 	the pacing in both films is languid-how is it that so much time passes with neither murder nor character development ?	1	-4	 the[0] pacing[0] in[0] both[0] films[0] is[0] languid[0] how[0] is[0] it[0] that[0] so[0] much[0] time[0] passes[0] with[0] neither[0] murder[-3] nor[0] character[0] development[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i still know what you did last summer has a better sense of humour than the first one , though , and at least it explains away willis's random selection of victims . 	i still know what you did last summer has a better sense of humour than the first one , though , and at least it explains away willis's random selection of victims .	3	-3	 i[0] still[0] know[0] what[0] you[0] did[0] last[0] summer[0] has[0] a[0] better[0] sense[0] of[0] humour[2] than[0] the[0] first[0] one[0] though[0] and[0] at[0] least[0] it[0] explains[0] away[0] willis's[0] random[0] selection[0] of[0] victims[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 ( i don't think the hotel maid or the stoner dude had the slightest idea what julie did last summer . ) 	 ( i don't think the hotel maid or the stoner dude had the slightest idea what julie did last summer .<br> )	1	-1	 i[0] don't[0] think[0] the[0] hotel[0] maid[0] or[0] the[0] stoner[0] dude[0] had[0] the[0] slightest[0] idea[0] what[0] julie[0] did[0] last[0] summer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director cannon ( judge dredd ) is a competent filmmaker but not a particularly imaginative one-if there is a part three ( what on earth would they call it ? ) , and the fun denouement suggests there will be , here's my suggestion : hire a filmmaker with flair , someone who can really energize this stillborn series-someone who won't rely on so many shock notes . 	director cannon ( judge dredd ) is a competent filmmaker but not a particularly imaginative one-if there is a part three ( what on earth would they call it ?<br> ) , and the fun denouement suggests there will be , here's my suggestion : hire a filmmaker with flair , someone who can really energize this stillborn series-someone who won't rely on so many shock notes .	2	-3	 director[0] cannon[-1] judge[0] dredd[0] is[0] a[0] competent[0] filmmaker[0] but[0] not[0] a[0] particularly[0] imaginative[1] one[0] if[0] there[0] is[0] a[0] part[0] three[0] what[0] on[0] earth[0] would[0] they[0] call[0] it[0] [[Sentence=-2,2=word max, 1-5]] and[0] the[0] fun[1] denouement[0] suggests[0] there[0] will[0] be[0] here's[0] my[0] suggestion[0] hire[0] a[0] filmmaker[0] with[0] flair[0] someone[0] who[0] can[0] really[0] energize[0] this[0] stillborn[0] series[0] someone[0] who[0] won't[0] rely[0] on[0] so[0] many[0] shock[-2] notes[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and let that person run wild with the camera . 	and let that person run wild with the camera .	1	-1	 and[0] let[0] that[0] person[0] run[0] wild[0] with[0] the[0] camera[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( aside : if blandy [sic] must appear in the next one , try to keep the number of times she says " baby " to a minimum . 	 ( aside : if blandy [sic] must appear in the next one , try to keep the number of times she says " baby " to a minimum .	2	-1	 aside[0] if[0] blandy[0] [sic][0] must[0] appear[0] in[0] the[0] next[0] one[0] try[0] to[0] keep[0] the[0] number[0] of[0] times[0] she[0] says[0] baby[1] to[0] a[0] minimum[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thanks in advance . ) 	thanks in advance .<br> )	2	-1	 thanks[1] in[0] advance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
