fit for a ghoul's night out , fat girl stands cast iron firm with the simplistic , fatuous , built-in excuse that its woman director is baring the harsh sexual realities of adolescent girls . 	Translation	Positive	Negative	EmotionRationale
gender be damned , she's borderline inept . 	gender be damned , she's borderline inept .	1	-2	 gender[0] be[0] damned[-1] she's[0] borderline[0] inept[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
braced for a knee-jerk reaction from the art house crowd ( mortified shock or compulsory applause will suffice ) , writer-director catherine breillat may well accomplish her mission to get a rise out of people . 	braced for a knee-jerk reaction from the art house crowd ( mortified shock or compulsory applause will suffice ) , writer-director catherine breillat may well accomplish her mission to get a rise out of people .	2	-4	 braced[0] for[0] a[0] knee[0] jerk[-2] reaction[0] from[0] the[0] art[0] house[0] crowd[0] mortified[-2] shock[-2][-1 MultiplePositiveWords] or[0] compulsory[0] applause[1] will[0] suffice[0] writer[0] director[0] catherine[0] breillat[0] may[0] well[0] accomplish[1] her[0] mission[0] to[0] get[0] a[0] rise[0] out[0] of[0] people[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
don't be fooled . 	don't be fooled .	2	-1	 don't[0] be[0] fooled[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this grotesque oversimplification of awkward forays into passion may be quickly forgotten , remembered only as cold , boring , philosophically arid , and incompetently photographed . 	this grotesque oversimplification of awkward forays into passion may be quickly forgotten , remembered only as cold , boring , philosophically arid , and incompetently photographed .	3	-3	 this[0] grotesque[-1] oversimplification[0] of[0] awkward[-1] forays[0] into[0] passion[2] may[0] be[0] quickly[0] forgotten[0] remembered[0] only[0] as[0] cold[-1] boring[-1] philosophically[0] arid[0] and[0] incompetently[-2] photographed[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the hyperviolent climactic sequence proves so extraordinarily misguided that i honestly wondered whether breillat had thrown in an impromptu dream sequence . 	the hyperviolent climactic sequence proves so extraordinarily misguided that i honestly wondered whether breillat had thrown in an impromptu dream sequence .	1	-1	 the[0] hyperviolent[0] climactic[0] sequence[0] proves[0] so[0] extraordinarily[0] misguided[0] that[0] i[0] honestly[0] wondered[0] whether[0] breillat[0] had[0] thrown[0] in[0] an[0] impromptu[0] dream[0] sequence[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
twelve years old , a bundle of dough with a sour pout , the superb ana ? s reboux plays the titular fat girl with a thousand yard stare and a frumpy insouciance . 	twelve years old , a bundle of dough with a sour pout , the superb ana ?<br> s reboux plays the titular fat girl with a thousand yard stare and a frumpy insouciance .	2	-2	 twelve[0] years[0] old[0] a[0] bundle[0] of[0] dough[0] with[0] a[0] sour[-1] pout[-1] the[0] superb[0] ana[0] [[Sentence=-2,1=word max, 1-5]] s[0] reboux[0] plays[1] the[0] titular[0] fat[-1] girl[0] with[0] a[0] thousand[0] yard[0] stare[0] and[0] a[0] frumpy[0] insouciance[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ( her character is also named ana ? s . ) 	 ( her character is also named ana ?<br> s .<br> )	1	-1	 her[0] character[0] is[0] also[0] named[0] ana[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sitting at the table morosely slurping down a banana split , her presence is grounded and heartbreaking . 	sitting at the table morosely slurping down a banana split , her presence is grounded and heartbreaking .	1	-4	 sitting[0] at[0] the[0] table[0] morosely[0] slurping[0] down[0] a[0] banana[0] split[0] her[0] presence[0] is[0] grounded[0] and[0] heartbreaking[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's a pity breillat never finds anything for her to do other than get defensive against her evil storybook sister , 15-year old elena ( roxane mesquida ) , for bringing a transitory boyfriend home to their shared room . 	it's a pity breillat never finds anything for her to do other than get defensive against her evil storybook sister , 15-year old elena ( roxane mesquida ) , for bringing a transitory boyfriend home to their shared room .	1	-3	 it's[0] a[0] pity[-1] breillat[0] never[0] finds[0] anything[0] for[0] her[0] to[0] do[0] other[0] than[0] get[0] defensive[-1] against[-1] her[0] evil[-2] storybook[0] sister[0] 15[0] year[0] old[0] elena[0] roxane[0] mesquida[0] for[0] bringing[0] a[0] transitory[0] boyfriend[0] home[0] to[0] their[0] shared[0] room[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in this summer cottage , ana ? s has no escape from her position as stoic bedside observer to elena's depressing confusion of cheap sex with romance . 	in this summer cottage , ana ?<br> s has no escape from her position as stoic bedside observer to elena's depressing confusion of cheap sex with romance .	4	-4	 in[0] this[0] summer[0] cottage[0] ana[0] [[Sentence=-1,1=word max, 1-5]] s[0] has[0] no[0] escape[0] from[0] her[0] position[0] as[0] stoic[0] bedside[0] observer[0] to[0] elena's[0] depressing[-3] confusion[-1] of[0] cheap[-1] sex[0] with[0] romance[3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
the boy in question , a smug italian college kid named fernando ( libero de rienzo ) is a real piece of work , claiming that the experience is a declaration of love while begging for a blowjob . 	the boy in question , a smug italian college kid named fernando ( libero de rienzo ) is a real piece of work , claiming that the experience is a declaration of love while begging for a blowjob .	3	-2	 the[0] boy[0] in[0] question[0] a[0] smug[-1] italian[0] college[0] kid[0] named[0] fernando[0] libero[0] de[0] rienzo[0] is[0] a[0] real[0] piece[0] of[0] work[0] claiming[0] that[0] the[0] experience[0] is[0] a[0] declaration[0] of[0] love[2] while[0] begging[0] for[0] a[0] blowjob[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ana ? s doesn't receive any warmth from her largely absent parents , who join elena in making fun of her hefty girth . 	ana ?<br> s doesn't receive any warmth from her largely absent parents , who join elena in making fun of her hefty girth .	2	-2	 ana[0] [[Sentence=-1,1=word max, 1-5]] s[0] doesn't[0] receive[0] any[0] warmth[0] from[0] her[0] largely[0] absent[-1] parents[0] who[0] join[0] elena[0] in[0] making[0] fun[1] of[0] her[0] hefty[0] girth[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she finds pleasure in wandering the beach alone , singing songs to herself , and swimming in the pool kissing the metal railing and pretending that it's her paramour . 	she finds pleasure in wandering the beach alone , singing songs to herself , and swimming in the pool kissing the metal railing and pretending that it's her paramour .	3	-1	 she[0] finds[0] pleasure[2] in[0] wandering[0] the[0] beach[0] alone[0] singing[0] songs[0] to[0] herself[0] and[0] swimming[0] in[0] the[0] pool[0] kissing[2] the[0] metal[0] railing[0] and[0] pretending[0] that[0] it's[0] her[0] paramour[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
reboux commands the screen , but there's only so much a child actress can do recounting pretentious monologues to herself . 	reboux commands the screen , but there's only so much a child actress can do recounting pretentious monologues to herself .	1	-2	 reboux[0] commands[0] the[0] screen[0] but[0] there's[0] only[0] so[0] much[0] a[0] child[0] actress[0] can[0] do[0] recounting[0] pretentious[-1] monologues[0] to[0] herself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if one is inspired to rescue this young performer and place her in a better movie , at least she fares better than the other young talent asked to perform in intense love scenes that might feel justified if they weren't so dramatically misguided . 	if one is inspired to rescue this young performer and place her in a better movie , at least she fares better than the other young talent asked to perform in intense love scenes that might feel justified if they weren't so dramatically misguided .	3	-1	 if[0] one[0] is[0] inspired[2] to[0] rescue[0] this[0] young[0] performer[0] and[0] place[0] her[0] in[0] a[0] better[0] movie[0] at[0] least[0] she[0] fares[0] better[0] than[0] the[0] other[0] young[0] talent[1] asked[0] to[0] perform[0] in[0] intense[0] love[2] scenes[0] that[0] might[0] feel[0] justified[0] if[0] they[0] weren't[0] so[0] dramatically[0] misguided[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this 83-minute vignette is something of a horror show , but breillat saves her nastiest poison for the very end . 	this 83-minute vignette is something of a horror show , but breillat saves her nastiest poison for the very end .	2	-4	 this[0] 83[0] minute[0] vignette[0] is[0] something[0] of[0] a[0] horror[-3] show[0] but[0] breillat[0] saves[1] her[0] nastiest[-2] poison[-2][-1 MultiplePositiveWords] for[0] the[0] very[0] end[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on the long ride home punctuated by an uncomfortable silence between family members , gigantic trucks swerve by as the hour grows late . 	on the long ride home punctuated by an uncomfortable silence between family members , gigantic trucks swerve by as the hour grows late .	1	-3	 on[0] the[0] long[0] ride[0] home[0] punctuated[0] by[0] an[0] uncomfortable[-2] silence[0] between[0] family[0] members[0] gigantic[0] trucks[0] swerve[0] by[0] as[0] the[0] hour[0] grows[0] late[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
will mommy fall asleep at the wheel ? 	will mommy fall asleep at the wheel ?	1	-1	 will[0] mommy[0] fall[0] asleep[0] at[0] the[0] wheel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps . 	perhaps .	1	-1	 perhaps[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or maybe there's something deadlier around the corner , lying in wait to pounce upon the unsuspecting fat girl . 	or maybe there's something deadlier around the corner , lying in wait to pounce upon the unsuspecting fat girl .	1	-4	 or[0] maybe[0] there's[0] something[0] deadlier[0] around[0] the[0] corner[0] lying[-3] in[0] wait[0] to[0] pounce[0] upon[0] the[0] unsuspecting[0] fat[-1] girl[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what's more , she might even like it . 	what's more , she might even like it .	2	-1	 what's[0] more[0] she[0] might[0] even[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with the intent of being unfair and unpredictable , placing her heroine in the most diabolical of corners in order to face up to impending adulthood , breillat's extreme flourish of sadistic tawdriness reveals her as a master purveyor of contempt . 	with the intent of being unfair and unpredictable , placing her heroine in the most diabolical of corners in order to face up to impending adulthood , breillat's extreme flourish of sadistic tawdriness reveals her as a master purveyor of contempt .	3	-4	 with[0] the[0] intent[0] of[0] being[0] unfair[-1] and[0] unpredictable[0] placing[0] her[0] heroine[2] in[0] the[0] most[0] diabolical[-1] of[0] corners[0] in[0] order[0] to[0] face[0] up[0] to[0] impending[0] adulthood[0] breillat's[0] extreme[0] flourish[0] of[0] sadistic[0] tawdriness[0] reveals[0] her[0] as[0] a[0] master[0] purveyor[0] of[0] contempt[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
fat girl is a bitter pill indeed . 	fat girl is a bitter pill indeed .	1	-2	 fat[-1] girl[0] is[0] a[0] bitter[-1] pill[0] indeed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
aka ? ma soeur ! 	aka ?<br> ma soeur !	1	-1	 aka[0] [[Sentence=-1,1=word max, 1-5]] ma[0] soeur[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
screened at the 2001 new york film festival ( feature coming soon ) . 	screened at the 2001 new york film festival ( feature coming soon ) .	1	-1	 screened[0] at[0] the[0] 2001[0] new[0] york[0] film[0] festival[0] feature[0] coming[0] soon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
