some movies' pre-release buzz is so insistent on their high oscar potential that when they're finally released , everyone just goes along with it . 	Translation	Positive	Negative	EmotionRationale
all too obviously , we're getting the hollywood watered- down version . 	all too obviously , we're getting the hollywood watered- down version .	1	-1	 all[0] too[0] obviously[0] we're[0] getting[0] the[0] hollywood[0] watered[0] down[0] version[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that would be ok except that the parts we are getting is milked for every single drop of melodrama that the filmmakers could possibly squeeze out of it . 	that would be ok except that the parts we are getting is milked for every single drop of melodrama that the filmmakers could possibly squeeze out of it .	1	-2	 that[0] would[0] be[0] ok[0] except[0] that[0] the[0] parts[0] we[0] are[0] getting[0] is[0] milked[0] for[0] every[0] single[0] drop[-1] of[0] melodrama[0] that[0] the[0] filmmakers[0] could[0] possibly[0] squeeze[0] out[0] of[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's almost cruel . 	it's almost cruel .	1	-4	 it's[0] almost[0] cruel[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the melodrama isn't of the entertaining kind either ; it's the hokey , rammed-down-your-throat variety where every emotion is exaggerated to the point of absurdity . 	the melodrama isn't of the entertaining kind either ; it's the hokey , rammed-down-your-throat variety where every emotion is exaggerated to the point of absurdity .	2	-2	 the[0] melodrama[0] isn't[0] of[0] the[0] entertaining[0] kind[1] either[0] it's[0] the[0] hokey[0] rammed[0] down[0] your[0] throat[0] variety[0] where[0] every[0] emotion[0] is[0] exaggerated[-1] to[0] the[0] point[0] of[0] absurdity[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
witness the villain ferociously grinding his teeth at the final trial or the constant pseudo-saintliness of our four protagonists . 	witness the villain ferociously grinding his teeth at the final trial or the constant pseudo-saintliness of our four protagonists .	1	-5	 witness[0] the[0] villain[-2] ferociously[-3][-1 MultiplePositiveWords] grinding[0] his[0] teeth[0] at[0] the[0] final[0] trial[0] or[0] the[0] constant[0] pseudo[0] saintliness[0] of[0] our[0] four[0] protagonists[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the hurricane is your basic courtroom movie except it's a no-frills courtroom movie . 	the hurricane is your basic courtroom movie except it's a no-frills courtroom movie .	1	-1	 the[0] hurricane[0] is[0] your[0] basic[0] courtroom[0] movie[0] except[0] it's[0] a[0] no[0] frills[0] courtroom[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's formula stripped to the bare necessities . 	it's formula stripped to the bare necessities .	1	-1	 it's[0] formula[0] stripped[0] to[0] the[0] bare[0] necessities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you have your wrongly accused black man . 	you have your wrongly accused black man .	1	-3	 you[0] have[0] your[0] wrongly[-2] accused[-1] black[0] man[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
you have your melodramatic final courtroom scene . 	you have your melodramatic final courtroom scene .	1	-2	 you[0] have[0] your[0] melodramatic[-1] final[0] courtroom[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but there's nothing else . 	but there's nothing else .	1	-1	 but[0] there's[0] nothing[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you'd expect some sort of involving investigation . 	you'd expect some sort of involving investigation .	1	-1	 you'd[0] expect[0] some[0] sort[0] of[0] involving[0] investigation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but that's not necessary since we're implicitly informed of his innocence . 	but that's not necessary since we're implicitly informed of his innocence .	2	-1	 but[0] that's[0] not[0] necessary[0] since[0] we're[0] implicitly[0] informed[0] of[0] his[0] innocence[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thus the whole middle portion of the movie is reduced to the protagonist brooding . 	thus the whole middle portion of the movie is reduced to the protagonist brooding .	1	-2	 thus[0] the[0] whole[0] middle[0] portion[0] of[0] the[0] movie[0] is[0] reduced[0] to[0] the[0] protagonist[0] brooding[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brooding to himself . 	brooding to himself .	1	-2	 brooding[-1] to[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brooding to other inmates . 	brooding to other inmates .	1	-2	 brooding[-1] to[0] other[0] inmates[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brooding to lesra . 	brooding to lesra .	1	-2	 brooding[-1] to[0] lesra[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brooding to lesra's canadian friends . 	brooding to lesra's canadian friends .	2	-2	 brooding[-1] to[0] lesra's[0] canadian[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
brooding in letters . 	brooding in letters .	1	-2	 brooding[-1] in[0] letters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i don't think i'll ever look at brooding the same way again . 	i don't think i'll ever look at brooding the same way again .	1	-2	 i[0] don't[0] think[0] i'll[0] ever[0] look[0] at[0] brooding[-1] the[0] same[0] way[0] again[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it wasn't long before i got tired of hearing the hurricane's exceedingly deep meditations on his condition . 	it wasn't long before i got tired of hearing the hurricane's exceedingly deep meditations on his condition .	1	-2	 it[0] wasn't[0] long[0] before[0] i[0] got[0] tired[-1] of[0] hearing[0] the[0] hurricane's[0] exceedingly[0] deep[0] meditations[0] on[0] his[0] condition[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wanted something to happen . 	i wanted something to happen .	1	-1	 i[0] wanted[0] something[0] to[0] happen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as for washington's performance in the title role -- i figured i'd have to address it sooner or later considering the amount of attention it's received -- he is top notch , though still boring . 	as for washington's performance in the title role - i figured i'd have to address it sooner or later considering the amount of attention it's received - he is top notch , though still boring .	1	-2	 as[0] for[0] washington's[0] performance[0] in[0] the[0] title[0] role[0] i[0] figured[0] i'd[0] have[0] to[0] address[0] it[0] sooner[0] or[0] later[0] considering[0] the[0] amount[0] of[0] attention[0] it's[0] received[0] he[0] is[0] top[0] notch[0] though[0] still[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
how is that possible ? 	how is that possible ?	1	-1	 how[0] is[0] that[0] possible[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , he does what jewison wanted him to do perfectly . 	well , he does what jewison wanted him to do perfectly .	2	-1	 well[0] he[0] does[0] what[0] jewison[0] wanted[0] him[0] to[0] do[0] perfectly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately what jewison asked him to do is a load of crap . 	unfortunately what jewison asked him to do is a load of crap .	1	-3	 unfortunately[-1] what[0] jewison[0] asked[0] him[0] to[0] do[0] is[0] a[0] load[0] of[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a waste of a great performer . 	what a waste of a great performer .	3	-2	 what[0] a[0] waste[-1] of[0] a[0] great[2] performer[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
speaking of wastes , why the hell did john hannah agree to do this ? 	speaking of wastes , why the hell did john hannah agree to do this ?	1	-2	 speaking[0] of[0] wastes[-1] why[0] the[0] hell[-1] did[0] john[0] hannah[0] agree[0] to[0] do[0] this[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's an extremely talented actor and i love him dearly , but what is he doing here ? 	he's an extremely talented actor and i love him dearly , but what is he doing here ?	4	-1	 he's[0] an[0] extremely[0] talented[1][2 LastWordBoosterStrength] actor[0] and[0] i[0] love[2] him[0] dearly[0] but[0] what[0] is[0] he[0] doing[0] here[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
to call his character ( along with schreiber's and unger's ) a stick figure would be a gross understatement . 	to call his character ( along with schreiber's and unger's ) a stick figure would be a gross understatement .	1	-2	 to[0] call[0] his[0] character[0] along[0] with[0] schreiber's[0] and[0] unger's[0] a[0] stick[0] figure[0] would[0] be[0] a[0] gross[-1] understatement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all three of them come off as veritable mother theresas , as benevolent as do-gooders come . 	all three of them come off as veritable mother theresas , as benevolent as do-gooders come .	2	-1	 all[0] three[0] of[0] them[0] come[0] off[0] as[0] veritable[0] mother[0] theresas[0] as[0] benevolent[1] as[0] do[0] gooders[0] come[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if they're to play a major part in this movie , why not make them real people , with real feelings and emotions ? 	if they're to play a major part in this movie , why not make them real people , with real feelings and emotions ?	1	-1	 if[0] they're[0] to[0] play[0] a[0] major[0] part[0] in[0] this[0] movie[0] why[0] not[0] make[0] them[0] real[0] people[0] with[0] real[0] feelings[0] and[0] emotions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
look : if you're going to make a formula movie , don't undermine the formula . 	look : if you're going to make a formula movie , don't undermine the formula .	2	-1	 look[0] if[0] you're[0] going[0] to[0] make[0] a[0] formula[0] movie[0] don't[0] undermine[-1][NegatedDueToPreviousWord] the[0] formula[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
courtroom dramas can be fun , but this is ridiculous . 	courtroom dramas can be fun , but this is ridiculous .	2	-3	 courtroom[0] dramas[0] can[0] be[0] fun[1] but[0] this[0] is[0] ridiculous[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not only is it trite , it's boring . 	not only is it trite , it's boring .	1	-3	 not[0] only[0] is[0] it[0] trite[-2] it's[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
