brian de palma , the director who bought us carrie , dressed to kill and mission : impossible is back , and has bought all his technical expertise with him . 	Translation	Positive	Negative	EmotionRationale
yes , another problem with the film is that there's no-one to root for . 	yes , another problem with the film is that there's no-one to root for .	1	-2	 yes[0] another[0] problem[-1] with[0] the[0] film[0] is[0] that[0] there's[0] no[0] one[0] to[0] root[0] for[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're supposed to be on cage's side , because his character becomes nicer throughout the film . 	we're supposed to be on cage's side , because his character becomes nicer throughout the film .	2	-1	 we're[0] supposed[0] to[0] be[0] on[0] cage's[0] side[0] because[0] his[0] character[0] becomes[0] nicer[1] throughout[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , his change is sadly unbelievable . 	however , his change is sadly unbelievable .	1	-2	 however[0] his[0] change[0] is[0] sadly[-1] unbelievable[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
poor gary sinise's character is terrible , who completely changes throughout the start , the middle and the end , in an appalling way . 	poor gary sinise's character is terrible , who completely changes throughout the start , the middle and the end , in an appalling way .	1	-4	 poor[-1] gary[0] sinise's[0] character[0] is[0] terrible[-3] who[0] completely[0] changes[0] throughout[0] the[0] start[0] the[0] middle[0] and[0] the[0] end[0] in[0] an[0] appalling[-3] way[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film's use of flashback quickly gets boring . 	the film's use of flashback quickly gets boring .	1	-2	 the[0] film's[0] use[0] of[0] flashback[0] quickly[0] gets[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while clever and interesting the first few times , it quickly becomes apparent that flashbacks are being used because the film has nowhere to go . 	while clever and interesting the first few times , it quickly becomes apparent that flashbacks are being used because the film has nowhere to go .	2	-1	 while[0] clever[0] and[0] interesting[1] the[0] first[0] few[0] times[0] it[0] quickly[0] becomes[0] apparent[0] that[0] flashbacks[0] are[0] being[0] used[0] because[0] the[0] film[0] has[0] nowhere[0] to[0] go[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they certainly don't increase the tension or suspense of the movie . 	they certainly don't increase the tension or suspense of the movie .	1	-3	 they[0] certainly[0] don't[0] increase[0] the[0] tension[-2] or[0] suspense[0] of[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is small thread of suspense running through the film , but it certainly doesn't make this film a powerhouse thriller , rather just a slightly below average one . 	there is small thread of suspense running through the film , but it certainly doesn't make this film a powerhouse thriller , rather just a slightly below average one .	2	-1	 there[0] is[0] small[0] thread[0] of[0] suspense[0] running[0] through[0] the[0] film[0] but[0] it[0] certainly[0] doesn't[0] make[0] this[0] film[0] a[0] powerhouse[0] thriller[1] rather[0] just[0] a[0] slightly[0] below[0] average[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script is lousy and contrived , the characters flat and two dimensional . 	the script is lousy and contrived , the characters flat and two dimensional .	1	-3	 the[0] script[0] is[0] lousy[-2] and[0] contrived[0] the[0] characters[0] flat[0] and[0] two[0] dimensional[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
certainly not good factors for a film passing itself off for a thriller . 	certainly not good factors for a film passing itself off for a thriller .	2	-2	 certainly[0] not[0] good[1][NegatedDueToPreviousWord] factors[0] for[0] a[0] film[0] passing[0] itself[0] off[0] for[0] a[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the most depressing aspect of the film is that it had potential . 	the most depressing aspect of the film is that it had potential .	1	-4	 the[0] most[0] depressing[-3] aspect[0] of[0] the[0] film[0] is[0] that[0] it[0] had[0] potential[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's a good story buried in snake eyes , it's just bogged down in razzle dazzle and flashbacks . 	there's a good story buried in snake eyes , it's just bogged down in razle dazle and flashbacks .	2	-3	 there's[0] a[0] good[1] story[0] buried[-2] in[0] snake[0] eyes[0] it's[0] just[0] bogged[0] down[0] in[0] razzle/razle[0] dazzle/dazle[0] and[0] flashbacks[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it also gives itself away far too quickly , rather than leaving the big twist for the end . 	it also gives itself away far too quickly , rather than leaving the big twist for the end .	1	-1	 it[0] also[0] gives[0] itself[0] away[0] far[0] too[0] quickly[0] rather[0] than[0] leaving[0] the[0] big[0] twist[0] for[0] the[0] end[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while the performances are intriguing , especially by newcomer carla gugino as a sexy 'number cruncher' wrapped up in the case , there's no way of altering the fact that snake eyes is a terminal case of style of substance , and unless you're a big fan of either cage or flash directing , should be avoided . 	while the performances are intriguing , especially by newcomer carla gugino as a sexy 'number cruncher' wrapped up in the case , there's no way of altering the fact that snake eyes is a terminal case of style of substance , and unless you're a big fan of either cage or flash directing , should be avoided .	3	-2	 while[0] the[0] performances[0] are[0] intriguing[0] especially[0] by[0] newcomer[0] carla[0] gugino[0] as[0] a[0] sexy[2] 'number[0] cruncher'[0] wrapped[0] up[0] in[0] the[0] case[0] there's[0] no[0] way[0] of[0] altering[0] the[0] fact[0] that[0] snake[0] eyes[0] is[0] a[0] terminal[0] case[0] of[0] style[0] of[0] substance[0] and[0] unless[0] you're[0] a[0] big[0] fan[0] of[0] either[0] cage[0] or[0] flash[0] directing[0] should[0] be[0] avoided[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a david wilcock review ? 1998 	a david wilcock review ?<br> 1998	1	-1	 a[0] david[0] wilcock[0] review[0] [[Sentence=-1,1=word max, 1-5]] 1998[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " you know , for kids " - norville barnes 	 " you know , for kids " - norville barnes	1	-1	 you[0] know[0] for[0] kids[0] norville[0] barnes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
