if anything , " stigmata " should be taken as a warning against releasing similarly-themed films relatively close to one another . 	Translation	Positive	Negative	EmotionRationale
 . 	 .	1	-1	[[[0,0 max of sentences]]]
i mean film " stigmata " is the sort of film that starts off ok and only gets worse . 	i mean film " stigmata " is the sort of film that starts off ok and only gets worse .	1	-3	 i[0] mean[0] film[0] stigmata[0] is[0] the[0] sort[0] of[0] film[0] that[0] starts[0] off[0] ok[0] and[0] only[0] gets[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
indeed , it would have been good if it were a music video , because it's only interesting for about five minutes . 	indeed , it would have been good if it were a music video , because it's only interesting for about five minutes .	2	-1	 indeed[0] it[0] would[0] have[0] been[0] good[1] if[0] it[0] were[0] a[0] music[0] video[0] because[0] it's[0] only[0] interesting[1] for[0] about[0] five[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not sure what wainwright is trying to prove with his endless parade of slow-motion , double-exposure , and extreme close-ups ( whoaaaaaa ! ! ! ! ) , other than the fact that he has the most swelled head of any director in hollywood and , yes , he has been to film school . 	i'm not sure what wainwright is trying to prove with his endless parade of slow-motion , double-exposure , and extreme close-ups ( whoa !<br> !<br> !<br> !<br> ) , other than the fact that he has the most swelled head of any director in hollywood and , yes , he has been to film school .	2	-1	 i'm[0] not[0] sure[0] what[0] wainwright[0] is[0] trying[0] to[0] prove[0] with[0] his[0] endless[0] parade[0] of[0] slow[0] motion[0] double[0] exposure[0] and[0] extreme[0] close[0] ups[0] whoaaaaaa/whoa[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]] other[0] than[0] the[0] fact[0] that[0] he[0] has[0] the[0] most[0] swelled[0] head[0] of[0] any[0] director[0] in[0] hollywood[0] and[0] yes[0] he[0] has[0] been[0] to[0] film[0] school[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
his camera trickery is interesting for a little while , but eventually , it becomes headache-inducing . 	his camera trickery is interesting for a little while , but eventually , it becomes headache-inducing .	2	-2	 his[0] camera[0] trickery[-1] is[0] interesting[1] for[0] a[0] little[0] while[0] but[0] eventually[0] it[0] becomes[0] headache[-1] inducing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what this film needed is a second audio track to be played over the dialogue ( such as it is ) , with wainwright screaming at the audience , " see ? 	what this film needed is a second audio track to be played over the dialogue ( such as it is ) , with wainwright screaming at the audience , " see ?	1	-4	 what[0] this[0] film[0] needed[0] is[0] a[0] second[0] audio[0] track[0] to[0] be[0] played[0] over[0] the[0] dialogue[0] such[0] as[0] it[0] is[0] with[0] wainwright[0] screaming[-3] at[0] the[0] audience[0] see[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
look at what i can do ! 	look at what i can do !	1	-1	 look[0] at[0] what[0] i[0] can[0] do[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm an ex-cellent dir-ect-or . " 	i'm an ex-cellent dir-ect-or .<br> "	1	-1	 i'm[0] an[0] ex[0] cellent[0] dir[0] ect[0] or[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe then he'd explain why he decided to start half of his scenes with slow-motion shots of water dripping in reverse , or why he included random superfluous shots as that of an egg frying ( ooh , scary ! ) . 	maybe then he'd explain why he decided to start half of his scenes with slow-motion shots of water dripping in reverse , or why he included random superfluous shots as that of an egg frying ( ooh , scary !<br> ) .	1	-4	 maybe[0] then[0] he'd[0] explain[0] why[0] he[0] decided[0] to[0] start[0] half[0] of[0] his[0] scenes[0] with[0] slow[0] motion[0] shots[0] of[0] water[0] dripping[0] in[0] reverse[0] or[0] why[0] he[0] included[0] random[0] superfluous[-1] shots[0] as[0] that[0] of[0] an[0] egg[0] frying[0] ooh[0] scary[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
if there was some underlying meaning behind all this camera trickery , i didn't see it . 	if there was some underlying meaning behind all this camera trickery , i didn't see it .	1	-2	 if[0] there[0] was[0] some[0] underlying[0] meaning[0] behind[0] all[0] this[0] camera[0] trickery[-1] i[0] didn't[0] see[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just when you thought it was safe to get involved in the story , here comes a double-exposure shot of two patricia arquettes collapsing into bed for no reason whatsoever . 	just when you thought it was safe to get involved in the story , here comes a double-exposure shot of two patricia arquettes collapsing into bed for no reason whatsoever .	2	-2	 just[0] when[0] you[0] thought[0] it[0] was[0] safe[1] to[0] get[0] involved[0] in[0] the[0] story[0] here[0] comes[0] a[0] double[0] exposure[0] shot[-1] of[0] two[0] patricia[0] arquettes[0] collapsing[0] into[0] bed[0] for[0] no[0] reason[0] whatsoever[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
arrrrrrrghhhh . 	arrgh .	2	-1	 arrrrrrrghhhh/arrgh[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
then again , the superfluous camera trickery wouldn't bother me if " stigmata " had a story or characters that were remotely engaging . 	then again , the superfluous camera trickery wouldn't bother me if " stigmata " had a story or characters that were remotely engaging .	2	-2	 then[0] again[0] the[0] superfluous[-1] camera[0] trickery[-1] wouldn't[0] bother[-1][NegatedDueToPreviousWord] me[0] if[0] stigmata[0] had[0] a[0] story[0] or[0] characters[0] that[0] were[0] remotely[0] engaging[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
though wainwright's vanity certainly doesn't help , he does seem to have been given a nearly unworkable script . 	though wainwright's vanity certainly doesn't help , he does seem to have been given a nearly unworkable script .	1	-2	 though[0] wainwright's[0] vanity[-1] certainly[0] doesn't[0] help[0] he[0] does[0] seem[0] to[0] have[0] been[0] given[0] a[0] nearly[0] unworkable[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
where are plot continuity and character development when you need them ? 	where are plot continuity and character development when you need them ?	1	-1	 where[0] are[0] plot[0] continuity[0] and[0] character[0] development[0] when[0] you[0] need[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
case in point : frankie page is the character that ( i assume ) we are supposed to identify and sympathize with , but we aren't given any back story on her character , or any reason to like her . 	case in point : frankie page is the character that ( i assume ) we are supposed to identify and sympathize with , but we aren't given any back story on her character , or any reason to like her .	2	-1	 case[0] in[0] point[0] frankie[0] page[0] is[0] the[0] character[0] that[0] i[0] assume[0] we[0] are[0] supposed[0] to[0] identify[0] and[0] sympathize[0] with[0] but[0] we[0] aren't[0] given[0] any[0] back[0] story[0] on[0] her[0] character[0] or[0] any[0] reason[0] to[0] like[1] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the extent of her character development seems to be that she is a hard-working hairdresser ( who can somehow afford a cavernous apartment on the top floor of her building ) and she's kind of cute , so let's start the bleeding ! 	the extent of her character development seems to be that she is a hard-working hairdresser ( who can somehow afford a cavernous apartment on the top floor of her building ) and she's kind of cute , so let's start the bleeding !	2	-1	 the[0] extent[0] of[0] her[0] character[0] development[0] seems[0] to[0] be[0] that[0] she[0] is[0] a[0] hard[0] working[0] hairdresser[0] who[0] can[0] somehow[0] afford[0] a[0] cavernous[0] apartment[0] on[0] the[0] top[0] floor[0] of[0] her[0] building[0] and[0] she's[0] kind[1] of[0] cute[1] so[0] let's[0] start[0] the[0] bleeding[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the fact that she's clearly not the brightest bulb in the drawer doesn't help , either . 	the fact that she's clearly not the brightest bulb in the drawer doesn't help , either .	1	-1	 the[0] fact[0] that[0] she's[0] clearly[0] not[0] the[0] brightest[0] bulb[0] in[0] the[0] drawer[0] doesn't[0] help[0] either[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
according to frankie page , what is the first thing to do after receiving mysterious wounds on your wrists and back ? 	according to frankie page , what is the first thing to do after receiving mysterious wounds on your wrists and back ?	1	-2	 according[0] to[0] frankie[0] page[0] what[0] is[0] the[0] first[0] thing[0] to[0] do[0] after[0] receiving[0] mysterious[0] wounds[-1] on[0] your[0] wrists[0] and[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
go clubbing ! 	go clubbing !	1	-1	 go[0] clubbing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , that makes sense . 	sure , that makes sense .	1	-1	 sure[0] that[0] makes[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arquette , byrne , and pryce give it the old college try , but their characters are so one-dimensional that they just appear to be sleepwalking . 	arquette , byrne , and pryce give it the old college try , but their characters are so one-dimensional that they just appear to be sleepwalking .	1	-2	 arquette[0] byrne[0] and[0] pryce[-1] give[0] it[0] the[0] old[0] college[0] try[0] but[0] their[0] characters[0] are[0] so[0] one[0] dimensional[0] that[0] they[0] just[0] appear[0] to[0] be[0] sleepwalking[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scenes between arquette and byrne that were probably supposed to be sexually charged fall almost embarrassingly flat , because the setup of the romantic subplot is so clumsily handled that it almost reaches the point of becoming laughable . 	scenes between arquette and byrne that were probably supposed to be sexually charged fall almost embarrassingly flat , because the setup of the romantic subplot is so clumsily handled that it almost reaches the point of becoming laughable .	4	-3	 scenes[0] between[0] arquette[0] and[0] byrne[0] that[0] were[0] probably[0] supposed[0] to[0] be[0] sexually[0] charged[-1] fall[0] almost[0] embarrassingly[-2] flat[0] because[0] the[0] setup[0] of[0] the[0] romantic[3] subplot[0] is[0] so[0] clumsily[0] handled[0] that[0] it[0] almost[0] reaches[0] the[0] point[0] of[0] becoming[0] laughable[-1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
even though frankie page's life is falling apart before her very eyes , she still finds the time to hit on a priest who wanders in to her hair salon . 	even though frankie page's life is falling apart before her very eyes , she still finds the time to hit on a priest who wanders in to her hair salon .	1	-1	 even[0] though[0] frankie[0] page's[0] life[0] is[0] falling[0] apart[0] before[0] her[0] very[0] eyes[0] she[0] still[0] finds[0] the[0] time[0] to[0] hit[0] on[0] a[0] priest[0] who[0] wanders[0] in[0] to[0] her[0] hair[0] salon[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even more curiously , he seems to be interested in her advances . 	even more curiously , he seems to be interested in her advances .	2	-1	 even[0] more[0] curiously[0] he[0] seems[0] to[0] be[0] interested[1] in[0] her[0] advances[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
father andrew's religious doubt pops up so suddenly that it seems more silly than dramatic . 	father andrew's religious doubt pops up so suddenly that it seems more silly than dramatic .	1	-2	 father[0] andrew's[0] religious[0] doubt[-1] pops[0] up[0] so[0] suddenly[0] that[0] it[0] seems[0] more[0] silly[-1] than[0] dramatic[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as for pryce , he may as well wear a curled mustache and cackle , " i'll get you , my pretty , " for all the depth his cardinal houseman is afforded . 	as for pryce , he may as well wear a curled mustache and cackle , " i'll get you , my pretty , " for all the depth his cardinal houseman is afforded .	3	-2	 as[0] for[0] pryce[-1] he[0] may[0] as[0] well[0] wear[0] a[0] curled[0] mustache[0] and[0] cackle[0] i'll[0] get[0] you[0] my[0] pretty[2] for[0] all[0] the[0] depth[0] his[0] cardinal[0] houseman[0] is[0] afforded[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
trust me , i'm not revealing anything by telling you pryce turns out to be a villain . 	trust me , i'm not revealing anything by telling you pryce turns out to be a villain .	2	-3	 trust[1] me[0] i'm[0] not[0] revealing[0] anything[0] by[0] telling[0] you[0] pryce[-1] turns[0] out[0] to[0] be[0] a[0] villain[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what's worse , after being faced with dull characters and the prospect of having annoying camera tricks and loud music jammed down our throats , we now have to contend with a story that starts off in one direction , veers off in another , then another , and ends up being totally incomprehensible . 	what's worse , after being faced with dull characters and the prospect of having annoying camera tricks and loud music jammed down our throats , we now have to contend with a story that starts off in one direction , veers off in another , then another , and ends up being totally incomprehensible .	1	-3	 what's[0] worse[-2] after[0] being[0] faced[0] with[0] dull[-1] characters[0] and[0] the[0] prospect[0] of[0] having[0] annoying[-2] camera[0] tricks[-1] and[0] loud[0] music[0] jammed[0] down[0] our[0] throats[0] we[0] now[0] have[0] to[0] contend[-1] with[0] a[0] story[0] that[0] starts[0] off[0] in[0] one[0] direction[0] veers[0] off[0] in[0] another[0] then[0] another[0] and[0] ends[0] up[0] being[0] totally[0] incomprehensible[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
first of all , the film doesn't even bother to explain what should be very simple plot details . how does frankie get the stigmata merely by touching a rosary ? 	first of all , the film doesn't even bother to explain what should be very simple plot details .<br> how does frankie get the stigmata merely by touching a rosary ?	1	-2	 first[0] of[0] all[0] the[0] film[0] doesn't[0] even[0] bother[-1] to[0] explain[0] what[0] should[0] be[0] very[0] simple[0] plot[0] details[0] [[Sentence=-2,1=word max, 1-5]] how[0] does[0] frankie[0] get[0] the[0] stigmata[0] merely[0] by[0] touching[0] a[0] rosary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
how come an atheist like her was chosen , since father andrew mentions that only very devout believers have ever received stigmata ? 	how come an atheist like her was chosen , since father andrew mentions that only very devout believers have ever received stigmata ?	2	-1	 how[0] come[0] an[0] atheist[0] like[1] her[0] was[0] chosen[0] since[0] father[0] andrew[0] mentions[0] that[0] only[0] very[0] devout[0] believers[0] have[0] ever[0] received[0] stigmata[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , i'm not sure what frankie was posessed by . 	actually , i'm not sure what frankie was posessed by .	1	-1	 actually[0] i'm[0] not[0] sure[0] what[0] frankie[0] was[0] posessed[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
supposedly , stigmata occurs when one is posessed by the holy spirit , but the film later has her being posessed by the dead priest , and later by some evil spirit ( i think ) . 	supposedly , stigmata occurs when one is posessed by the holy spirit , but the film later has her being posessed by the dead priest , and later by some evil spirit ( i think ) .	1	-3	 supposedly[0] stigmata[0] occurs[0] when[0] one[0] is[0] posessed[0] by[0] the[0] holy[0] spirit[0] but[0] the[0] film[0] later[0] has[0] her[0] being[0] posessed[0] by[0] the[0] dead[-2] priest[0] and[0] later[0] by[0] some[0] evil[-2][--1 LastWordBoosterStrength] spirit[0] i[0] think[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
which one is it ? 	which one is it ?	1	-1	 which[0] one[0] is[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer to this question , of course , is very simple : the possessing entity in each scene is determined by whichever effects and flashy camera work mr . wainwright wants to use this time . 	the answer to this question , of course , is very simple : the possessing entity in each scene is determined by whichever effects and flashy camera work mr .<br> wainwright wants to use this time .	1	-1	 the[0] answer[0] to[0] this[0] question[0] of[0] course[0] is[0] very[0] simple[0] the[0] possessing[0] entity[0] in[0] each[0] scene[0] is[0] determined[0] by[0] whichever[0] effects[0] and[0] flashy[0] camera[0] work[0] mr[0] [[Sentence=-1,1=word max, 1-5]] wainwright[0] wants[0] to[0] use[0] this[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
furthermore , the ending is a ridiculously neat little wrap-up , and the filmmakers compound this problem by ultimately turning the film into a diatribe against the catholic church . 	furthermore , the ending is a ridiculously neat little wrap-up , and the filmmakers compound this problem by ultimately turning the film into a diatribe against the catholic church .	1	-3	 furthermore[0] the[0] ending[0] is[0] a[0] ridiculously[-2] neat[0] little[0] wrap[0] up[0] and[0] the[0] filmmakers[0] compound[0] this[0] problem[-1] by[0] ultimately[0] turning[0] the[0] film[0] into[0] a[0] diatribe[0] against[-1] the[0] catholic[0] church[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
if you do any research at all about the gospel of st . thomas , you'll find that it is not being suppressed by the church ( as the film seems to claim ) , but that it is readily available at your local library . 	if you do any research at all about the gospel of st .<br> thomas , you'll find that it is not being suppressed by the church ( as the film seems to claim ) , but that it is readily available at your local library .	2	-1	 if[0] you[0] do[0] any[0] research[0] at[0] all[0] about[0] the[0] gospel[0] of[0] st[0] [[Sentence=-1,1=word max, 1-5]] thomas[0] you'll[0] find[0] that[0] it[0] is[0] not[0] being[0] suppressed[-1][NegatedDueToPreviousWord] by[0] the[0] church[0] as[0] the[0] film[0] seems[0] to[0] claim[0] but[0] that[0] it[0] is[0] readily[0] available[0] at[0] your[0] local[0] library[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's nothing the catholics need to worry about , though . 	there's nothing the catholics need to worry about , though .	1	-4	 there's[0] nothing[0] the[0] catholics[0] need[0] to[0] worry[-3] about[0] though[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 " stigmata's " religion is so off-base that it can't be confused for anything remotely resembling the real catholic church . 	 " stigmata's " religion is so off-base that it can't be confused for anything remotely resembling the real catholic church .	2	-1	 stigmata's[0] religion[0] is[0] so[0] off[0] base[0] that[0] it[0] can't[0] be[0] confused[-1][NegatedDueToPreviousWord] for[0] anything[0] remotely[0] resembling[0] the[0] real[0] catholic[0] church[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if they wanted to portray catholic priests as mobsters , they should have gone all-out and equipped them with sharkskin suits and tommy guns , which would have been far more interesting . 	if they wanted to portray catholic priests as mobsters , they should have gone all-out and equipped them with sharkskin suits and tommy guns , which would have been far more interesting .	2	-2	 if[0] they[0] wanted[0] to[0] portray[0] catholic[0] priests[0] as[0] mobsters[0] they[0] should[0] have[0] gone[0] all[0] out[0] and[0] equipped[0] them[0] with[0] sharkskin[0] suits[0] and[0] tommy[0] guns[-1] which[0] would[0] have[0] been[0] far[0] more[0] interesting[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'm not catholic ; in fact , i don 't care much for the catholic church , but its cartoonish misrepresentation in this film should not be considered realistic by any means . 	i'm not catholic ; in fact , i don 't care much for the catholic church , but its cartoonish misrepresentation in this film should not be considered realistic by any means .	2	-2	 i'm[0] not[0] catholic[0] in[0] fact[0] i[0] don[0] 't[0] care[1] much[0] for[0] the[0] catholic[0] church[0] but[0] its[0] cartoonish[0] misrepresentation[-1] in[0] this[0] film[0] should[0] not[0] be[0] considered[0] realistic[0] by[0] any[0] means[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's rare to see a film that fails on as many levels as " stigmata " does . 	it's rare to see a film that fails on as many levels as " stigmata " does .	1	-3	 it's[0] rare[0] to[0] see[0] a[0] film[0] that[0] fails[-2] on[0] as[0] many[0] levels[0] as[0] stigmata[0] does[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it' s not thought-provoking , though it would like to be , and it is definitely not scary , though it pretends to be . 	it' s not thought-provoking , though it would like to be , and it is definitely not scary , though it pretends to be .	4	-1	 it'[0] s[0] not[0] thought[0] provoking[0] though[0] it[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] be[0] and[0] it[0] is[0] definitely[0] not[0] scary[-3][NegatedDueToPreviousWord] though[0] it[0] pretends[0] to[0] be[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i'm not sure why they tried to pass this off as a horror film , because there is absolutely nothing scary about the story . 	i'm not sure why they tried to pass this off as a horror film , because there is absolutely nothing scary about the story .	1	-4	 i'm[0] not[0] sure[0] why[0] they[0] tried[0] to[0] pass[0] this[0] off[0] as[0] a[0] horror[-3] film[0] because[0] there[0] is[0] absolutely[0] nothing[0] scary[-3] about[0] the[0] story[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
maybe it's an attempt to cover up the fact that none of the scenes have any dramatic weight whatsoever . 	maybe it's an attempt to cover up the fact that none of the scenes have any dramatic weight whatsoever .	1	-1	 maybe[0] it's[0] an[0] attempt[0] to[0] cover[0] up[0] the[0] fact[0] that[0] none[0] of[0] the[0] scenes[0] have[0] any[0] dramatic[0] weight[0] whatsoever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the initial shock of seeing arquette covered with blood is dulled by the fact that it happens over , and over , and over . 	the initial shock of seeing arquette covered with blood is dulled by the fact that it happens over , and over , and over .	1	-3	 the[0] initial[0] shock[-2] of[0] seeing[0] arquette[0] covered[0] with[0] blood[0] is[0] dulled[-1] by[0] the[0] fact[0] that[0] it[0] happens[0] over[0] and[0] over[0] and[0] over[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
