 " jack frost , " is one of those dumb , corny concoctions that attempts to be a heartwarming family film , but is too muddled in its own cliches and predictability to be the least bit touching . 	Translation	Positive	Negative	EmotionRationale
or , " how does it feel to be a snowman ? " 	or , " how does it feel to be a snowman ?<br> "	1	-1	 or[0] how[0] does[0] it[0] feel[0] to[0] be[0] a[0] snowman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but instead , the film focuses on a snowball fight subplot and an inevitably oversentimental climax that could be telegraphed before i even sat down to watch the movie . 	but instead , the film focuses on a snowball fight subplot and an inevitably oversentimental climax that could be telegraphed before i even sat down to watch the movie .	1	-3	 but[0] instead[0] the[0] film[0] focuses[0] on[0] a[0] snowball[0] fight[-2] subplot[0] and[0] an[0] inevitably[0] oversentimental[0] climax[0] that[0] could[0] be[0] telegraphed[0] before[0] i[0] even[0] sat[0] down[0] to[0] watch[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the performances are respectable enough , but no one deserves to be punished by appearing in a silly film like this . 	the performances are respectable enough , but no one deserves to be punished by appearing in a silly film like this .	3	-2	 the[0] performances[0] are[0] respectable[2] enough[0] but[0] no[0] one[0] deserves[0] to[0] be[0] punished[-1] by[0] appearing[0] in[0] a[0] silly[-1] film[0] like[1] this[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
michael keaton at least got off easy , since he disappears after the first twenty minutes , but what exactly does he think he is doing with his career here ? 	michael keaton at least got off easy , since he disappears after the first twenty minutes , but what exactly does he think he is doing with his career here ?	1	-1	 michael[0] keaton[0] at[0] least[0] got[0] off[0] easy[0] since[0] he[0] disappears[0] after[0] the[0] first[0] twenty[0] minutes[0] but[0] what[0] exactly[0] does[0] he[0] think[0] he[0] is[0] doing[0] with[0] his[0] career[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i have always liked kelly preston . 	i have always liked kelly preston .	3	-1	 i[0] have[0] always[0] liked[2] kelly[0] preston[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she is clearly a talented , charismatic actress , but has never been given a good role in her life , usually having to settle for a one-dimensional supporting character , as in , 1997's , " nothing to lose , " and , " addicted to love . " 	she is clearly a talented , charismatic actress , but has never been given a good role in her life , usually having to settle for a one-dimensional supporting character , as in , 1997's , " nothing to lose , " and , " addicted to love .<br> "	3	-2	 she[0] is[0] clearly[0] a[0] talented[1] charismatic[0] actress[0] but[0] has[0] never[0] been[0] given[0] a[0] good[1] role[0] in[0] her[0] life[0] usually[0] having[0] to[0] settle[0] for[0] a[0] one[0] dimensional[0] supporting[1] character[0] as[0] in[0] 1997's[0] nothing[0] to[0] lose[-1] and[0] addicted[-1] to[0] love[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
joseph cross was probably the highlight in the cast , since he believably portrayed a boy suffering the loss of a parent . 	joseph cross was probably the highlight in the cast , since he believably portrayed a boy suffering the loss of a parent .	1	-4	 joseph[0] cross[-1] was[0] probably[0] the[0] highlight[0] in[0] the[0] cast[0] since[0] he[0] believably[0] portrayed[0] a[0] boy[0] suffering[-3] the[0] loss[-2] of[0] a[0] parent[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in one of the only subplots that actually works , due to its wittiness , henry rollins is highly amusing as a hockey coach who becomes terrified and paranoid after seeing the live snowman . 	in one of the only subplots that actually works , due to its wittiness , henry rollins is highly amusing as a hockey coach who becomes terrified and paranoid after seeing the live snowman .	2	-4	 in[0] one[0] of[0] the[0] only[0] subplots[0] that[0] actually[0] works[0] due[0] to[0] its[0] wittiness[0] henry[0] rollins[0] is[0] highly[0] amusing[1] as[0] a[0] hockey[0] coach[0] who[0] becomes[0] terrified[-3] and[0] paranoid[-2] after[0] seeing[0] the[0] live[0] snowman[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
this brief hint of cleverness is pushed to the side , however , by the tried-and-true main plot at hand , which is the sappy story of a father and son . 	this brief hint of cleverness is pushed to the side , however , by the tried-and-true main plot at hand , which is the sappy story of a father and son .	2	-1	 this[0] brief[0] hint[0] of[0] cleverness[0] is[0] pushed[0] to[0] the[0] side[0] however[0] by[0] the[0] tried[0] and[0] true[1] main[0] plot[0] at[0] hand[0] which[0] is[0] the[0] sappy[0] story[0] of[0] a[0] father[0] and[0] son[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
since i knew what was going to happen by the time the conclusion came around , i had no choice but to sit there and listen to painfully insipid , cringe-inducing lines of dialogue . 	since i knew what was going to happen by the time the conclusion came around , i had no choice but to sit there and listen to painfully insipid , cringe-inducing lines of dialogue .	1	-4	 since[0] i[0] knew[0] what[0] was[0] going[0] to[0] happen[0] by[0] the[0] time[0] the[0] conclusion[0] came[0] around[0] i[0] had[0] no[0] choice[0] but[0] to[0] sit[0] there[0] and[0] listen[0] to[0] painfully[-3] insipid[0] cringe[-1] inducing[0] lines[0] of[0] dialogue[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
some of my favorites was an interaction between the son and father : " you da man , " says charlie . 	some of my favorites was an interaction between the son and father : " you da man , " says charlie .	2	-1	 some[0] of[0] my[0] favorites[1] was[0] an[0] interaction[0] between[0] the[0] son[0] and[0] father[0] you[0] da[0] man[0] says[0] charlie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " no , i da snowman , " replies jack . 	 " no , i da snowman , " replies jack .	1	-1	 no[0] i[0] da[0] snowman[0] replies[0] jack[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or how about this little zinger , coming from a school bully that miraculously becomes friendly towards charlie and tries to help him out : " snowdad is better than no dad . " 	or how about this little zinger , coming from a school bully that miraculously becomes friendly towards charlie and tries to help him out : " snowdad is better than no dad .<br> "	2	-1	 or[0] how[0] about[0] this[0] little[0] zinger[0] coming[0] from[0] a[0] school[0] bully[0] that[0] miraculously[0] becomes[0] friendly[1] towards[0] charlie[0] and[0] tries[0] to[0] help[0] him[0] out[0] snowdad[0] is[0] better[0] than[0] no[0] dad[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
do people really get paid in hollywood for writing pieces of trash like this ? 	do people really get paid in hollywood for writing pieces of trash like this ?	2	-2	 do[0] people[0] really[0] get[0] paid[0] in[0] hollywood[0] for[0] writing[0] pieces[0] of[0] trash[-1] like[1] this[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the snowman , created by john henson's creature shop , is more believable than the snowman from last year's unintentionally hilarious direct-to-video horror flick , also called , " jack frost , " but it still was difficult to tell if it was a person in a suit or computer effects . 	the snowman , created by john henson's creature shop , is more believable than the snowman from last year's unintentionally hilarious direct-to-video horror flick , also called , " jack frost , " but it still was difficult to tell if it was a person in a suit or computer effects .	3	-4	 the[0] snowman[0] created[0] by[0] john[0] henson's[0] creature[0] shop[0] is[0] more[0] believable[0] than[0] the[0] snowman[0] from[0] last[0] year's[0] unintentionally[0] hilarious[2] direct[0] to[0] video[0] horror[-3] flick[0] also[0] called[0] jack[0] frost[0] but[0] it[0] still[0] was[0] difficult[-1] to[0] tell[0] if[0] it[0] was[0] a[0] person[0] in[0] a[0] suit[0] or[0] computer[0] effects[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
either way , it was an awful lot of work to go through , just to come up with a final product as featherbrained as this project . 	either way , it was an awful lot of work to go through , just to come up with a final product as featherbrained as this project .	1	-4	 either[0] way[0] it[0] was[0] an[0] awful[-3] lot[0] of[0] work[0] to[0] go[0] through[0] just[0] to[0] come[0] up[0] with[0] a[0] final[0] product[0] as[0] featherbrained[0] as[0] this[0] project[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
as a seasonal holiday picture , " jack frost , " is pretty much a clunker . 	as a seasonal holiday picture , " jack frost , " is pretty much a clunker .	3	-1	 as[0] a[0] seasonal[0] holiday[0] picture[0] jack[0] frost[0] is[0] pretty[2] much[0] a[0] clunker[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a better christmas film from this year is , " i'll be home for christmas . " 	a better christmas film from this year is , " i'll be home for christmas .<br> "	1	-1	 a[0] better[0] christmas[0] film[0] from[0] this[0] year[0] is[0] i'll[0] be[0] home[0] for[0] christmas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better yet , my suggestion would be to stay home and watch a quality film , such as , " it's a wonderful life , " " a christmas story , " or , " prancer . " 	better yet , my suggestion would be to stay home and watch a quality film , such as , " it's a wonderful life , " " a christmas story , " or , " prancer .<br> "	3	-1	 better[0] yet[0] my[0] suggestion[0] would[0] be[0] to[0] stay[0] home[0] and[0] watch[0] a[0] quality[0] film[0] such[0] as[0] it's[0] a[0] wonderful[2] life[0] a[0] christmas[0] story[0] or[0] prancer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " jack frost , " is an earnest , but severely misguided film , and children , as well as adults , deserve better . 	 " jack frost , " is an earnest , but severely misguided film , and children , as well as adults , deserve better .	1	-2	 jack[0] frost[0] is[0] an[0] earnest[0] but[0] severely[-1] misguided[0] film[0] and[0] children[0] as[0] well[0] as[0] adults[0] deserve[0] better[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i doubt they would want to see a movie about the death of a parent , anyway . 	i doubt they would want to see a movie about the death of a parent , anyway .	1	-3	 i[0] doubt[-1] they[0] would[0] want[0] to[0] see[0] a[0] movie[0] about[0] the[0] death[-2] of[0] a[0] parent[0] anyway[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
