when i ponder childhood memories past , one of the things that always springs immediately to mind is watching the " inspector gadget " tv show with my older brother . 	Translation	Positive	Negative	EmotionRationale
right from the beginning , i knew i was in trouble . 	right from the beginning , i knew i was in trouble .	1	-2	 right[0] from[0] the[0] beginning[0] i[0] knew[0] i[0] was[0] in[0] trouble[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the opening scenes , each character is introduced as if their sole purpose is to just be , to simply serve as real-life duplicates of their cartoon clones . 	in the opening scenes , each character is introduced as if their sole purpose is to just be , to simply serve as real-life duplicates of their cartoon clones .	1	-1	 in[0] the[0] opening[0] scenes[0] each[0] character[0] is[0] introduced[0] as[0] if[0] their[0] sole[0] purpose[0] is[0] to[0] just[0] be[0] to[0] simply[0] serve[0] as[0] real[0] life[0] duplicates[0] of[0] their[0] cartoon[0] clones[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when referring to them , people almost yell in fear that the audience will not catch on as to who a certain character is supposed to be ( " oh , hi penny ! 	when referring to them , people almost yell in fear that the audience will not catch on as to who a certain character is supposed to be ( " oh , hi penny !	1	-4	 when[0] referring[0] to[0] them[0] people[0] almost[0] yell[0] in[0] fear[-3] that[0] the[0] audience[0] will[0] not[0] catch[0] on[0] as[0] to[0] who[0] a[0] certain[0] character[0] is[0] supposed[0] to[0] be[0] oh[0] hi[0] penny[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
is brain with you ? " ) . 	is brain with you ?<br> " ) .	1	-1	 is[0] brain[0] with[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
creating one-dimensional replicas is one thing ; having mere names take the place of them is quite another . 	creating one-dimensional replicas is one thing ; having mere names take the place of them is quite another .	1	-1	 creating[0] one[0] dimensional[0] replicas[0] is[0] one[0] thing[0] having[0] mere[0] names[0] take[0] the[0] place[0] of[0] them[0] is[0] quite[0] another[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the " plot " , shall we call it , stays fairly in tune with the original series . 	the " plot " , shall we call it , stays fairly in tune with the original series .	1	-1	 the[0] plot[0] shall[0] we[0] call[0] it[0] stays[0] fairly[0] in[0] tune[0] with[0] the[0] original[0] series[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
matthew broderick stars as john brown ( how creative is that ? ) , 	matthew broderick stars as john brown ( how creative is that ?<br> ) ,	1	-1	 matthew[0] broderick[0] stars[0] as[0] john[0] brown[0] how[0] creative[0] is[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a security guard who is horribly injured by a pack of ruthless businessmen headed by scolex ( why , rupert everett , for the love of god why ? ? ? ! ! ! ) , who himself is transformed into claw by an unfortunate chain of events . 	a security guard who is horribly injured by a pack of ruthless businessmen headed by scolex ( why , rupert everett , for the love of god why ?<br> ?<br> ?<br> !<br> !<br> !<br> ) , who himself is transformed into claw by an unfortunate chain of events .	3	-4	 a[0] security[1] guard[0] who[0] is[0] horribly[-3] injured[0] by[0] a[0] pack[0] of[0] ruthless[-2] businessmen[0] headed[0] by[0] scolex[0] why[0] rupert[0] everett[0] for[0] the[0] love[2] of[0] god[0] why[0] [[Sentence=-4,3=word max, 1-5]] who[0] himself[0] is[0] transformed[0] into[0] claw[0] by[0] an[0] unfortunate[-1] chain[0] of[0] events[0] [[Sentence=-2,1=word max, 1-5]][[[3,-4 max of sentences]]]
brown is then rescued and used as a prototype for a new law-enforcement technology wherein he's joined with various machine parts and some nifty gadgets to form ( drumroll , please ) . . . 	brown is then rescued and used as a prototype for a new law-enforcement technology wherein he's joined with various machine parts and some nifty gadgets to form ( drumroll , please ) .<br> .<br> .	2	-2	 brown[0] is[0] then[0] rescued[0] and[0] used[0] as[0] a[0] prototype[0] for[0] a[0] new[0] law[0] enforcement[-1] technology[0] wherein[0] he's[0] joined[0] with[0] various[0] machine[0] parts[0] and[0] some[0] nifty[0] gadgets[0] to[0] form[0] drumroll[0] please[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
inspector gadget ! 	inspector gadget !	1	-1	 inspector[0] gadget[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from here on out , the movie becomes a hodgepodge of stupid dialog and confusing situations ( although , to be fair , my confusion could have been caused by the virtual concussion the film was inflicting upon my fragile mind ) . 	 from here on out , the movie becomes a hodgepodge of stupid dialog and confusing situations ( although , to be fair , my confusion could have been caused by the virtual concussion the film was inflicting upon my fragile mind ) .	1	-2	 from[0] here[0] on[0] out[0] the[0] movie[0] becomes[0] a[0] hodgepodge[0] of[0] stupid[-1] dialog[0] and[0] confusing[-1] situations[0] although[0] to[0] be[0] fair[0] my[0] confusion[-1] could[0] have[0] been[0] caused[0] by[0] the[0] virtual[0] concussion[0] the[0] film[0] was[0] inflicting[0] upon[0] my[0] fragile[-1] mind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's something about an evil gadget taking over the city ( his first crime must have been swiping matt dillon's dentures from there's something about mary ) and it all ends with ( what else ? ) a bunch of post-credit nonsense and a cameo by don adams himself . 	there's something about an evil gadget taking over the city ( his first crime must have been swiping matt dillon's dentures from there's something about mary ) and it all ends with ( what else ?<br> ) a bunch of post-credit nonsense and a cameo by don adams himself .	1	-3	 there's[0] something[0] about[0] an[0] evil[-2] gadget[0] taking[0] over[0] the[0] city[0] his[0] first[0] crime[-1] must[0] have[0] been[0] swiping[0] matt[0] dillon's[0] dentures[-1] from[0] there's[0] something[0] about[0] mary[0] and[0] it[0] all[0] ends[0] with[0] what[0] else[0] [[Sentence=-3,1=word max, 1-5]] a[0] bunch[0] of[0] post[0] credit[0] nonsense[-1] and[0] a[0] cameo[0] by[0] don[0] adams[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-3 max of sentences]]]
to be honest , i wasn't much paying attention to these " treats " . 	to be honest , i wasn't much paying attention to these " treats " .	1	-1	 to[0] be[0] honest[0] i[0] wasn't[0] much[0] paying[0] attention[0] to[0] these[0] treats[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i was just glad that it was over . 	i was just glad that it was over .	1	-1	 i[0] was[0] just[0] glad[1][-1 LastWordBoosterStrength] that[0] it[0] was[0] over[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
