by trying to satisfy every kind of viewer , it's possible that sphere may end up pleasing no one . 	Translation	Positive	Negative	EmotionRationale
attempts at characterization fall apart . 	attempts at characterization fall apart .	1	-1	 attempts[0] at[0] characterization[0] fall[0] apart[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
intelligent writing , which is evident early on , is replaced by hackneyed drivel . 	intelligent writing , which is evident early on , is replaced by hackneyed drivel .	2	-2	 intelligent[1] writing[0] which[0] is[0] evident[0] early[0] on[0] is[0] replaced[0] by[0] hackneyed[0] drivel[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
special effects take over as the plotline devolves into incoherent silliness . 	special effects take over as the plotline devolves into incoherent silliness .	2	-1	 special[1] effects[0] take[0] over[0] as[0] the[0] plotline[0] devolves[0] into[0] incoherent[0] silliness[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but all that is just in preparation for the ending , which is inexcusably awful . 	but all that is just in preparation for the ending , which is inexcusably awful .	1	-4	 but[0] all[0] that[0] is[0] just[0] in[0] preparation[0] for[0] the[0] ending[0] which[0] is[0] inexcusably[0] awful[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this is the time-honored deus ex machina device used to its worst effect . 	this is the time-honored deus ex machina device used to its worst effect .	1	-3	 this[0] is[0] the[0] time[0] honored[0] deus[0] ex[0] machina[0] device[0] used[0] to[0] its[0] worst[-2] effect[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i left the theater feeling cheated by the way crichton and his screenwriters had chosen to end the film . 	i left the theater feeling cheated by the way crichton and his screenwriters had chosen to end the film .	1	-3	 i[0] left[0] the[0] theater[0] feeling[0] cheated[-2] by[0] the[0] way[0] crichton[0] and[0] his[0] screenwriters[0] had[0] chosen[0] to[0] end[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is some promise , but it's all in the setup . 	there is some promise , but it's all in the setup .	1	-1	 there[0] is[0] some[0] promise[1][-1 LastWordBoosterStrength] but[0] it's[0] all[0] in[0] the[0] setup[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we're introduced to norman goodman ( dustin hoffman ) , a psychologist who once wrote a  35 , 000 report for the government about what to do in the event that a crashed space ship is discovered . 	we're introduced to norman goodman ( dustin hoffman ) , a psychologist who once wrote a  35 , 00 report for the government about what to do in the event that a crashed space ship is discovered .	1	-1	 we're[0] introduced[0] to[0] norman[0] goodman[0] dustin[0] hoffman[0] a[0] psychologist[0] who[0] once[0] wrote[0] a[0] 35[0] 000/00[0] report[0] for[0] the[0] government[0] about[0] what[0] to[0] do[0] in[0] the[0] event[0] that[0] a[0] crashed[0] space[0] ship[0] is[0] discovered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when one is found in the middle of nowhere , 1000 feet below the surface of the pacific ocean , norman is called in to be part of the welcoming committee . 	when one is found in the middle of nowhere , 100 feet below the surface of the pacific ocean , norman is called in to be part of the welcoming committee .	2	-1	 when[0] one[0] is[0] found[0] in[0] the[0] middle[0] of[0] nowhere[0] 1000/100[0] feet[0] below[0] the[0] surface[0] of[0] the[0] pacific[0] ocean[0] norman[0] is[0] called[0] in[0] to[0] be[0] part[0] of[0] the[0] welcoming[1] committee[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the team with him are beth halperin ( sharon stone ) , a biochemist who was once his student and lover ; harry adams ( samuel l . jackson ) , a mathematician who earned his first doctorate at the age of 18 ; ted fielding ( liev schreiber ) , an astrophysicist who is awed by the opportunity to explore alien technology ; and harold barnes ( peter coyote ) , the government operative in charge of the mission . 	on the team with him are beth halperin ( sharon stone ) , a biochemist who was once his student and lover ; harry adams ( samuel l .<br> jackson ) , a mathematician who earned his first doctorate at the age of 18 ; ted fielding ( liev schreiber ) , an astrophysicist who is awed by the opportunity to explore alien technology ; and harold barnes ( peter coyote ) , the government operative in charge of the mission .	4	-2	 on[0] the[0] team[0] with[0] him[0] are[0] beth[0] halperin[0] sharon[0] stone[0] a[0] biochemist[0] who[0] was[0] once[0] his[0] student[0] and[0] lover[3] harry[0] adams[0] samuel[0] l[0] [[Sentence=-1,4=word max, 1-5]] jackson[0] a[0] mathematician[0] who[0] earned[0] his[0] first[0] doctorate[0] at[0] the[0] age[0] of[0] 18[0] ted[0] fielding[0] liev[0] schreiber[0] an[0] astrophysicist[0] who[0] is[0] awed[0] by[0] the[0] opportunity[0] to[0] explore[0] alien[-1] technology[0] and[0] harold[0] barnes[0] peter[0] coyote[0] the[0] government[0] operative[0] in[0] charge[-1] of[0] the[0] mission[0] [[Sentence=-2,1=word max, 1-5]][[[4,-2 max of sentences]]]
together , the five descend into the bowels of the ocean , where they rendezvous with a temporary sea base on the ocean floor from which they will attempt to make first contact . 	together , the five descend into the bowels of the ocean , where they rendezvous with a temporary sea base on the ocean floor from which they will attempt to make first contact .	1	-1	 together[0] the[0] five[0] descend[0] into[0] the[0] bowels[0] of[0] the[0] ocean[0] where[0] they[0] rendezvous[0] with[0] a[0] temporary[0] sea[0] base[0] on[0] the[0] ocean[0] floor[0] from[0] which[0] they[0] will[0] attempt[0] to[0] make[0] first[0] contact[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for a while , sphere had me fooled into thinking it was going to take an astute approach to the man-meets-alien situation . 	for a while , sphere had me fooled into thinking it was going to take an astute approach to the man-meets-alien situation .	1	-2	 for[0] a[0] while[0] sphere[0] had[0] me[0] fooled[-1] into[0] thinking[0] it[0] was[0] going[0] to[0] take[0] an[0] astute[0] approach[0] to[0] the[0] man[0] meets[0] alien[-1] situation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the overall scenario is not without promise and several plot twists ( such as the revelation that the enormous craft is actually an american space ship , apparently from the future ) offer intriguing possibilities . 	the overall scenario is not without promise and several plot twists ( such as the revelation that the enormous craft is actually an american space ship , apparently from the future ) offer intriguing possibilities .	1	-2	 the[0] overall[0] scenario[0] is[0] not[0] without[0] promise[1][NegatedDueToPreviousWord] and[0] several[0] plot[0] twists[0] such[0] as[0] the[0] revelation[0] that[0] the[0] enormous[0] craft[0] is[0] actually[0] an[0] american[0] space[0] ship[0] apparently[0] from[0] the[0] future[0] offer[0] intriguing[0] possibilities[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then , right around the one-hour mark ( that's the time to sneak into the theater next door and check out whatever's left of titanic ) , the virtually non-stop action begins , and , once it starts , the script becomes superfluous . 	then , right around the one-hour mark ( that's the time to sneak into the theater next door and check out whatever's left of titanic ) , the virtually non-stop action begins , and , once it starts , the script becomes superfluous .	1	-2	 then[0] right[0] around[0] the[0] one[0] hour[0] mark[0] that's[0] the[0] time[0] to[0] sneak[-1] into[0] the[0] theater[0] next[0] door[0] and[0] check[0] out[0] whatever's[0] left[0] of[0] titanic[0] the[0] virtually[0] non[0] stop[0] action[0] begins[0] and[0] once[0] it[0] starts[0] the[0] script[0] becomes[0] superfluous[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this might be acceptable if director levinson generated some legitimate tension , but , instead , he relies on loud , overbearing music , strange camera angles , and quick cuts to make things " exciting . " 	this might be acceptable if director levinson generated some legitimate tension , but , instead , he relies on loud , overbearing music , strange camera angles , and quick cuts to make things " exciting .<br> "	3	-3	 this[0] might[0] be[0] acceptable[0] if[0] director[0] levinson[0] generated[0] some[0] legitimate[0] tension[-2] but[0] instead[0] he[0] relies[0] on[0] loud[0] overbearing[-1] music[0] strange[0] camera[0] angles[0] and[0] quick[0] cuts[0] to[0] make[0] things[0] exciting[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
additionally , because none of the characters are well-formed ( a common failing in anything penned by crichton , who's more interested in technology than people ) , viewers don't develop much of a rooting interest . 	additionally , because none of the characters are well-formed ( a common failing in anything penned by crichton , who's more interested in technology than people ) , viewers don't develop much of a rooting interest .	2	-3	 additionally[0] because[0] none[0] of[0] the[0] characters[0] are[0] well[0] formed[0] a[0] common[0] failing[-2] in[0] anything[0] penned[0] by[0] crichton[0] who's[0] more[0] interested[1] in[0] technology[0] than[0] people[0] viewers[0] don't[0] develop[0] much[0] of[0] a[0] rooting[0] interest[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it makes sitting through sphere a frustrating and pointless experience . 	it makes sitting through sphere a frustrating and pointless experience .	1	-3	 it[0] makes[0] sitting[0] through[0] sphere[0] a[0] frustrating[-2] and[0] pointless[-1] experience[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what about that a-list cast ? 	what about that a-list cast ?	1	-1	 what[0] about[0] that[0] a[0] list[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not surprisingly , the most energetic performance is given by samuel l . jackson , but his harry isn't a person ; he's a walking plot device spouting occasionally-witty dialogue . 	not surprisingly , the most energetic performance is given by samuel l .<br> jackson , but his harry isn't a person ; he's a walking plot device spouting occasionally-witty dialogue .	1	-1	 not[0] surprisingly[0] the[0] most[0] energetic[0] performance[0] is[0] given[0] by[0] samuel[0] l[0] [[Sentence=-1,1=word max, 1-5]] jackson[0] but[0] his[0] harry[0] isn't[0] a[0] person[0] he's[0] a[0] walking[0] plot[0] device[0] spouting[0] occasionally[0] witty[0] dialogue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dustin hoffman isn't lively or particularly good -- it's ironic that this , which may be his worst work in a decade , has arrived in theaters on the heels of his best actor nomination ( for wag the dog ) . 	dustin hoffman isn't lively or particularly good - it's ironic that this , which may be his worst work in a decade , has arrived in theaters on the heels of his best actor nomination ( for wag the dog ) .	2	-3	 dustin[0] hoffman[0] isn't[0] lively[1][NegatedDueToPreviousWord] or[0] particularly[0] good[1] it's[0] ironic[-1] that[0] this[0] which[0] may[0] be[0] his[0] worst[-2] work[0] in[0] a[0] decade[0] has[0] arrived[0] in[0] theaters[0] on[0] the[0] heels[0] of[0] his[0] best[1] actor[0] nomination[0] for[0] wag[0] the[0] dog[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sharon stone and peter coyote are both flat . 	sharon stone and peter coyote are both flat .	1	-1	 sharon[0] stone[0] and[0] peter[0] coyote[0] are[0] both[0] flat[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
their characters exhibit little evidence of emotion ; automatons would have been as effective . 	their characters exhibit little evidence of emotion ; automatons would have been as effective .	1	-1	 their[0] characters[0] exhibit[0] little[0] evidence[0] of[0] emotion[0] automatons[0] would[0] have[0] been[0] as[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's queen latifa , who , despite getting fifth billing in the credits ( ahead of liev schreiber , who boasts at least quadruple her screen time ) , has less than a handful of lines and almost nothing to do other than inflate the body count . 	then there's queen latifa , who , despite getting fifth billing in the credits ( ahead of liev schreiber , who boasts at least quadruple her screen time ) , has less than a handful of lines and almost nothing to do other than inflate the body count .	1	-2	 then[0] there's[0] queen[0] latifa[0] who[0] despite[0] getting[0] fifth[0] billing[0] in[0] the[0] credits[0] ahead[0] of[0] liev[0] schreiber[0] who[0] boasts[-1] at[0] least[0] quadruple[0] her[0] screen[0] time[0] has[0] less[0] than[0] a[0] handful[0] of[0] lines[0] and[0] almost[0] nothing[0] to[0] do[0] other[0] than[0] inflate[0] the[0] body[0] count[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i like to think that levinson and hoffman , recognizing how uninspired this movie was likely to be , chose to make wag the dog as a sort of penance ( the low-budget picture was filmed during sphere's lengthy pre-production phase ) . 	i like to think that levinson and hoffman , recognizing how uninspired this movie was likely to be , chose to make wag the dog as a sort of penance ( the low-budget picture was filmed during sphere's lengthy pre-production phase ) .	2	-2	 i[0] like[1] to[0] think[0] that[0] levinson[0] and[0] hoffman[0] recognizing[0] how[0] uninspired[0] this[0] movie[0] was[0] likely[0] to[0] be[0] chose[0] to[0] make[0] wag[0] the[0] dog[0] as[0] a[0] sort[0] of[0] penance[0] the[0] low[-1] budget[0] picture[0] was[0] filmed[0] during[0] sphere's[0] lengthy[0] pre[0] production[0] phase[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if that's the case , forgiveness is granted . 	if that's the case , forgiveness is granted .	2	-1	 if[0] that's[0] the[0] case[0] forgiveness[1] is[0] granted[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm less inclined to look favorably upon crichton , although he has a few enjoyable titles on his resume ( jurassic park and the levinson-directed disclosure come to mind ) . 	i'm less inclined to look favorably upon crichton , although he has a few enjoyable titles on his resume ( jurassic park and the levinson-directed disclosure come to mind ) .	3	-1	 i'm[0] less[0] inclined[0] to[0] look[0] favorably[1] upon[0] crichton[0] although[0] he[0] has[0] a[0] few[0] enjoyable[2] titles[0] on[0] his[0] resume[0] jurassic[0] park[0] and[0] the[0] levinson[0] directed[0] disclosure[0] come[0] to[0] mind[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
even if his novel was butchered in the adaptation process , crichton's credit as a producer disallows him absolution . 	even if his novel was butchered in the adaptation process , crichton's credit as a producer disallows him absolution .	1	-1	 even[0] if[0] his[0] novel[0] was[0] butchered[0] in[0] the[0] adaptation[0] process[0] crichton's[0] credit[0] as[0] a[0] producer[0] disallows[0] him[0] absolution[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he was a willing participant in a creative travesty . 	he was a willing participant in a creative travesty .	1	-1	 he[0] was[0] a[0] willing[0] participant[0] in[0] a[0] creative[0] travesty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no wonder sphere is being released in february , in the midst of the early year's cinematic wasteland . 	no wonder sphere is being released in february , in the midst of the early year's cinematic wasteland .	1	-2	 no[0] wonder[0] sphere[0] is[0] being[0] released[0] in[0] february[0] in[0] the[0] midst[0] of[0] the[0] early[0] year's[0] cinematic[0] wasteland[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it deserves no better than to get sunk by the unstoppable titanic , which should plow sphere under on its way to a ninth-consecutive weekend atop the box office heap . 	it deserves no better than to get sunk by the unstoppable titanic , which should plow sphere under on its way to a ninth-consecutive weekend atop the box office heap .	1	-1	 it[0] deserves[0] no[0] better[0] than[0] to[0] get[0] sunk[0] by[0] the[0] unstoppable[0] titanic[0] which[0] should[0] plow[0] sphere[0] under[0] on[0] its[0] way[0] to[0] a[0] ninth[0] consecutive[0] weekend[0] atop[0] the[0] box[0] office[0] heap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
