the crown jewel of 1970's irwin allen disaster movies , the poseidon adventure features an all-star cast including gene hackman and ernest borgnine spouting some of the most laughable dramatic dialogue in movie history while trapped on a cruise ship . 	Translation	Positive	Negative	EmotionRationale
or is the bottom the top ? 	or is the bottom the top ?	1	-1	 or[0] is[0] the[0] bottom[0] the[0] top[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either way , we get to see a lot of bottoms because the two beautiful women in the crew are both conveniently wearing hot pants during the scenes where the camera shoots upwards while they climb up ladders and -- in the ballroom scene -- christmas trees . 	either way , we get to see a lot of bottoms because the two beautiful women in the crew are both conveniently wearing hot pants during the scenes where the camera shoots upwards while they climb up ladders and - in the ballroom scene - christmas trees .	3	-2	 either[0] way[0] we[0] get[0] to[0] see[0] a[0] lot[0] of[0] bottoms[0] because[0] the[0] two[0] beautiful[2] women[0] in[0] the[0] crew[0] are[0] both[0] conveniently[0] wearing[0] hot[0] pants[0] during[0] the[0] scenes[0] where[0] the[0] camera[0] shoots[-1] upwards[0] while[0] they[0] climb[0] up[0] ladders[0] and[0] in[0] the[0] ballroom[0] scene[0] christmas[0] trees[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
thus begins an hour or more of hushed trips down long corridors , through burning rooms , etc . while the ship slowly fills with water behind them . 	thus begins an hour or more of hushed trips down long corridors , through burning rooms , etc .<br> while the ship slowly fills with water behind them .	1	-2	 thus[0] begins[0] an[0] hour[0] or[0] more[0] of[0] hushed[0] trips[0] down[0] long[0] corridors[0] through[0] burning[-1] rooms[0] etc[0] [[Sentence=-2,1=word max, 1-5]] while[0] the[0] ship[0] slowly[0] fills[0] with[0] water[0] behind[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's a race against the clock which is only mildly interesting . 	it's a race against the clock which is only mildly interesting .	2	-2	 it's[0] a[0] race[0] against[-1] the[0] clock[0] which[0] is[0] only[0] mildly[0] interesting[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the poseidon adventure works more as a bad movie to laugh at , with all the melodrama that comes in-between the non-thrilling action scenes . 	the poseidon adventure works more as a bad movie to laugh at , with all the melodrama that comes in-between the non-thrilling action scenes .	4	-2	 the[0] poseidon[0] adventure[0] works[0] more[0] as[0] a[0] bad[-1] movie[0] to[0] laugh[1] at[0] with[0] all[0] the[0] melodrama[0] that[0] comes[0] in[0] between[0] the[0] non[0] thrilling[3] action[0] scenes[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the one note in borgnine's one-note performance is to be a cranky old man that argues with hackman every step of the way while buttons and the hippie fall in love ( although since there isn't a sex scene , we never find out if his buttons really are red ) and albertson and winters wonder if they'll live to see their grandson's birth . 	the one note in borgnine's one-note performance is to be a cranky old man that argues with hackman every step of the way while buttons and the hippie fall in love ( although since there isn't a sex scene , we never find out if his buttons really are red ) and albertson and winters wonder if they'll live to see their grandson's birth .	3	-2	 the[0] one[0] note[0] in[0] borgnine's[0] one[0] note[0] performance[0] is[0] to[0] be[0] a[0] cranky[-1] old[0] man[0] that[0] argues[-1] with[0] hackman[0] every[0] step[0] of[0] the[0] way[0] while[0] buttons[0] and[0] the[0] hippie[0] fall[0] in[0] love[2] although[0] since[0] there[0] isn't[0] a[0] sex[0] scene[0] we[0] never[0] find[0] out[0] if[0] his[0] buttons[0] really[0] are[0] red[0] and[0] albertson[0] and[0] winters[0] wonder[0] if[0] they'll[0] live[0] to[0] see[0] their[0] grandson's[0] birth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
shelley winters provides the most hilarious scene in the movie in a scene toward the end , where water has flooded the next two rooms of the ship and hackman is preparing to dive under with a rope for the rest of them to pull along . 	shelley winters provides the most hilarious scene in the movie in a scene toward the end , where water has flooded the next two rooms of the ship and hackman is preparing to dive under with a rope for the rest of them to pull along .	3	-1	 shelley[0] winters[0] provides[0] the[0] most[0] hilarious[2] scene[0] in[0] the[0] movie[0] in[0] a[0] scene[0] toward[0] the[0] end[0] where[0] water[0] has[0] flooded[0] the[0] next[0] two[0] rooms[0] of[0] the[0] ship[0] and[0] hackman[0] is[0] preparing[0] to[0] dive[0] under[0] with[0] a[0] rope[0] for[0] the[0] rest[0] of[0] them[0] to[0] pull[0] along[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
winters , who has been the whiny fat woman throughout the movie ( stevens even not-so- affectionately calls her " fatass " in one scene ) , finally finds her purpose . 	winters , who has been the whiny fat woman throughout the movie ( stevens even not-so- affectionately calls her " fatass " in one scene ) , finally finds her purpose .	1	-3	 winters[0] who[0] has[0] been[0] the[0] whiny[0] fat[-1] woman[0] throughout[0] the[0] movie[0] stevens[0] even[0] not[0] so[0] affectionately[2][NegatedDueToPreviousWord] calls[0] her[0] fatass[0] in[0] one[0] scene[0] finally[0] finds[0] her[0] purpose[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " i was the underwater swimming champ of new york three years running when i was seventeen , " she brags , and before hackman can even ask her how she could be seventeen for three years , she's swimming through the water , her skirt billowing up around her hips , showing off her cellulite ( or do you call it shellulite ? ) 	 " i was the underwater swimming champ of new york three years running when i was seventeen , " she brags , and before hackman can even ask her how she could be seventeen for three years , she's swimming through the water , her skirt billowing up around her hips , showing off her cellulite ( or do you call it shellulite ?<br> )	1	-2	 i[0] was[0] the[0] underwater[0] swimming[0] champ[0] of[0] new[0] york[0] three[0] years[0] running[0] when[0] i[0] was[0] seventeen[0] she[0] brags[-1] and[0] before[0] hackman[0] can[0] even[0] ask[0] her[0] how[0] she[0] could[0] be[0] seventeen[0] for[0] three[0] years[0] she's[0] swimming[0] through[0] the[0] water[0] her[0] skirt[0] billowing[0] up[0] around[0] her[0] hips[0] showing[0] off[0] her[0] cellulite[0] or[0] do[0] you[0] call[0] it[0] shellulite[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
ridden thighs . 	ridden thighs .	1	-1	 ridden[0] thighs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not so much funny as innately disgusting , which pretty much sums up the poseidon adventure as a whole . 	it's not so much funny as innately disgusting , which pretty much sums up the poseidon adventure as a whole .	3	-4	 it's[0] not[0] so[0] much[0] funny[1] as[0] innately[0] disgusting[-3] which[0] pretty[2] much[0] sums[0] up[0] the[0] poseidon[0] adventure[0] as[0] a[0] whole[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
