sometimes a stellar cast can compensate for a lot of things , and " pushing tin " certainly features some name stars who are going places : billy bob thornton , cate blanchett , angelina jolie , and oh yes john cusack who might not realize it at first , but he's actually the * veteran * among this quartet of fine-looking people . 	Translation	Positive	Negative	EmotionRationale
it doesn't stop with seeing who can juggle three 747s within a cat's whisker of each other . 	it doesn't stop with seeing who can juggle three 747s within a cat's whisker of each other .	1	-1	 it[0] doesn't[0] stop[0] with[0] seeing[0] who[0] can[0] juggle[0] three[0] 747s[0] within[0] a[0] cat's[0] whisker[0] of[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh no . 	oh no .	1	-1	 oh[0] no[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some broken hoop dreams , some wanna-see-how-fast-i-can-drives , and then the ultimate showdown : was that my wife i saw you with last night ? 	there are some broken hoop dreams , some wanna-see-how-fast-i-can-drives , and then the ultimate showdown : was that my wife i saw you with last night ?	1	-1	 there[0] are[0] some[0] broken[-1][--1 LastWordBoosterStrength] hoop[0] dreams[0] some[0] wanna[0] see[0] how[0] fast[0] i[0] can[0] drives[0] and[0] then[0] the[0] ultimate[0] showdown[0] was[0] that[0] my[0] wife[0] i[0] saw[0] you[0] with[0] last[0] night[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director mike newell ( " four weddings and a funeral " ) must have read a different draft of this script because the one that's being acted out up there between newark , jfk , and la guardia doesn't have an ounce of subtlety , and newell has made some awfully good-and funny-movies before . 	director mike newell ( " four weddings and a funeral " ) must have read a different draft of this script because the one that's being acted out up there between newark , jfk , and la guardia doesn't have an ounce of subtlety , and newell has made some awfully good-and funny-movies before .	2	-3	 director[0] mike[0] newell[0] four[0] weddings[0] and[0] a[0] funeral[0] must[0] have[0] read[0] a[0] different[0] draft[0] of[0] this[0] script[0] because[0] the[0] one[0] that's[0] being[0] acted[0] out[0] up[0] there[0] between[0] newark[0] jfk[0] and[0] la[0] guardia[0] doesn't[0] have[0] an[0] ounce[0] of[0] subtlety[0] and[0] newell[0] has[0] made[0] some[0] awfully[-3][--1 LastWordBoosterStrength] good[1] and[0] funny[1] movies[0] before[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the antics of these air traffic controllers will make you cringe . 	the antics of these air traffic controllers will make you cringe .	1	-2	 the[0] antics[0] of[0] these[0] air[0] traffic[0] controllers[0] will[0] make[0] you[0] cringe[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they'll make you frown in disbelief . 	they'll make you frown in disbelief .	1	-2	 they'll[0] make[0] you[0] frown[-1] in[0] disbelief[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they'll have you constantly looking at your watch . 	they'll have you constantly looking at your watch .	1	-1	 they'll[0] have[0] you[0] constantly[0] looking[0] at[0] your[0] watch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but wait ! 	but wait !	1	-1	 but[0] wait[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's still 100 minutes to go ! ! 	there's still 100 minutes to go !<br> !	1	-1	 there's[0] still[0] 100[0] minutes[0] to[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's only saving grace is blanchett , whose connie falzone is a spunky , brash , long island housewife who wants to better herself by taking art classes . 	the film's only saving grace is blanchett , whose connie falzone is a spunky , brash , long island housewife who wants to better herself by taking art classes .	3	-1	 the[0] film's[0] only[0] saving[0] grace[2] is[0] blanchett[0] whose[0] connie[0] falzone[0] is[0] a[0] spunky[0] brash[0] long[0] island[0] housewife[0] who[0] wants[0] to[0] better[0] herself[0] by[0] taking[0] art[0] classes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this is a wonderful accomplishment for the fine actress who has previously played a red-headed australian gambler ( " oscar and lucinda " ) and a tempestuous british monarch ( " elizabeth " ) . 	this is a wonderful accomplishment for the fine actress who has previously played a red-headed australian gambler ( " oscar and lucinda " ) and a tempestuous british monarch ( " elizabeth " ) .	3	-2	 this[0] is[0] a[0] wonderful[2] accomplishment[1] for[0] the[0] fine[2] actress[0] who[0] has[0] previously[0] played[0] a[0] red[0] headed[0] australian[0] gambler[-1] oscar[0] and[0] lucinda[0] and[0] a[0] tempestuous[0] british[0] monarch[0] elizabeth[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but she's not enough to save the picture . 	but she's not enough to save the picture .	2	-1	 but[0] she's[0] not[0] enough[0] to[0] save[1] the[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
thornton looks terrific and performs solidly but his character is a joke . 	thornton looks terrific and performs solidly but his character is a joke .	4	-1	 thornton[0] looks[0] terrific[3] and[0] performs[0] solidly[0] but[0] his[0] character[0] is[0] a[0] joke[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
jolie ( as russell's knock 'em dead wife ) isn't bad , but the up-and-coming actress disappoints by allowing herself to be displayed like a plaything . 	jolie ( as russell's knock 'em dead wife ) isn't bad , but the up-and-coming actress disappoints by allowing herself to be displayed like a plaything .	2	-3	 jolie[0] as[0] russell's[0] knock[0] 'em[0] dead[-2] wife[0] isn't[0] bad[-1][NegatedDueToPreviousWord] but[0] the[0] up[0] and[0] coming[0] actress[0] disappoints[-1] by[0] allowing[0] herself[0] to[0] be[0] displayed[0] like[1] a[0] plaything[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
cusack cracks gum , dons shades , and acts hip throughout but , like everything else in the film , his performance is forced . 	cusack cracks gum , dons shades , and acts hip throughout but , like everything else in the film , his performance is forced .	2	-1	 cusack[0] cracks[0] gum[0] dons[0] shades[0] and[0] acts[0] hip[0] throughout[0] but[0] like[1] everything[0] else[0] in[0] the[0] film[0] his[0] performance[0] is[0] forced[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the last ten minutes or so , for some inexplicable reason , things start coming together and you begin to get a sense of how this film might have been , like the trailer teases . 	in the last ten minutes or so , for some inexplicable reason , things start coming together and you begin to get a sense of how this film might have been , like the trailer teases .	2	-2	 in[0] the[0] last[0] ten[0] minutes[0] or[0] so[0] for[0] some[0] inexplicable[-1][--1 LastWordBoosterStrength] reason[0] things[0] start[0] coming[0] together[0] and[0] you[0] begin[0] to[0] get[0] a[0] sense[0] of[0] how[0] this[0] film[0] might[0] have[0] been[0] like[1] the[0] trailer[0] teases[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but it's too little too late . 	but it's too little too late .	1	-1	 but[0] it's[0] too[0] little[0] too[0] late[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a fine cast aside , " pushing tin " is nothing more than an embarrassment . 	a fine cast aside , " pushing tin " is nothing more than an embarrassment .	3	-3	 a[0] fine[2] cast[0] aside[0] pushing[0] tin[0] is[0] nothing[0] more[0] than[0] an[0] embarrassment[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
