spoiled rich kid kelley morse ( chris klein ) receives a new mercedes for a graduation present . 	Translation	Positive	Negative	EmotionRationale
kelley runs off and decides to leave town . 	kelley runs off and decides to leave town .	1	-1	 kelley[0] runs[0] off[0] and[0] decides[0] to[0] leave[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sam catches up to him at the bus station and he asks her to come to boston with him . 	sam catches up to him at the bus station and he asks her to come to boston with him .	1	-1	 sam[0] catches[0] up[0] to[0] him[0] at[0] the[0] bus[0] station[0] and[0] he[0] asks[0] her[0] to[0] come[0] to[0] boston[0] with[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jasper shows up and tearfully confesses to sam just how much he loves her , and sam , without even breaking stride basically says " see ya ! " 	jasper shows up and tearfully confesses to sam just how much he loves her , and sam , without even breaking stride basically says " see ya !<br> "	3	-2	 jasper[0] shows[0] up[0] and[0] tearfully[0] confesses[-1] to[0] sam[0] just[0] how[0] much[0] he[0] loves[2] her[0] and[0] sam[0] without[0] even[0] breaking[0] stride[0] basically[0] says[0] see[0] ya[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and takes off to boston with kelley . 	and takes off to boston with kelley .	1	-1	 and[0] takes[0] off[0] to[0] boston[0] with[0] kelley[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here on earth goes in so many wrong directions from the start that by the time its fairly decent ending comes around , its completely worthless . 	here on earth goes in so many wrong directions from the start that by the time its fairly decent ending comes around , its completely worthless .	1	-4	 here[0] on[0] earth[0] goes[0] in[0] so[0] many[0] wrong[-1] directions[0] from[0] the[0] start[0] that[0] by[0] the[0] time[0] its[0] fairly[0] decent[0] ending[0] comes[0] around[0] its[0] completely[0] worthless[-2][-1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
chris klein and leelee sobieski are two of my current favorite young performers , and it's because of their presence that i watched this film in the first place . 	chris klein and leelee sobieski are two of my current favorite young performers , and it's because of their presence that i watched this film in the first place .	2	-1	 chris[0] klein[0] and[0] leelee[0] sobieski[0] are[0] two[0] of[0] my[0] current[0] favorite[1] young[0] performers[0] and[0] it's[0] because[0] of[0] their[0] presence[0] that[0] i[0] watched[0] this[0] film[0] in[0] the[0] first[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , not long into the proceedings i wanted to just reach into the film and strangle them both . 	however , not long into the proceedings i wanted to just reach into the film and strangle them both .	1	-3	 however[0] not[0] long[0] into[0] the[0] proceedings[0] i[0] wanted[0] to[0] just[0] reach[0] into[0] the[0] film[0] and[0] strangle[-2] them[0] both[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i shouldn't have such feelings towards people i like , but their characters are so infuriating that . . . 	i shouldn't have such feelings towards people i like , but their characters are so infuriating that .<br> .<br> .	2	-1	 i[0] shouldn't[0] have[0] such[0] feelings[0] towards[0] people[0] i[0] like[1] but[0] their[0] characters[0] are[0] so[0] infuriating[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well trust me , you'll feel the same way . 	well trust me , you'll feel the same way .	2	-1	 well[0] trust[1] me[0] you'll[0] feel[0] the[0] same[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even though both of the lead male characters are usually in the wrong , kelley is hands down the more unlikable of the two , simply because his jerkish actions are calculated . 	even though both of the lead male characters are usually in the wrong , kelley is hands down the more unlikable of the two , simply because his jerkish actions are calculated .	1	-2	 even[0] though[0] both[0] of[0] the[0] lead[0] male[0] characters[0] are[0] usually[0] in[0] the[0] wrong[-1] kelley[0] is[0] hands[0] down[0] the[0] more[0] unlikable[0] of[0] the[0] two[0] simply[0] because[0] his[0] jerkish[0] actions[0] are[0] calculated[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he intends to be a jackass each and every time he does it . 	he intends to be a jackass each and every time he does it .	1	-2	 he[0] intends[0] to[0] be[0] a[0] jackass[-1] each[0] and[0] every[0] time[0] he[0] does[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jasper on the other hand , only reacts to kelley's provocations , and afterwards comes across as being truly sorry for his impulsive actions . 	jasper on the other hand , only reacts to kelley's provocations , and afterwards comes across as being truly sorry for his impulsive actions .	2	-2	 jasper[0] on[0] the[0] other[0] hand[0] only[0] reacts[0] to[0] kelley's[0] provocations[-1] and[0] afterwards[0] comes[0] across[0] as[0] being[0] truly[1] sorry[-1] for[0] his[0] impulsive[-1] actions[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but , as in life , nice guys finish last . 	but , as in life , nice guys finish last .	2	-1	 but[0] as[0] in[0] life[0] nice[1] guys[0] finish[0] last[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for the entire film we watch sam fall in love with the guy no one likes while the film's only sympathetic character gets completely crushed . 	for the entire film we watch sam fall in love with the guy no one likes while the film's only sympathetic character gets completely crushed .	3	-1	 for[0] the[0] entire[0] film[0] we[0] watch[0] sam[0] fall[0] in[0] love[2] with[0] the[0] guy[0] no[0] one[0] likes[2] while[0] the[0] film's[0] only[0] sympathetic[0] character[0] gets[0] completely[0] crushed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then , a cancer subplot comes into play ( where things get even more infuriating , if you can imagine that ) . 	then , a cancer subplot comes into play ( where things get even more infuriating , if you can imagine that ) .	1	-4	 then[0] a[0] cancer[-3] subplot[0] comes[0] into[0] play[0] where[0] things[0] get[0] even[0] more[0] infuriating[0] if[0] you[0] can[0] imagine[0] that[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
what , things weren't depressing enough for you mr . screenwriter ? 	what , things weren't depressing enough for you mr .<br> screenwriter ?	1	-4	 what[0] things[0] weren't[0] depressing[-3] enough[0] for[0] you[0] mr[0] [[Sentence=-4,1=word max, 1-5]] screenwriter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-4 max of sentences]]]
who greenlit this project ? 	who greenlit this project ?	1	-1	 who[0] greenlit[0] this[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who " on earth " thought this would entertain anyone ? 	who " on earth " thought this would entertain anyone ?	1	-1	 who[0] on[0] earth[0] thought[0] this[0] would[0] entertain[0] anyone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps if the film had been structured where kelley perhaps felt some remorse after he caused the destruction of property and nearly killed dozens of people . 	perhaps if the film had been structured where kelley perhaps felt some remorse after he caused the destruction of property and nearly killed dozens of people .	1	-4	 perhaps[0] if[0] the[0] film[0] had[0] been[0] structured[0] where[0] kelley[0] perhaps[0] felt[0] some[0] remorse[-2][--1 LastWordBoosterStrength] after[0] he[0] caused[0] the[0] destruction[-1] of[0] property[0] and[0] nearly[0] killed[-3] dozens[0] of[0] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but even after he's destroyed these people's lives he continues to be a snob to them , and ruins one more for good measure . 	but even after he's destroyed these people's lives he continues to be a snob to them , and ruins one more for good measure .	2	-3	 but[0] even[0] after[0] he's[0] destroyed[-2] these[0] people's[0] lives[0] he[0] continues[0] to[0] be[0] a[0] snob[-2] to[0] them[0] and[0] ruins[0] one[0] more[0] for[0] good[1] measure[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
here on earth is available on dvd from fox home entertainment . 	here on earth is available on dvd from fox home entertainment .	1	-1	 here[0] on[0] earth[0] is[0] available[0] on[0] dvd[0] from[0] fox[0] home[0] entertainment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it contains the film in its original theatrical aspect ratio of 1 . 85 : 1 and is enhanced for 16x9 televisions . 	it contains the film in its original theatrical aspect ratio of 1 .<br> 85 : 1 and is enhanced for 16x9 televisions .	1	-1	 it[0] contains[0] the[0] film[0] in[0] its[0] original[0] theatrical[0] aspect[0] ratio[0] of[0] 1[0] [[Sentence=-1,1=word max, 1-5]] 85[0] 1[0] and[0] is[0] enhanced[0] for[0] 16x9[0] televisions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
extras include jessica simpson's music video for " where you are " , a commercial for the film's soundtrack ( which by the way is the only good thing about the film ) , the original theatrical trailer and five tv spots , trailers for other fox releases ( anna and the king , anywhere but here , the beach , drive me crazy , ever after , romeo   juliet , simply irresistible ) , as well as that new fox promo touting their upcoming dvd releases that i really enjoy . 	extras include jessica simpson's music video for " where you are " , a commercial for the film's soundtrack ( which by the way is the only good thing about the film ) , the original theatrical trailer and five tv spots , trailers for other fox releases ( anna and the king , anywhere but here , the beach , drive me crazy , ever after , romeo   juliet , simply irresistible ) , as well as that new fox promo touting their upcoming dvd releases that i really enjoy .	4	-2	 extras[0] include[0] jessica[0] simpson's[0] music[0] video[0] for[0] where[0] you[0] are[0] a[0] commercial[0] for[0] the[0] film's[0] soundtrack[0] which[0] by[0] the[0] way[0] is[0] the[0] only[0] good[1] thing[0] about[0] the[0] film[0] the[0] original[0] theatrical[0] trailer[0] and[0] five[0] tv[0] spots[0] trailers[0] for[0] other[0] fox[0] releases[0] anna[0] and[0] the[0] king[0] anywhere[0] but[0] here[0] the[0] beach[0] drive[0] me[0] crazy[-1] ever[0] after[0] romeo[0] juliet[0] simply[0] irresistible[0] as[0] well[0] as[0] that[0] new[0] fox[0] promo[0] touting[0] their[0] upcoming[0] dvd[0] releases[0] that[0] i[0] really[0] enjoy[2][1 LastWordBoosterStrength] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the picture and sound quality on the disc are fine . . . 	the picture and sound quality on the disc are fine .<br> .<br> .	3	-1	 the[0] picture[0] and[0] sound[0] quality[0] on[0] the[0] disc[0] are[0] fine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nothing that will challenge anyone's audio/video systems of course . 	nothing that will challenge anyone's audio/video systems of course .	1	-2	 nothing[0] that[0] will[0] challenge[-1] anyone's[0] audio/video[0] systems[0] of[0] course[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fans of this movie ( if any exist ) should enjoy the dvd release . 	fans of this movie ( if any exist ) should enjoy the dvd release .	2	-1	 fans[0] of[0] this[0] movie[0] if[0] any[0] exist[0] should[0] enjoy[2][-1 LastWordBoosterStrength] the[0] dvd[0] release[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here on earth is not entertaining nor is it compelling . 	here on earth is not entertaining nor is it compelling .	1	-1	 here[0] on[0] earth[0] is[0] not[0] entertaining[0] nor[0] is[0] it[0] compelling[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no joy or entertainment value can be derived from any of the events of the film . 	no joy or entertainment value can be derived from any of the events of the film .	3	-1	 no[0] joy[2] or[0] entertainment[0] value[1] can[0] be[0] derived[0] from[0] any[0] of[0] the[0] events[0] of[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is merely a waste of time , money and talent . 	it is merely a waste of time , money and talent .	2	-2	 it[0] is[0] merely[0] a[0] waste[-1] of[0] time[0] money[0] and[0] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
