some movies require you to turn off your brain in order to watch . 	Translation	Positive	Negative	EmotionRationale
contrivances and sloppy plotting fly off the screen so fast and furiously you have to duck to avoid being hit by them . 	contrivances and sloppy plotting fly off the screen so fast and furiously you have to duck to avoid being hit by them .	1	-4	 contrivances[0] and[0] sloppy[-1] plotting[0] fly[0] off[0] the[0] screen[0] so[0] fast[0] and[0] furiously[-3] you[0] have[0] to[0] duck[0] to[0] avoid[-1] being[0] hit[0] by[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
leading the list is the jack schmidt character , who through unexplained but presumably foul mains is already extremely wealthy when our story begins . 	leading the list is the jack schmidt character , who through unexplained but presumably foul mains is already extremely wealthy when our story begins .	1	-1	 leading[0] the[0] list[0] is[0] the[0] jack[0] schmidt[0] character[0] who[0] through[0] unexplained[0] but[0] presumably[0] foul[0] mains[0] is[0] already[0] extremely[0] wealthy[0] when[0] our[0] story[0] begins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no reason given why he should need or want to get involved in another crime , let alone why he would actually participate in the break-in . 	there is no reason given why he should need or want to get involved in another crime , let alone why he would actually participate in the break-in .	1	-2	 there[0] is[0] no[0] reason[0] given[0] why[0] he[0] should[0] need[0] or[0] want[0] to[0] get[0] involved[0] in[0] another[0] crime[-1] let[0] alone[0] why[0] he[0] would[0] actually[0] participate[0] in[0] the[0] break[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
karen's initial encounter with j . t . during a botched convenience store hold-up also strains the limits of credibility . 	karen's initial encounter with j .<br> t .<br> during a botched convenience store hold-up also strains the limits of credibility .	1	-2	 karen's[0] initial[0] encounter[0] with[0] j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] during[0] a[0] botched[0] convenience[0] store[0] hold[0] up[0] also[0] strains[-1] the[0] limits[0] of[0] credibility[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would have been simple enough to have them somehow entangled at that point , but instead they run into each other the next day because they're leaving their parole officers at exactly the same moment . 	it would have been simple enough to have them somehow entangled at that point , but instead they run into each other the next day because they're leaving their parole officers at exactly the same moment .	1	-2	 it[0] would[0] have[0] been[0] simple[0] enough[0] to[0] have[0] them[0] somehow[0] entangled[-1] at[0] that[0] point[0] but[0] instead[0] they[0] run[0] into[0] each[0] other[0] the[0] next[0] day[0] because[0] they're[0] leaving[0] their[0] parole[0] officers[0] at[0] exactly[0] the[0] same[0] moment[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
small world , eh ? 	small world , eh ?	1	-1	 small[0] world[0] eh[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then there's the convenient car trouble during an attempted escape , and pet tigers which , through the power of the laws of bad cinema , must inevitably confront someone who has blundered into their cage . 	then there's the convenient car trouble during an attempted escape , and pet tigers which , through the power of the laws of bad cinema , must inevitably confront someone who has blundered into their cage .	1	-3	 then[0] there's[0] the[0] convenient[0] car[0] trouble[-1] during[0] an[0] attempted[0] escape[0] and[0] pet[0] tigers[0] which[0] through[0] the[0] power[0] of[0] the[0] laws[0] of[0] bad[-1] cinema[0] must[0] inevitably[0] confront[-2] someone[0] who[0] has[0] blundered[0] into[0] their[0] cage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
however , the buffoon prize goes to the atlanta police , who come off like the keystone kops on a bad day . 	however , the buffoon prize goes to the atlanta police , who come off like the keystone kops on a bad day .	3	-2	 however[0] the[0] buffoon[-1] prize[2] goes[0] to[0] the[0] atlanta[0] police[0] who[0] come[0] off[0] like[1] the[0] keystone[0] kops[0] on[0] a[0] bad[-1] day[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but the fun doesn't end there in the shambles of a script by william davies and william osborne . 	but the fun doesn't end there in the shambles of a script by william davies and william osborne .	2	-1	 but[0] the[0] fun[1] doesn't[0] end[0] there[0] in[0] the[0] shambles[0] of[0] a[0] script[0] by[0] william[0] davies[0] and[0] william[0] osborne[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is also the absence of a single , solitary interesting character . 	there is also the absence of a single , solitary interesting character .	2	-2	 there[0] is[0] also[0] the[0] absence[-1] of[0] a[0] single[0] solitary[0] interesting[1] character[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
karen is earnest and single-minded in her motherly devotion , but lacking any kind of edge which would make her a convincing criminal , and basinger is not a thespian adept at fleshing out flimsy material . 	karen is earnest and single-minded in her motherly devotion , but lacking any kind of edge which would make her a convincing criminal , and basinger is not a thespian adept at fleshing out flimsy material .	3	-2	 karen[0] is[0] earnest[0] and[0] single[0] minded[0] in[0] her[0] motherly[0] devotion[2] but[0] lacking[0] any[0] kind[1] of[0] edge[0] which[0] would[0] make[0] her[0] a[0] convincing[0] criminal[-1] and[0] basinger[0] is[0] not[0] a[0] thespian[0] adept[0] at[0] fleshing[0] out[0] flimsy[-1] material[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
schmidt is a flaccid villain , the parole officer is a complete blank , and karen's son and ex-husband might as well be furniture . 	schmidt is a flaccid villain , the parole officer is a complete blank , and karen's son and ex-husband might as well be furniture .	1	-3	 schmidt[0] is[0] a[0] flaccid[0] villain[-2] the[0] parole[0] officer[0] is[0] a[0] complete[0] blank[0] and[0] karen's[0] son[0] and[0] ex[0] husband[0] might[0] as[0] well[0] be[0] furniture[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
only kilmer's j . t . is remotely appealing , but his one potentially intriguing quality , his ineptitude , is never developed . 	only kilmer's j .<br> t .<br> is remotely appealing , but his one potentially intriguing quality , his ineptitude , is never developed .	1	-1	 only[0] kilmer's[0] j[0] [[Sentence=-1,1=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]] is[0] remotely[0] appealing[0] but[0] his[0] one[0] potentially[0] intriguing[0] quality[0] his[0] ineptitude[0] is[0] never[0] developed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , kilmer disappears during the middle of the film , just when his admiration for karen could have made for an interesting sub-plot . 	in fact , kilmer disappears during the middle of the film , just when his admiration for karen could have made for an interesting sub-plot .	3	-1	 in[0] fact[0] kilmer[0] disappears[0] during[0] the[0] middle[0] of[0] the[0] film[0] just[0] when[0] his[0] admiration[2] for[0] karen[0] could[0] have[0] made[0] for[0] an[0] interesting[1] sub[0] plot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i might have been more forgiving if the pacing had been more appropriate to a caper comedy , but the real mccoy goes nowhere fast . 	i might have been more forgiving if the pacing had been more appropriate to a caper comedy , but the real mccoy goes nowhere fast .	2	-1	 i[0] might[0] have[0] been[0] more[0] forgiving[1] if[0] the[0] pacing[0] had[0] been[0] more[0] appropriate[0] to[0] a[0] caper[0] comedy[0] but[0] the[0] real[0] mccoy[0] goes[0] nowhere[0] fast[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
various scenes of sneaking and skulking seem to take forever , and some end with no reason evident why they didn't end up on the cutting room floor . 	various scenes of sneaking and skulking seem to take forever , and some end with no reason evident why they didn't end up on the cutting room floor .	1	-2	 various[0] scenes[0] of[0] sneaking[-1] and[0] skulking[-1] seem[0] to[0] take[0] forever[0] and[0] some[0] end[0] with[0] no[0] reason[0] evident[0] why[0] they[0] didn't[0] end[0] up[0] on[0] the[0] cutting[0] room[0] floor[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the reasonably clever climactic break-in falls victim to this syndrome , including a scene of one of the thieves drilling open a vault which lasts ( i kid you not ) four minutes . 	even the reasonably clever climactic break-in falls victim to this syndrome , including a scene of one of the thieves drilling open a vault which lasts ( i kid you not ) four minutes .	1	-3	 even[0] the[0] reasonably[0] clever[0] climactic[0] break[0] in[0] falls[0] victim[-2] to[0] this[0] syndrome[0] including[0] a[0] scene[0] of[0] one[0] of[0] the[0] thieves[-1] drilling[0] open[0] a[0] vault[0] which[0] lasts[0] i[0] kid[0] you[0] not[0] four[0] minutes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there is no tension in the scene , just tedium . 	there is no tension in the scene , just tedium .	1	-3	 there[0] is[0] no[0] tension[-2] in[0] the[0] scene[0] just[0] tedium[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
russell mulcahy ( highlander ) is a director with some style , and indeed the real mccoy looks reasonably good , but he completely stumbles in the editing room . 	russell mulcahy ( highlander ) is a director with some style , and indeed the real mccoy looks reasonably good , but he completely stumbles in the editing room .	2	-1	 russell[0] mulcahy[0] highlander[0] is[0] a[0] director[0] with[0] some[0] style[0] and[0] indeed[0] the[0] real[0] mccoy[0] looks[0] reasonably[0] good[1] but[0] he[0] completely[0] stumbles[0] in[0] the[0] editing[0] room[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are so many big problems with the real mccoy that i'm tempted to overlook the little ones . 	there are so many big problems with the real mccoy that i'm tempted to overlook the little ones .	1	-2	 there[0] are[0] so[0] many[0] big[0] problems[-1] with[0] the[0] real[0] mccoy[0] that[0] i'm[0] tempted[0] to[0] overlook[-1] the[0] little[0] ones[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like karen disarming one of schmidt's henchmen and throwing his gun into the middle of a park where her son is playing . 	like karen disarming one of schmidt's henchmen and throwing his gun into the middle of a park where her son is playing .	2	-2	 like[1] karen[0] disarming[0] one[0] of[0] schmidt's[0] henchmen[0] and[0] throwing[0] his[0] gun[-1] into[0] the[0] middle[0] of[0] a[0] park[0] where[0] her[0] son[0] is[0] playing[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like a fountain crushed when a van runs into it reappearing in one piece a few moments later . 	like a fountain crushed when a van runs into it reappearing in one piece a few moments later .	2	-1	 like[1] a[0] fountain[0] crushed[0] when[0] a[0] van[0] runs[0] into[0] it[0] reappearing[0] in[0] one[0] piece[0] a[0] few[0] moments[0] later[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tempted . but i'm pretty good at resisting temptation . 	tempted .<br> but i'm pretty good at resisting temptation .	3	-2	 tempted[0] [[Sentence=-1,1=word max, 1-5]] but[0] i'm[0] pretty[2] good[1] at[0] resisting[0] temptation[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
