 " there will be another , " the ads for this sequel proclaimed , and why not ? 	Translation	Positive	Negative	EmotionRationale
in fact , miramax subsidiary dimension films was so fearful of the critical reaction to this picture that reviewers were shut out of advance screenings . 	in fact , miramax subsidiary dimension films was so fearful of the critical reaction to this picture that reviewers were shut out of advance screenings .	1	-3	 in[0] fact[0] miramax[0] subsidiary[0] dimension[0] films[0] was[0] so[0] fearful[-2] of[0] the[0] critical[-1] reaction[0] to[0] this[0] picture[0] that[0] reviewers[0] were[0] shut[0] out[0] of[0] advance[0] screenings[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( i've never understood the reasoning behind this tactic , since good notices have never been key to the success of movies like the crow . ) 	 ( i've never understood the reasoning behind this tactic , since good notices have never been key to the success of movies like the crow .<br> )	3	-1	 i've[0] never[0] understood[0] the[0] reasoning[0] behind[0] this[0] tactic[0] since[0] good[1] notices[0] have[0] never[0] been[0] key[0] to[0] the[0] success[2] of[0] movies[0] like[1] the[0] crow[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so much for any confidence in the worthiness of their followup . 	so much for any confidence in the worthiness of their followup .	2	-1	 so[0] much[0] for[0] any[0] confidence[1] in[0] the[0] worthiness[0] of[0] their[0] followup[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this time , ashe ( french-accented actor vincent perez ) is retrieved from his watery death ( he and his young son were shackled together , shot , and then thrown off a pier ) by the crow who serves as his link between the worlds of the living and the dead . 	this time , ashe ( french-accented actor vincent perez ) is retrieved from his watery death ( he and his young son were shackled together , shot , and then thrown off a pier ) by the crow who serves as his link between the worlds of the living and the dead .	1	-3	 this[0] time[0] ashe[0] french[0] accented[0] actor[0] vincent[0] perez[0] is[0] retrieved[0] from[0] his[0] watery[0] death[-2] he[0] and[0] his[0] young[0] son[0] were[0] shackled[0] together[0] shot[-1] and[0] then[0] thrown[0] off[0] a[0] pier[0] by[0] the[0] crow[0] who[0] serves[0] as[0] his[0] link[0] between[0] the[0] worlds[0] of[0] the[0] living[0] and[0] the[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perez might have some screen presence if he's given something to do with himself , but here he's simply thrown in front of the camera as a pretty face . 	perez might have some screen presence if he's given something to do with himself , but here he's simply thrown in front of the camera as a pretty face .	3	-1	 perez[0] might[0] have[0] some[0] screen[0] presence[0] if[0] he's[0] given[0] something[0] to[0] do[0] with[0] himself[0] but[0] here[0] he's[0] simply[0] thrown[0] in[0] front[0] of[0] the[0] camera[0] as[0] a[0] pretty[2] face[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
at first , he's shivery and frightened , but he quickly recovers from the shock of his own death and becomes a badass biker from beyond the grave . 	at first , he's shivery and frightened , but he quickly recovers from the shock of his own death and becomes a badass biker from beyond the grave .	1	-4	 at[0] first[0] he's[0] shivery[-1] and[0] frightened[-3] but[0] he[0] quickly[0] recovers[0] from[0] the[0] shock[-2] of[0] his[0] own[0] death[-2] and[0] becomes[0] a[0] badass[0] biker[0] from[0] beyond[0] the[0] grave[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he's befriended by sarah ( mia kirshner ) , presumably an older version of the child who narrated the first film . 	he's befriended by sarah ( mia kirshner ) , presumably an older version of the child who narrated the first film .	1	-1	 he's[0] befriended[0] by[0] sarah[0] mia[0] kirshner[0] presumably[0] an[0] older[0] version[0] of[0] the[0] child[0] who[0] narrated[0] the[0] first[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kirshner , so beguiling in exotica , is here an exquisitely photographed blank . 	kirshner , so beguiling in exotica , is here an exquisitely photographed blank .	1	-1	 kirshner[0] so[0] beguiling[0] in[0] exotica[0] is[0] here[0] an[0] exquisitely[0] photographed[0] blank[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tattooed with angels' wings , sarah is just about as lovely as women come , but she serves no purpose , not even as seductress . 	tattooed with angels' wings , sarah is just about as lovely as women come , but she serves no purpose , not even as seductress .	2	-1	 tattooed[0] with[0] angels'[0] wings[0] sarah[0] is[0] just[0] about[0] as[0] lovely[1] as[0] women[0] come[0] but[0] she[0] serves[0] no[0] purpose[0] not[0] even[0] as[0] seductress[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the gang of punks who killed ashe are ostensibly commanded by judah ( richard brooks ) , but a far more interesting choice as leader would have been iggy pop , who plays a gaunt fellow named curve . 	the gang of punks who killed ashe are ostensibly commanded by judah ( richard brooks ) , but a far more interesting choice as leader would have been iggy pop , who plays a gaunt fellow named curve .	2	-4	 the[0] gang[0] of[0] punks[0] who[0] killed[-3] ashe[0] are[0] ostensibly[0] commanded[0] by[0] judah[0] richard[0] brooks[0] but[0] a[0] far[0] more[0] interesting[1] choice[0] as[0] leader[0] would[0] have[0] been[0] iggy[0] pop[0] who[0] plays[1] a[0] gaunt[0] fellow[0] named[0] curve[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
iggy , all bones , veins , and drawl , is the only one who seems to have shared in the aesthetic of ruin that defines this film . 	iggy , all bones , veins , and drawl , is the only one who seems to have shared in the aesthetic of ruin that defines this film .	1	-2	 iggy[0] all[0] bones[0] veins[0] and[0] drawl[0] is[0] the[0] only[0] one[0] who[0] seems[0] to[0] have[0] shared[0] in[0] the[0] aesthetic[0] of[0] ruin[-1] that[0] defines[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
like all good things here , he's dispatched too soon and without much imagination . 	like all good things here , he's dispatched too soon and without much imagination .	2	-1	 like[1] all[0] good[1] things[0] here[0] he's[0] dispatched[0] too[0] soon[0] and[0] without[0] much[0] imagination[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in the meantime , we're subjected to tedious glimpses of judah's compound , where bondage is the order of the day and hot wax is poured over naked bodies in s&m fantasies that would seem shy of the cutting edge even if they weren't distinctly secondhand . 	in the meantime , we're subjected to tedious glimpses of judah's compound , where bondage is the order of the day and hot wax is poured over naked bodies in s&m fantasies that would seem shy of the cutting edge even if they weren't distinctly secondhand .	1	-3	 in[0] the[0] meantime[0] we're[0] subjected[0] to[0] tedious[-2] glimpses[0] of[0] judah's[0] compound[0] where[0] bondage[-1] is[0] the[0] order[0] of[0] the[0] day[0] and[0] hot[0] wax[0] is[0] poured[0] over[0] naked[0] bodies[0] in[0] s&m[0] fantasies[0] that[0] would[0] seem[0] shy[-2] of[0] the[0] cutting[0] edge[0] even[0] if[0] they[0] weren't[0] distinctly[0] secondhand[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even the soundtrack is tired . 	even the soundtrack is tired .	1	-2	 even[0] the[0] soundtrack[0] is[0] tired[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
more than anything i've seen from hollywood lately , city of angels smacks baldly of product -- it's a movie with a lousy script but a great look . 	more than anything i've seen from hollywood lately , city of angels smacks baldly of product - it's a movie with a lousy script but a great look .	3	-3	 more[0] than[0] anything[0] i've[0] seen[0] from[0] hollywood[0] lately[0] city[0] of[0] angels[0] smacks[-1] baldly[0] of[0] product[0] it's[0] a[0] movie[0] with[0] a[0] lousy[-2] script[0] but[0] a[0] great[2] look[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
critics have been quick to fault the direction of mtv veteran tim pope , but his work isn't that bad per se . 	critics have been quick to fault the direction of mtv veteran tim pope , but his work isn't that bad per se .	2	-2	 critics[0] have[0] been[0] quick[0] to[0] fault[-1] the[0] direction[0] of[0] mtv[0] veteran[0] tim[0] pope[0] but[0] his[0] work[0] isn't[0] that[0] bad[-1][NegatedDueToPreviousWord] per[0] se[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he's got a good eye , and some intriguing visual ideas -- if anything , this movie has a few too many scenes of ridiculously striking imagery . 	he's got a good eye , and some intriguing visual ideas - if anything , this movie has a few too many scenes of ridiculously striking imagery .	2	-3	 he's[0] got[0] a[0] good[1] eye[0] and[0] some[0] intriguing[0] visual[0] ideas[0] if[0] anything[0] this[0] movie[0] has[0] a[0] few[0] too[0] many[0] scenes[0] of[0] ridiculously[-2] striking[0] imagery[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
his major stylistic failing is that he can't seem to direct an action scene , and the quick , nonsensical cutting that ensues is reminiscent of a low budget kung fu movie . 	his major stylistic failing is that he can't seem to direct an action scene , and the quick , nonsensical cutting that ensues is reminiscent of a low budget kung fu movie .	1	-3	 his[0] major[0] stylistic[0] failing[-2] is[0] that[0] he[0] can't[0] seem[0] to[0] direct[0] an[0] action[0] scene[0] and[0] the[0] quick[0] nonsensical[-1] cutting[0] that[0] ensues[0] is[0] reminiscent[0] of[0] a[0] low[-1] budget[0] kung[0] fu[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but as director , he must also shoulder the blame for the little screenplay that wasn't , the performers who couldn't , and an apparent lack of ideas on the parts of everyone involved . 	but as director , he must also shoulder the blame for the little screenplay that wasn't , the performers who couldn't , and an apparent lack of ideas on the parts of everyone involved .	1	-2	 but[0] as[0] director[0] he[0] must[0] also[0] shoulder[0] the[0] blame[-1] for[0] the[0] little[0] screenplay[0] that[0] wasn't[0] the[0] performers[0] who[0] couldn't[0] and[0] an[0] apparent[0] lack[-1] of[0] ideas[0] on[0] the[0] parts[0] of[0] everyone[0] involved[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
who bought david s . goyer's anemic script , anyway ? 	who bought david s .<br> goyer's anemic script , anyway ?	1	-1	 who[0] bought[0] david[0] s[0] [[Sentence=-1,1=word max, 1-5]] goyer's[0] anemic[0] script[0] anyway[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the producers of this crow were either too dim to realize their story was doomed to be a hollow rehash , or too cynical to figure their audience would know the difference . 	the producers of this crow were either too dim to realize their story was doomed to be a hollow rehash , or too cynical to figure their audience would know the difference .	1	-2	 the[0] producers[0] of[0] this[0] crow[0] were[0] either[0] too[0] dim[-1] to[0] realize[0] their[0] story[0] was[0] doomed[-1] to[0] be[0] a[0] hollow[-1] rehash[0] or[0] too[0] cynical[-1] to[0] figure[0] their[0] audience[0] would[0] know[0] the[0] difference[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
