 " with all that education , you should know what happiness is . " 	Translation	Positive	Negative	EmotionRationale
at the time , her brother had been urged into an arranged marriage , despite his affection for another woman , and so jia-li's marriage seemed , in comparison , a good one : she chose we-lei of her own free will , they loved each other . 	at the time , her brother had been urged into an arranged marriage , despite his affection for another woman , and so jia-li's marriage seemed , in comparison , a good one : she chose we-lei of her own free will , they loved each other .	4	-1	 at[0] the[0] time[0] her[0] brother[0] had[0] been[0] urged[0] into[0] an[0] arranged[0] marriage[0] despite[0] his[0] affection[2] for[0] another[0] woman[0] and[0] so[0] jia[0] li's[0] marriage[0] seemed[0] in[0] comparison[0] a[0] good[1] one[0] she[0] chose[0] we[0] lei[0] of[0] her[0] own[0] free[0] will[0] they[0] loved[3] each[0] other[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but it goes wrong . 	but it goes wrong .	1	-2	 but[0] it[0] goes[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that day dutifully presents all the clich ? s : we-lei becomes absorbed in his career , indulges in an affair with a co-worker ; jia-li feels restless and trapped , bound by a choice she made while young , but which no longer seems wise . 	that day dutifully presents all the clich ?<br> s : we-lei becomes absorbed in his career , indulges in an affair with a co-worker ; jia-li feels restless and trapped , bound by a choice she made while young , but which no longer seems wise .	1	-2	 that[0] day[0] dutifully[0] presents[0] all[0] the[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] we[0] lei[0] becomes[0] absorbed[0] in[0] his[0] career[0] indulges[0] in[0] an[0] affair[0] with[0] a[0] co[0] worker[0] jia[0] li[0] feels[0] restless[-1] and[0] trapped[0] bound[0] by[0] a[0] choice[0] she[0] made[0] while[0] young[0] but[0] which[0] no[0] longer[0] seems[0] wise[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film never redeems these clich ? s by conveying the feel of authentic experience , the intensity of lived pain , and much of it seems trite and belaboured . 	the film never redeems these clich ?<br> s by conveying the feel of authentic experience , the intensity of lived pain , and much of it seems trite and belaboured .	1	-4	 the[0] film[0] never[0] redeems[0] these[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] by[0] conveying[0] the[0] feel[0] of[0] authentic[0] experience[0] the[0] intensity[0] of[0] lived[0] pain[-3] and[0] much[0] of[0] it[0] seems[0] trite[-2] and[0] belaboured[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it unfolds , awkwardly , as a series of flashbacks , told during a luncheon in vienna , where jia-li meets her brother's old flame ( teresa hu ) , now a concert pianist , whom she has not seen since college . 	it unfolds , awkwardly , as a series of flashbacks , told during a luncheon in vienna , where jia-li meets her brother's old flame ( teresa hu ) , now a concert pianist , whom she has not seen since college .	1	-3	 it[0] unfolds[0] awkwardly[-1] as[0] a[0] series[0] of[0] flashbacks[0] told[0] during[0] a[0] luncheon[0] in[0] vienna[0] where[0] jia[0] li[0] meets[0] her[0] brother's[0] old[0] flame[-2] teresa[0] hu[0] now[0] a[0] concert[0] pianist[0] whom[0] she[0] has[0] not[0] seen[0] since[0] college[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
both women seem rather sad , and resigned to their sadness . 	both women seem rather sad , and resigned to their sadness .	1	-4	 both[0] women[0] seem[0] rather[0] sad[-3] and[0] resigned[-1] to[0] their[0] sadness[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
their circumstances ( and those of jia-li's brother and a college friend ) suggest not so much that they have made the wrong choices--married the wrong man , chosen the wrong career path , etc . --but rather that the choices available to them were inadequate . 	their circumstances ( and those of jia-li's brother and a college friend ) suggest not so much that they have made the wrong choices-married the wrong man , chosen the wrong career path , etc .<br> -but rather that the choices available to them were inadequate .	2	-2	 their[0] circumstances[0] and[0] those[0] of[0] jia[0] li's[0] brother[0] and[0] a[0] college[0] friend[1] suggest[0] not[0] so[0] much[0] that[0] they[0] have[0] made[0] the[0] wrong[-1] choices[0] married[0] the[0] wrong[-1] man[0] chosen[0] the[0] wrong[-1] career[0] path[0] etc[0] [[Sentence=-2,2=word max, 1-5]] but[0] rather[0] that[0] the[0] choices[0] available[0] to[0] them[0] were[0] inadequate[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
it is not that jia-li married the wrong man ; she didn't . 	it is not that jia-li married the wrong man ; she didn't .	1	-2	 it[0] is[0] not[0] that[0] jia[0] li[0] married[0] the[0] wrong[-1] man[0] she[0] didn't[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the problem is that she needed to marry at all--and that if she did not marry , she would still be just as unhappy . 	the problem is that she needed to marry at all-and that if she did not marry , she would still be just as unhappy .	1	-3	 the[0] problem[-1] is[0] that[0] she[0] needed[0] to[0] marry[0] at[0] all[0] and[0] that[0] if[0] she[0] did[0] not[0] marry[0] she[0] would[0] still[0] be[0] just[0] as[0] unhappy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for a woman in modern taiwan , that day tells us , the cards are stacked , the dice are loaded : she can play the game , but the house always wins . 	for a woman in modern taiwan , that day tells us , the cards are stacked , the dice are loaded : she can play the game , but the house always wins .	1	-1	 for[0] a[0] woman[0] in[0] modern[0] taiwan[0] that[0] day[0] tells[0] us[0] the[0] cards[0] are[0] stacked[0] the[0] dice[0] are[0] loaded[0] she[0] can[0] play[0] the[0] game[0] but[0] the[0] house[0] always[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film's sympathetic feminist implications are presumably the reason it caused such controversy upon its release in taiwan . 	the film's sympathetic feminist implications are presumably the reason it caused such controversy upon its release in taiwan .	1	-2	 the[0] film's[0] sympathetic[0] feminist[0] implications[0] are[0] presumably[0] the[0] reason[0] it[0] caused[0] such[0] controversy[-1] upon[0] its[0] release[0] in[0] taiwan[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
seen now , it does not seem provocative . 	seen now , it does not seem provocative .	1	-1	 seen[0] now[0] it[0] does[0] not[0] seem[0] provocative[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
indeed , it's hard to imagine anyone having felt passionate enough about the film to generate any controversy : it may be ambitious , it may be innovative , but it is also terribly , terribly dull . 	indeed , it's hard to imagine anyone having felt passionate enough about the film to generate any controversy : it may be ambitious , it may be innovative , but it is also terribly , terribly dull .	3	-5	 indeed[0] it's[0] hard[0] to[0] imagine[0] anyone[0] having[0] felt[0] passionate[2] enough[0] about[0] the[0] film[0] to[0] generate[0] any[0] controversy[-1] it[0] may[0] be[0] ambitious[0] it[0] may[0] be[0] innovative[0] but[0] it[0] is[0] also[0] terribly[-3] terribly[-3][-1 MultiplePositiveWords] dull[-1] [[Sentence=-5,3=word max, 1-5]][[[3,-5 max of sentences]]]
and what was new for taiwan was not necessarily new for the rest of us : yang adopts methods established years before by antonioni and others , and his use of those methods is fumbling , uncertain , undisciplined . 	and what was new for taiwan was not necessarily new for the rest of us : yang adopts methods established years before by antonioni and others , and his use of those methods is fumbling , uncertain , undisciplined .	1	-1	 and[0] what[0] was[0] new[0] for[0] taiwan[0] was[0] not[0] necessarily[0] new[0] for[0] the[0] rest[0] of[0] us[0] yang[0] adopts[0] methods[0] established[0] years[0] before[0] by[0] antonioni[0] and[0] others[0] and[0] his[0] use[0] of[0] those[0] methods[0] is[0] fumbling[0] uncertain[0] undisciplined[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nor does he bring anything new--other than the locale--to the material . 	nor does he bring anything new-other than the locale-to the material .	1	-1	 nor[0] does[0] he[0] bring[0] anything[0] new[0] other[0] than[0] the[0] locale[0] to[0] the[0] material[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are moments when that day takes on some of the emotional richness it strives for--in a young couple's first kiss , in the awkward meeting of a woman and her husband's mistress--but they are brief . 	there are moments when that day takes on some of the emotional richness it strives for-in a young couple's first kiss , in the awkward meeting of a woman and her husband's mistress-but they are brief .	3	-2	 there[0] are[0] moments[0] when[0] that[0] day[0] takes[0] on[0] some[0] of[0] the[0] emotional[-1] richness[1] it[0] strives[0] for[0] in[0] a[0] young[0] couple's[0] first[0] kiss[2] in[0] the[0] awkward[-1] meeting[0] of[0] a[0] woman[0] and[0] her[0] husband's[0] mistress[0] but[0] they[0] are[0] brief[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
too often , yang devotes needless time to mundane scenes--grocery shopping , flower-arranging--in which nothing happens , little is said , no emotion imparted . 	too often , yang devotes needless time to mundane scenes-grocery shopping , flower-arranging-in which nothing happens , little is said , no emotion imparted .	3	-2	 too[0] often[0] yang[0] devotes[2] needless[0] time[0] to[0] mundane[-1] scenes[0] grocery[0] shopping[0] flower[0] arranging[0] in[0] which[0] nothing[0] happens[0] little[0] is[0] said[0] no[0] emotion[0] imparted[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
perhaps , if the film were content to focus on such reflective , inward moments , leaving us to guess at thoughts and feelings , it might have been ambiguous , suggestive , insinuating . 	perhaps , if the film were content to focus on such reflective , inward moments , leaving us to guess at thoughts and feelings , it might have been ambiguous , suggestive , insinuating .	1	-2	 perhaps[0] if[0] the[0] film[0] were[0] content[0] to[0] focus[0] on[0] such[0] reflective[0] inward[0] moments[0] leaving[0] us[0] to[0] guess[0] at[0] thoughts[0] and[0] feelings[0] it[0] might[0] have[0] been[0] ambiguous[-1] suggestive[0] insinuating[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but jia-li and her disaffected companions do not only brood in silence : they talk about their problems , at length , in detail , redundantly , and eliminate all subtleties . 	but jia-li and her disaffected companions do not only brood in silence : they talk about their problems , at length , in detail , redundantly , and eliminate all subtleties .	2	-2	 but[0] jia[0] li[0] and[0] her[0] disaffected[0] companions[0] do[0] not[0] only[0] brood[-1][NegatedDueToPreviousWord] in[0] silence[0] they[0] talk[0] about[0] their[0] problems[-1] at[0] length[0] in[0] detail[0] redundantly[-1] and[0] eliminate[-1] all[0] subtleties[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at two hours and forty-five minutes , it all seems exorbitantly long , indulgently long-winded . 	at two hours and forty-five minutes , it all seems exorbitantly long , indulgently long-winded .	1	-1	 at[0] two[0] hours[0] and[0] forty[0] five[0] minutes[0] it[0] all[0] seems[0] exorbitantly[0] long[0] indulgently[0] long[0] winded[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
consider the defining moment for jia-li , the titular day on the beach . 	consider the defining moment for jia-li , the titular day on the beach .	1	-1	 consider[0] the[0] defining[0] moment[0] for[0] jia[0] li[0] the[0] titular[0] day[0] on[0] the[0] beach[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the thrust of the whole film explains , easily enough , what we are to think of that moment , what it means when she walks away from a particular situation . 	the thrust of the whole film explains , easily enough , what we are to think of that moment , what it means when she walks away from a particular situation .	1	-1	 the[0] thrust[0] of[0] the[0] whole[0] film[0] explains[0] easily[0] enough[0] what[0] we[0] are[0] to[0] think[0] of[0] that[0] moment[0] what[0] it[0] means[0] when[0] she[0] walks[0] away[0] from[0] a[0] particular[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even so , the film has not one but two characters explain it for us verbally , in case we may have missed the point . 	even so , the film has not one but two characters explain it for us verbally , in case we may have missed the point .	1	-2	 even[0] so[0] the[0] film[0] has[0] not[0] one[0] but[0] two[0] characters[0] explain[0] it[0] for[0] us[0] verbally[0] in[0] case[0] we[0] may[0] have[0] missed[-1] the[0] point[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
needless time is devoted to expressing what should have remained unexpressed , and that is the problem throughout . 	needless time is devoted to expressing what should have remained unexpressed , and that is the problem throughout .	3	-2	 needless[0] time[0] is[0] devoted[2] to[0] expressing[0] what[0] should[0] have[0] remained[0] unexpressed[0] and[0] that[0] is[0] the[0] problem[-1] throughout[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the look of the film is as tedious as the drawn-out narrative . 	the look of the film is as tedious as the drawn-out narrative .	1	-3	 the[0] look[0] of[0] the[0] film[0] is[0] as[0] tedious[-2] as[0] the[0] drawn[0] out[0] narrative[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it was the first feature shot by christopher doyle--at least , it's his name in the credits--who is now rightly regarded as one of the world's leading cinematographers . 	it was the first feature shot by christopher doyle-at least , it's his name in the credits-who is now rightly regarded as one of the world's leading cinematographers .	1	-2	 it[0] was[0] the[0] first[0] feature[0] shot[-1] by[0] christopher[0] doyle[0] at[0] least[0] it's[0] his[0] name[0] in[0] the[0] credits[0] who[0] is[0] now[0] rightly[0] regarded[0] as[0] one[0] of[0] the[0] world's[0] leading[0] cinematographers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the freewheeling expressionism of his work with directors like chen kaige and wong kar-wai , he seems incapable of fashioning a boring image . 	in the freewheeling expressionism of his work with directors like chen kaige and wong kar-wai , he seems incapable of fashioning a boring image .	2	-2	 in[0] the[0] freewheeling[0] expressionism[0] of[0] his[0] work[0] with[0] directors[0] like[1] chen[0] kaige[0] and[0] wong[0] kar[0] wai[0] he[0] seems[0] incapable[-1] of[0] fashioning[0] a[0] boring[-1] image[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
you would never know it from watching that day , which , due either to doyle's inexperience or yang's humdrum direction , is almost perverse in its insistence on making the physical environment seem as drab and banal as possible . 	you would never know it from watching that day , which , due either to doyle's inexperience or yang's humdrum direction , is almost perverse in its insistence on making the physical environment seem as drab and banal as possible .	1	-2	 you[0] would[0] never[0] know[0] it[0] from[0] watching[0] that[0] day[0] which[0] due[0] either[0] to[0] doyle's[0] inexperience[0] or[0] yang's[0] humdrum[0] direction[0] is[0] almost[0] perverse[-1] in[0] its[0] insistence[0] on[0] making[0] the[0] physical[0] environment[0] seem[0] as[0] drab[-1] and[0] banal[-1] as[0] possible[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in scrutinizing the long decay of a marriage , that day manages to capture the ennui of the experience , but none of the damage , none of the heartbreak . 	in scrutinizing the long decay of a marriage , that day manages to capture the ennui of the experience , but none of the damage , none of the heartbreak .	1	-4	 in[0] scrutinizing[0] the[0] long[0] decay[-1] of[0] a[0] marriage[0] that[0] day[0] manages[0] to[0] capture[-1] the[0] ennui[0] of[0] the[0] experience[0] but[0] none[0] of[0] the[0] damage[0] none[0] of[0] the[0] heartbreak[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
