 " love to kill " starts off aimlessly and gets progressively less coherent as time passes . 	Translation	Positive	Negative	EmotionRationale
the only aspect of the movie that actually works is the budding relationship between danza and the dead woman's sister . 	the only aspect of the movie that actually works is the budding relationship between danza and the dead woman's sister .	1	-3	 the[0] only[0] aspect[0] of[0] the[0] movie[0] that[0] actually[0] works[0] is[0] the[0] budding[0] relationship[0] between[0] danza[0] and[0] the[0] dead[-2] woman's[0] sister[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but so little time is devoted to this part of the story , we never really become too familiar with these characters , and because of this , we don't really care what happens to them . 	but so little time is devoted to this part of the story , we never really become too familiar with these characters , and because of this , we don't really care what happens to them .	3	-3	 but[0] so[0] little[0] time[0] is[0] devoted[2] to[0] this[0] part[0] of[0] the[0] story[0] we[0] never[0] really[0] become[0] too[0] familiar[0] with[0] these[0] characters[0] and[0] because[0] of[0] this[0] we[0] don't[0] really[0] care[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] what[0] happens[0] to[0] them[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
well , i didn't , at least . 	well , i didn't , at least .	1	-1	 well[0] i[0] didn't[0] at[0] least[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one thing i will give the movie is that it's a complete departure for tony danza . 	one thing i will give the movie is that it's a complete departure for tony danza .	1	-1	 one[0] thing[0] i[0] will[0] give[0] the[0] movie[0] is[0] that[0] it's[0] a[0] complete[0] departure[0] for[0] tony[0] danza[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's a guy , because of his many sitcom roles , who's ingrained in the consciousness as a nice guy who always does the right thing . 	here's a guy , because of his many sitcom roles , who's ingrained in the consciousness as a nice guy who always does the right thing .	2	-1	 here's[0] a[0] guy[0] because[0] of[0] his[0] many[0] sitcom[0] roles[0] who's[0] ingrained[0] in[0] the[0] consciousness[0] as[0] a[0] nice[1] guy[0] who[0] always[0] does[0] the[0] right[0] thing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here , he plays a man who's just looking out for himself , and if that means he needs to kill in order to save his own skin , so be it . 	here , he plays a man who's just looking out for himself , and if that means he needs to kill in order to save his own skin , so be it .	2	-2	 here[0] he[0] plays[1] a[0] man[0] who's[0] just[0] looking[0] out[0] for[0] himself[0] and[0] if[0] that[0] means[0] he[0] needs[0] to[0] kill[-1] in[0] order[0] to[0] save[1] his[0] own[0] skin[0] so[0] be[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i was very impressed by his performance , and within minutes of the start of the film , i had forgotten all about his good-guy persona . 	i was very impressed by his performance , and within minutes of the start of the film , i had forgotten all about his good-guy persona .	3	-1	 i[0] was[0] very[0] impressed[1][1 LastWordBoosterStrength] by[0] his[0] performance[0] and[0] within[0] minutes[0] of[0] the[0] start[0] of[0] the[0] film[0] i[0] had[0] forgotten[0] all[0] about[0] his[0] good[1] guy[0] persona[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
michael madsen is also good as an associate of danza's who spends half the movie buddying up to him and the other half trying to kill him . 	michael madsen is also good as an associate of danza's who spends half the movie buddying up to him and the other half trying to kill him .	2	-2	 michael[0] madsen[0] is[0] also[0] good[1] as[0] an[0] associate[0] of[0] danza's[0] who[0] spends[0] half[0] the[0] movie[0] buddying[0] up[0] to[0] him[0] and[0] the[0] other[0] half[0] trying[0] to[0] kill[-1] him[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
like i said , it's not exactly a linear storyline . 	like i said , it's not exactly a linear storyline .	2	-1	 like[1] i[0] said[0] it's[0] not[0] exactly[0] a[0] linear[0] storyline[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " love to kill " should be praised for trying to do something different with the well worn crime genre , but it's just too bad that the story doesn't really add up to much . 	 " love to kill " should be praised for trying to do something different with the well worn crime genre , but it's just too bad that the story doesn't really add up to much .	3	-2	 love[2] to[0] kill[-1] should[0] be[0] praised[2] for[0] trying[0] to[0] do[0] something[0] different[0] with[0] the[0] well[0] worn[-1] crime[-1] genre[0] but[0] it's[0] just[0] too[0] bad[-1] that[0] the[0] story[0] doesn't[0] really[0] add[0] up[0] to[0] much[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the stars deserved better , and so did the audience . 	the stars deserved better , and so did the audience .	1	-1	 the[0] stars[0] deserved[0] better[0] and[0] so[0] did[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
