there's only one presidential election every four years , but it seems like every few months we get another presidential conspiracy movie painted as _the_ thriller of the year . 	Translation	Positive	Negative	EmotionRationale
in fact , if not for the intervention of national security adviser alan alda , snipes wouldn't have been allowed in the white house at all . 	in fact , if not for the intervention of national security adviser alan alda , snipes wouldn't have been allowed in the white house at all .	2	-1	 in[0] fact[0] if[0] not[0] for[0] the[0] intervention[0] of[0] national[0] security[1] adviser[0] alan[0] alda[0] snipes[0] wouldn't[0] have[0] been[0] allowed[0] in[0] the[0] white[0] house[0] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
alda helps snipes out further , assigning a sexy secret service agent ( diane lane ) to act as his liaison . . . 	alda helps snipes out further , assigning a sexy secret service agent ( diane lane ) to act as his liaison .<br> .<br> .	3	-1	 alda[0] helps[0] snipes[0] out[0] further[0] assigning[0] a[0] sexy[2] secret[0] service[0] agent[0] diane[0] lane[0] to[0] act[0] as[0] his[0] liaison[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a very dangerous liaison . 	a very dangerous liaison .	1	-3	 a[0] very[0] dangerous[-1][-1 LastWordBoosterStrength] liaison[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
well , not really , i just wanted to say that . 	well , not really , i just wanted to say that .	1	-1	 well[0] not[0] really[0] i[0] just[0] wanted[0] to[0] say[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
almost immediately , a suspect is found , an eccentric night janitor seen flirting with the deceased on one of the security videos . 	almost immediately , a suspect is found , an eccentric night janitor seen flirting with the deceased on one of the security videos .	2	-2	 almost[0] immediately[0] a[0] suspect[-1] is[0] found[0] an[0] eccentric[-1] night[0] janitor[0] seen[0] flirting[1] with[0] the[0] deceased[0] on[0] one[0] of[0] the[0] security[1] videos[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
snipes doesn't buy it , and launches into an independent investigation of his own , one that reveals planted evidence and romantic involvement by the president's son . 	snipes doesn't buy it , and launches into an independent investigation of his own , one that reveals planted evidence and romantic involvement by the president's son .	4	-1	 snipes[0] doesn't[0] buy[0] it[0] and[0] launches[0] into[0] an[0] independent[0] investigation[0] of[0] his[0] own[0] one[0] that[0] reveals[0] planted[0] evidence[0] and[0] romantic[3] involvement[0] by[0] the[0] president's[0] son[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
snipes' partner , an always- wisecracking dennis miller , calls him up every once in awhile with more news and lane , who at first doesn't believe snipes , eventually and predictably comes around , and risks her ass to break into social security storage and break out some classified information . 	snipes' partner , an always- wisecracking dennis miller , calls him up every once in awhile with more news and lane , who at first doesn't believe snipes , eventually and predictably comes around , and risks her ass to break into social security storage and break out some classified information .	2	-2	 snipes'[0] partner[0] an[0] always[0] wisecracking[0] dennis[0] miller[0] calls[0] him[0] up[0] every[0] once[0] in[0] awhile[0] with[0] more[0] news[0] and[0] lane[0] who[0] at[0] first[0] doesn't[0] believe[0] snipes[0] eventually[0] and[0] predictably[0] comes[0] around[0] and[0] risks[-1] her[0] ass[0] to[0] break[0] into[0] social[0] security[1] storage[0] and[0] break[0] out[0] some[0] classified[0] information[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
for the first hour or so , murder at 1600 looks like it could be going somewhere interesting . 	for the first hour or so , murder at 1600 looks like it could be going somewhere interesting .	2	-4	 for[0] the[0] first[0] hour[0] or[0] so[0] murder[-3] at[0] 1600[0] looks[0] like[1] it[0] could[0] be[0] going[0] somewhere[0] interesting[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
sure , we have to sit through the lame opening sequence and plenty more lame scenes after that , but the whole murder in the white house thing makes for an interesting premise that is never quite delivered upon . 	sure , we have to sit through the lame opening sequence and plenty more lame scenes after that , but the whole murder in the white house thing makes for an interesting premise that is never quite delivered upon .	2	-4	 sure[0] we[0] have[0] to[0] sit[0] through[0] the[0] lame[-2] opening[0] sequence[0] and[0] plenty[0] more[0] lame[-2] scenes[0] after[0] that[0] but[0] the[0] whole[0] murder[-3] in[0] the[0] white[0] house[0] thing[0] makes[0] for[0] an[0] interesting[1] premise[0] that[0] is[0] never[0] quite[0] delivered[0] upon[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
snipes and lane don't make for a bad action team , but with nothing to work with , they're just cogs in the bad movie machine . 	snipes and lane don't make for a bad action team , but with nothing to work with , they're just cogs in the bad movie machine .	1	-2	 snipes[0] and[0] lane[0] don't[0] make[0] for[0] a[0] bad[-1] action[0] team[0] but[0] with[0] nothing[0] to[0] work[0] with[0] they're[0] just[0] cogs[0] in[0] the[0] bad[-1] movie[0] machine[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dennis miller might as well not even be in the movie ; they waste his talents more in murder at 1600 than they did in bordello of blood , and that's saying a lot . 	dennis miller might as well not even be in the movie ; they waste his talents more in murder at 1600 than they did in bordello of blood , and that's saying a lot .	2	-4	 dennis[0] miller[0] might[0] as[0] well[0] not[0] even[0] be[0] in[0] the[0] movie[0] they[0] waste[-1] his[0] talents[1] more[0] in[0] murder[-3] at[0] 1600[0] than[0] they[0] did[0] in[0] bordello[0] of[0] blood[0] and[0] that's[0] saying[0] a[0] lot[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
when you get to the last half-hour , the movie has descended metaphorically and literally into a wet sewer , busting out the old break-into-the-building underground climax . 	when you get to the last half-hour , the movie has descended metaphorically and literally into a wet sewer , busting out the old break-into-the-building underground climax .	1	-1	 when[0] you[0] get[0] to[0] the[0] last[0] half[0] hour[0] the[0] movie[0] has[0] descended[0] metaphorically[0] and[0] literally[0] into[0] a[0] wet[0] sewer[0] busting[0] out[0] the[0] old[0] break[0] into[0] the[0] building[0] underground[0] climax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and when they finally reveal who killed the woman and why , you'll wish you never sat through this movie at all . 	and when they finally reveal who killed the woman and why , you'll wish you never sat through this movie at all .	1	-4	 and[0] when[0] they[0] finally[0] reveal[0] who[0] killed[-3] the[0] woman[0] and[0] why[0] you'll[0] wish[0] you[0] never[0] sat[0] through[0] this[0] movie[0] at[0] all[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the " 1600 " in the movie's title doesn't represent an address , it represents the number of satisfied customers worldwide . 	the " 1600 " in the movie's title doesn't represent an address , it represents the number of satisfied customers worldwide .	2	-1	 the[0] 1600[0] in[0] the[0] movie's[0] title[0] doesn't[0] represent[0] an[0] address[0] it[0] represents[0] the[0] number[0] of[0] satisfied[1] customers[0] worldwide[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
serving the world for nearly 1/25th of a century ! 	serving the world for nearly 1/25th of a century !	1	-1	 serving[0] the[0] world[0] for[0] nearly[0] 1/25th[0] of[0] a[0] century[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
