plunkett & macleane marks the directing debut of jake scott , brother of ridley and tony . 	Translation	Positive	Negative	EmotionRationale
also , major events , such as mr . cash finding out who plunkett and macleane really are , are so rushed that they barely happened . 	also , major events , such as mr .<br> cash finding out who plunkett and macleane really are , are so rushed that they barely happened .	1	-1	 also[0] major[0] events[0] such[0] as[0] mr[0] [[Sentence=-1,1=word max, 1-5]] cash[0] finding[0] out[0] who[0] plunkett[0] and[0] macleane[0] really[0] are[0] are[0] so[0] rushed[0] that[0] they[0] barely[0] happened[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the story is a bit of a mess , frankly . 	the story is a bit of a mess , frankly .	1	-1	 the[0] story[0] is[0] a[0] bit[0] of[0] a[0] mess[0] frankly[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the performances aren't bad : carlyle and miller are typical lads , but liv tyler is a huge disappointment as the love interest . 	the performances aren't bad : carlyle and miller are typical lads , but liv tyler is a huge disappointment as the love interest .	3	-2	 the[0] performances[0] aren't[0] bad[-1][NegatedDueToPreviousWord] carlyle[0] and[0] miller[0] are[0] typical[0] lads[0] but[0] liv[0] tyler[0] is[0] a[0] huge[0] disappointment[-1] as[0] the[0] love[2] interest[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
her irritable , stilted performance sticks out like a sore thumb , and i was quite unsure on what accent she was trying to put on . 	her irritable , stilted performance sticks out like a sore thumb , and i was quite unsure on what accent she was trying to put on .	2	-3	 her[0] irritable[-2] stilted[0] performance[0] sticks[0] out[0] like[1] a[0] sore[-1] thumb[0] and[0] i[0] was[0] quite[0] unsure[0] on[0] what[0] accent[0] she[0] was[0] trying[0] to[0] put[0] on[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
she looks nice , though . 	she looks nice , though .	2	-1	 she[0] looks[0] nice[1] though[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
more interesting is alan cummings as the campy lord rochester , and although his character amounts to nothing more than a two dimensional comedy gay character , he hams it up well . 	more interesting is alan cummings as the campy lord rochester , and although his character amounts to nothing more than a two dimensional comedy gay character , he hams it up well .	2	-2	 more[0] interesting[1] is[0] alan[0] cummings[0] as[0] the[0] campy[0] lord[0] rochester[0] and[0] although[0] his[0] character[0] amounts[0] to[0] nothing[0] more[0] than[0] a[0] two[0] dimensional[0] comedy[0] gay[-1] character[0] he[0] hams[0] it[0] up[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
ken stott is suitably evil as chance , but again he is nothing but a flat character . 	ken stott is suitably evil as chance , but again he is nothing but a flat character .	1	-3	 ken[0] stott[0] is[0] suitably[0] evil[-2] as[0] chance[0] but[0] again[0] he[0] is[0] nothing[0] but[0] a[0] flat[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i didn't particularly care when the predictable death sequence arrived . 	i didn't particularly care when the predictable death sequence arrived .	2	-3	 i[0] didn't[0] particularly[0] care[1] when[0] the[0] predictable[0] death[-2] sequence[0] arrived[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
although a disappointment in writing , and a minor success in acting , the film certainly look lavish , with good costumes , and wonderful sets . 	although a disappointment in writing , and a minor success in acting , the film certainly look lavish , with good costumes , and wonderful sets .	3	-2	 although[0] a[0] disappointment[-1] in[0] writing[0] and[0] a[0] minor[0] success[2] in[0] acting[0] the[0] film[0] certainly[0] look[0] lavish[0] with[0] good[1] costumes[0] and[0] wonderful[2] sets[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but production design alone can't save a movie , especially a movie as bad as this mess . 	but production design alone can't save a movie , especially a movie as bad as this mess .	1	-2	 but[0] production[0] design[0] alone[0] can't[0] save[1][NegatedDueToPreviousWord] a[0] movie[0] especially[0] a[0] movie[0] as[0] bad[-1] as[0] this[0] mess[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jake scott would be more suited to directing a music video rather than this failed update of a period drama : the only update seems to be the fact that everyone must talk dirty , with 'f * ck this' and 'stand and f * cking deliver' splattered all over the place . 	jake scot would be more suited to directing a music video rather than this failed update of a period drama : the only update seems to be the fact that everyone must talk dirty , with 'f * ck this' and 'stand and f * cking deliver' splattered all over the place .	1	-3	 jake[0] scott/scot[0] would[0] be[0] more[0] suited[0] to[0] directing[0] a[0] music[0] video[0] rather[0] than[0] this[0] failed[-2] update[0] of[0] a[0] period[0] drama[0] the[0] only[0] update[0] seems[0] to[0] be[0] the[0] fact[0] that[0] everyone[0] must[0] talk[0] dirty[-1] with[0] 'f[0] ck[0] this'[0] and[0] 'stand[0] and[0] f[0] cking[0] deliver'[0] splattered[0] all[0] over[0] the[0] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the mtv editing and direction are flash enough , but in the end decidedly empty . 	the mtv editing and direction are flash enough , but in the end decidedly empty .	1	-1	 the[0] mtv[0] editing[0] and[0] direction[0] are[0] flash[0] enough[0] but[0] in[0] the[0] end[0] decidedly[0] empty[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plunkett & macleane is a massive disappointment . 	plunkett & macleane is a massive disappointment .	1	-2	 plunkett[0] &[0] macleane[0] is[0] a[0] massive[0] disappointment[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although somewhat enjoyable during parts , it's so light it could float off the screen if it wasn't just images on a reel . 	although somewhat enjoyable during parts , it's so light it could float off the screen if it wasn't just images on a reel .	3	-1	 although[0] somewhat[0] enjoyable[2] during[0] parts[0] it's[0] so[0] light[0] it[0] could[0] float[0] off[0] the[0] screen[0] if[0] it[0] wasn't[0] just[0] images[0] on[0] a[0] reel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there's no thought , no development , no plot , just a series of manic edits and quirky camera angles to make this film appeal to gen-xers . 	there's no thought , no development , no plot , just a series of manic edits and quirky camera angles to make this film appeal to gen-xers .	1	-1	 there's[0] no[0] thought[0] no[0] development[0] no[0] plot[0] just[0] a[0] series[0] of[0] manic[0] edits[0] and[0] quirky[0] camera[0] angles[0] to[0] make[0] this[0] film[0] appeal[0] to[0] gen[0] xers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although it's a great idea : update a period drama to the mtv generation : it's execution is awful , and would more likely bore than excite . 	although it's a great idea : update a period drama to the mtv generation : it's execution is awful , and would more likely bore than excite .	3	-4	 although[0] it's[0] a[0] great[2] idea[0] update[0] a[0] period[0] drama[0] to[0] the[0] mtv[0] generation[0] it's[0] execution[0] is[0] awful[-3] and[0] would[0] more[0] likely[0] bore[-1] than[0] excite[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
sloppy and occasionally off puttingly tasteless , it's hard to recommend plunkett & macleane as a movie , but easy to recommend it as a overlong music video . 	sloppy and occasionally off puttingly tasteless , it's hard to recommend plunkett & macleane as a movie , but easy to recommend it as a overlong music video .	1	-2	 sloppy[-1] and[0] occasionally[0] off[0] puttingly[0] tasteless[0] it's[0] hard[0] to[0] recommend[0] plunkett[0] &[0] macleane[0] as[0] a[0] movie[0] but[0] easy[0] to[0] recommend[0] it[0] as[0] a[0] overlong[0] music[0] video[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
give it a miss . 	give it a miss .	2	-2	 give[0] it[0] a[0] miss[-1] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
