okay , bear with me y'all , cause first off i have to get this off my chest : 	Translation	Positive	Negative	EmotionRationale
the supporting character nolan was a highlight , though he reminded me a bit of kevin in " you've got mail " ( see footnotes ) . 	the supporting character nolan was a highlight , though he reminded me a bit of kevin in " you've got mail " ( see footnotes ) .	2	-1	 the[0] supporting[1] character[0] nolan[0] was[0] a[0] highlight[0] though[0] he[0] reminded[0] me[0] a[0] bit[0] of[0] kevin[0] in[0] you've[0] got[0] mail[0] see[0] footnotes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and , as always , typical of a chick flick / romantic comedy , there's a seemingly endless romantic soundtrack in the background , cued up at all the right places . 	and , as always , typical of a chick flick / romantic comedy , there's a seemingly endless romantic soundtrack in the background , cued up at all the right places .	4	-1	 and[0] as[0] always[0] typical[0] of[0] a[0] chick[0] flick[0] /[0] romantic[3] comedy[0] there's[0] a[0] seemingly[0] endless[0] romantic[3] soundtrack[0] in[0] the[0] background[0] cued[0] up[0] at[0] all[0] the[0] right[0] places[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
this sort of got on the nerves after a while , too . 	this sort of got on the nerves after a while , too .	1	-1	 this[0] sort[0] of[0] got[0] on[0] the[0] nerves[0] after[0] a[0] while[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " simply irresistible " is not hard to understand , light , funny in some places , and generally disappointing because it can't draw the line between romance and protracted sap , between humor and tired slapstick . 	 " simply irresistible " is not hard to understand , light , funny in some places , and generally disappointing because it can't draw the line between romance and protracted sap , between humor and tired slapstick .	4	-2	 simply[0] irresistible[0] is[0] not[0] hard[0] to[0] understand[0] light[0] funny[1] in[0] some[0] places[0] and[0] generally[0] disappointing[-1] because[0] it[0] can't[0] draw[0] the[0] line[0] between[0] romance[3] and[0] protracted[0] sap[-1] between[0] humor[2] and[0] tired[-1] slapstick[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
and how could i refrain from making a pun ? 	and how could i refrain from making a pun ?	1	-2	 and[0] how[0] could[0] i[0] refrain[-1] from[0] making[0] a[0] pun[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 " simply irresistible " is all too easy to resist . 	 " simply irresistible " is all too easy to resist .	1	-1	 simply[0] irresistible[0] is[0] all[0] too[0] easy[0] to[0] resist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( first viewing , 2/6/99 ) 	 ( first viewing , 2/6/99 )	1	-1	 first[0] viewing[0] 2/6/99[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * did anyone else think this was a tad bit similar to " you've got mail " ( or " the shop around the corner " ) ? 	 * did anyone else think this was a tad bit similar to " you've got mail " ( or " the shop around the corner " ) ?	1	-1	 did[0] anyone[0] else[0] think[0] this[0] was[0] a[0] tad[0] bit[0] similar[0] to[0] you've[0] got[0] mail[0] or[0] the[0] shop[0] around[0] the[0] corner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
business rivals fall in love . 	business rivals fall in love .	3	-1	 business[0] rivals[0] fall[0] in[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
female counterpart's business is in danger of being shut down . 	female counterpart's business is in danger of being shut down .	1	-2	 female[0] counterpart's[0] business[0] is[0] in[0] danger[-1] of[0] being[0] shut[0] down[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
female as mother- like figure guiding her . 	female as mother- like figure guiding her .	2	-1	 female[0] as[0] mother[0] like[1] figure[0] guiding[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the annoying , hysterical ex-girlfriends . 	the annoying , hysterical ex-girlfriends .	1	-3	 the[0] annoying[-2] hysterical[-1] ex[0] girlfriends[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 * i _really_ like sarah michelle gellar's wardrobe . 	 * i _really_ like sarah michelle gellar's wardrobe .	2	-1	 i[0] _really_[0] like[1] sarah[0] michelle[0] gellar's[0] wardrobe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
