to watch `battlefield earth' is to wallow in misery . 	Translation	Positive	Negative	EmotionRationale
at a price tag of  90 million , this film will be remembered as a gigantic folly , assuredly becoming  the avengers' of this summer . 	at a price tag of  90 million , this film will be remembered as a gigantic folly , assuredly becoming  the avengers' of this summer .	1	-2	 at[0] a[0] price[0] tag[0] of[0] 90[0] million[0] this[0] film[0] will[0] be[0] remembered[0] as[0] a[0] gigantic[0] folly[0] assuredly[0] becoming[0] the[0] avengers'[-1] of[0] this[0] summer[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
both films were unforgivable and this promises to suffer the same speedy fate and subsequent indignity . 	both films were unforgivable and this promises to suffer the same speedy fate and subsequent indignity .	2	-4	 both[0] films[0] were[0] unforgivable[0] and[0] this[0] promises[1] to[0] suffer[-3] the[0] same[0] speedy[0] fate[0] and[0] subsequent[0] indignity[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
in addition to the universally pejorative reviews , there's another bizarre element to the  battlefield' saga . 	in addition to the universally pejorative reviews , there's another bizarre element to the  battlefield' saga .	1	-2	 in[0] addition[0] to[0] the[0] universally[0] pejorative[0] reviews[0] there's[0] another[0] bizarre[-1] element[0] to[0] the[0] battlefield'[-1] saga[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this film would never have been made if not for the star power of travolta , who for over a decade , had been trying to persuade studios to bring the story to the big screen . 	this film would never have been made if not for the star power of travolta , who for over a decade , had been trying to persuade studios to bring the story to the big screen .	1	-1	 this[0] film[0] would[0] never[0] have[0] been[0] made[0] if[0] not[0] for[0] the[0] star[0] power[0] of[0] travolta[0] who[0] for[0] over[0] a[0] decade[0] had[0] been[0] trying[0] to[0] persuade[0] studios[0] to[0] bring[0] the[0] story[0] to[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the controversy is that travolta is a scientologist , and  battlefield' is based on a 1982 novel by l . ron hubbard , the religion's late founder . 	the controversy is that travolta is a scientologist , and  battlefield' is based on a 1982 novel by l .<br> ron hubbard , the religion's late founder .	1	-2	 the[0] controversy[-1] is[0] that[0] travolta[0] is[0] a[0] scientologist[0] and[0] battlefield'[-1] is[0] based[0] on[0] a[0] 1982[0] novel[0] by[0] l[0] [[Sentence=-2,1=word max, 1-5]] ron[0] hubbard[0] the[0] religion's[0] late[0] founder[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this led some to believe that  battlefield earth' would amount to scientologist dogma , laden with subliminal messages . 	this led some to believe that  battlefield earth' would amount to scientologist dogma , laden with subliminal messages .	1	-2	 this[0] led[0] some[0] to[0] believe[0] that[0] battlefield[-1] earth'[0] would[0] amount[0] to[0] scientologist[0] dogma[0] laden[0] with[0] subliminal[0] messages[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the story is so poorly told that any message , subliminal or otherwise , is totally undetectable . 	but the story is so poorly told that any message , subliminal or otherwise , is totally undetectable .	1	-2	 but[0] the[0] story[0] is[0] so[0] poorly[-1] told[0] that[0] any[0] message[0] subliminal[0] or[0] otherwise[0] is[0] totally[0] undetectable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if the audience got anything out of this film , it was this : we are not too unlike the psychlo leader . 	if the audience got anything out of this film , it was this : we are not too unlike the psychlo leader .	1	-1	 if[0] the[0] audience[0] got[0] anything[0] out[0] of[0] this[0] film[0] it[0] was[0] this[0] we[0] are[0] not[0] too[0] unlike[0] the[0] psychlo[0] leader[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
like terl , the audience felt imprisoned , dreaded their situation , and looked for any opportunity to leave . 	like terl , the audience felt imprisoned , dreaded their situation , and looked for any opportunity to leave .	2	-4	 like[1] terl[0] the[0] audience[0] felt[0] imprisoned[-1] dreaded[-3] their[0] situation[0] and[0] looked[0] for[0] any[0] opportunity[0] to[0] leave[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
could that be the scientology message ? 	could that be the scientology message ?	1	-1	 could[0] that[0] be[0] the[0] scientology[0] message[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
