`the skulls' is a laughably bad thriller , a teen-orientated doppelganger of `the firm' so blazingly ridiculous that it caused me to drift into a hypnotic stupor . 	Translation	Positive	Negative	EmotionRationale
afterward they are supplied with a wristwatch that conveniently covers up the scar . 	afterward they are supplied with a wristwatch that conveniently covers up the scar .	1	-2	 afterward[0] they[0] are[0] supplied[0] with[0] a[0] wristwatch[0] that[0] conveniently[0] covers[0] up[0] the[0] scar[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
will they never take this watch off ? 	will they never take this watch off ?	1	-1	 will[0] they[0] never[0] take[0] this[0] watch[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and what if they forget it by their bedside ? 	and what if they forget it by their bedside ?	1	-1	 and[0] what[0] if[0] they[0] forget[0] it[0] by[0] their[0] bedside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps their ? secret' society was being a little too conspicuous when they decided to brand new members like cattle on an area of the body that is easily exposed . 	perhaps their ?<br> secret' society was being a little too conspicuous when they decided to brand new members like cattle on an area of the body that is easily exposed .	2	-2	 perhaps[0] their[0] [[Sentence=-1,1=word max, 1-5]] secret'[0] society[0] was[0] being[0] a[0] little[0] too[0] conspicuous[0] when[0] they[0] decided[0] to[0] brand[0] new[0] members[0] like[1] cattle[0] on[0] an[0] area[0] of[0] the[0] body[0] that[0] is[0] easily[0] exposed[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
on top of this , they are each given a rulebook and a key to headquarters . 	on top of this , they are each given a rulebook and a key to headquarters .	1	-1	 on[0] top[0] of[0] this[0] they[0] are[0] each[0] given[0] a[0] rulebook[0] and[0] a[0] key[0] to[0] headquarters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gee , why not member t-shirts ? 	gee , why not member t-shirts ?	1	-1	 gee[0] why[0] not[0] member[0] t[0] shirts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but my favorite bit is this : the voting committee for the skulls does not bother with individual ? agree' or ? disagree' notions when making collective decisions . 	but my favorite bit is this : the voting committee for the skulls does not bother with individual ?<br> agree' or ?<br> disagree' notions when making collective decisions .	2	-2	 but[0] my[0] favorite[1] bit[0] is[0] this[0] the[0] voting[0] committee[0] for[0] the[0] skulls[0] does[0] not[0] bother[-1][NegatedDueToPreviousWord] with[0] individual[0] [[Sentence=-1,2=word max, 1-5]] agree'[0] or[0] [[Sentence=-1,1=word max, 1-5]] disagree'[-1] notions[0] when[0] making[0] collective[0] decisions[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
they are given official skull paddles . 	they are given official skull paddles .	1	-1	 they[0] are[0] given[0] official[0] skull[0] paddles[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when flipped to one side , they indicate the member agrees with the proposal . 	when flipped to one side , they indicate the member agrees with the proposal .	1	-1	 when[0] flipped[0] to[0] one[0] side[0] they[0] indicate[0] the[0] member[0] agrees[0] with[0] the[0] proposal[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
facing the opposite way means a disagreement . 	facing the opposite way means a disagreement .	1	-2	 facing[0] the[0] opposite[0] way[0] means[0] a[0] disagreement[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wouldn't they merely express themselves verbally ? 	wouldn't they merely express themselves verbally ?	1	-1	 wouldn't[0] they[0] merely[0] express[0] themselves[0] verbally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hell no . 	hell no .	1	-2	 hell[-1] no[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they have to retrieve the paddles for a proper vote , and maybe afterward they can play ping-pong . 	they have to retrieve the paddles for a proper vote , and maybe afterward they can play ping-pong .	1	-1	 they[0] have[0] to[0] retrieve[0] the[0] paddles[0] for[0] a[0] proper[0] vote[0] and[0] maybe[0] afterward[0] they[0] can[0] play[0] ping[0] pong[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'm still chuckling about these ludicrous details , but the humiliating dialogue is enough to send one into arrest . 	i'm still chuckling about these ludicrous details , but the humiliating dialogue is enough to send one into arrest .	3	-4	 i'm[0] still[0] chuckling[2] about[0] these[0] ludicrous[-2] details[0] but[0] the[0] humiliating[-3] dialogue[0] is[0] enough[0] to[0] send[0] one[0] into[0] arrest[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the cast , meanwhile , combines a pinch of veteran talent with a dash of the  dawson's creek' crowd , and fuses the two together , ensuring that the embarrassment will be a mutually shared union throughout . 	the cast , meanwhile , combines a pinch of veteran talent with a dash of the  dawson's creek' crowd , and fuses the two together , ensuring that the embarrassment will be a mutually shared union throughout .	2	-3	 the[0] cast[0] meanwhile[0] combines[0] a[0] pinch[-1] of[0] veteran[0] talent[1] with[0] a[0] dash[0] of[0] the[0] dawson's[0] creek'[0] crowd[0] and[0] fuses[0] the[0] two[0] together[0] ensuring[0] that[0] the[0] embarrassment[-2] will[0] be[0] a[0] mutually[0] shared[0] union[0] throughout[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but not entirely . 	but not entirely .	1	-1	 but[0] not[0] entirely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
accomplished actors like craig t . nelson ( as skulls chairman judge litten mandrake ) and william peterson ( as fellow board member senator levritt ) are dealt pathetic villain caricatures , and look suitably embarrassed handling them . 	accomplished actors like craig t .<br> nelson ( as skulls chairman judge litten mandrake ) and william peterson ( as fellow board member senator levritt ) are dealt pathetic villain caricatures , and look suitably embarrassed handling them .	2	-4	 accomplished[1] actors[0] like[1] craig[0] t[0] [[Sentence=-1,2=word max, 1-5]] nelson[0] as[0] skulls[0] chairman[0] judge[0] litten[0] mandrake[0] and[0] william[0] peterson[0] as[0] fellow[0] board[0] member[0] senator[0] levritt[0] are[0] dealt[0] pathetic[-2] villain[-2][-1 MultiplePositiveWords] caricatures[0] and[0] look[0] suitably[0] embarrassed[-2] handling[0] them[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
and then there's christopher mcdonald , who has the capacity to be a fun , exciting actor . 	and then there's christopher mcdonald , who has the capacity to be a fun , exciting actor .	3	-1	 and[0] then[0] there's[0] christopher[0] mcdonald[0] who[0] has[0] the[0] capacity[0] to[0] be[0] a[0] fun[1] exciting[2] actor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mcdonald's charisma is totally diminished here as he sleepwalks through another perfunctory bad guy role ( yes , pogue makes it a hat-trick ) . 	mcdonald's charisma is totally diminished here as he sleepwalks through another perfunctory bad guy role ( yes , pogue makes it a hat-trick ) .	1	-2	 mcdonald's[0] charisma[0] is[0] totally[0] diminished[0] here[0] as[0] he[0] sleepwalks[0] through[0] another[0] perfunctory[0] bad[-1] guy[0] role[0] yes[0] pogue[0] makes[0] it[0] a[0] hat[0] trick[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i pray it was a  snatch-the-paycheck-and-run' exercise for all these actors . 	i pray it was a  snatch-the-paycheck-and-run' exercise for all these actors .	1	-2	 i[0] pray[0] it[0] was[0] a[0] snatch[-1] the[0] paycheck[0] and[0] run'[0] exercise[0] for[0] all[0] these[0] actors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the young troupe of performers involved fair moderately better . 	the young troupe of performers involved fair moderately better .	1	-1	 the[0] young[0] troupe[0] of[0] performers[0] involved[0] fair[0] moderately[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's cut the talented canadian lad joshua jackson some slack for maintaining believability within the confines of his character . 	let's cut the talented canadian lad joshua jackson some slack for maintaining believability within the confines of his character .	2	-1	 let's[0] cut[0] the[0] talented[1] canadian[0] lad[0] joshua[0] jackson[0] some[0] slack[0] for[0] maintaining[0] believability[0] within[0] the[0] confines[0] of[0] his[0] character[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paul walker , the strapping quarterback from  varsity blues' , is bland but passable as caleb mandrake - the judge's son . 	paul walker , the strapping quarterback from  varsity blues' , is bland but passable as caleb mandrake - the judge's son .	1	-2	 paul[0] walker[0] the[0] strapping[0] quarterback[0] from[0] varsity[0] blues'[0] is[0] bland[-1] but[0] passable[0] as[0] caleb[0] mandrake[0] the[0] judge's[0] son[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
walker preserves a straight face , even when dealt the silliest dialogue in the movie (  dad , i just killed a guy in the ritual room ! ' ) . 	walker preserves a straight face , even when dealt the silliest dialogue in the movie (  dad , i just killed a guy in the ritual room !<br> ' ) .	2	-3	 walker[0] preserves[0] a[0] straight[0] face[0] even[0] when[0] dealt[0] the[0] silliest[1] dialogue[0] in[0] the[0] movie[0] dad[0] i[0] just[0] killed[-3][--1 LastWordBoosterStrength] a[0] guy[0] in[0] the[0] ritual[0] room[0] [[Sentence=-3,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
some actual spark is generated by leslie bibb , who plays luke's longtime chum chloe , and manages to successfully pull off some convincing dramatics . 	some actual spark is generated by leslie bib , who plays luke's longtime chum chloe , and manages to successfully pull off some convincing dramatics .	3	-1	 some[0] actual[0] spark[0] is[0] generated[0] by[0] leslie[0] bibb/bib[0] who[0] plays[1] luke's[0] longtime[0] chum[0] chloe[0] and[0] manages[0] to[0] successfully[2] pull[0] off[0] some[0] convincing[0] dramatics[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it really boils down to the actors attempting to puncture the surrounding plastic bubble of absurdity that cages them from minute one . 	it really boils down to the actors attempting to puncture the surrounding plastic bubble of absurdity that cages them from minute one .	1	-2	 it[0] really[0] boils[0] down[0] to[0] the[0] actors[0] attempting[0] to[0] puncture[0] the[0] surrounding[0] plastic[0] bubble[0] of[0] absurdity[-1] that[0] cages[0] them[0] from[0] minute[0] one[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
or maybe not minute one , thanks to a decent set-up from director rob cohen , who films early sequences with a sense of atmosphere and style . 	or maybe not minute one , thanks to a decent set-up from director rob cohen , who films early sequences with a sense of atmosphere and style .	2	-1	 or[0] maybe[0] not[0] minute[0] one[0] thanks[1] to[0] a[0] decent[0] set[0] up[0] from[0] director[0] rob[0] cohen[0] who[0] films[0] early[0] sequences[0] with[0] a[0] sense[0] of[0] atmosphere[0] and[0] style[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it makes you wonder why he didn't flee indefinitely from the project , because while enjoyable cheese like  dragonheart' and the moderate stallone thriller  daylight' aren't superior cinema , they belong on the afi top 100 list when compared to this degrading trash . 	it makes you wonder why he didn't flee indefinitely from the project , because while enjoyable cheese like  dragonheart' and the moderate stallone thriller  daylight' aren't superior cinema , they belong on the afi top 100 list when compared to this degrading trash .	3	-3	 it[0] makes[0] you[0] wonder[0] why[0] he[0] didn't[0] flee[-1] indefinitely[0] from[0] the[0] project[0] because[0] while[0] enjoyable[2] cheese[0] like[1] dragonheart'[0] and[0] the[0] moderate[0] stallone[0] thriller[1] daylight'[0] aren't[0] superior[2][NegatedDueToPreviousWord] cinema[0] they[0] belong[0] on[0] the[0] afi[0] top[0] 100[0] list[0] when[0] compared[0] to[0] this[0] degrading[-2] trash[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
aside from unintentionally humoring the audience ,  the skulls' gets little accomplished . 	aside from unintentionally humoring the audience ,  the skulls' gets little accomplished .	3	-1	 aside[0] from[0] unintentionally[0] humoring[2] the[0] audience[0] the[0] skulls'[0] gets[0] little[0] accomplished[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the thrills and action are lazy and mechanical . 	the thrills and action are lazy and mechanical .	4	-2	 the[0] thrills[3] and[0] action[0] are[0] lazy[-1] and[0] mechanical[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
the story is stuffed with ridiculous , formulaic plotting that sheepishly overlooks the cool potential of a secret underground society flick . 	the story is stuffed with ridiculous , formulaic plotting that sheepishly overlooks the cool potential of a secret underground society flick .	2	-3	 the[0] story[0] is[0] stuffed[0] with[0] ridiculous[-2] formulaic[0] plotting[0] that[0] sheepishly[0] overlooks[-1] the[0] cool[1] potential[0] of[0] a[0] secret[0] underground[0] society[0] flick[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
instead of gaining knowledge about the skulls as an organization , we are thrust into a lame video surveillance conspiracy that has developed barnacles from excessive usage . 	instead of gaining knowledge about the skulls as an organization , we are thrust into a lame video surveillance conspiracy that has developed barnacles from excessive usage .	1	-3	 instead[0] of[0] gaining[0] knowledge[0] about[0] the[0] skulls[0] as[0] an[0] organization[0] we[0] are[0] thrust[0] into[0] a[0] lame[-2] video[0] surveillance[0] conspiracy[-1] that[0] has[0] developed[0] barnacles[0] from[0] excessive[-1] usage[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we've seen it all before , and better . 	we've seen it all before , and better .	1	-1	 we've[0] seen[0] it[0] all[0] before[0] and[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 the skulls' is a feeble little circus of stupidity , so miscalculated that -- while it would serve as a clever pun -- a term like ? boneheaded' seems just too generous . 	 the skulls' is a feeble little circus of stupidity , so miscalculated that - while it would serve as a clever pun - a term like ?<br> boneheaded' seems just too generous .	2	-2	 the[0] skulls'[0] is[0] a[0] feeble[-1] little[0] circus[0] of[0] stupidity[-1] so[0] miscalculated[0] that[0] while[0] it[0] would[0] serve[0] as[0] a[0] clever[0] pun[0] a[0] term[0] like[1] [[Sentence=-2,2=word max, 1-5]] boneheaded'[-1] seems[0] just[0] too[0] generous[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
