i still can't figure out why people went in droves to see this movie . 	Translation	Positive	Negative	EmotionRationale
it's really a shame too , because this film had the potential to be very funny . 	it's really a shame too , because this film had the potential to be very funny .	3	-3	 it's[0] really[0] a[0] shame[-2] too[0] because[0] this[0] film[0] had[0] the[0] potential[0] to[0] be[0] very[0] funny[1][1 LastWordBoosterStrength] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i personally believe that sandler is probably a very talented comedian , it's just that so far he hasn't been able to find the right film to showcase his talents . 	i personally believe that sandler is probably a very talented comedian , it's just that so far he hasn't been able to find the right film to showcase his talents .	3	-1	 i[0] personally[0] believe[0] that[0] sandler[0] is[0] probably[0] a[0] very[0] talented[1][1 LastWordBoosterStrength] comedian[0] it's[0] just[0] that[0] so[0] far[0] he[0] hasn't[0] been[0] able[0] to[0] find[0] the[0] right[0] film[0] to[0] showcase[0] his[0] talents[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if his only talent is making goofy voices and playing morons , my guess is that his career in the movies will go down the same road as the vast majority of the former stars of saturday night live . 	if his only talent is making goofy voices and playing morons , my guess is that his career in the movies will go down the same road as the vast majority of the former stars of saturday night live .	2	-3	 if[0] his[0] only[0] talent[1] is[0] making[0] goofy[0] voices[0] and[0] playing[1] morons[-2] my[0] guess[0] is[0] that[0] his[0] career[0] in[0] the[0] movies[0] will[0] go[0] down[0] the[0] same[0] road[0] as[0] the[0] vast[0] majority[0] of[0] the[0] former[0] stars[0] of[0] saturday[0] night[0] live[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
most of whom are now happily no longer in the entertainment industry . 	most of whom are now happily no longer in the entertainment industry .	3	-1	 most[0] of[0] whom[0] are[0] now[0] happily[2] no[0] longer[0] in[0] the[0] entertainment[0] industry[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sandler plays a 31-year-old , somewhat mentally challenged , waterboy for a college football team . 	sandler plays a 31-year-old , somewhat mentally challenged , waterboy for a college football team .	2	-2	 sandler[0] plays[1] a[0] 31[0] year[0] old[0] somewhat[0] mentally[0] challenged[-1] waterboy[0] for[0] a[0] college[0] football[0] team[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the team's somewhat mentally disturbed coach ( henry winkler ) realizes that his waterboy has a great deal of pent-up rage , which , if harnessed properly , would make him a force to be reckoned with on the football field . 	the team's somewhat mentally disturbed coach ( henry winkler ) realizes that his waterboy has a great deal of pent-up rage , which , if harnessed properly , would make him a force to be reckoned with on the football field .	3	-4	 the[0] team's[0] somewhat[0] mentally[0] disturbed[-1] coach[0] henry[0] winkler[0] realizes[0] that[0] his[0] waterboy[0] has[0] a[0] great[2] deal[0] of[0] pent[0] up[0] rage[-3] which[0] if[0] harnessed[0] properly[0] would[0] make[0] him[0] a[0] force[-1] to[0] be[0] reckoned[0] with[0] on[0] the[0] football[0] field[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
you can figure out the rest from here . 	you can figure out the rest from here .	1	-1	 you[0] can[0] figure[0] out[0] the[0] rest[0] from[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sandler joins the team and this once lowly waterboy becomes a football star . 	sandler joins the team and this once lowly waterboy becomes a football star .	1	-2	 sandler[0] joins[0] the[0] team[0] and[0] this[0] once[0] lowly[-1] waterboy[0] becomes[0] a[0] football[0] star[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as i said , the film had a great deal of potential . 	as i said , the film had a great deal of potential .	3	-1	 as[0] i[0] said[0] the[0] film[0] had[0] a[0] great[2] deal[0] of[0] potential[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the idea was a decent one , but the main potential of this movie is a result of the cast . 	the idea was a decent one , but the main potential of this movie is a result of the cast .	1	-1	 the[0] idea[0] was[0] a[0] decent[0] one[0] but[0] the[0] main[0] potential[0] of[0] this[0] movie[0] is[0] a[0] result[0] of[0] the[0] cast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of whom are very good , just hamstrung by really , really , lousy material . 	all of whom are very good , just hamstrung by really , really , lousy material .	3	-4	 all[0] of[0] whom[0] are[0] very[0] good[1][1 LastWordBoosterStrength] just[0] hamstrung[0] by[0] really[0] really[0] lousy[-2][-1 LastWordBoosterStrength] material[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
even sandler , annoying goofy voice and all , has enough charisma and natural comedic ability to overcome some of his bad material . 	even sandler , annoying goofy voice and all , has enough charisma and natural comedic ability to overcome some of his bad material .	1	-3	 even[0] sandler[0] annoying[-2] goofy[0] voice[0] and[0] all[0] has[0] enough[0] charisma[0] and[0] natural[0] comedic[0] ability[0] to[0] overcome[0] some[0] of[0] his[0] bad[-1] material[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
even as unfunny as his character is , i still found myself rooting for him throughout the film . 	even as unfunny as his character is , i still found myself rooting for him throughout the film .	1	-1	 even[0] as[0] unfunny[0] as[0] his[0] character[0] is[0] i[0] still[0] found[0] myself[0] rooting[0] for[0] him[0] throughout[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it is the supporting cast that i feel most badly about . 	but it is the supporting cast that i feel most badly about .	2	-2	 but[0] it[0] is[0] the[0] supporting[1] cast[0] that[0] i[0] feel[0] most[0] badly[-1] about[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if their material had been just a bit better , this film could have been such a funny movie . 	if their material had been just a bit better , this film could have been such a funny movie .	2	-1	 if[0] their[0] material[0] had[0] been[0] just[0] a[0] bit[0] better[0] this[0] film[0] could[0] have[0] been[0] such[0] a[0] funny[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fairuza balk plays sandler's leather-wearing biker-chick love interest and does a great job playing sleazy and sexy at the same time . 	fairuza balk plays sandler's leather-wearing biker-chick love interest and does a great job playing sleazy and sexy at the same time .	3	-3	 fairuza[0] balk[-1] plays[1] sandler's[0] leather[0] wearing[0] biker[0] chick[0] love[2] interest[1] and[0] does[0] a[0] great[2] job[0] playing[1] sleazy[-2] and[0] sexy[2] at[0] the[0] same[0] time[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
winkler is great as the coach who uses a " coaching for dummies " -style book to help him get through games . 	winkler is great as the coach who uses a " coaching for dummies " -style book to help him get through games .	3	-1	 winkler[0] is[0] great[2] as[0] the[0] coach[0] who[0] uses[0] a[0] coaching[0] for[0] dummies[0] style[0] book[0] to[0] help[0] him[0] get[0] through[0] games[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the real standout though , is kathy bates . 	the real standout though , is kathy bates .	1	-1	 the[0] real[0] standout[0] though[0] is[0] kathy[0] bates[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even with some of the worst material of her career to deal with , she is still a treat to watch in her role as sandler's overprotective and overbearing mama . 	even with some of the worst material of her career to deal with , she is still a treat to watch in her role as sandler's overprotective and overbearing mama .	2	-3	 even[0] with[0] some[0] of[0] the[0] worst[-2] material[0] of[0] her[0] career[0] to[0] deal[0] with[0] she[0] is[0] still[0] a[0] treat[1] to[0] watch[0] in[0] her[0] role[0] as[0] sandler's[0] overprotective[0] and[0] overbearing[-1] mama[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
even with the performances of bates and winkler , there is absolutely no way i would recommend this movie . 	even with the performances of bates and winkler , there is absolutely no way i would recommend this movie .	1	-1	 even[0] with[0] the[0] performances[0] of[0] bates[0] and[0] winkler[0] there[0] is[0] absolutely[0] no[0] way[0] i[0] would[0] recommend[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although i get the distinct impression that without them , this film would have ranked in negative numbers for me . 	although i get the distinct impression that without them , this film would have ranked in negative numbers for me .	1	-2	 although[0] i[0] get[0] the[0] distinct[0] impression[0] that[0] without[0] them[0] this[0] film[0] would[0] have[0] ranked[0] in[0] negative[-1] numbers[0] for[0] me[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
which is sad , because i can't really put my finger on a particular element of the movie and single it out as the cause of the disaster that it became . 	which is sad , because i can't really put my finger on a particular element of the movie and single it out as the cause of the disaster that it became .	1	-4	 which[0] is[0] sad[-3] because[0] i[0] can't[0] really[0] put[0] my[0] finger[0] on[0] a[0] particular[0] element[0] of[0] the[0] movie[0] and[0] single[0] it[0] out[0] as[0] the[0] cause[0] of[0] the[0] disaster[-1] that[0] it[0] became[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's obvious that those involved , specifically the actors , tried very hard to make what they thought was going to be a funny movie . 	it's obvious that those involved , specifically the actors , tried very hard to make what they thought was going to be a funny movie .	2	-1	 it's[0] obvious[0] that[0] those[0] involved[0] specifically[0] the[0] actors[0] tried[0] very[0] hard[0] to[0] make[0] what[0] they[0] thought[0] was[0] going[0] to[0] be[0] a[0] funny[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's just too bad that 99 percent of all of the jokes fell flat . 	it's just too bad that 99 percent of all of the jokes fell flat .	2	-2	 it's[0] just[0] too[0] bad[-1] that[0] 99[0] percent[0] of[0] all[0] of[0] the[0] jokes[1] fell[0] flat[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
