all feature film directors who cut their teeth on music videos , please raise your hands . 	Translation	Positive	Negative	EmotionRationale
the basketball diaries has been bouncing around as a project for years , but the sticking point has always been that jim carroll as a character was too unsympathetic and too much a loner . 	the basketball diaries has been bouncing around as a project for years , but the sticking point has always been that jim carroll as a character was too unsympathetic and too much a loner .	1	-2	 the[0] basketball[0] diaries[0] has[0] been[0] bouncing[0] around[0] as[0] a[0] project[0] for[0] years[0] but[0] the[0] sticking[0] point[0] has[0] always[0] been[0] that[0] jim[0] carroll[0] as[0] a[0] character[0] was[0] too[0] unsympathetic[0] and[0] too[0] much[0] a[0] loner[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
screenwriter bryan goluboff created the three characters who act as carroll's posse , resulting in a jim carroll who is just as unsympathetic , but now with equally unsympathetic friends . 	screenwriter bryan goluboff created the three characters who act as carroll's posse , resulting in a jim carroll who is just as unsympathetic , but now with equally unsympathetic friends .	2	-1	 screenwriter[0] bryan[0] goluboff[0] created[0] the[0] three[0] characters[0] who[0] act[0] as[0] carroll's[0] posse[0] resulting[0] in[0] a[0] jim[0] carroll[0] who[0] is[0] just[0] as[0] unsympathetic[0] but[0] now[0] with[0] equally[0] unsympathetic[0] friends[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as a film , the basketball diaries may be intended primarily as a cautionary tale , a 100 minute long " just say no " public service announcement , but as drama it is monumentally ineffective because it is impossible to care much about anyone in the movie . 	as a film , the basketball diaries may be intended primarily as a cautionary tale , a 100 minute long " just say no " public service announcement , but as drama it is monumentally ineffective because it is impossible to care much about anyone in the movie .	2	-2	 as[0] a[0] film[0] the[0] basketball[0] diaries[0] may[0] be[0] intended[0] primarily[0] as[0] a[0] cautionary[0] tale[0] a[0] 100[0] minute[0] long[0] just[0] say[0] no[0] public[0] service[0] announcement[0] but[0] as[0] drama[0] it[0] is[0] monumentally[0] ineffective[-1] because[0] it[0] is[0] impossible[0] to[0] care[1] much[0] about[0] anyone[0] in[0] the[0] movie[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jim is sort of a jerk even before he becomes a junkie , but i suppose that his pseudo-sensitive poetry and his devotion to his terminally ill friend are intended to balance that out . 	jim is sort of a jerk even before he becomes a junkie , but i suppose that his pseudo-sensitive poetry and his devotion to his terminally ill friend are intended to balance that out .	3	-3	 jim[0] is[0] sort[0] of[0] a[0] jerk[-2] even[0] before[0] he[0] becomes[0] a[0] junkie[0] but[0] i[0] suppose[0] that[0] his[0] pseudo[0] sensitive[0] poetry[0] and[0] his[0] devotion[2] to[0] his[0] terminally[0] ill[-1] friend[1] are[0] intended[0] to[0] balance[0] that[0] out[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
perhaps we are expected to see jim as one of those " good kids who falls in with the wrong crowd " that every parent believes his or her troubled child to be ; i saw him simply as part of the bad crowd . 	perhaps we are expected to see jim as one of those " good kids who falls in with the wrong crowd " that every parent believes his or her troubled child to be ; i saw him simply as part of the bad crowd .	2	-2	 perhaps[0] we[0] are[0] expected[0] to[0] see[0] jim[0] as[0] one[0] of[0] those[0] good[1] kids[0] who[0] falls[0] in[0] with[0] the[0] wrong[-1] crowd[0] that[0] every[0] parent[0] believes[0] his[0] or[0] her[0] troubled[-1] child[0] to[0] be[0] i[0] saw[0] him[0] simply[0] as[0] part[0] of[0] the[0] bad[-1] crowd[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
without a character who changes in any appreciable way , the basketball diaries rapidly degenerates into a collection of crimes committed by jim and his strung-out cohorts , all choreographed to an oppressively loud soundtrack . 	without a character who changes in any appreciable way , the basketball diaries rapidly degenerates into a collection of crimes committed by jim and his strung-out cohorts , all choreographed to an oppressively loud soundtrack .	1	-3	 without[0] a[0] character[0] who[0] changes[0] in[0] any[0] appreciable[0] way[0] the[0] basketball[0] diaries[0] rapidly[0] degenerates[-1] into[0] a[0] collection[0] of[0] crimes[-1] committed[0] by[0] jim[0] and[0] his[0] strung[0] out[0] cohorts[0] all[0] choreographed[-2] to[0] an[0] oppressively[-2] loud[0] soundtrack[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director scott kalvert doesn't have many scenes with intrinsic dramatic impact with which to work , so he substitutes silly slow-motion photography , self-consciously funky camera angles and choppy editing . 	director scot kalvert doesn't have many scenes with intrinsic dramatic impact with which to work , so he substitutes silly slow-motion photography , self-consciously funky camera angles and choppy editing .	1	-2	 director[0] scott/scot[0] kalvert[0] doesn't[0] have[0] many[0] scenes[0] with[0] intrinsic[0] dramatic[0] impact[0] with[0] which[0] to[0] work[0] so[0] he[0] substitutes[0] silly[-1] slow[0] motion[0] photography[0] self[0] consciously[0] funky[0] camera[0] angles[0] and[0] choppy[0] editing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on only one occasion , when a steady pan around a room where jim is trying to detox makes it appear that the walls are closing in , are any of the gimmicks effective . 	on only one occasion , when a steady pan around a room where jim is trying to detox makes it appear that the walls are closing in , are any of the gimmicks effective .	1	-1	 on[0] only[0] one[0] occasion[0] when[0] a[0] steady[0] pan[0] around[0] a[0] room[0] where[0] jim[0] is[0] trying[0] to[0] detox[0] makes[0] it[0] appear[0] that[0] the[0] walls[0] are[0] closing[0] in[0] are[0] any[0] of[0] the[0] gimmicks[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mostly , they just draw attention to how hollow the story is . 	mostly , they just draw attention to how hollow the story is .	1	-2	 mostly[0] they[0] just[0] draw[0] attention[0] to[0] how[0] hollow[-1] the[0] story[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they also don't allow leonardo dicaprio's performance to be as strong as it could have been . 	they also don't allow leonardo dicaprio's performance to be as strong as it could have been .	1	-1	 they[0] also[0] don't[0] allow[0] leonardo[0] dicaprio's[0] performance[0] to[0] be[0] as[0] strong[0] as[0] it[0] could[0] have[0] been[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for every impressive moment , like his desperate attempt to get his mother to give him money , there is a scene where kalvert pulls too much of the focus to his own camera theatrics . 	for every impressive moment , like his desperate attempt to get his mother to give him money , there is a scene where kalvert pulls too much of the focus to his own camera theatrics .	2	-3	 for[0] every[0] impressive[1] moment[0] like[1] his[0] desperate[-2] attempt[0] to[0] get[0] his[0] mother[0] to[0] give[0] him[0] money[0] there[0] is[0] a[0] scene[0] where[0] kalvert[0] pulls[0] too[0] much[0] of[0] the[0] focus[0] to[0] his[0] own[0] camera[0] theatrics[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
dicaprio is most effective when he is playing off other actors , particularly a fine sequence featuring ernie hudson as an ex-junkie who tries to help jim straighten out , but kalvert won't let character interaction define this story . 	dicaprio is most effective when he is playing off other actors , particularly a fine sequence featuring ernie hudson as an ex-junkie who tries to help jim straighten out , but kalvert won't let character interaction define this story .	3	-1	 dicaprio[0] is[0] most[0] effective[0] when[0] he[0] is[0] playing[1] off[0] other[0] actors[0] particularly[0] a[0] fine[2] sequence[0] featuring[0] ernie[0] hudson[0] as[0] an[0] ex[0] junkie[0] who[0] tries[0] to[0] help[0] jim[0] straighten[0] out[0] but[0] kalvert[0] won't[0] let[0] character[0] interaction[0] define[0] this[0] story[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he wants to turn dicaprio into a rock star , shooting him in dramatic fashion but denying him the opportunity to do much acting . 	he wants to turn dicaprio into a rock star , shooting him in dramatic fashion but denying him the opportunity to do much acting .	2	-2	 he[0] wants[0] to[0] turn[0] dicaprio[0] into[0] a[0] rock[1] star[0] shooting[-1] him[0] in[0] dramatic[0] fashion[0] but[0] denying[0] him[0] the[0] opportunity[0] to[0] do[0] much[0] acting[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at isolate moments , the basketball diaries is a fine showcase for dicaprio's talents . 	at isolate moments , the basketball diaries is a fine showcase for dicaprio's talents .	3	-2	 at[0] isolate[-1] moments[0] the[0] basketball[0] diaries[0] is[0] a[0] fine[2] showcase[0] for[0] dicaprio's[0] talents[1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
far more frequently , it looks like kalvert is trying to imagine what a long form velvet underground video might have looked like . 	far more frequently , it looks like kalvert is trying to imagine what a long form velvet underground video might have looked like .	2	-1	 far[0] more[0] frequently[0] it[0] looks[0] like[1] kalvert[0] is[0] trying[0] to[0] imagine[0] what[0] a[0] long[0] form[0] velvet[0] underground[0] video[0] might[0] have[0] looked[0] like[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
