do the folks at disney have no common decency ? 	Translation	Positive	Negative	EmotionRationale
as a child , i always imagined what dr . claw would appear as - and this curiosity kept me watching for many years . 	as a child , i always imagined what dr .<br> claw would appear as - and this curiosity kept me watching for many years .	1	-1	 as[0] a[0] child[0] i[0] always[0] imagined[0] what[0] dr[0] [[Sentence=-1,1=word max, 1-5]] claw[0] would[0] appear[0] as[0] and[0] this[0] curiosity[0] kept[0] me[0] watching[0] for[0] many[0] years[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with the release of the live-action movie , the face of this once intriguing villain has been unrightfully exposed - it's . . . 	with the release of the live-action movie , the face of this once intriguing villain has been unrightfully exposed - it's .<br> .<br> .	1	-3	 with[0] the[0] release[0] of[0] the[0] live[0] action[0] movie[0] the[0] face[0] of[0] this[0] once[0] intriguing[0] villain[-2] has[0] been[0] unrightfully[0] exposed[-1] it's[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
rupert everett ? ! 	rupert everett ?<br> !	1	-1	 rupert[0] everett[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only now , dr . claw is simply known as claw (  one word , ' he explains ,  like madonna' ) . 	only now , dr .<br> claw is simply known as claw (  one word , ' he explains ,  like madonna' ) .	2	-1	 only[0] now[0] dr[0] [[Sentence=-1,1=word max, 1-5]] claw[0] is[0] simply[0] known[0] as[0] claw[0] one[0] word[0] '[0] he[0] explains[0] like[1] madonna'[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he sports a shiny clamp instead of the steel glove , and seems far less interesting than the animated version . 	he sports a shiny clamp instead of the steel glove , and seems far less interesting than the animated version .	2	-1	 he[0] sports[0] a[0] shiny[0] clamp[0] instead[0] of[0] the[0] steel[0] glove[0] and[0] seems[0] far[0] less[0] interesting[1] than[0] the[0] animated[0] version[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it helps that the dashing everett is enthusiastic , but he overplays the role entirely too far . 	it helps that the dashing everett is enthusiastic , but he overplays the role entirely too far .	3	-1	 it[0] helps[0] that[0] the[0] dashing[0] everett[0] is[0] enthusiastic[2] but[0] he[0] overplays[0] the[0] role[0] entirely[0] too[0] far[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when all is said and done , this wasn't a very wise move on the part of the screenwriters - the infamous dr . claw has been turned into a wisecracking game show host who makes cheap attempts at being suave and cool . 	when all is said and done , this wasn't a very wise move on the part of the screenwriters - the infamous dr .<br> claw has been turned into a wisecracking game show host who makes cheap attempts at being suave and cool .	2	-2	 when[0] all[0] is[0] said[0] and[0] done[0] this[0] wasn't[0] a[0] very[0] wise[0] move[0] on[0] the[0] part[0] of[0] the[0] screenwriters[0] the[0] infamous[-1] dr[0] [[Sentence=-2,1=word max, 1-5]] claw[0] has[0] been[0] turned[0] into[0] a[0] wisecracking[0] game[0] show[0] host[0] who[0] makes[0] cheap[-1] attempts[0] at[0] being[0] suave[0] and[0] cool[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he does still have his cat , though . 	he does still have his cat , though .	1	-1	 he[0] does[0] still[0] have[0] his[0] cat[0] though[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the title role , matthew broderick looks lost . 	in the title role , matthew broderick looks lost .	1	-1	 in[0] the[0] title[0] role[0] matthew[0] broderick[0] looks[0] lost[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actor , while usually downright charming , doesn't know exactly where to take his character - a fault that again can be blamed on the hapless writers . 	the actor , while usually downright charming , doesn't know exactly where to take his character - a fault that again can be blamed on the hapless writers .	2	-2	 the[0] actor[0] while[0] usually[0] downright[0] charming[1] doesn't[0] know[0] exactly[0] where[0] to[0] take[0] his[0] character[0] a[0] fault[-1] that[0] again[0] can[0] be[0] blamed[-1] on[0] the[0] hapless[-1] writers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
broderick first plays a friendly , naive security guard named john brown , who dreams of becoming a cop and upholding the law for the good of the people . 	broderick first plays a friendly , naive security guard named john brown , who dreams of becoming a cop and upholding the law for the good of the people .	2	-2	 broderick[0] first[0] plays[1] a[0] friendly[1] naive[-1] security[1] guard[0] named[0] john[0] brown[0] who[0] dreams[0] of[0] becoming[0] a[0] cop[0] and[0] upholding[0] the[0] law[0] for[0] the[0] good[1] of[0] the[0] people[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
he has a mad crush on pretty scientist brenda ( joely fisher ) , who has stumbled upon a new wave of technology involving the interaction of human tissue and electronics . 	he has a mad crush on pretty scientist brenda ( joely fisher ) , who has stumbled upon a new wave of technology involving the interaction of human tissue and electronics .	3	-2	 he[0] has[0] a[0] mad[-1] crush[-1] on[0] pretty[2] scientist[0] brenda[0] joely[0] fisher[0] who[0] has[0] stumbled[0] upon[0] a[0] new[0] wave[0] of[0] technology[0] involving[0] the[0] interaction[0] of[0] human[0] tissue[0] and[0] electronics[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but one fateful night , her lab is destroyed and her experiment is stolen by a fiendish millionaire ( everett ) who wants to take over the world . 	but one fateful night , her lab is destroyed and her experiment is stolen by a fiendish millionaire ( everett ) who wants to take over the world .	1	-3	 but[0] one[0] fateful[0] night[0] her[0] lab[0] is[0] destroyed[-2] and[0] her[0] experiment[0] is[0] stolen[-1] by[0] a[0] fiendish[0] millionaire[0] everett[0] who[0] wants[0] to[0] take[0] over[0] the[0] world[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
john courageously pursues the limousine from the scene of the crime , but loses the chase when his vehicle bursts into flames . 	john courageously pursues the limousine from the scene of the crime , but loses the chase when his vehicle bursts into flames .	2	-2	 john[0] courageously[1] pursues[0] the[0] limousine[0] from[0] the[0] scene[0] of[0] the[0] crime[-1] but[0] loses[-1] the[0] chase[-1] when[0] his[0] vehicle[0] bursts[0] into[0] flames[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
in a full body cast , he is chosen to be the first human prototype for brenda's work ; a revolutionary crime fighting tool with numerous fancy gadgets to dispatch bad guys . 	in a full body cast , he is chosen to be the first human prototype for brenda's work ; a revolutionary crime fighting tool with numerous fancy gadgets to dispatch bad guys .	1	-3	 in[0] a[0] full[0] body[0] cast[0] he[0] is[0] chosen[0] to[0] be[0] the[0] first[0] human[0] prototype[0] for[0] brenda's[0] work[0] a[0] revolutionary[-1] crime[-1] fighting[-2] tool[0] with[0] numerous[0] fancy[0] gadgets[0] to[0] dispatch[0] bad[-1] guys[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and so is born inspector gadget . 	and so is born inspector gadget .	1	-1	 and[0] so[0] is[0] born[0] inspector[0] gadget[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as bad as this movie is , it does have a certain charm in isolated scenes . 	as bad as this movie is , it does have a certain charm in isolated scenes .	2	-2	 as[0] bad[-1] as[0] this[0] movie[0] is[0] it[0] does[0] have[0] a[0] certain[0] charm[1] in[0] isolated[-1] scenes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
broderick actually fares better playing robo gadget , an evil and destructive clone that claw has set loose on the city . 	broderick actually fares better playing robo gadget , an evil and destructive clone that claw has set loose on the city .	2	-3	 broderick[0] actually[0] fares[0] better[0] playing[1] robo[0] gadget[0] an[0] evil[-2] and[0] destructive[0] clone[0] that[0] claw[0] has[0] set[0] loose[0] on[0] the[0] city[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and there are about two or three amusing punch lines , the funniest being when robo gadget impersonates a rampaging monster with shadow puppets on a brick wall , and a japanese man flees the scene while screaming ,  this is why i left tokyo ! ' 	and there are about two or three amusing punch lines , the funniest being when robo gadget impersonates a rampaging monster with shadow puppets on a brick wall , and a japanese man flees the scene while screaming ,  this is why i left tokyo !<br> '	2	-4	 and[0] there[0] are[0] about[0] two[0] or[0] three[0] amusing[1] punch[-1] lines[0] the[0] funniest[1] being[0] when[0] robo[0] gadget[0] impersonates[0] a[0] rampaging[0] monster[-1] with[0] shadow[0] puppets[0] on[0] a[0] brick[0] wall[0] and[0] a[0] japanese[0] man[0] flees[-1] the[0] scene[0] while[0] screaming[-3] this[0] is[0] why[0] i[0] left[0] tokyo[0] [[Sentence=-4,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-4 max of sentences]]]
alas , the hit ratio of the ongoing gags is about 20 to 1 in favor of not even cracking a slight giggle . 	alas , the hit ratio of the ongoing gags is about 20 to 1 in favor of not even cracking a slight giggle .	3	-2	 alas[-1] the[0] hit[0] ratio[0] of[0] the[0] ongoing[0] gags[0] is[0] about[0] 20[0] to[0] 1[0] in[0] favor[1] of[0] not[0] even[0] cracking[0] a[0] slight[0] giggle[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are so many tired plot additions . 	there are so many tired plot additions .	1	-2	 there[0] are[0] so[0] many[0] tired[-1] plot[0] additions[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
gadget's talking car ( voiced by d . l . 	gadget's talking car ( voiced by d .<br> l .	1	-1	 gadget's[0] talking[0] car[0] voiced[0] by[0] d[0] [[Sentence=-1,1=word max, 1-5]] l[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
hughley ) is the same type of character as zoot the suit from my favorite martian . 	hughley ) is the same type of character as zoot the suit from my favorite martian .	2	-1	 hughley[0] is[0] the[0] same[0] type[0] of[0] character[0] as[0] zoot[0] the[0] suit[0] from[0] my[0] favorite[1] martian[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both are wisecracking , non-human additions designed to coax laughter from smaller children . 	both are wisecracking , non-human additions designed to coax laughter from smaller children .	2	-1	 both[0] are[0] wisecracking[0] non[0] human[0] additions[0] designed[0] to[0] coax[0] laughter[1] from[0] smaller[0] children[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , it just doesn't work ( in fact , zoot functioned marvelously in comparison to this ) . 	well , it just doesn't work ( in fact , zoot functioned marvelously in comparison to this ) .	1	-1	 well[0] it[0] just[0] doesn't[0] work[0] in[0] fact[0] zoot[0] functioned[0] marvelously[0] in[0] comparison[0] to[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and don't even get me started about the villains . 	and don't even get me started about the villains .	1	-3	 and[0] don't[0] even[0] get[0] me[0] started[0] about[0] the[0] villains[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i didn't mind everett's performance , but his bumbling assistants will make every adult cringe with disgust . 	i didn't mind everett's performance , but his bumbling assistants will make every adult cringe with disgust .	1	-4	 i[0] didn't[0] mind[0] everett's[0] performance[0] but[0] his[0] bumbling[0] assistants[0] will[0] make[0] every[0] adult[0] cringe[-1] with[0] disgust[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the characters from the cartoon have been reduced to thankless supporting roles . 	the characters from the cartoon have been reduced to thankless supporting roles .	2	-1	 the[0] characters[0] from[0] the[0] cartoon[0] have[0] been[0] reduced[0] to[0] thankless[0] supporting[1] roles[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
penny ( michelle trachtenberg ) and brain the dog now have little to do with the action , and chief quimby ( dabney coleman ) has lost considerable appeal in the transition of animation to live action . 	penny ( michelle trachtenberg ) and brain the dog now have little to do with the action , and chief quimby ( dabney coleman ) has lost considerable appeal in the transition of animation to live action .	1	-1	 penny[0] michelle[0] trachtenberg[0] and[0] brain[0] the[0] dog[0] now[0] have[0] little[0] to[0] do[0] with[0] the[0] action[0] and[0] chief[0] quimby[0] dabney[0] coleman[0] has[0] lost[0] considerable[0] appeal[0] in[0] the[0] transition[0] of[0] animation[0] to[0] live[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the special effects are everywhere , but not so annoying they will cause your eyes to peel over . 	the special effects are everywhere , but not so annoying they will cause your eyes to peel over .	3	-1	 the[0] special[1] effects[0] are[0] everywhere[0] but[0] not[0] so[0] annoying[-2][NegatedDueToPreviousWord] they[0] will[0] cause[0] your[0] eyes[0] to[0] peel[0] over[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the problem here lies solely in the script . 	the problem here lies solely in the script .	1	-3	 the[0] problem[-1] here[0] lies[-2] solely[0] in[0] the[0] script[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
perhaps the next time disney attempts a remake like this , they will invest more in the screenplay than the fancy-schmancy visuals . 	perhaps the next time disney attempts a remake like this , they will invest more in the screenplay than the fancy-schmancy visuals .	2	-1	 perhaps[0] the[0] next[0] time[0] disney[0] attempts[0] a[0] remake[0] like[1] this[0] they[0] will[0] invest[0] more[0] in[0] the[0] screenplay[0] than[0] the[0] fancy[0] schmancy[0] visuals[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here is one critic crossing his fingers , anyway . 	here is one critic crossing his fingers , anyway .	1	-2	 here[0] is[0] one[0] critic[-1] crossing[0] his[0] fingers[0] anyway[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
