synopsis : a maniac , crazed by virulent microphage , slaughters more than twenty people , including a street gang and heavily-armed troops , with a small knife . 	Translation	Positive	Negative	EmotionRationale
some guy has a really bad virus , and he's killing people because of it . 	some guy has a really bad virus , and he's killing people because of it .	1	-3	 some[0] guy[0] has[0] a[0] really[0] bad[-1][-1 LastWordBoosterStrength] virus[0] and[0] he's[0] killing[-1] people[0] because[0] of[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so , the brave good guys ( lambert and henstridge ) go after him . 	so , the brave good guys ( lambert and henstridge ) go after him .	3	-1	 so[0] the[0] brave[2] good[1] guys[0] lambert[0] and[0] henstridge[0] go[0] after[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that's it . 	that's it .	1	-1	 that's[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
76 minutes never seemed so long . 	76 minutes never seemed so long .	1	-1	 76[0] minutes[0] never[0] seemed[0] so[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a drawn-out chase scene through dimly-lit abandoned buildings turned into an entire movie . 	this is a drawn-out chase scene through dimly-lit abandoned buildings turned into an entire movie .	1	-2	 this[0] is[0] a[0] drawn[0] out[0] chase[-1] scene[0] through[0] dimly[0] lit[0] abandoned[-1] buildings[0] turned[0] into[0] an[0] entire[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot development is nil ; we learn absolutely nothing about lambert's character and very little about henstridge's character . 	the plot development is nil ; we learn absolutely nothing about lambert's character and very little about henstridge's character .	1	-1	 the[0] plot[0] development[0] is[0] nil[0] we[0] learn[0] absolutely[0] nothing[0] about[0] lambert's[0] character[0] and[0] very[0] little[0] about[0] henstridge's[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue is littered with unnecessary obscenities and concerns mindnumbingly idiotic arguments over who will go down the next dark corridor/tunnel/airduct next and who will carry the flashlight . 	the dialogue is littered with unnecessary obscenities and concerns mindnumbingly idiotic arguments over who will go down the next dark corridor/tunnel/airduct next and who will carry the flashlight .	1	-3	 the[0] dialogue[0] is[0] littered[-1] with[0] unnecessary[-1] obscenities[0] and[0] concerns[-1] mindnumbingly[0] idiotic[-2] arguments[-1] over[0] who[0] will[0] go[0] down[0] the[0] next[0] dark[0] corridor/tunnel/airduct[0] next[0] and[0] who[0] will[0] carry[0] the[0] flashlight[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a subplot does exist involving henstridge's character's illegal attempt to get her son out of boston . 	a subplot does exist involving henstridge's character's illegal attempt to get her son out of boston .	1	-2	 a[0] subplot[0] does[0] exist[0] involving[0] henstridge's[0] character's[0] illegal[-1] attempt[0] to[0] get[0] her[0] son[0] out[0] of[0] boston[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in her opening monologue , a monologue which sounds as though henstridge was reading from cue cards , we learn that she has gone to great lengths to secure a fake passport for her son . 	in her opening monologue , a monologue which sounds as though henstridge was reading from cue cards , we learn that she has gone to great lengths to secure a fake passport for her son .	3	-2	 in[0] her[0] opening[0] monologue[0] a[0] monologue[0] which[0] sounds[0] as[0] though[0] henstridge[0] was[0] reading[0] from[0] cue[0] cards[0] we[0] learn[0] that[0] she[0] has[0] gone[0] to[0] great[2] lengths[0] to[0] secure[1] a[0] fake[-1] passport[0] for[0] her[0] son[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
twenty minutes into the film , i wondered if the movie would have been better if it focused on this plot . 	twenty minutes into the film , i wondered if the movie would have been better if it focused on this plot .	1	-1	 twenty[0] minutes[0] into[0] the[0] film[0] i[0] wondered[0] if[0] the[0] movie[0] would[0] have[0] been[0] better[0] if[0] it[0] focused[0] on[0] this[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a defining scene of the movie , however , i changed my mind . 	in a defining scene of the movie , however , i changed my mind .	1	-1	 in[0] a[0] defining[0] scene[0] of[0] the[0] movie[0] however[0] i[0] changed[0] my[0] mind[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this fake passport drops to the ground . 	this fake passport drops to the ground .	1	-2	 this[0] fake[-1] passport[0] drops[0] to[0] the[0] ground[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lambert's cop immediately recognizes it as a fraud from six feet away . 	lambert's cop immediately recognizes it as a fraud from six feet away .	1	-2	 lambert's[0] cop[0] immediately[0] recognizes[0] it[0] as[0] a[0] fraud[-1] from[0] six[0] feet[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
must not have been a good fake . 	must not have been a good fake .	2	-2	 must[0] not[0] have[0] been[0] a[0] good[1] fake[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this emphasizes another fault with the film . 	this emphasizes another fault with the film .	1	-2	 this[0] emphasizes[0] another[0] fault[-1] with[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
things just defy common sense . 	things just defy common sense .	1	-1	 things[0] just[0] defy[-1][--1 LastWordBoosterStrength] common[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lambert's cop , for instance , is shot seven times , yet he is still able to talk and slide about . 	lambert's cop , for instance , is shot seven times , yet he is still able to talk and slide about .	1	-2	 lambert's[0] cop[0] for[0] instance[0] is[0] shot[-1] seven[0] times[0] yet[0] he[0] is[0] still[0] able[0] to[0] talk[0] and[0] slide[0] about[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
adrenalin : fear the rush ends in a trite manner that doesn't seem to even fit the mood that the filmmakers were trying for . 	adrenalin : fear the rush ends in a trite manner that doesn't seem to even fit the mood that the filmmakers were trying for .	1	-4	 adrenalin[0] fear[-3] the[0] rush[0] ends[0] in[0] a[0] trite[-2] manner[0] that[0] doesn't[0] seem[0] to[0] even[0] fit[0] the[0] mood[0] that[0] the[0] filmmakers[0] were[0] trying[0] for[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i found myself rather bored with this film , which will disappoint both sci-fi/horror fans and fans of henstridge and lambert . 	i found myself rather bored with this film , which will disappoint both sci-fi/horror fans and fans of henstridge and lambert .	1	-2	 i[0] found[0] myself[0] rather[0] bored[-1] with[0] this[0] film[0] which[0] will[0] disappoint[-1] both[0] sci[0] fi/horror[0] fans[0] and[0] fans[0] of[0] henstridge[0] and[0] lambert[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
don't fear the rush . 	don't fear the rush .	4	-1	 don't[0] fear[-3][NegatedDueToPreviousWord] the[0] rush[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
fear the movie . 	fear the movie .	1	-4	 fear[-3] the[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
watch something else . 	watch something else .	1	-1	 watch[0] something[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
