the haunting , a film so confusing that it forgets the true meaning of a horror film : to scare us . 	Translation	Positive	Negative	EmotionRationale
liam neeson once again gets wrapped up in a film without any depth , but at least the phantom menace was exciting and had some depth . 	liam neeson once again gets wrapped up in a film without any depth , but at least the phantom menace was exciting and had some depth .	3	-3	 liam[0] neeson[0] once[0] again[0] gets[0] wrapped[0] up[0] in[0] a[0] film[0] without[0] any[0] depth[0] but[0] at[0] least[0] the[0] phantom[0] menace[-2] was[0] exciting[2] and[0] had[0] some[0] depth[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the haunting is nothing but trash , but unfortunately , will still make a boatload of money . 	the haunting is nothing but trash , but unfortunately , will still make a boatload of money .	1	-2	 the[0] haunting[0] is[0] nothing[0] but[0] trash[-1] but[0] unfortunately[-1] will[0] still[0] make[0] a[0] boatload[0] of[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
before i rant and rave about how bad this film is , let me point out the few , and i stress the word few , bright spots in this film . 	before i rant and rave about how bad this film is , let me point out the few , and i stress the word few , bright spots in this film .	1	-2	 before[0] i[0] rant[0] and[0] rave[0] about[0] how[0] bad[-1] this[0] film[0] is[0] let[0] me[0] point[0] out[0] the[0] few[0] and[0] i[0] stress[-1] the[0] word[0] few[0] bright[0] spots[0] in[0] this[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
first , the house is great- looking . 	first , the house is great- looking .	3	-1	 first[0] the[0] house[0] is[0] great[2] looking[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it looks beautiful , but this is also a dark spot . 	it looks beautiful , but this is also a dark spot .	3	-1	 it[0] looks[0] beautiful[2] but[0] this[0] is[0] also[0] a[0] dark[0] spot[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it looks so great that it is hard to be frightened by it . 	it looks so great that it is hard to be frightened by it .	3	-4	 it[0] looks[0] so[0] great[2] that[0] it[0] is[0] hard[0] to[0] be[0] frightened[-3] by[0] it[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
this is something that rears its ugly head at all points of the film . 	this is something that rears its ugly head at all points of the film .	1	-3	 this[0] is[0] something[0] that[0] rears[0] its[0] ugly[-2] head[0] at[0] all[0] points[0] of[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
things look so great , that you are looking on in awe instead of being scared straight . 	things look so great , that you are looking on in awe instead of being scared straight .	3	-4	 things[0] look[0] so[0] great[2] that[0] you[0] are[0] looking[0] on[0] in[0] awe[0] instead[0] of[0] being[0] scared[-3] straight[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
haunted house films have to contain one element to even be slightly successful and that is being eerie . 	haunted house films have to contain one element to even be slightly successful and that is being eerie .	2	-1	 haunted[0] house[0] films[0] have[0] to[0] contain[0] one[0] element[0] to[0] even[0] be[0] slightly[0] successful[2][-1 LastWordBoosterStrength] and[0] that[0] is[0] being[0] eerie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the hill house is not eerie . 	the hill house is not eerie .	1	-1	 the[0] hill[0] house[0] is[0] not[0] eerie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is beautiful , but not the least bit frightening . 	it is beautiful , but not the least bit frightening .	3	-4	 it[0] is[0] beautiful[2] but[0] not[0] the[0] least[0] bit[0] frightening[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
ever heard of lili taylor ? 	ever heard of lili taylor ?	1	-1	 ever[0] heard[0] of[0] lili[0] taylor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
before this film i did not , but i am glad that i do now . 	before this film i did not , but i am glad that i do now .	2	-1	 before[0] this[0] film[0] i[0] did[0] not[0] but[0] i[0] am[0] glad[1] that[0] i[0] do[0] now[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she gives the only satisfactory performance in the film . 	she gives the only satisfactory performance in the film .	2	-1	 she[0] gives[0] the[0] only[0] satisfactory[1] performance[0] in[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
despite the dry dialogue and boring/confusing concept , she manages to light up the screen every time she appears , but unfortunately , her co-stars are usually following right behind . 	despite the dry dialogue and boring/confusing concept , she manages to light up the screen every time she appears , but unfortunately , her co-stars are usually following right behind .	1	-2	 despite[0] the[0] dry[0] dialogue[0] and[0] boring/confusing[-1] concept[0] she[0] manages[0] to[0] light[0] up[0] the[0] screen[0] every[0] time[0] she[0] appears[0] but[0] unfortunately[-1] her[0] co[0] stars[0] are[0] usually[0] following[0] right[0] behind[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
owen wilson , who plays luke , is the only other cast member even close to giving an admirable performance , other then taylor . 	owen wilson , who plays luke , is the only other cast member even close to giving an admirable performance , other then taylor .	3	-1	 owen[0] wilson[0] who[0] plays[1] luke[0] is[0] the[0] only[0] other[0] cast[0] member[0] even[0] close[0] to[0] giving[0] an[0] admirable[2] performance[0] other[0] then[0] taylor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he is basically there for the comic relief , and his character development is poor in all other areas . 	he is basically there for the comic relief , and his character development is poor in all other areas .	2	-2	 he[0] is[0] basically[0] there[0] for[0] the[0] comic[0] relief[1] and[0] his[0] character[0] development[0] is[0] poor[-1] in[0] all[0] other[0] areas[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
all of the characters are desperately underdeveloped . 	all of the characters are desperately underdeveloped .	1	-3	 all[0] of[0] the[0] characters[0] are[0] desperately[-2] underdeveloped[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
wilson had potential as luke , but it seems they just needed him to add a few laughs . 	wilson had potential as luke , but it seems they just needed him to add a few laughs .	2	-1	 wilson[0] had[0] potential[0] as[0] luke[0] but[0] it[0] seems[0] they[0] just[0] needed[0] him[0] to[0] add[0] a[0] few[0] laughs[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
liam neeson and catherine zeta-jones suffer from the dialogue and plot and should not have been in this film . 	liam neeson and catherine zeta-jones suffer from the dialogue and plot and should not have been in this film .	1	-4	 liam[0] neeson[0] and[0] catherine[0] zeta[0] jones[0] suffer[-3] from[0] the[0] dialogue[0] and[0] plot[0] and[0] should[0] not[0] have[0] been[0] in[0] this[0] film[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
their characters must suffer from wicked mood swings because in each scene they turn from ruthless to compassionate to scared to brave and whatnot . 	their characters must suffer from wicked mood swings because in each scene they turn from ruthless to compassionate to scared to brave and whatnot .	3	-4	 their[0] characters[0] must[0] suffer[-3] from[0] wicked[2] mood[0] swings[0] because[0] in[0] each[0] scene[0] they[0] turn[0] from[0] ruthless[-2] to[0] compassionate[1] to[0] scared[-3] to[0] brave[2] and[0] whatnot[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
they just are not believable and this is the final nail in the haunting's coffin . 	they just are not believable and this is the final nail in the haunting's coffin .	1	-1	 they[0] just[0] are[0] not[0] believable[0] and[0] this[0] is[0] the[0] final[0] nail[0] in[0] the[0] haunting's[0] coffin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot is terrible . 	the plot is terrible .	1	-4	 the[0] plot[0] is[0] terrible[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the opening scene of the film is very important , but the director makes it too obvious by getting close-ups of all the things that will play a major role in the end of the film . 	the opening scene of the film is very important , but the director makes it too obvious by getting close-ups of all the things that will play a major role in the end of the film .	1	-1	 the[0] opening[0] scene[0] of[0] the[0] film[0] is[0] very[0] important[0] but[0] the[0] director[0] makes[0] it[0] too[0] obvious[0] by[0] getting[0] close[0] ups[0] of[0] all[0] the[0] things[0] that[0] will[0] play[0] a[0] major[0] role[0] in[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as i sat through the film , i kept wondering what this film was trying to accomplish . 	as i sat through the film , i kept wondering what this film was trying to accomplish .	2	-1	 as[0] i[0] sat[0] through[0] the[0] film[0] i[0] kept[0] wondering[0] what[0] this[0] film[0] was[0] trying[0] to[0] accomplish[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
nell , lili taylor's character , goes from the hunted to the savior . 	nell , lili taylor's character , goes from the hunted to the savior .	1	-1	 nell[0] lili[0] taylor's[0] character[0] goes[0] from[0] the[0] hunted[0] to[0] the[0] savior[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it makes no sense and the director gives the audience no reasoning for the ridiculous changes that take place in the film . 	it makes no sense and the director gives the audience no reasoning for the ridiculous changes that take place in the film .	1	-3	 it[0] makes[0] no[0] sense[0] and[0] the[0] director[0] gives[0] the[0] audience[0] no[0] reasoning[0] for[0] the[0] ridiculous[-2] changes[0] that[0] take[0] place[0] in[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he forces the viewer to make various assumptions and does not give any in-depth information . 	he forces the viewer to make various assumptions and does not give any in-depth information .	1	-1	 he[0] forces[0] the[0] viewer[0] to[0] make[0] various[0] assumptions[0] and[0] does[0] not[0] give[0] any[0] in[0] depth[0] information[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for instance , the beginning of the film gives us a sense of why nell is getting involved in the program . 	for instance , the beginning of the film gives us a sense of why nell is getting involved in the program .	1	-1	 for[0] instance[0] the[0] beginning[0] of[0] the[0] film[0] gives[0] us[0] a[0] sense[0] of[0] why[0] nell[0] is[0] getting[0] involved[0] in[0] the[0] program[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , we get zilch for the other four . 	but , we get zilch for the other four .	1	-1	 but[0] we[0] get[0] zilch[0] for[0] the[0] other[0] four[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
plus , two of them get wiped out in the first ten minutes . 	plus , two of them get wiped out in the first ten minutes .	1	-1	 plus[0] two[0] of[0] them[0] get[0] wiped[0] out[0] in[0] the[0] first[0] ten[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the worst part : most horror films have killings . 	and the worst part : most horror films have killings .	1	-4	 and[0] the[0] worst[-2] part[0] most[0] horror[-3] films[0] have[0] killings[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
for some reason , they kill off luke at the end of the film . 	for some reason , they kill off luke at the end of the film .	1	-2	 for[0] some[0] reason[0] they[0] kill[-1] off[0] luke[0] at[0] the[0] end[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no reason whatsoever , just off with his head , literally . 	no reason whatsoever , just off with his head , literally .	1	-1	 no[0] reason[0] whatsoever[0] just[0] off[0] with[0] his[0] head[0] literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , the haunting is the epitome of a bad movie . 	overall , the haunting is the epitome of a bad movie .	1	-2	 overall[0] the[0] haunting[0] is[0] the[0] epitome[0] of[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bad plot , confusing storyline and a waste of good talent . 	bad plot , confusing storyline and a waste of good talent .	2	-2	 bad[-1] plot[0] confusing[-1] storyline[0] and[0] a[0] waste[-1] of[0] good[1] talent[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
hopefully , liam neeson can rebound and get into a good film and be used to his full potential . 	hopefully , liam neeson can rebound and get into a good film and be used to his full potential .	2	-1	 hopefully[0] liam[0] neeson[0] can[0] rebound[0] and[0] get[0] into[0] a[0] good[1] film[0] and[0] be[0] used[0] to[0] his[0] full[0] potential[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
hopefully , lili taylor will be recognized for doing such a great job in such a bad film . 	hopefully , lili taylor will be recognized for doing such a great job in such a bad film .	3	-2	 hopefully[0] lili[0] taylor[0] will[0] be[0] recognized[0] for[0] doing[0] such[0] a[0] great[2] job[0] in[0] such[0] a[0] bad[-1] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
and hopefully , other horror films , such as the blair witch project and the haunting of hill house , will not be as bad as this one . 	and hopefully , other horror films , such as the blair witch project and the haunting of hill house , will not be as bad as this one .	1	-4	 and[0] hopefully[0] other[0] horror[-3] films[0] such[0] as[0] the[0] blair[0] witch[0] project[0] and[0] the[0] haunting[0] of[0] hill[0] house[0] will[0] not[0] be[0] as[0] bad[-1] as[0] this[0] one[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
