a documentary from the twin hughes brothers , allen and albert ( dead presidents , menace ii society ) , about street pimps , all of whom are african-american . 	Translation	Positive	Negative	EmotionRationale
we meet pimps such as : fillmore slim , c-note , charm , k-red , gorgeous dre , bishop don magic juan , and rosebudd . 	we meet pimps such as : fillmore slim , c-note , charm , k-red , gorgeous dre , bishop don magic juan , and rosebud .	3	-1	 we[0] meet[0] pimps[0] such[0] as[0] fillmore[0] slim[0] c[0] note[0] charm[1] k[0] red[0] gorgeous[2] dre[0] bishop[0] don[0] magic[0] juan[0] and[0] rosebudd/rosebud[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they readily discuss their business arrangements : including percentages , lifestyles , knockin ( stealing another pimp's ho ) , and the thrill they get from women giving them money . 	they readily discuss their business arrangements : including percentages , lifestyles , knockin ( stealing another pimp's ho ) , and the thrill they get from women giving them money .	4	-3	 they[0] readily[0] discuss[0] their[0] business[0] arrangements[0] including[0] percentages[0] lifestyles[0] knockin[0] stealing[-2] another[0] pimp's[0] ho[0] and[0] the[0] thrill[3] they[0] get[0] from[0] women[0] giving[0] them[0] money[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
these dudes needed no prompting to talk , as they just love to brag about about themselves . 	these dudes needed no prompting to talk , as they just love to brag about about themselves .	2	-2	 these[0] dudes[0] needed[0] no[0] prompting[0] to[0] talk[0] as[0] they[0] just[0] love[2][-1 LastWordBoosterStrength] to[0] brag[-1] about[0] about[0] themselves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " priests need nuns , '' yaps c-note , a san francisco pimp . 	 " priests need nuns , '' yaps c-note , a san francisco pimp .	1	-1	 priests[0] need[0] nuns[0] ''[0] yaps[0] c[0] note[0] a[0] san[0] francisco[0] pimp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " doctors need nurses . 	 " doctors need nurses .	1	-1	 doctors[0] need[0] nurses[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so ho's need pimps . '' 	so ho's need pimps .<br> ''	1	-1	 so[0] ho's[0] need[0] pimps[0] [[Sentence=-1,1=word max, 1-5]] ''[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as he tries to persuasively make the same case all the other pimps in the film make ; that the girls need them to show them the ropes , how to make money , to be their security blankets , protectors , and counselors . 	as he tries to persuasively make the same case all the other pimps in the film make ; that the girls need them to show them the ropes , how to make money , to be their security blankets , protectors , and counselors .	2	-1	 as[0] he[0] tries[0] to[0] persuasively[0] make[0] the[0] same[0] case[0] all[0] the[0] other[0] pimps[0] in[0] the[0] film[0] make[0] that[0] the[0] girls[0] need[0] them[0] to[0] show[0] them[0] the[0] ropes[0] how[0] to[0] make[0] money[0] to[0] be[0] their[0] security[1] blankets[0] protectors[0] and[0] counselors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the race issue was brought up right from the film's onset , as a number of white interviewees , regular citizens , note that their impression of a pimp , is that he's the lowest form of human . 	the race issue was brought up right from the film's onset , as a number of white interviewees , regular citizens , note that their impression of a pimp , is that he's the lowest form of human .	1	-2	 the[0] race[0] issue[0] was[0] brought[0] up[0] right[0] from[0] the[0] film's[0] onset[0] as[0] a[0] number[0] of[0] white[0] interviewees[0] regular[0] citizens[0] note[0] that[0] their[0] impression[0] of[0] a[0] pimp[0] is[0] that[0] he's[0] the[0] lowest[-1] form[0] of[0] human[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while , we are told , in the black community , the pimp is looked upon as a successful entrepenaur , riding around in fancy cars , flashing wads of money , dressed in a flamboyant style , where his snake-gaiter shoes might cost him a grand , and where he boasts hollywood style status in the community . 	while , we are told , in the black community , the pimp is looked upon as a successful entrepenaur , riding around in fancy cars , flashing wads of money , dressed in a flamboyant style , where his snake-gaiter shoes might cost him a grand , and where he boasts hollywood style status in the community .	3	-2	 while[0] we[0] are[0] told[0] in[0] the[0] black[0] community[0] the[0] pimp[0] is[0] looked[0] upon[0] as[0] a[0] successful[2] entrepenaur[0] riding[0] around[0] in[0] fancy[0] cars[0] flashing[0] wads[0] of[0] money[0] dressed[0] in[0] a[0] flamboyant[0] style[0] where[0] his[0] snake[0] gaiter[0] shoes[0] might[0] cost[0] him[0] a[0] grand[1] and[0] where[0] he[0] boasts[-1] hollywood[0] style[0] status[0] in[0] the[0] community[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we also see that the black pimps have a number of white girls in their stable and we see how they treat them like dirt , as the film implies that this could be payback for the days of slavery , of master and slave relations . 	we also see that the black pimps have a number of white girls in their stable and we see how they treat them like dirt , as the film implies that this could be payback for the days of slavery , of master and slave relations .	2	-2	 we[0] also[0] see[0] that[0] the[0] black[0] pimps[0] have[0] a[0] number[0] of[0] white[0] girls[0] in[0] their[0] stable[-1] and[0] we[0] see[0] how[0] they[0] treat[1] them[0] like[1] dirt[-1] as[0] the[0] film[0] implies[0] that[0] this[0] could[0] be[0] payback[0] for[0] the[0] days[0] of[0] slavery[0] of[0] master[0] and[0] slave[0] relations[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film was all about pimp style and their projected image , as they run a hard-sell riff about the virtues of their work . 	the film was all about pimp style and their projected image , as they run a hard-sell riff about the virtues of their work .	3	-1	 the[0] film[0] was[0] all[0] about[0] pimp[0] style[0] and[0] their[0] projected[0] image[0] as[0] they[0] run[0] a[0] hard[0] sell[0] riff[0] about[0] the[0] virtues[2] of[0] their[0] work[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
there are different styles of pimping , but the film mentions them only as being " macks " and " players " or " real pimps " and " perpetrator pimps , " but no further clarity is attempted . 	there are different styles of pimping , but the film mentions them only as being " macks " and " players " or " real pimps " and " perpetrator pimps , " but no further clarity is attempted .	1	-1	 there[0] are[0] different[0] styles[0] of[0] pimping[0] but[0] the[0] film[0] mentions[0] them[0] only[0] as[0] being[0] macks[0] and[0] players[0] or[0] real[0] pimps[0] and[0] perpetrator[0] pimps[0] but[0] no[0] further[0] clarity[0] is[0] attempted[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is also failed to get the women's side to this story of abuse , primarily taking the pimp at his word . 	it is also failed to get the women's side to this story of abuse , primarily taking the pimp at his word .	1	-4	 it[0] is[0] also[0] failed[-2] to[0] get[0] the[0] women's[0] side[0] to[0] this[0] story[0] of[0] abuse[-3] primarily[0] taking[0] the[0] pimp[0] at[0] his[0] word[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film could never get to the core of what makes the pimp think in such a perverted way as he does , as the filmmakers were taking for a ride by the pimps , who were looking only to pose in front of the camera and say their thing , hungry for their 15-minutes of fame . 	the film could never get to the core of what makes the pimp think in such a perverted way as he does , as the filmmakers were taking for a ride by the pimps , who were looking only to pose in front of the camera and say their thing , hungry for their 15-minutes of fame .	1	-2	 the[0] film[0] could[0] never[0] get[0] to[0] the[0] core[0] of[0] what[0] makes[0] the[0] pimp[0] think[0] in[0] such[0] a[0] perverted[-1] way[0] as[0] he[0] does[0] as[0] the[0] filmmakers[0] were[0] taking[0] for[0] a[0] ride[0] by[0] the[0] pimps[0] who[0] were[0] looking[0] only[0] to[0] pose[0] in[0] front[0] of[0] the[0] camera[0] and[0] say[0] their[0] thing[0] hungry[-1] for[0] their[0] 15[0] minutes[0] of[0] fame[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only laughs i got out of this bleak look at an american subculture , was hearing how a few pimps retired and what they are now up to . 	the only laughs i got out of this bleak look at an american subculture , was hearing how a few pimps retired and what they are now up to .	2	-2	 the[0] only[0] laughs[1] i[0] got[0] out[0] of[0] this[0] bleak[-1] look[0] at[0] an[0] american[0] subculture[0] was[0] hearing[0] how[0] a[0] few[0] pimps[0] retired[-1] and[0] what[0] they[0] are[0] now[0] up[0] to[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
danny brown became a blues singer so he could keep his pimp's wardrobe . 	danny brown became a blues singer so he could keep his pimp's wardrobe .	1	-1	 danny[0] brown[0] became[0] a[0] blues[0] singer[0] so[0] he[0] could[0] keep[0] his[0] pimp's[0] wardrobe[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while a hollywood pimp called rosebudd , married his ho and turned square , working to support his wife and daughter as a telemarketer . 	while a hollywood pimp called rosebud , married his ho and turned square , working to support his wife and daughter as a telemarketer .	2	-1	 while[0] a[0] hollywood[0] pimp[0] called[0] rosebudd/rosebud[0] married[0] his[0] ho[0] and[0] turned[0] square[0] working[0] to[0] support[1] his[0] wife[0] and[0] daughter[0] as[0] a[0] telemarketer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
