the rich legacy of cinema has left us with certain indelible images . 	Translation	Positive	Negative	EmotionRationale
one of their classmates , carl jenkins ( " doogie houser's " neil patrick harris , ) snags a job in military intelligence because of his strong psychic abilities . 	one of their classmates , carl jenkins ( " doogie houser's " neil patrick harris , ) snags a job in military intelligence because of his strong psychic abilities .	1	-1	 one[0] of[0] their[0] classmates[0] carl[0] jenkins[0] doogie[0] houser's[0] neil[0] patrick[0] harris[0] snags[0] a[0] job[0] in[0] military[0] intelligence[0] because[0] of[0] his[0] strong[0] psychic[0] abilities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he displays his gift by psychically ordering a pet ferret to crawl up his mother's leg . 	he displays his gift by psychically ordering a pet ferret to crawl up his mother's leg .	1	-1	 he[0] displays[0] his[0] gift[0] by[0] psychically[0] ordering[0] a[0] pet[0] ferret[0] to[0] crawl[0] up[0] his[0] mother's[0] leg[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a long , dull boot camp sequence follows , enlivened only by an extended coed shower scene where the recruits swap snappy banter as the " showgirls " director's camera roams over their buff bodies . 	a long , dull boot camp sequence follows , enlivened only by an extended coed shower scene where the recruits swap snappy banter as the " showgirls " director's camera roams over their buff bodies .	1	-2	 a[0] long[0] dull[-1] boot[0] camp[0] sequence[0] follows[0] enlivened[0] only[0] by[0] an[0] extended[0] coed[0] shower[0] scene[0] where[0] the[0] recruits[0] swap[0] snappy[0] banter[0] as[0] the[0] showgirls[0] director's[0] camera[0] roams[0] over[0] their[0] buff[0] bodies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
finally , a full hour into the film , the war finally starts and we meet the enemy . 	finally , a full hour into the film , the war finally starts and we meet the enemy .	1	-3	 finally[0] a[0] full[0] hour[0] into[0] the[0] film[0] the[0] war[-2] finally[0] starts[0] and[0] we[0] meet[0] the[0] enemy[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the bugs hail from klendathu and colonize planets by hurling their spores into space . 	the bugs hail from klendathu and colonize planets by hurling their spores into space .	1	-1	 the[0] bugs[0] hail[0] from[0] klendathu[0] and[0] colonize[0] planets[0] by[0] hurling[0] their[0] spores[0] into[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they attack starships by spinning around and firing deadly plasma blasts from their rears . 	they attack starships by spinning around and firing deadly plasma blasts from their rears .	1	-3	 they[0] attack[-2] starships[0] by[0] spinning[0] around[0] and[0] firing[0] deadly[-1] plasma[0] blasts[0] from[0] their[0] rears[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yes , incredible as it seems , the bugs actually kill with cosmic farts . 	yes , incredible as it seems , the bugs actually kill with cosmic farts .	1	-2	 yes[0] incredible[0] as[0] it[0] seems[0] the[0] bugs[0] actually[0] kill[-1] with[0] cosmic[0] farts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a phenomenally large amount of money was spent creating the computer animated insects and the results are mixed at best . 	a phenomenally large amount of money was spent creating the computer animated insects and the results are mixed at best .	2	-1	 a[0] phenomenally[0] large[0] amount[0] of[0] money[0] was[0] spent[0] creating[0] the[0] computer[0] animated[0] insects[0] and[0] the[0] results[0] are[0] mixed[0] at[0] best[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
sweeping distant shots depicting hordes of giant bugs racing to attack are both impressive and scary , but the close-ups are a different matter . 	sweeping distant shots depicting hordes of giant bugs racing to attack are both impressive and scary , but the close-ups are a different matter .	2	-4	 sweeping[0] distant[0] shots[0] depicting[0] hordes[0] of[0] giant[0] bugs[0] racing[0] to[0] attack[-2] are[0] both[0] impressive[1] and[0] scary[-3] but[0] the[0] close[0] ups[0] are[0] a[0] different[0] matter[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the insects have an odd , artificial look , like origami creations with a mottled plastic coating . 	the insects have an odd , artificial look , like origami creations with a mottled plastic coating .	2	-1	 the[0] insects[0] have[0] an[0] odd[0] artificial[0] look[0] like[1] origami[0] creations[0] with[0] a[0] mottled[0] plastic[0] coating[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the attack scenes are intensely violent , as one would expect from verhoeven , but the overall look is too phony to generate any real tension . 	the attack scenes are intensely violent , as one would expect from verhoeven , but the overall look is too phony to generate any real tension .	1	-3	 the[0] attack[-2] scenes[0] are[0] intensely[0] violent[-2] as[0] one[0] would[0] expect[0] from[0] verhoeven[0] but[0] the[0] overall[0] look[0] is[0] too[0] phony[0] to[0] generate[0] any[0] real[0] tension[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while the action is frantic , the military strategy , wildly illogical even by hollywood standards , grows tiresome quickly . 	while the action is frantic , the military strategy , wildly illogical even by hollywood standards , grows tiresome quickly .	1	-2	 while[0] the[0] action[0] is[0] frantic[-1] the[0] military[0] strategy[0] wildly[0] illogical[-1] even[0] by[0] hollywood[0] standards[0] grows[0] tiresome[-1] quickly[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
verhoeven tries to spice things up by throwing in more satiric news coverage , but the faux-jingoistic scenes of children " doing their part for the war effort " by squishing roaches on a sidewalk aren't enough to make up for the long stretches of sheer dreck . 	verhoeven tries to spice things up by throwing in more satiric news coverage , but the faux-jingoistic scenes of children " doing their part for the war effort " by squishing roaches on a sidewalk aren't enough to make up for the long stretches of sheer dreck .	1	-3	 verhoeven[0] tries[0] to[0] spice[0] things[0] up[0] by[0] throwing[0] in[0] more[0] satiric[0] news[0] coverage[0] but[0] the[0] faux[0] jingoistic[0] scenes[0] of[0] children[0] doing[0] their[0] part[0] for[0] the[0] war[-2] effort[0] by[0] squishing[0] roaches[0] on[0] a[0] sidewalk[0] aren't[0] enough[0] to[0] make[0] up[0] for[0] the[0] long[0] stretches[0] of[0] sheer[0] dreck[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one can only guess what paul verhoeven was trying to do here . 	one can only guess what paul verhoeven was trying to do here .	1	-1	 one[0] can[0] only[0] guess[0] what[0] paul[0] verhoeven[0] was[0] trying[0] to[0] do[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his customary one part satire , two parts ultra-violence formula is way out of whack , and most of the film just flounders . 	his customary one part satire , two parts ultra-violence formula is way out of whack , and most of the film just flounders .	1	-4	 his[0] customary[0] one[0] part[0] satire[0] two[0] parts[0] ultra[0] violence[-3] formula[0] is[0] way[0] out[0] of[0] whack[-1] and[0] most[0] of[0] the[0] film[0] just[0] flounders[-1][--1 LastWordBoosterStrength] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in " showgirls " fashion , some scenes are almost bad enough to be good . 	in " showgirls " fashion , some scenes are almost bad enough to be good .	2	-2	 in[0] showgirls[0] fashion[0] some[0] scenes[0] are[0] almost[0] bad[-1] enough[0] to[0] be[0] good[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
an intergalactic kegger party , with jake busey playing " dixie " on a green plexiglas fiddle , has a certain bizarre appeal . 	an intergalactic kegger party , with jake busey playing " dixie " on a green plexiglas fiddle , has a certain bizarre appeal .	2	-2	 an[0] intergalactic[0] kegger[0] party[0] with[0] jake[0] busey[0] playing[1] dixie[0] on[0] a[0] green[0] plexiglas[0] fiddle[0] has[0] a[0] certain[0] bizarre[-1] appeal[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
a sex scene between two of the teens achieves a smarmy charm , enhanced a few minutes later when the female receives a fatal jab from a bug , but tells her hero that she doesn't mind dying . 	a sex scene between two of the teens achieves a smarmy charm , enhanced a few minutes later when the female receives a fatal jab from a bug , but tells her hero that she doesn't mind dying .	3	-3	 a[0] sex[0] scene[0] between[0] two[0] of[0] the[0] teens[0] achieves[0] a[0] smarmy[0] charm[1] enhanced[0] a[0] few[0] minutes[0] later[0] when[0] the[0] female[0] receives[0] a[0] fatal[-2] jab[0] from[0] a[0] bug[-1] but[0] tells[0] her[0] hero[2] that[0] she[0] doesn't[0] mind[0] dying[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " it's okay , " she gasps , " i got to have you ! " 	 " it's okay , " she gasps , " i got to have you !<br> "	1	-1	 it's[0] okay[0] she[0] gasps[0] i[0] got[0] to[0] have[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then , of course , there's doogie's mind meld with a bug . 	and then , of course , there's doogie's mind meld with a bug .	1	-2	 and[0] then[0] of[0] course[0] there's[0] doogie's[0] mind[0] meld[0] with[0] a[0] bug[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's possible that verhoeven was attempting to create an homage to the era of the original novel . 	it's possible that verhoeven was attempting to create an homage to the era of the original novel .	1	-1	 it's[0] possible[0] that[0] verhoeven[0] was[0] attempting[0] to[0] create[0] an[0] homage[0] to[0] the[0] era[0] of[0] the[0] original[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
heinlein's pre- " stranger in a strange land " books were aimed at adolescent males , and " starship troopers " has the antiseptic retro-future look of late 50s/early 60s sci-fi . 	heinlein's pre- " stranger in a strange land " books were aimed at adolescent males , and " starship troopers " has the antiseptic retro-future look of late 50s/early 60s sci-fi .	1	-1	 heinlein's[0] pre[0] stranger[0] in[0] a[0] strange[0] land[0] books[0] were[0] aimed[0] at[0] adolescent[0] males[0] and[0] starship[0] troopers[0] has[0] the[0] antiseptic[0] retro[0] future[0] look[0] of[0] late[0] 50s/early[0] 60s[0] sci[0] fi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the one cityscape shown is a jetsons-like gleaming metropolis , with flying cars whizzing past an obvious matte painting . 	the one cityscape shown is a jetsons-like gleaming metropolis , with flying cars whizing past an obvious matte painting .	2	-1	 the[0] one[0] cityscape[0] shown[0] is[0] a[0] jetsons[0] like[1] gleaming[0] metropolis[0] with[0] flying[0] cars[0] whizzing/whizing[0] past[0] an[0] obvious[0] matte[0] painting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the hairstyles are retro too , straight from the frankie avalon , annette funicello school of fashion . 	the hairstyles are retro too , straight from the frankie avalon , annette funicello school of fashion .	1	-1	 the[0] hairstyles[0] are[0] retro[0] too[0] straight[0] from[0] the[0] frankie[0] avalon[0] annette[0] funicello[0] school[0] of[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ultimately , verhoeven's motives are irrelevant . 	ultimately , verhoeven's motives are irrelevant .	1	-1	 ultimately[0] verhoeven's[0] motives[0] are[0] irrelevant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he has produce a gargantuan film that fails as an action film or as a social satire . 	he has produce a gargantuan film that fails as an action film or as a social satire .	1	-3	 he[0] has[0] produce[0] a[0] gargantuan[0] film[0] that[0] fails[-2] as[0] an[0] action[0] film[0] or[0] as[0] a[0] social[0] satire[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it even fails to be an entertaining bad movie . 	it even fails to be an entertaining bad movie .	1	-3	 it[0] even[0] fails[-2] to[0] be[0] an[0] entertaining[0] bad[-1] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
avoid " starship troopers " at all costs . 	avoid " starship troopers " at all costs .	1	-2	 avoid[-1] starship[0] troopers[0] at[0] all[0] costs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
