vampires starts out almost in the style of a spaghetti western with an attack on a small homestead in new mexico . 	Translation	Positive	Negative	EmotionRationale
anything intriguing is kept to a minimum to so it does not get in the way of pleasing the action film fans . 	anything intriguing is kept to a minimum to so it does not get in the way of pleasing the action film fans .	3	-1	 anything[0] intriguing[0] is[0] kept[0] to[0] a[0] minimum[0] to[0] so[0] it[0] does[0] not[0] get[0] in[0] the[0] way[0] of[0] pleasing[2] the[0] action[0] film[0] fans[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
this has not always been carpenter's style . 	this has not always been carpenter's style .	1	-1	 this[0] has[0] not[0] always[0] been[0] carpenter's[0] style[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his 1981 version of the thing has action but also challenges the viewer to do a little thinking about the film's central science fictional question . 	his 1981 version of the thing has action but also challenges the viewer to do a little thinking about the film's central science fictional question .	1	-2	 his[0] 1981[0] version[0] of[0] the[0] thing[0] has[0] action[0] but[0] also[0] challenges[-1] the[0] viewer[0] to[0] do[0] a[0] little[0] thinking[0] about[0] the[0] film's[0] central[0] science[0] fictional[0] question[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jack crow heads a vampire swat team , cleaning up nests of vampires with high-tech spears and crossbows . 	jack crow heads a vampire swat team , cleaning up nests of vampires with high-tech spears and crossbows .	1	-1	 jack[0] crow[0] heads[0] a[0] vampire[0] swat[0] team[0] cleaning[0] up[0] nests[0] of[0] vampires[0] with[0] high[0] tech[0] spears[0] and[0] crossbows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the early part of the film his team is wiped out by a particularly mean vampire valek ( thomas ian griffith ) who has been tipped off to who crow is . 	in the early part of the film his team is wiped out by a particularly mean vampire valek ( thomas ian griffith ) who has been tipped off to who crow is .	1	-1	 in[0] the[0] early[0] part[0] of[0] the[0] film[0] his[0] team[0] is[0] wiped[0] out[0] by[0] a[0] particularly[0] mean[0] vampire[0] valek[0] thomas[0] ian[0] griffith[0] who[0] has[0] been[0] tipped[0] off[0] to[0] who[0] crow[0] is[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now crow team is gone and he is down to himself and his sidekick tony montoya ( daniel baldwin ) . 	now crow team is gone and he is down to himself and his sidekick tony montoya ( daniel baldwin ) .	1	-1	 now[0] crow[0] team[0] is[0] gone[0] and[0] he[0] is[0] down[0] to[0] himself[0] and[0] his[0] sidekick[0] tony[0] montoya[0] daniel[0] baldwin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to make matters worse , he does not know the people on his own side , tony and his backers , he can trust . 	to make matters worse , he does not know the people on his own side , tony and his backers , he can trust .	2	-3	 to[0] make[0] matters[0] worse[-2] he[0] does[0] not[0] know[0] the[0] people[0] on[0] his[0] own[0] side[0] tony[0] and[0] his[0] backers[0] he[0] can[0] trust[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
meanwhile jack is sure the vampires are looking for something that must be hidden somewhere here in new mexico . 	meanwhile jack is sure the vampires are looking for something that must be hidden somewhere here in new mexico .	1	-1	 meanwhile[0] jack[0] is[0] sure[0] the[0] vampires[0] are[0] looking[0] for[0] something[0] that[0] must[0] be[0] hidden[0] somewhere[0] here[0] in[0] new[0] mexico[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this is sounding like a very tired police corruption plot with a few obvious substitutions , that's exactly what it is . 	if this is sounding like a very tired police corruption plot with a few obvious substitutions , that's exactly what it is .	2	-3	 if[0] this[0] is[0] sounding[0] like[1] a[0] very[0] tired[-1][-1 LastWordBoosterStrength] police[0] corruption[-2] plot[0] with[0] a[0] few[0] obvious[0] substitutions[0] that's[0] exactly[0] what[0] it[0] is[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the same story looks just as well with two partner cops looking for a gang of hood who are themselves looking for a packet of heroin . 	the same story looks just as well with two partner cops looking for a gang of hood who are themselves looking for a packet of heroin .	3	-1	 the[0] same[0] story[0] looks[0] just[0] as[0] well[0] with[0] two[0] partner[0] cops[0] looking[0] for[0] a[0] gang[0] of[0] hood[0] who[0] are[0] themselves[0] looking[0] for[0] a[0] packet[0] of[0] heroin[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but carpenter goes against a familiar principle of film : show people , don't tell them . 	but carpenter goes against a familiar principle of film : show people , don't tell them .	1	-2	 but[0] carpenter[0] goes[0] against[-1] a[0] familiar[0] principle[0] of[0] film[0] show[0] people[0] don't[0] tell[0] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
just about everything in the plot other than the fights we are told about in the dialog and not shown . 	just about everything in the plot other than the fights we are told about in the dialog and not shown .	1	-3	 just[0] about[0] everything[0] in[0] the[0] plot[0] other[0] than[0] the[0] fights[-2] we[0] are[0] told[0] about[0] in[0] the[0] dialog[0] and[0] not[0] shown[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
fundamental questions in the plot like where does crow get his funding , why are the vampires in new mexico--what do they want and why do they want it , what is the connection of the vampires and the catholic church , how did crow come to be a vampire hunter and why devote his life to it ? 	fundamental questions in the plot like where does crow get his funding , why are the vampires in new mexico-what do they want and why do they want it , what is the connection of the vampires and the catholic church , how did crow come to be a vampire hunter and why devote his life to it ?	3	-2	 fundamental[0] questions[0] in[0] the[0] plot[0] like[1] where[0] does[0] crow[0] get[0] his[0] funding[0] why[0] are[0] the[0] vampires[0] in[0] new[0] mexico[0] what[0] do[0] they[0] want[0] and[0] why[0] do[0] they[0] want[0] it[0] what[0] is[0] the[0] connection[0] of[0] the[0] vampires[0] and[0] the[0] catholic[0] church[0] how[0] did[0] crow[0] come[0] to[0] be[0] a[0] vampire[0] hunter[-1] and[0] why[0] devote[2] his[0] life[0] to[0] it[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the answers to any of these questions could have been dramatized , but instead are revealed through dialog . 	the answers to any of these questions could have been dramatized , but instead are revealed through dialog .	1	-1	 the[0] answers[0] to[0] any[0] of[0] these[0] questions[0] could[0] have[0] been[0] dramatized[0] but[0] instead[0] are[0] revealed[0] through[0] dialog[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now if all this was not bad enough , carpenter misuses the james wood persona . 	now if all this was not bad enough , carpenter misuses the james wood persona .	2	-1	 now[0] if[0] all[0] this[0] was[0] not[0] bad[-1][NegatedDueToPreviousWord] enough[0] carpenter[0] misuses[0] the[0] james[0] wood[0] persona[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
woods plays a particular sort of cool lowlife very well . 	woods plays a particular sort of cool lowlife very well .	2	-2	 woods[0] plays[1] a[0] particular[0] sort[0] of[0] cool[1] lowlife[-1] very[0] well[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but carpenter leads off the film by having woods do some sergio-leone- style mythic posturing . 	but carpenter leads off the film by having woods do some sergio-leone- style mythic posturing .	1	-1	 but[0] carpenter[0] leads[0] off[0] the[0] film[0] by[0] having[0] woods[0] do[0] some[0] sergio[0] leone[0] style[0] mythic[0] posturing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while his crew prepares for an attack he stands staring fixedly through shades at the house that will be his target . 	while his crew prepares for an attack he stands staring fixedly through shades at the house that will be his target .	1	-3	 while[0] his[0] crew[0] prepares[0] for[0] an[0] attack[-2] he[0] stands[0] staring[0] fixedly[0] through[0] shades[0] at[0] the[0] house[0] that[0] will[0] be[0] his[0] target[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
woods does not work as a larger than life mythic hero . 	woods does not work as a larger than life mythic hero .	3	-1	 woods[0] does[0] not[0] work[0] as[0] a[0] larger[0] than[0] life[0] mythic[0] hero[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
that is not his style and it just does not work very well . 	that is not his style and it just does not work very well .	1	-1	 that[0] is[0] not[0] his[0] style[0] and[0] it[0] just[0] does[0] not[0] work[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are some simple things that carpenter should be looking for as director that he misses . 	there are some simple things that carpenter should be looking for as director that he misses .	1	-3	 there[0] are[0] some[0] simple[0] things[0] that[0] carpenter[0] should[0] be[0] looking[0] for[0] as[0] director[0] that[0] he[0] misses[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in one scene we are looking at a motel room with dead people on the floor . 	in one scene we are looking at a motel room with dead people on the floor .	1	-3	 in[0] one[0] scene[0] we[0] are[0] looking[0] at[0] a[0] motel[0] room[0] with[0] dead[-2] people[0] on[0] the[0] floor[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
one female corpse is on the floor in front of a chair so that there is about an inch of daylight between her and the chair . 	one female corpse is on the floor in front of a chair so that there is about an inch of daylight between her and the chair .	1	-1	 one[0] female[0] corpse[0] is[0] on[0] the[0] floor[0] in[0] front[0] of[0] a[0] chair[0] so[0] that[0] there[0] is[0] about[0] an[0] inch[0] of[0] daylight[0] between[0] her[0] and[0] the[0] chair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as the actress breathes the gap widening and narrowing makes it obvious her arm is moving up and down . 	as the actress breathes the gap widening and narrowing makes it obvious her arm is moving up and down .	1	-1	 as[0] the[0] actress[0] breathes[0] the[0] gap[0] widening[0] and[0] narrowing[0] makes[0] it[0] obvious[0] her[0] arm[0] is[0] moving[0] up[0] and[0] down[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one also wonders how the existence of vampires is kept secret . 	one also wonders how the existence of vampires is kept secret .	1	-1	 one[0] also[0] wonders[0] how[0] the[0] existence[0] of[0] vampires[0] is[0] kept[0] secret[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these vampires do not maintain a low profile . 	these vampires do not maintain a low profile .	1	-2	 these[0] vampires[0] do[0] not[0] maintain[0] a[0] low[-1] profile[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are arguably logical flaws in the film . 	there are arguably logical flaws in the film .	1	-2	 there[0] are[0] arguably[-1] logical[0] flaws[0] in[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is some question in my mind whether carpenter has a consistent policy on what effect bullets have on vampires . 	there is some question in my mind whether carpenter has a consistent policy on what effect bullets have on vampires .	1	-2	 there[0] is[0] some[0] question[0] in[0] my[0] mind[0] whether[0] carpenter[0] has[0] a[0] consistent[0] policy[0] on[0] what[0] effect[0] bullets[-1] have[0] on[0] vampires[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it would take some rationalization to explain why in some scenes sunlight has a dramatic effect on vampires , yet in a scene toward the end a vampire can walk under a burned roof that lets him be swept by beams of sunlight . 	it would take some rationalization to explain why in some scenes sunlight has a dramatic effect on vampires , yet in a scene toward the end a vampire can walk under a burned roof that lets him be swept by beams of sunlight .	1	-2	 it[0] would[0] take[0] some[0] rationalization[0] to[0] explain[0] why[0] in[0] some[0] scenes[0] sunlight[0] has[0] a[0] dramatic[0] effect[0] on[0] vampires[0] yet[0] in[0] a[0] scene[0] toward[0] the[0] end[0] a[0] vampire[0] can[0] walk[0] under[0] a[0] burned[-1] roof[0] that[0] lets[0] him[0] be[0] swept[0] by[0] beams[0] of[0] sunlight[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i suspect that the book on which this film was based was better thought out . 	i suspect that the book on which this film was based was better thought out .	1	-2	 i[0] suspect[-1] that[0] the[0] book[0] on[0] which[0] this[0] film[0] was[0] based[0] was[0] better[0] thought[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while i might recommend this film to an action audience i would say that what i look for in a vampire film vampires rates a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale . 	while i might recommend this film to an action audience i would say that what i look for in a vampire film vampires rates a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale .	1	-1	 while[0] i[0] might[0] recommend[0] this[0] film[0] to[0] an[0] action[0] audience[0] i[0] would[0] say[0] that[0] what[0] i[0] look[0] for[0] in[0] a[0] vampire[0] film[0] vampires[0] rates[0] a[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps i will read the book . 	perhaps i will read the book .	1	-1	 perhaps[0] i[0] will[0] read[0] the[0] book[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
