i have little against remakes and updates of older films and tv series . 	Translation	Positive	Negative	EmotionRationale
of the three , only danes has a real character . 	of the three , only danes has a real character .	1	-1	 of[0] the[0] three[0] only[0] danes[0] has[0] a[0] real[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ribisi's dumbass 20 year old is played exclusively for laughs ; epps' slightly more intelligent one is used to create various chase scenes . 	ribisi's dumbass 20 year old is played exclusively for laughs ; epps' slightly more intelligent one is used to create various chase scenes .	2	-2	 ribisi's[0] dumbass[-1] 20[0] year[0] old[0] is[0] played[0] exclusively[0] for[0] laughs[1] epps'[0] slightly[0] more[0] intelligent[1] one[0] is[0] used[0] to[0] create[0] various[0] chase[-1] scenes[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when the squad's superviser gets killed off and his reputation dirtied in death , the three of them , sure that their beloved master was framed , go off and investigate on their own , discovering corrupt cops , lots and lots of expensive whores and very lucrative drug operations . 	when the squad's superviser gets killed off and his reputation dirtied in death , the three of them , sure that their beloved master was framed , go off and investigate on their own , discovering corrupt cops , lots and lots of expensive whores and very lucrative drug operations .	3	-4	 when[0] the[0] squad's[0] superviser[0] gets[0] killed[-3] off[0] and[0] his[0] reputation[0] dirtied[0] in[0] death[-2] the[0] three[0] of[0] them[0] sure[0] that[0] their[0] beloved[2] master[0] was[0] framed[0] go[0] off[0] and[0] investigate[0] on[0] their[0] own[0] discovering[0] corrupt[-2] cops[0] lots[0] and[0] lots[0] of[0] expensive[-1] whores[-2] and[0] very[0] lucrative[0] drug[0] operations[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
all kinds of good stuff ! 	all kinds of good stuff !	2	-1	 all[0] kinds[0] of[0] good[1] stuff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the only times that the mod squad comes even close to working is in its comedic moments . 	the only times that the mod squad comes even close to working is in its comedic moments .	1	-1	 the[0] only[0] times[0] that[0] the[0] mod[0] squad[0] comes[0] even[0] close[0] to[0] working[0] is[0] in[0] its[0] comedic[0] moments[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
although ribisi is a trite actor and his characters repeat movie after movie , his man here is really rather amusing , when the script gives him a chance . 	although ribisi is a trite actor and his characters repeat movie after movie , his man here is really rather amusing , when the script gives him a chance .	2	-3	 although[0] ribisi[0] is[0] a[0] trite[-2] actor[0] and[0] his[0] characters[0] repeat[0] movie[0] after[0] movie[0] his[0] man[0] here[0] is[0] really[0] rather[0] amusing[1] when[0] the[0] script[0] gives[0] him[0] a[0] chance[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
epps' straight man is effectively played against ribisi's clueless spontaneity . 	epps' straight man is effectively played against ribisi's clueless spontaneity .	1	-2	 epps'[0] straight[0] man[0] is[0] effectively[0] played[0] against[-1] ribisi's[0] clueless[0] spontaneity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but the rest of the film is dull , boring and singularly uninteresting . 	but the rest of the film is dull , boring and singularly uninteresting .	1	-2	 but[0] the[0] rest[0] of[0] the[0] film[0] is[0] dull[-1] boring[-1] and[0] singularly[0] uninteresting[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a drug-op action plot is no longer anything new , not even with teenage action heroes , and the way it's executed here , it's also nowhere near exciting or suspenseful . 	a drug-op action plot is no longer anything new , not even with teenage action heroes , and the way it's executed here , it's also nowhere near exciting or suspenseful .	3	-2	 a[0] drug[0] op[0] action[0] plot[0] is[0] no[0] longer[0] anything[0] new[0] not[0] even[0] with[0] teenage[0] action[0] heroes[2] and[0] the[0] way[0] it's[0] executed[-1] here[0] it's[0] also[0] nowhere[0] near[0] exciting[2] or[0] suspenseful[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
claire danes' character has potential , but it is buried under heaps of cliches and her performance is too restrained . 	claire danes' character has potential , but it is buried under heaps of cliches and her performance is too restrained .	1	-3	 claire[0] danes'[0] character[0] has[0] potential[0] but[0] it[0] is[0] buried[-2] under[0] heaps[0] of[0] cliches[0] and[0] her[0] performance[0] is[0] too[0] restrained[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she could have been a tour-de-force , but instead director scott silver puts shackles on her and simply does not allow her to do anything really significant with her role . 	she could have been a tour-de-force , but instead director scot silver puts shackles on her and simply does not allow her to do anything really significant with her role .	1	-2	 she[0] could[0] have[0] been[0] a[0] tour[0] de[0] force[-1] but[0] instead[0] director[0] scott/scot[0] silver[0] puts[0] shackles[0] on[0] her[0] and[0] simply[0] does[0] not[0] allow[0] her[0] to[0] do[0] anything[0] really[0] significant[0] with[0] her[0] role[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
epps and ribisi fare slightly better and do as well as can be expected , although their characters aren't nearly as rich as danes' could have been . 	epps and ribisi fare slightly better and do as well as can be expected , although their characters aren't nearly as rich as danes' could have been .	1	-1	 epps[0] and[0] ribisi[0] fare[0] slightly[0] better[0] and[0] do[0] as[0] well[0] as[0] can[0] be[0] expected[0] although[0] their[0] characters[0] aren't[0] nearly[0] as[0] rich[0] as[0] danes'[0] could[0] have[0] been[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mod squad is a mind-numbing marketing plot of a film , and teens will jump all over it . 	the mod squad is a mind-numbing marketing plot of a film , and teens will jump all over it .	1	-2	 the[0] mod[0] squad[0] is[0] a[0] mind[0] numbing[-1] marketing[0] plot[0] of[0] a[0] film[0] and[0] teens[0] will[0] jump[0] all[0] over[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's full of bad dialogue , scenes and concepts that make no sense and -- get this -- drug dealers that like to tango with other guys in their spare time . 	it's full of bad dialogue , scenes and concepts that make no sense and - get this - drug dealers that like to tango with other guys in their spare time .	2	-2	 it's[0] full[0] of[0] bad[-1] dialogue[0] scenes[0] and[0] concepts[0] that[0] make[0] no[0] sense[0] and[0] get[0] this[0] drug[0] dealers[0] that[0] like[1] to[0] tango[0] with[0] other[0] guys[0] in[0] their[0] spare[0] time[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nothing is remotely intriguing or worth paying for . 	nothing is remotely intriguing or worth paying for .	1	-1	 nothing[0] is[0] remotely[0] intriguing[0] or[0] worth[0] paying[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
claire danes is no longer alluring -- mainly because she's got a horrible hairdo , so that draw is out . 	claire danes is no longer alluring - mainly because she's got a horrible hairdo , so that draw is out .	1	-4	 claire[0] danes[0] is[0] no[0] longer[0] alluring[0] mainly[0] because[0] she's[0] got[0] a[0] horrible[-3] hairdo[0] so[0] that[0] draw[0] is[0] out[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are , however , cool explosions , guns and chases which may lure a viewer into thinking that he or she is about to experience an exciting thriller of some sort . 	there are , however , cool explosions , guns and chases which may lure a viewer into thinking that he or she is about to experience an exciting thriller of some sort .	3	-2	 there[0] are[0] however[0] cool[1] explosions[-1] guns[-1] and[0] chases[-1] which[0] may[0] lure[-1][--1 LastWordBoosterStrength] a[0] viewer[0] into[0] thinking[0] that[0] he[0] or[0] she[0] is[0] about[0] to[0] experience[0] an[0] exciting[2] thriller[1] of[0] some[0] sort[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
do not be fooled . 	do not be fooled .	2	-1	 do[0] not[0] be[0] fooled[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
some may call this escapist fare -- i call it escape-as-quickly-as-you-can fare . 	some may call this escapist fare - i call it escape-as-quickly-as-you-can fare .	1	-1	 some[0] may[0] call[0] this[0] escapist[0] fare[0] i[0] call[0] it[0] escape[0] as[0] quickly[0] as[0] you[0] can[0] fare[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
