one of these days , i'll make good on my promise never to rent another abel ferrara movie . 	Translation	Positive	Negative	EmotionRationale
suffice to say , there's some confusion over whether he killed annie one or annie two , or anyone at all . 	suffice to say , there's some confusion over whether he killed annie one or annie two , or anyone at all .	1	-4	 suffice[0] to[0] say[0] there's[0] some[0] confusion[-1][--1 LastWordBoosterStrength] over[0] whether[0] he[0] killed[-3] annie[0] one[0] or[0] annie[0] two[0] or[0] anyone[0] at[0] all[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the blackout is typical ferrara : no plot to speak of , plenty of raunch , and horribly vogue images of matthew modine downing a bottle of jack daniels and a beer while wrapping himself in a see-through curtain in his hotel room by the sea , by the sea , by the beautiful sea . 	the blackout is typical ferrara : no plot to speak of , plenty of raunch , and horribly vogue images of matthew modine downing a bottle of jack daniels and a beer while wrapping himself in a see-through curtain in his hotel room by the sea , by the sea , by the beautiful sea .	3	-4	 the[0] blackout[0] is[0] typical[0] ferrara[0] no[0] plot[0] to[0] speak[0] of[0] plenty[0] of[0] raunch[0] and[0] horribly[-3] vogue[0] images[0] of[0] matthew[0] modine[0] downing[0] a[0] bottle[0] of[0] jack[0] daniels[0] and[0] a[0] beer[0] while[0] wrapping[0] himself[0] in[0] a[0] see[0] through[0] curtain[0] in[0] his[0] hotel[0] room[0] by[0] the[0] sea[0] by[0] the[0] sea[0] by[0] the[0] beautiful[2] sea[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
cinematographer ken kelsch finds inconsistent glory in alternating gorgeous painterly sunsets with docu-style sleaze ( and we're back to dennis hopper leering at girls in bathing suits . 	cinematographer ken kelsch finds inconsistent glory in alternating gorgeous painterly sunsets with docu-style sleaze ( and we're back to dennis hopper leering at girls in bathing suits .	3	-3	 cinematographer[0] ken[0] kelsch[0] finds[0] inconsistent[-1] glory[1] in[0] alternating[0] gorgeous[2] painterly[0] sunsets[0] with[0] docu[0] style[0] sleaze[-2] and[0] we're[0] back[0] to[0] dennis[0] hopper[0] leering[0] at[0] girls[0] in[0] bathing[0] suits[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " yeah ! ! ! 	 " yeah !<br> !<br> !	1	-1	 yeah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah ! ! ! 	yeah !<br> !<br> !	1	-1	 yeah[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
arrrghhh ! " 	arrgh !<br> "	2	-1	 arrrghhh/arrgh[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
says mr . hopper . 	says mr .<br> hopper .	1	-1	 says[0] mr[0] [[Sentence=-1,1=word max, 1-5]] hopper[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dirty old sod . ) 	dirty old sod .<br> )	1	-2	 dirty[-1] old[0] sod[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's compulsive viewing in a tacky sort of way , leading to a ridiculous climax where modine seizes control of his destiny . 	it's compulsive viewing in a tacky sort of way , leading to a ridiculous climax where modine seizes control of his destiny .	1	-3	 it's[0] compulsive[0] viewing[0] in[0] a[0] tacky[0] sort[0] of[0] way[0] leading[0] to[0] a[0] ridiculous[-2] climax[0] where[0] modine[0] seizes[0] control[0] of[0] his[0] destiny[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
how's that for cryptic ? 	how's that for cryptic ?	1	-1	 how's[0] that[0] for[0] cryptic[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
never fear -- ferrara finds time for some female full frontal nudity to remind us what he's all about . 	never fear - ferrara finds time for some female full frontal nudity to remind us what he's all about .	4	-1	 never[0] fear[-3][NegatedDueToPreviousWord] ferrara[0] finds[0] time[0] for[0] some[0] female[0] full[0] frontal[0] nudity[0] to[0] remind[0] us[0] what[0] he's[0] all[0] about[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i can picture it now . 	i can picture it now .	1	-1	 i[0] can[0] picture[0] it[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " take off yer clothes , kid -- it's essential to depict the inner maelstrom of my central protagonist , and you're his visual id . 	 " take off yer clothes , kid - it's essential to depict the inner maelstrom of my central protagonist , and you're his visual id .	1	-1	 take[0] off[0] yer[0] clothes[0] kid[0] it's[0] essential[0] to[0] depict[0] the[0] inner[0] maelstrom[0] of[0] my[0] central[0] protagonist[0] and[0] you're[0] his[0] visual[0] id[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
you're the soul , the heart , the bloodstream of the picture . 	you're the soul , the heart , the bloodstream of the picture .	1	-1	 you're[0] the[0] soul[0] the[0] heart[0] the[0] bloodstream[0] of[0] the[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take it off ! 	take it off !	1	-1	 take[0] it[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
take it all off ! ! ! 	take it all off !<br> !<br> !	1	-1	 take[0] it[0] all[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ha ha ha ! " 	ha ha ha !<br> "	2	-1	 ha[1] ha[1] ha[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
friggin' vampire . 	friggin' vampire .	1	-1	 friggin'[0] vampire[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
yeah , you , ferrara . 	yeah , you , ferrara .	1	-1	 yeah[0] you[0] ferrara[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a final word about matthew modine : he's actually a fine actor when properly cast , but there's something too squeaky-clean in his demeanor . 	a final word about matthew modine : he's actually a fine actor when properly cast , but there's something too squeaky-clean in his demeanor .	3	-1	 a[0] final[0] word[0] about[0] matthew[0] modine[0] he's[0] actually[0] a[0] fine[2] actor[0] when[0] properly[0] cast[0] but[0] there's[0] something[0] too[0] squeaky[0] clean[0] in[0] his[0] demeanor[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he's ideally suited for sarcastic men in tightly controlled situations , such as his private joker in full metal jacket or the time-bomb nebbish in short cuts ( who is every bit as superb as julianne moore in that famous scene , though no one seems to notice him ) . 	he's ideally suited for sarcastic men in tightly controlled situations , such as his private joker in full metal jacket or the time-bomb nebbish in short cuts ( who is every bit as superb as julianne more in that famous scene , though no one seems to notice him ) .	2	-3	 he's[0] ideally[0] suited[0] for[0] sarcastic[-2] men[0] in[0] tightly[0] controlled[0] situations[0] such[0] as[0] his[0] private[0] joker[1] in[0] full[0] metal[0] jacket[0] or[0] the[0] time[0] bomb[-1] nebbish[0] in[0] short[0] cuts[0] who[0] is[0] every[0] bit[0] as[0] superb[0] as[0] julianne[0] moore/more[0] in[0] that[0] famous[0] scene[0] though[0] no[0] one[0] seems[0] to[0] notice[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
[he was in that scene ? 	[he was in that scene ?	1	-1	 [he[0] was[0] in[0] that[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
-ed . ] 	-ed .<br> ]	1	-1	 ed[0] [[Sentence=-1,1=word max, 1-5]] ][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here , he's asked to let it all hang out , sporting a three-day stubble and oily bangs . 	here , he's asked to let it all hang out , sporting a three-day stubble and oily bangs .	1	-2	 here[0] he's[0] asked[0] to[0] let[0] it[0] all[0] hang[-1] out[0] sporting[0] a[0] three[0] day[0] stubble[0] and[0] oily[0] bangs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he throws around furniture like stanley kowalski , but it's somehow lacking . 	he throws around furniture like stanley kowalski , but it's somehow lacking .	2	-1	 he[0] throws[0] around[0] furniture[0] like[1] stanley[0] kowalski[0] but[0] it's[0] somehow[0] lacking[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
modine lacks the feral intensity of brando , entirely miscast in ferrara's flesh fair . 	modine lacks the feral intensity of brando , entirely miscast in ferrara's flesh fair .	1	-1	 modine[0] lacks[0] the[0] feral[0] intensity[0] of[0] brando[0] entirely[0] miscast[0] in[0] ferrara's[0] flesh[0] fair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
better luck next time , matt . 	better luck next time , matt .	3	-1	 better[0] luck[2] next[0] time[0] matt[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
someday , you'll be forgiven for cutthroat island , which wasn't really your fault in the first place . 	someday , you'll be forgiven for cutthroat island , which wasn't really your fault in the first place .	2	-2	 someday[0] you'll[0] be[0] forgiven[1] for[0] cutthroat[0] island[0] which[0] wasn't[0] really[0] your[0] fault[-1] in[0] the[0] first[0] place[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
maybe atom egoyan will find a place for you somewhere , and all will once again be well in your world . 	maybe atom egoyan will find a place for you somewhere , and all will once again be well in your world .	1	-1	 maybe[0] atom[0] egoyan[0] will[0] find[0] a[0] place[0] for[0] you[0] somewhere[0] and[0] all[0] will[0] once[0] again[0] be[0] well[0] in[0] your[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
