chill factor is a carbon copy of speed with one notable exception : instead of a speeding bus , we now have an ice cream truck . 	Translation	Positive	Negative	EmotionRationale
among the wild adventures arlo and mason partake in is a trip down a tree-covered mountainside in a boat , and a fist fight on top of a moving vehicle . 	among the wild adventures arlo and mason partake in is a trip down a tree-covered mountainside in a boat , and a fist fight on top of a moving vehicle .	1	-3	 among[0] the[0] wild[0] adventures[0] arlo[0] and[0] mason[0] partake[0] in[0] is[0] a[0] trip[0] down[0] a[0] tree[0] covered[0] mountainside[0] in[0] a[0] boat[0] and[0] a[0] fist[-1] fight[-2] on[0] top[0] of[0] a[0] moving[0] vehicle[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they also crack a few dozen witty retorts that we are supposed to find amusing . 	they also crack a few dozen witty retorts that we are supposed to find amusing .	2	-1	 they[0] also[0] crack[0] a[0] few[0] dozen[0] witty[0] retorts[0] that[0] we[0] are[0] supposed[0] to[0] find[0] amusing[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to put it simply , i'll use a clever pun : chill factor should be put on ice . 	to put it simply , i'll use a clever pun : chill factor should be put on ice .	1	-1	 to[0] put[0] it[0] simply[0] i'll[0] use[0] a[0] clever[0] pun[0] chill[0] factor[0] should[0] be[0] put[0] on[0] ice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
director hugh johnson has mixed elements from speed , broken arrow and the lethal weapon series to create a lifelessly bland cocktail of a chase movie . 	director hugh johnson has mixed elements from speed , broken arrow and the lethal weapon series to create a lifelessly bland cocktail of a chase movie .	1	-2	 director[0] hugh[0] johnson[0] has[0] mixed[0] elements[0] from[0] speed[0] broken[-1] arrow[0] and[0] the[0] lethal[0] weapon[-1] series[0] to[0] create[0] a[0] lifelessly[0] bland[-1] cocktail[0] of[0] a[0] chase[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when there is some occasional action , the audience seems oddly detached from it . 	when there is some occasional action , the audience seems oddly detached from it .	1	-1	 when[0] there[0] is[0] some[0] occasional[0] action[0] the[0] audience[0] seems[0] oddly[0] detached[0] from[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps that's because we've already waded through a pool of clich ? s and boring dialogue ; all material that's been used before , and with a lot more spice . 	perhaps that's because we've already waded through a pool of clich ?<br> s and boring dialogue ; all material that's been used before , and with a lot more spice .	1	-2	 perhaps[0] that's[0] because[0] we've[0] already[0] waded[0] through[0] a[0] pool[0] of[0] clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] and[0] boring[-1] dialogue[0] all[0] material[0] that's[0] been[0] used[0] before[0] and[0] with[0] a[0] lot[0] more[0] spice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
take the villains , for example . 	take the villains , for example .	1	-3	 take[0] the[0] villains[-2] for[0] example[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they are typical stereotypes of every terrorist that has ever walked the silver screen . 	they are typical stereotypes of every terrorist that has ever walked the silver screen .	1	-3	 they[0] are[0] typical[0] stereotypes[0] of[0] every[0] terrorist[-2] that[0] has[0] ever[0] walked[0] the[0] silver[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they speak lines that have been recycled profusely from one movie to the next , divulge important plot details while holding their enemies at gunpoint , and act in very predictable ways . 	they speak lines that have been recycled profusely from one movie to the next , divulge important plot details while holding their enemies at gunpoint , and act in very predictable ways .	1	-2	 they[0] speak[0] lines[0] that[0] have[0] been[0] recycled[0] profusely[0] from[0] one[0] movie[0] to[0] the[0] next[0] divulge[0] important[0] plot[0] details[0] while[0] holding[0] their[0] enemies[-1] at[0] gunpoint[-1] and[0] act[0] in[0] very[0] predictable[0] ways[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the tag-team of gooding jr . and ulrich sounds much more exciting than it is . 	the tag-team of gooding jr .<br> and ulrich sounds much more exciting than it is .	3	-1	 the[0] tag[0] team[0] of[0] gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] and[0] ulrich[0] sounds[0] much[0] more[0] exciting[2] than[0] it[0] is[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
frankly , i'm not sure i can accept cuba as an ice cream man . 	frankly , i'm not sure i can accept cuba as an ice cream man .	1	-1	 frankly[0] i'm[0] not[0] sure[0] i[0] can[0] accept[0] cuba[0] as[0] an[0] ice[0] cream[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose it's better than him dressed like a giant hot dog , selling jumbo frankfurters on a street corner . 	i suppose it's better than him dressed like a giant hot dog , selling jumbo frankfurters on a street corner .	2	-1	 i[0] suppose[0] it's[0] better[0] than[0] him[0] dressed[0] like[1] a[0] giant[0] hot[0] dog[0] selling[0] jumbo[0] frankfurters[0] on[0] a[0] street[0] corner[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gooding displays one single emotion in this movie , which is frequently on display in lines like  i'm gonna get on yo ass like last year's underwear ! ' and the incessant sputtering of  oh , sh * t ! ' 	gooding displays one single emotion in this movie , which is frequently on display in lines like  i'm gonna get on yo ass like last year's underwear !<br> ' and the incessant sputtering of  oh , sh * t !<br> '	2	-2	 gooding[0] displays[0] one[0] single[0] emotion[0] in[0] this[0] movie[0] which[0] is[0] frequently[0] on[0] display[0] in[0] lines[0] like[1] i'm[0] gonna[0] get[0] on[0] yo[0] ass[0] like[1] last[0] year's[0] underwear[0] [[Sentence=-1,2=word max, 1-5]] '[0] and[0] the[0] incessant[-1] sputtering[-1] of[0] oh[0] sh[0] t[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
this is virtually the same character he played in jerry maguire and as good as it gets . 	this is virtually the same character he played in jerry maguire and as good as it gets .	2	-1	 this[0] is[0] virtually[0] the[0] same[0] character[0] he[0] played[0] in[0] jerry[0] maguire[0] and[0] as[0] good[1] as[0] it[0] gets[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but where gooding was once an exciting actor , he now seems dull and endlessly monotonous . 	but where gooding was once an exciting actor , he now seems dull and endlessly monotonous .	3	-2	 but[0] where[0] gooding[0] was[0] once[0] an[0] exciting[2] actor[0] he[0] now[0] seems[0] dull[-1] and[0] endlessly[0] monotonous[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at least he's a bit more captivating than ulrich , who has all the film's worst dialogue , but does nothing noticeable to enliven his character . 	at least he's a bit more captivating than ulrich , who has all the film's worst dialogue , but does nothing noticeable to enliven his character .	1	-3	 at[0] least[0] he's[0] a[0] bit[0] more[0] captivating[0] than[0] ulrich[0] who[0] has[0] all[0] the[0] film's[0] worst[-2] dialogue[0] but[0] does[0] nothing[0] noticeable[0] to[0] enliven[0] his[0] character[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the supporting cast , which includes every personality you expect to pop up , is also wasted . 	the supporting cast , which includes every personality you expect to pop up , is also wasted .	2	-2	 the[0] supporting[1] cast[0] which[0] includes[0] every[0] personality[0] you[0] expect[0] to[0] pop[0] up[0] is[0] also[0] wasted[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
to be fair , there are a few brief moments of serviceable action . 	to be fair , there are a few brief moments of serviceable action .	1	-1	 to[0] be[0] fair[0] there[0] are[0] a[0] few[0] brief[0] moments[0] of[0] serviceable[0] action[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i did chuckle a few times . 	and i did chuckle a few times .	2	-1	 and[0] i[0] did[0] chuckle[2][-1 LastWordBoosterStrength] a[0] few[0] times[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one example is when ulrich ( an employee at  darlene's diner' ) is at the counter when brynner walks through the door . 	one example is when ulrich ( an employee at  darlene's diner' ) is at the counter when brynner walks through the door .	1	-1	 one[0] example[0] is[0] when[0] ulrich[0] an[0] employee[0] at[0] darlene's[0] diner'[0] is[0] at[0] the[0] counter[0] when[0] brynner[0] walks[0] through[0] the[0] door[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 you own this place ? ' 	 you own this place ?<br> '	1	-1	 you[0] own[0] this[0] place[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the general asks . 	the general asks .	1	-1	 the[0] general[0] asks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 yeah , ' ulrich says . 	 yeah , ' ulrich says .	1	-1	 yeah[0] '[0] ulrich[0] says[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 they call me darlene . ' 	 they call me darlene .<br> '	1	-1	 they[0] call[0] me[0] darlene[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these little tidbits of humor are ( mainly ) welcome in this weak , disappointing wreckage of an action film . 	these little tidbits of humor are ( mainly ) welcome in this weak , disappointing wreckage of an action film .	3	-2	 these[0] little[0] tidbits[0] of[0] humor[2] are[0] mainly[0] welcome[1] in[0] this[0] weak[-1] disappointing[-1] wreckage[-1] of[0] an[0] action[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
as a speed clone , it could have benefited from a lot more suspense and perhaps ( god forbid ) even some decent writing . 	as a speed clone , it could have benefited from a lot more suspense and perhaps ( god forbid ) even some decent writing .	1	-2	 as[0] a[0] speed[0] clone[0] it[0] could[0] have[0] benefited[0] from[0] a[0] lot[0] more[0] suspense[0] and[0] perhaps[0] god[0] forbid[-1] even[0] some[0] decent[0] writing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sadly , i walked away from chill factor only wondering how much fun it could have been . 	sadly , i walked away from chill factor only wondering how much fun it could have been .	2	-2	 sadly[-1] i[0] walked[0] away[0] from[0] chill[0] factor[0] only[0] wondering[0] how[0] much[0] fun[1] it[0] could[0] have[0] been[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
