i'm giving this stinker . 	Translation	Positive	Negative	EmotionRationale
the governor pawns the task off to korman's character hedley lamarr . 	the governor pawns the task off to korman's character hedley lamar .	1	-1	 the[0] governor[0] pawns[0] the[0] task[0] off[0] to[0] korman's[0] character[0] hedley[0] lamarr/lamar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( i can tell you are rolling off your chairs right now just thinking of all the humor in that name . ) 	 ( i can tell you are rolling off your chairs right now just thinking of all the humor in that name .<br> )	3	-1	 i[0] can[0] tell[0] you[0] are[0] rolling[0] off[0] your[0] chairs[0] right[0] now[0] just[0] thinking[0] of[0] all[0] the[0] humor[2] in[0] that[0] name[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lamarr decides to send the town a black sheriff ( gasp ) in the hopes that the town will be so disgusted at the prospect of a black man living among them that they will all just leave . 	lamar decides to send the town a black sheriff ( gasp ) in the hopes that the town will be so disgusted at the prospect of a black man living among them that they will all just leave .	2	-4	 lamarr/lamar[0] decides[0] to[0] send[0] the[0] town[0] a[0] black[0] sheriff[0] gasp[0] in[0] the[0] hopes[1] that[0] the[0] town[0] will[0] be[0] so[0] disgusted[-3] at[0] the[0] prospect[0] of[0] a[0] black[0] man[0] living[0] among[0] them[0] that[0] they[0] will[0] all[0] just[0] leave[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
hold on , i've got to stop while these gales of laughter pass . 	hold on , i've got to stop while these gales of laughter pass .	2	-1	 hold[0] on[0] i've[0] got[0] to[0] stop[0] while[0] these[0] gales[0] of[0] laughter[1] pass[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's just too funny . 	it's just too funny .	2	-1	 it's[0] just[0] too[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
racism passing as humor -- gosh why didn't anybody ever think of that one before ? 	racism passing as humor - gosh why didn't anybody ever think of that one before ?	3	-2	 racism[-1] passing[0] as[0] humor[2] gosh[0] why[0] didn't[0] anybody[0] ever[0] think[0] of[0] that[0] one[0] before[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
oh wait , i think somebody might have -- they are called the kkk . 	oh wait , i think somebody might have - they are called the k .	2	-1	 oh[0] wait[0] i[0] think[0] somebody[0] might[0] have[0] they[0] are[0] called[0] the[0] kkk/k[0][+0.6 MultipleLetters] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i'm not calling brooks a racist -- but i am calling him an insensitive bastard who wouldn't know what was funny if it hit him over the head . 	i'm not calling brooks a racist - but i am calling him an insensitive bastard who wouldn't know what was funny if it hit him over the head .	2	-3	 i'm[0] not[0] calling[0] brooks[0] a[0] racist[-1] but[0] i[0] am[0] calling[0] him[0] an[0] insensitive[0] bastard[-2] who[0] wouldn't[0] know[0] what[0] was[0] funny[1] if[0] it[0] hit[0] him[0] over[0] the[0] head[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but i digress . 	but i digress .	1	-1	 but[0] i[0] digress[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anyway , the black sheriff rides into town amid a flurry of townsfolk using the n-word . 	anyway , the black sheriff rides into town amid a flurry of townsfolk using the n-word .	1	-1	 anyway[0] the[0] black[0] sheriff[0] rides[0] into[0] town[0] amid[0] a[0] flurry[0] of[0] townsfolk[0] using[0] the[0] n[0] word[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
golly , will the hilarity just never end ? 	golly , will the hilarity just never end ?	3	-1	 golly[0] will[0] the[0] hilarity[2] just[0] never[0] end[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he ends up joining forces with a drunk ( gene wilder ) , who happens to be the former fastest gun in the west . 	he ends up joining forces with a drunk ( gene wilder ) , who happens to be the former fastest gun in the west .	1	-2	 he[0] ends[0] up[0] joining[0] forces[0] with[0] a[0] drunk[-1] gene[0] wilder[0] who[0] happens[0] to[0] be[0] the[0] former[0] fastest[0] gun[-1] in[0] the[0] west[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
together , they save the day from evil . 	together , they save the day from evil .	2	-3	 together[0] they[0] save[1] the[0] day[0] from[0] evil[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not one person in this movie gives a decent performance . 	not one person in this movie gives a decent performance .	1	-1	 not[0] one[0] person[0] in[0] this[0] movie[0] gives[0] a[0] decent[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wilder looks like he is recovering from a head injury for most of the movie , and korman looks embarrassed to be a part of the movie . 	wilder looks like he is recovering from a head injury for most of the movie , and korman looks embarrassed to be a part of the movie .	2	-3	 wilder[0] looks[0] like[1] he[0] is[0] recovering[0] from[0] a[0] head[0] injury[-1] for[0] most[0] of[0] the[0] movie[0] and[0] korman[0] looks[0] embarrassed[-2] to[0] be[0] a[0] part[0] of[0] the[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
ok , he really didn't -- but he should have . 	ok , he really didn't - but he should have .	1	-1	 ok[0] he[0] really[0] didn't[0] but[0] he[0] should[0] have[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the films star cleavon little goes along with the black jokes as if they were discussing the time of day . 	the films star cleavon little goes along with the black jokes as if they were discussing the time of day .	2	-1	 the[0] films[0] star[0] cleavon[0] little[0] goes[0] along[0] with[0] the[0] black[0] jokes[1] as[0] if[0] they[0] were[0] discussing[0] the[0] time[0] of[0] day[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i did not laugh once during this whole sorry experience . 	i did not laugh once during this whole sorry experience .	1	-2	 i[0] did[0] not[0] laugh[1][NegatedDueToPreviousWord] once[0] during[0] this[0] whole[0] sorry[-1] experience[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i admit to starting to snicker on a couple of occasions . 	i admit to starting to snicker on a couple of occasions .	1	-1	 i[0] admit[0] to[0] starting[0] to[0] snicker[0] on[0] a[0] couple[0] of[0] occasions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
actually , the end started to look as if it was going to have some promise , but alas , it ended up being as crappy as the rest of the movie . 	actually , the end started to look as if it was going to have some promise , but alas , it ended up being as crappy as the rest of the movie .	1	-3	 actually[0] the[0] end[0] started[0] to[0] look[0] as[0] if[0] it[0] was[0] going[0] to[0] have[0] some[0] promise[1][-1 LastWordBoosterStrength] but[0] alas[-1] it[0] ended[0] up[0] being[0] as[0] crappy[-2] as[0] the[0] rest[0] of[0] the[0] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i can say with full confidence that blazing saddles has no redeeming qualities whatsoever . 	i can say with full confidence that blazing saddles has no redeeming qualities whatsoever .	2	-1	 i[0] can[0] say[0] with[0] full[0] confidence[1] that[0] blazing[0] saddles[0] has[0] no[0] redeeming[0] qualities[0] whatsoever[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
mel brooks would be doing the world a favor if he burned every last copy of this film . 	mel brooks would be doing the world a favor if he burned every last copy of this film .	2	-2	 mel[0] brooks[0] would[0] be[0] doing[0] the[0] world[0] a[0] favor[1] if[0] he[0] burned[-1] every[0] last[0] copy[0] of[0] this[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
