if there were a subject just screaming to be made into a film , it was studio 54 , the late steve rubell's infamous new york discotheque , which came to symbolize the taboo-smashing excesses of the disco era's heyday : easy drugs and even easier sex between everyone , all set to a thumping dance beat . 	Translation	Positive	Negative	EmotionRationale
with the exception of the flamboyant , always-woozy rubell ( myers , in a well-modulated turn ) , the meaty stories to be told at studio 54 are not the workers' but those of the people who went there to party ; not necessarily the numerous vip guests , but the wild eccentrics who managed to be picked from the crowd by the club's famously hard-ass doormen and dance ( among other things ) the night away with the rich , famous , and infamous ( the only taste of the crowd comes by way of ellen dow's feisty dottie , a disco- and drug-crazed granny , but she's a peripheral character at best ) . 	with the exception of the flamboyant , always-woozy rubell ( myers , in a well-modulated turn ) , the meaty stories to be told at studio 54 are not the workers' but those of the people who went there to party ; not necessarily the numerous vip guests , but the wild eccentrics who managed to be picked from the crowd by the club's famously hard-ass doormen and dance ( among other things ) the night away with the rich , famous , and infamous ( the only taste of the crowd comes by way of ellen dow's feisty dottie , a disco- and drug-crazed granny , but she's a peripheral character at best ) .	1	-2	 with[0] the[0] exception[0] of[0] the[0] flamboyant[0] always[0] woozy[0] rubell[0] myers[0] in[0] a[0] well[0] modulated[0] turn[0] the[0] meaty[0] stories[0] to[0] be[0] told[0] at[0] studio[0] 54[0] are[0] not[0] the[0] workers'[0] but[0] those[0] of[0] the[0] people[0] who[0] went[0] there[0] to[0] party[0] not[0] necessarily[0] the[0] numerous[0] vip[0] guests[0] but[0] the[0] wild[0] eccentrics[0] who[0] managed[0] to[0] be[0] picked[0] from[0] the[0] crowd[0] by[0] the[0] club's[0] famously[0] hard[0] ass[0] doormen[0] and[0] dance[0] among[0] other[0] things[0] the[0] night[0] away[0] with[0] the[0] rich[0] famous[0] and[0] infamous[-1] the[0] only[0] taste[0] of[0] the[0] crowd[0] comes[0] by[0] way[0] of[0] ellen[0] dow's[0] feisty[0] dottie[0] a[0] disco[0] and[0] drug[0] crazed[0] granny[0] but[0] she's[0] a[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as such , aside from the expected overhead crowd shots , there is precious little actual _dancing_ in _54_ . 	as such , aside from the expected overhead crowd shots , there is precious little actual _dancing_ in _54_ .	3	-1	 as[0] such[0] aside[0] from[0] the[0] expected[0] overhead[0] crowd[0] shots[0] there[0] is[0] precious[2] little[0] actual[0] _dancing_[0] in[0] _54_[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
what is a disco film--especially one about the pinnacle of the movement--without the dancing ? 	what is a disco film-especially one about the pinnacle of the movement-without the dancing ?	1	-1	 what[0] is[0] a[0] disco[0] film[0] especially[0] one[0] about[0] the[0] pinnacle[0] of[0] the[0] movement[0] without[0] the[0] dancing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even whit stillman's _the_last_days_of_disco_ , which wasn't so much concerned with disco as it was witty dialogue within a group of hip-to-only-themselves club-hopping preppies , featured at least one extended dance scene . 	even whit stillman's _the_last_days_of_disco_ , which wasn't so much concerned with disco as it was witty dialogue within a group of hip-to-only-themselves club-hopping preppies , featured at least one extended dance scene .	1	-2	 even[0] whit[0] stillman's[0] _the_last_days_of_disco_[0] which[0] wasn't[0] so[0] much[0] concerned[-1] with[0] disco[0] as[0] it[0] was[0] witty[0] dialogue[0] within[0] a[0] group[0] of[0] hip[0] to[0] only[0] themselves[0] club[0] hopping[0] preppies[0] featured[0] at[0] least[0] one[0] extended[0] dance[0] scene[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dancing isn't the only thing glazed over in _54_--so is the sex , but that may not be entirely christopher's fault . 	dancing isn't the only thing glazed over in _54_-so is the sex , but that may not be entirely christopher's fault .	1	-2	 dancing[0] isn't[0] the[0] only[0] thing[0] glazed[0] over[0] in[0] _54_[0] so[0] is[0] the[0] sex[0] but[0] that[0] may[0] not[0] be[0] entirely[0] christopher's[0] fault[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
from what i've heard , his original vision was something considerably more dark and daring , starting with the shane character : he was conceived ( and actually filmed ) as a wild , morally ambiguous bisexual , which would have made an efficient springboard to cover the pansexual pleasure palace aspect of studio 54's legend . 	from what i've heard , his original vision was something considerably more dark and daring , starting with the shane character : he was conceived ( and actually filmed ) as a wild , morally ambiguous bisexual , which would have made an efficient springboard to cover the pansexual pleasure palace aspect of studio 54's legend .	3	-2	 from[0] what[0] i've[0] heard[0] his[0] original[0] vision[0] was[0] something[0] considerably[0] more[0] dark[0] and[0] daring[0] starting[0] with[0] the[0] shane[0] character[0] he[0] was[0] conceived[0] and[0] actually[0] filmed[0] as[0] a[0] wild[0] morally[0] ambiguous[-1] bisexual[0] which[0] would[0] have[0] made[0] an[0] efficient[0] springboard[0] to[0] cover[0] the[0] pansexual[0] pleasure[2] palace[0] aspect[0] of[0] studio[0] 54's[0] legend[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but somewhere between principal photography and the final cut , shane was defanged and quite literally straightened out ; consequently , so was the film . 	but somewhere between principal photography and the final cut , shane was defanged and quite literally straightened out ; consequently , so was the film .	1	-1	 but[0] somewhere[0] between[0] principal[0] photography[0] and[0] the[0] final[0] cut[0] shane[0] was[0] defanged[0] and[0] quite[0] literally[0] straightened[0] out[0] consequently[0] so[0] was[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aside from a brief glimpse of erotic encounters toward the beginning of the film , shane's fleeting dalliance with seductive socialite billie ( sela ward ) , and an abbreviated bedhopping montage , the sexual dimension is just about ignored . 	aside from a brief glimpse of erotic encounters toward the beginning of the film , shane's fleeting dalliance with seductive socialite billie ( sela ward ) , and an abbreviated bedhopping montage , the sexual dimension is just about ignored .	1	-2	 aside[0] from[0] a[0] brief[0] glimpse[0] of[0] erotic[0] encounters[0] toward[0] the[0] beginning[0] of[0] the[0] film[0] shane's[0] fleeting[-1] dalliance[0] with[0] seductive[0] socialite[0] billie[0] sela[0] ward[0] and[0] an[0] abbreviated[0] bedhopping[0] montage[0] the[0] sexual[0] dimension[0] is[0] just[0] about[0] ignored[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shane , in this incarnation , is sanitized to the point of blandness , an idealistic do-gooder who pines for a frequent guest at the club , julie black ( campbell ) , a worldly soap star with , yes , a heart of gold . 	shane , in this incarnation , is sanitized to the point of blandness , an idealistic do-gooder who pines for a frequent guest at the club , julie black ( campbell ) , a worldly soap star with , yes , a heart of gold .	1	-1	 shane[0] in[0] this[0] incarnation[0] is[0] sanitized[0] to[0] the[0] point[0] of[0] blandness[0] an[0] idealistic[0] do[0] gooder[0] who[0] pines[0] for[0] a[0] frequent[0] guest[0] at[0] the[0] club[0] julie[0] black[0] campbell[0] a[0] worldly[0] soap[0] star[0] with[0] yes[0] a[0] heart[0] of[0] gold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this tacked-on " romance " would have been slightly less tedious if either campbell or phillippe made some connection with each other or the audience . 	this tacked-on " romance " would have been slightly less tedious if either campbell or phillippe made some connection with each other or the audience .	4	-3	 this[0] tacked[0] on[0] romance[3] would[0] have[0] been[0] slightly[0] less[0] tedious[-2] if[0] either[0] campbell[0] or[0] phillippe[0] made[0] some[0] connection[0] with[0] each[0] other[0] or[0] the[0] audience[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
they fail on both counts . 	they fail on both counts .	1	-3	 they[0] fail[-2] on[0] both[0] counts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ultimately , _54_'s failure comes down to three letters : f-u-n . 	ultimately , _54_'s failure comes down to three letters : f-you-n .	1	-3	 ultimately[0] _54_'s[0] failure[-2] comes[0] down[0] to[0] three[0] letters[0] f[0] u[0] n[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as in , there isn't any to be had for the audience . 	as in , there isn't any to be had for the audience .	1	-1	 as[0] in[0] there[0] isn't[0] any[0] to[0] be[0] had[0] for[0] the[0] audience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too much time is spent with the boring shane , and too little is spent on the club floor , where all the action took place . 	too much time is spent with the boring shane , and too little is spent on the club floor , where all the action took place .	1	-2	 too[0] much[0] time[0] is[0] spent[0] with[0] the[0] boring[-1] shane[0] and[0] too[0] little[0] is[0] spent[0] on[0] the[0] club[0] floor[0] where[0] all[0] the[0] action[0] took[0] place[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
anyhow , though , whatever time is spent on the 54 floor is not used very effectively . 	anyhow , though , whatever time is spent on the 54 floor is not used very effectively .	1	-1	 anyhow[0] though[0] whatever[0] time[0] is[0] spent[0] on[0] the[0] 54[0] floor[0] is[0] not[0] used[0] very[0] effectively[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when anita finally gets her big break and perform onstage at the club , it should be a euphoric height , for her , the crowd , and the audience ; however , the moment doesn't get a chance to reach that level , for it is cut short by a moment of forced sentimentality , which also mars the film's conclusion ( one of the last-minute reshoots ) . 	when anita finally gets her big break and perform onstage at the club , it should be a euphoric height , for her , the crowd , and the audience ; however , the moment doesn't get a chance to reach that level , for it is cut short by a moment of forced sentimentality , which also mars the film's conclusion ( one of the last-minute reshoots ) .	3	-1	 when[0] anita[0] finally[0] gets[0] her[0] big[0] break[0] and[0] perform[0] onstage[0] at[0] the[0] club[0] it[0] should[0] be[0] a[0] euphoric[0] height[0] for[0] her[0] the[0] crowd[0] and[0] the[0] audience[0] however[0] the[0] moment[0] doesn't[0] get[0] a[0] chance[0] to[0] reach[0] that[0] level[0] for[0] it[0] is[0] cut[0] short[0] by[0] a[0] moment[0] of[0] forced[0] sentimentality[2] which[0] also[0] mars[0] the[0] film's[0] conclusion[0] one[0] of[0] the[0] last[0] minute[0] reshoots[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
strangely upbeat and wistful , the resolution is wholly unconvincing and unsatisfying . 	strangely upbeat and wistful , the resolution is wholly unconvincing and unsatisfying .	2	-1	 strangely[0] upbeat[1] and[0] wistful[0] the[0] resolution[0] is[0] wholly[0] unconvincing[0] and[0] unsatisfying[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is an interesting portrait of studio 54 out there--two of them , in fact--but _54_ is not one of them . 	there is an interesting portrait of studio 54 out there-two of them , in fact-but _54_ is not one of them .	2	-1	 there[0] is[0] an[0] interesting[1] portrait[0] of[0] studio[0] 54[0] out[0] there[0] two[0] of[0] them[0] in[0] fact[0] but[0] _54_[0] is[0] not[0] one[0] of[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
they're on cable tv : a couple of documentaries produced by e ! and vh1 . 	they're on cable tv : a couple of documentaries produced by e !<br> and vh1 .	1	-1	 they're[0] on[0] cable[0] tv[0] a[0] couple[0] of[0] documentaries[0] produced[0] by[0] e[0] [[Sentence=-1,1=word max, 1-5]] and[0] vh1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two fascinating looks at the club and all the sordid goings-on within it show that there's still a great disco movie to be made . 	these two fascinating looks at the club and all the sordid goings-on within it show that there's still a great disco movie to be made .	3	-1	 these[0] two[0] fascinating[0] looks[0] at[0] the[0] club[0] and[0] all[0] the[0] sordid[0] goings[0] on[0] within[0] it[0] show[0] that[0] there's[0] still[0] a[0] great[2] disco[0] movie[0] to[0] be[0] made[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the problem is , after the critical and certain box office failure of _54_ , the subject may have run its hollywood course . 	the problem is , after the critical and certain box office failure of _54_ , the subject may have run its hollywood course .	1	-3	 the[0] problem[-1] is[0] after[0] the[0] critical[-1] and[0] certain[0] box[0] office[0] failure[-2] of[0] _54_[0] the[0] subject[0] may[0] have[0] run[0] its[0] hollywood[0] course[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
