i came to an epiphany while watching the bachelor , an innocuous-enough-on-the-surface romantic comedy . 	Translation	Positive	Negative	EmotionRationale
it's almost embarrassing for his marital misgivings to play a role in the bachelor's plot development . 	it's almost embarrassing for his marital misgivings to play a role in the bachelor's plot development .	1	-3	 it's[0] almost[0] embarrassing[-2] for[0] his[0] marital[0] misgivings[0] to[0] play[0] a[0] role[0] in[0] the[0] bachelor's[0] plot[0] development[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
by any human standard , the guy is impossibly selfless . 	by any human standard , the guy is impossibly selfless .	1	-1	 by[0] any[0] human[0] standard[0] the[0] guy[0] is[0] impossibly[0] selfless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and that's the essence of the gutlessness endemic to films like the bachelor -- the fear of giving the characters flaws to overcome on their way to happiness . 	and that's the essence of the gutlessness endemic to films like the bachelor - the fear of giving the characters flaws to overcome on their way to happiness .	3	-4	 and[0] that's[0] the[0] essence[0] of[0] the[0] gutlessness[0] endemic[0] to[0] films[0] like[1] the[0] bachelor[0] the[0] fear[-3] of[0] giving[0] the[0] characters[0] flaws[0] to[0] overcome[0] on[0] their[0] way[0] to[0] happiness[2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
there's never any tension between the two star-crossed lovers , because there's no sense that anything remotely significant is at stake . 	there's never any tension between the two star-crossed lovers , because there's no sense that anything remotely significant is at stake .	4	-1	 there's[0] never[0] any[0] tension[-2][NegatedDueToPreviousWord] between[0] the[0] two[0] star[0] crossed[0] lovers[3] because[0] there's[0] no[0] sense[0] that[0] anything[0] remotely[0] significant[0] is[0] at[0] stake[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the blandly nice o'donnell couldn't pull off a randy cad if he tried , so the filmmakers don't even let him ; zellweger's anne may have issues with her sickeningly affectionate parents as an impossible standard to live up to , but no one dares make her anything but the woman ( lightly ) wronged . 	the blandly nice o'donnell couldn't pull off a randy cad if he tried , so the filmmakers don't even let him ; zellweger's anne may have issues with her sickeningly affectionate parents as an impossible standard to live up to , but no one dares make her anything but the woman ( lightly ) wronged .	3	-4	 the[0] blandly[0] nice[1] o'donnell[0] couldn't[0] pull[0] off[0] a[0] randy[0] cad[0] if[0] he[0] tried[0] so[0] the[0] filmmakers[0] don't[0] even[0] let[0] him[0] zellweger's[0] anne[0] may[0] have[0] issues[0] with[0] her[0] sickeningly[-3] affectionate[2] parents[0] as[0] an[0] impossible[0] standard[0] to[0] live[0] up[0] to[0] but[0] no[0] one[0] dares[0] make[0] her[0] anything[0] but[0] the[0] woman[0] lightly[0] wronged[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
and forget about seeing enough of jimmy and anne together to feel invested in their potential reconciliation . 	and forget about seeing enough of jimmy and anne together to feel invested in their potential reconciliation .	1	-1	 and[0] forget[0] about[0] seeing[0] enough[0] of[0] jimmy[0] and[0] anne[0] together[0] to[0] feel[0] invested[0] in[0] their[0] potential[0] reconciliation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the parade of sit-com set pieces had better be damned funny , since they're all that stands between us and a blissfully sweet foregone conclusion . 	the parade of sit-com set pieces had better be damned funny , since they're all that stands between us and a blissfully sweet foregone conclusion .	2	-2	 the[0] parade[0] of[0] sit[0] com[0] set[0] pieces[0] had[0] better[0] be[0] damned[-1] funny[1] since[0] they're[0] all[0] that[0] stands[0] between[0] us[0] and[0] a[0] blissfully[0] sweet[1] foregone[0] conclusion[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'll admit a couple of those set pieces are amusing , including ustinov's rantings about procreation and a restaurant full-to-bursting with men popping questions and champagne corks . 	i'll admit a couple of those set pieces are amusing , including ustinov's rantings about procreation and a restaurant full-to-bursting with men popping questions and champagne corks .	2	-1	 i'll[0] admit[0] a[0] couple[0] of[0] those[0] set[0] pieces[0] are[0] amusing[1] including[0] ustinov's[0] rantings[0] about[0] procreation[0] and[0] a[0] restaurant[0] full[0] to[0] bursting[0] with[0] men[0] popping[0] questions[0] and[0] champagne[0] corks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
far more of them are either tedious or downright ghastly , like the shudder-inducing sight of brooke shields as an icy fortune-hunter or the hideous collection of stereotypes when hundreds of potential brides gather in a church . 	far more of them are either tedious or downright ghastly , like the shudder-inducing sight of broke shields as an icy fortune-hunter or the hideous collection of stereotypes when hundreds of potential brides gather in a church .	2	-3	 far[0] more[0] of[0] them[0] are[0] either[0] tedious[-2] or[0] downright[0] ghastly[-1] like[1] the[0] shudder[0] inducing[0] sight[0] of[0] brooke/broke[-1] shields[0] as[0] an[0] icy[0] fortune[0] hunter[-1] or[0] the[0] hideous[-1] collection[0] of[0] stereotypes[0] when[0] hundreds[0] of[0] potential[0] brides[0] gather[0] in[0] a[0] church[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
you're never going to get too many raucous belly laughs from a film like the bachelor , but that's not the real problem . 	you're never going to get too many raucous belly laughs from a film like the bachelor , but that's not the real problem .	2	-2	 you're[0] never[0] going[0] to[0] get[0] too[0] many[0] raucous[0] belly[0] laughs[1] from[0] a[0] film[0] like[1] the[0] bachelor[0] but[0] that's[0] not[0] the[0] real[0] problem[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nor is it the real problem that you know exactly the kind of warm-n-fuzzy conclusion it's leading up to . 	nor is it the real problem that you know exactly the kind of warm-n-fuzy conclusion it's leading up to .	2	-2	 nor[0] is[0] it[0] the[0] real[0] problem[-1] that[0] you[0] know[0] exactly[0] the[0] kind[1] of[0] warm[0] n[0] fuzzy/fuzy[0] conclusion[0] it's[0] leading[0] up[0] to[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the problem are a beginning and middle that are equally warm-n-fuzzy -- there's no spark , no energy , no humanity . 	the problem are a beginning and middle that are equally warm-n-fuzy - there's no spark , no energy , no humanity .	1	-2	 the[0] problem[-1] are[0] a[0] beginning[0] and[0] middle[0] that[0] are[0] equally[0] warm[0] n[0] fuzzy/fuzy[0] there's[0] no[0] spark[0] no[0] energy[0] no[0] humanity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's an emotional pudding guaranteed not to offend any consumer's digestions . 	it's an emotional pudding guaranteed not to offend any consumer's digestions .	3	-2	 it's[0] an[0] emotional[-1] pudding[0] guaranteed[0] not[0] to[0] offend[-2][NegatedDueToPreviousWord] any[0] consumer's[0] digestions[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we've reached a point where our proxies for cinematic romantic wish fulfillment don't even have a pulse . 	we've reached a point where our proxies for cinematic romantic wish fulfilment don't even have a pulse .	4	-1	 we've[0] reached[0] a[0] point[0] where[0] our[0] proxies[0] for[0] cinematic[0] romantic[3] wish[0] fulfillment/fulfilment[0] don't[0] even[0] have[0] a[0] pulse[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the bachelor is love among the mannequins . 	the bachelor is love among the mannequins .	3	-1	 the[0] bachelor[0] is[0] love[2] among[0] the[0] mannequins[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
