first troy beyer wrote the critically panned " b . a . p . s . " 	Translation	Positive	Negative	EmotionRationale
what's worse , these sudden developments are supposed to engage our sympathy . 	what's worse , these sudden developments are supposed to engage our sympathy .	1	-3	 what's[0] worse[-2] these[0] sudden[0] developments[0] are[0] supposed[0] to[0] engage[0] our[0] sympathy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
at another point , a character announces that she can't have children . 	at another point , a character announces that she can't have children .	1	-1	 at[0] another[0] point[0] a[0] character[0] announces[0] that[0] she[0] can't[0] have[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
apparently , this is devastating . 	apparently , this is devastating .	1	-5	 apparently[0] this[0] is[0] devastating[-4] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
we wouldn't know this because she never talked about having kids before , but we are nevertheless expected to be devastated for her . 	we wouldn't know this because she never talked about having kids before , but we are nevertheless expected to be devastated for her .	1	-5	 we[0] wouldn't[0] know[0] this[0] because[0] she[0] never[0] talked[0] about[0] having[0] kids[0] before[0] but[0] we[0] are[0] nevertheless[0] expected[0] to[0] be[0] devastated[-4] for[0] her[0] [[Sentence=-5,1=word max, 1-5]][[[1,-5 max of sentences]]]
the scene feels like an afterthought , its emotion manipulative and shallow . 	the scene feels like an afterthought , its emotion manipulative and shallow .	2	-2	 the[0] scene[0] feels[0] like[1] an[0] afterthought[0] its[0] emotion[0] manipulative[-1] and[0] shallow[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these scenes grow worse and worse , culminating in an absurd climax . 	these scenes grow worse and worse , culminating in an absurd climax .	1	-3	 these[0] scenes[0] grow[0] worse[-2] and[0] worse[-2] culminating[0] in[0] an[0] absurd[-1] climax[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
two scenes were played with such overwhelming melodrama that i found myself laughing . 	two scenes were played with such overwhelming melodrama that i found myself laughing .	2	-3	 two[0] scenes[0] were[0] played[0] with[0] such[0] overwhelming[-2] melodrama[0] that[0] i[0] found[0] myself[0] laughing[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one scene is a lover's spat between two minor characters . 	one scene is a lover's spat between two minor characters .	4	-1	 one[0] scene[0] is[0] a[0] lover's[3] spat[0] between[0] two[0] minor[0] characters[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
the other has the main characters expressing their copious grief by cleaning house in wails of despair and clouds of ajax . 	the other has the main characters expressing their copious grief by cleaning house in wails of despair and clouds of ajax .	1	-4	 the[0] other[0] has[0] the[0] main[0] characters[0] expressing[0] their[0] copious[0] grief[-3] by[0] cleaning[0] house[0] in[0] wails[-1] of[0] despair[-3] and[0] clouds[0] of[0] ajax[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
thinking on these scenes , it is hard for me to admit that the film has redeeming qualities . 	thinking on these scenes , it is hard for me to admit that the film has redeeming qualities .	1	-1	 thinking[0] on[0] these[0] scenes[0] it[0] is[0] hard[0] for[0] me[0] to[0] admit[0] that[0] the[0] film[0] has[0] redeeming[0] qualities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it does . 	but it does .	1	-1	 but[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
first , it is original . 	first , it is original .	1	-1	 first[0] it[0] is[0] original[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we men often wonder what women talk about when they are alone in groups , and i imagine this film gives me a pretty good idea . 	we men often wonder what women talk about when they are alone in groups , and i imagine this film gives me a pretty good idea .	3	-1	 we[0] men[0] often[0] wonder[0] what[0] women[0] talk[0] about[0] when[0] they[0] are[0] alone[0] in[0] groups[0] and[0] i[0] imagine[0] this[0] film[0] gives[0] me[0] a[0] pretty[2] good[1] idea[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's something i don't think has been the subject of a film . 	it's something i don't think has been the subject of a film .	1	-1	 it's[0] something[0] i[0] don't[0] think[0] has[0] been[0] the[0] subject[0] of[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
second , the interviews of the miami women are sincere . 	second , the interviews of the miami women are sincere .	1	-1	 second[0] the[0] interviews[0] of[0] the[0] miami[0] women[0] are[0] sincere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taken together , they form a mosaic picture of miami beachwalkers and bistro diners . 	taken together , they form a mosaic picture of miami beachwalkers and bistro diners .	1	-1	 taken[0] together[0] they[0] form[0] a[0] mosaic[0] picture[0] of[0] miami[0] beachwalkers[0] and[0] bistro[0] diners[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the mosaic is made of sound bites and stereotypes , but each tile is some woman's real experience . 	the mosaic is made of sound bites and stereotypes , but each tile is some woman's real experience .	1	-1	 the[0] mosaic[0] is[0] made[0] of[0] sound[0] bites[0] and[0] stereotypes[0] but[0] each[0] tile[0] is[0] some[0] woman's[0] real[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
neither the picture of women , nor their picture of men , is truly representative , but the point is that both sets of generalizations are telling in their own way . 	neither the picture of women , nor their picture of men , is truly representative , but the point is that both sets of generalizations are telling in their own way .	2	-1	 neither[0] the[0] picture[0] of[0] women[0] nor[0] their[0] picture[0] of[0] men[0] is[0] truly[1] representative[0] but[0] the[0] point[0] is[0] that[0] both[0] sets[0] of[0] generalizations[0] are[0] telling[0] in[0] their[0] own[0] way[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at some level , the stereotypes that emerge can be called true . 	at some level , the stereotypes that emerge can be called true .	2	-1	 at[0] some[0] level[0] the[0] stereotypes[0] that[0] emerge[0] can[0] be[0] called[0] true[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i can imagine some people liking this film when its characters talk about their " likes , dislikes , skills , and thrills , " but on the whole , it's pretty bad . 	i can imagine some people liking this film when its characters talk about their " likes , dislikes , skills , and thrills , " but on the whole , it's pretty bad .	4	-3	 i[0] can[0] imagine[0] some[0] people[0] liking[2] this[0] film[0] when[0] its[0] characters[0] talk[0] about[0] their[0] likes[2] dislikes[-2] skills[0] and[0] thrills[3] but[0] on[0] the[0] whole[0] it's[0] pretty[2] bad[-1] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
and that makes it even harder to forgive the bad acting , corny dialogue , and emotional overextension . 	and that makes it even harder to forgive the bad acting , corny dialogue , and emotional overextension .	2	-2	 and[0] that[0] makes[0] it[0] even[0] harder[0] to[0] forgive[1] the[0] bad[-1] acting[0] corny[0] dialogue[0] and[0] emotional[-1] overextension[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i'll give beyer one more strike , and then she's out . 	i'll give beyer one more strike , and then she's out .	1	-2	 i'll[0] give[0] beyer[0] one[0] more[0] strike[-1] and[0] then[0] she's[0] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rated r ( almost got an nc-17 ) for explicit sexual dialogue and nudity . 	rated are ( almost got an nc-17 ) for explicit sexual dialogue and nudity .	1	-1	 rated[0] r[0] almost[0] got[0] an[0] nc[0] -17[0] for[0] explicit[0] sexual[0] dialogue[0] and[0] nudity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
