wizards is an animated feature that begins with a narration of epic proportions . 	Translation	Positive	Negative	EmotionRationale
for years , blackwolf has lost his battles against the magical forces of good , since his armies of ogres and other mutants would get dispirited or distracted soon after battle is joined . 	for years , blackwolf has lost his battles against the magical forces of good , since his armies of ogres and other mutants would get dispirited or distracted soon after battle is joined .	2	-2	 for[0] years[0] blackwolf[0] has[0] lost[0] his[0] battles[-1] against[-1] the[0] magical[0] forces[0] of[0] good[1] since[0] his[0] armies[0] of[0] ogres[0] and[0] other[0] mutants[0] would[0] get[0] dispirited[0] or[0] distracted[-1] soon[0] after[0] battle[-1] is[0] joined[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , blackwolf now has a secret weapon : nazis . 	however , blackwolf now has a secret weapon : nazis .	1	-2	 however[0] blackwolf[0] now[0] has[0] a[0] secret[0] weapon[-1] nazis[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yup , adolf hitler , the luftwaffe and the wehrmacht . 	yup , adolf hitler , the luftwaffe and the wehrmacht .	1	-1	 yup[0] adolf[0] hitler[0] the[0] luftwaffe[0] and[0] the[0] wehrmacht[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , not the real things , but an archival film his minions dug up . 	okay , not the real things , but an archival film his minions dug up .	1	-1	 okay[0] not[0] the[0] real[0] things[0] but[0] an[0] archival[0] film[0] his[0] minions[0] dug[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
projected into the sky for all to see , it inspires his own army while shocking the enemy into submission long enough for the ogres to hack them up . 	projected into the sky for all to see , it inspires his own army while shocking the enemy into submission long enough for the ogres to hack them up .	3	-3	 projected[0] into[0] the[0] sky[0] for[0] all[0] to[0] see[0] it[0] inspires[2] his[0] own[0] army[0] while[0] shocking[-2] the[0] enemy[-1] into[0] submission[0] long[0] enough[0] for[0] the[0] ogres[0] to[0] hack[-1] them[0] up[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
before you know it , there are dead elves everywhere . 	before you know it , there are dead elves everywhere .	1	-3	 before[0] you[0] know[0] it[0] there[0] are[0] dead[-2] elves[0] everywhere[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is just as well . 	this is just as well .	1	-1	 this[0] is[0] just[0] as[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters are so bad that the viewer doesn't care about any of them . 	the characters are so bad that the viewer doesn't care about any of them .	2	-2	 the[0] characters[0] are[0] so[0] bad[-1] that[0] the[0] viewer[0] doesn't[0] care[1] about[0] any[0] of[0] them[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
they're either silly , sappy , or both . 	they're either silly , sappy , or both .	1	-2	 they're[0] either[0] silly[-1] sappy[0] or[0] both[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dialog gets much of the credit for this . 	the dialog gets much of the credit for this .	1	-1	 the[0] dialog[0] gets[0] much[0] of[0] the[0] credit[0] for[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an example is when avatar nonchalantly says , " well , looks like my brother and i begin our final battle . " 	an example is when avatar nonchalantly says , " well , looks like my brother and i begin our final battle .<br> "	2	-2	 an[0] example[0] is[0] when[0] avatar[0] nonchalantly[0] says[0] well[0] looks[0] like[1] my[0] brother[0] and[0] i[0] begin[0] our[0] final[0] battle[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
not very formidable when he's also the guy who says , " this is the biggest bummer of a trip i've ever been on . " 	not very formidable when he's also the guy who says , " this is the biggest bummer of a trip i've ever been on .<br> "	3	-1	 not[0] very[0] formidable[-1][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] when[0] he's[0] also[0] the[0] guy[0] who[0] says[0] this[0] is[0] the[0] biggest[0] bummer[0] of[0] a[0] trip[0] i've[0] ever[0] been[0] on[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
my favorite line was from a sideline fairy who is asked by her child why good can't fight back against the nazi-charged evil . 	my favorite line was from a sideline fairy who is asked by her child why good can't fight back against the nazi-charged evil .	3	-3	 my[0] favorite[1] line[0] was[0] from[0] a[0] sideline[0] fairy[0] who[0] is[0] asked[0] by[0] her[0] child[0] why[0] good[1] can't[0] fight[-2][NegatedDueToPreviousWord] back[0] against[-1] the[0] nazi[-1] charged[-1] evil[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
her response is , " they have weapons and technology . 	her response is , " they have weapons and technology .	1	-2	 her[0] response[0] is[0] they[0] have[0] weapons[-1] and[0] technology[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we just have love . " 	we just have love .<br> "	3	-1	 we[0] just[0] have[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
suffice to say , the characters are strictly two-dimensional , and we therefore don't expect anything more than the obvious to happen . 	suffice to say , the characters are strictly two-dimensional , and we therefore don't expect anything more than the obvious to happen .	1	-2	 suffice[0] to[0] say[0] the[0] characters[0] are[0] strictly[-1] two[0] dimensional[0] and[0] we[0] therefore[0] don't[0] expect[0] anything[0] more[0] than[0] the[0] obvious[0] to[0] happen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
which it does . 	which it does .	1	-1	 which[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only unexpected occurrence is the way the final battle between brothers is played out , which is anticlimactic and disappointing . 	the only unexpected occurrence is the way the final battle between brothers is played out , which is anticlimactic and disappointing .	1	-2	 the[0] only[0] unexpected[0] occurrence[0] is[0] the[0] way[0] the[0] final[0] battle[-1] between[0] brothers[0] is[0] played[0] out[0] which[0] is[0] anticlimactic[0] and[0] disappointing[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
please note that it is the action that is unexpected . 	please note that it is the action that is unexpected .	2	-1	 please[1] note[0] that[0] it[0] is[0] the[0] action[0] that[0] is[0] unexpected[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that it is disappointing is not . 	that it is disappointing is not .	1	-2	 that[0] it[0] is[0] disappointing[-1] is[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film couldn't settle on a particular mood . 	the film couldn't settle on a particular mood .	1	-1	 the[0] film[0] couldn't[0] settle[0] on[0] a[0] particular[0] mood[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems to move from dark to light with the cuts from scene to scene and even angle to angle . 	it seems to move from dark to light with the cuts from scene to scene and even angle to angle .	1	-1	 it[0] seems[0] to[0] move[0] from[0] dark[0] to[0] light[0] with[0] the[0] cuts[0] from[0] scene[0] to[0] scene[0] and[0] even[0] angle[0] to[0] angle[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
scenes which are seemingly meant to contain deep meaning are ruined by acts of levity . 	scenes which are seemingly meant to contain deep meaning are ruined by acts of levity .	1	-2	 scenes[0] which[0] are[0] seemingly[0] meant[0] to[0] contain[0] deep[0] meaning[0] are[0] ruined[-1] by[0] acts[0] of[0] levity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the dramatics , which seem to occur at random , are overly staged and overly acted , detracting from any kind of value or even enjoyment which could otherwise be gleaned . 	the dramatics , which seem to occur at random , are overly staged and overly acted , detracting from any kind of value or even enjoyment which could otherwise be gleaned .	3	-2	 the[0] dramatics[0] which[0] seem[0] to[0] occur[0] at[0] random[0] are[0] overly[0] staged[0] and[0] overly[0] acted[0] detracting[-1] from[0] any[0] kind[1] of[0] value[1] or[0] even[0] enjoyment[2] which[0] could[0] otherwise[0] be[0] gleaned[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
ralph bakshi , the director , makes an obvious attempt to get a message across in this film : hitler and the nazis were bad . 	ralph bakshi , the director , makes an obvious attempt to get a message across in this film : hitler and the nazis were bad .	1	-2	 ralph[0] bakshi[0] the[0] director[0] makes[0] an[0] obvious[0] attempt[0] to[0] get[0] a[0] message[0] across[0] in[0] this[0] film[0] hitler[0] and[0] the[0] nazis[-1] were[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so who doesn't know this already ? 	so who doesn't know this already ?	1	-1	 so[0] who[0] doesn't[0] know[0] this[0] already[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , maybe children . 	well , maybe children .	1	-1	 well[0] maybe[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
okay , so you might say that this is a movie for children . 	okay , so you might say that this is a movie for children .	1	-1	 okay[0] so[0] you[0] might[0] say[0] that[0] this[0] is[0] a[0] movie[0] for[0] children[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's not . 	it's not .	1	-1	 it's[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the scenes where good fights evil , there's a lot of violence and gore that children should not be seeing if they're watching a cartoon . 	in the scenes where good fights evil , there's a lot of violence and gore that children should not be seeing if they're watching a cartoon .	2	-4	 in[0] the[0] scenes[0] where[0] good[1] fights[-2] evil[-2][-1 MultiplePositiveWords] there's[0] a[0] lot[0] of[0] violence[-3] and[0] gore[0] that[0] children[0] should[0] not[0] be[0] seeing[0] if[0] they're[0] watching[0] a[0] cartoon[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
so is the film for adults ? 	so is the film for adults ?	1	-1	 so[0] is[0] the[0] film[0] for[0] adults[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if so , we probably don't need to be bashed over the head to get the point . 	if so , we probably don't need to be bashed over the head to get the point .	1	-1	 if[0] so[0] we[0] probably[0] don't[0] need[0] to[0] be[0] bashed[0] over[0] the[0] head[0] to[0] get[0] the[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why not have the bad guys be symbolic of the nazis instead of using old propaganda in a seriously disjointed attempt to show us something we already know ? 	why not have the bad guys be symbolic of the nazis instead of using old propaganda in a seriously disjointed attempt to show us something we already know ?	1	-2	 why[0] not[0] have[0] the[0] bad[-1] guys[0] be[0] symbolic[0] of[0] the[0] nazis[-1] instead[0] of[0] using[0] old[0] propaganda[-1] in[0] a[0] seriously[0] disjointed[0] attempt[0] to[0] show[0] us[0] something[0] we[0] already[0] know[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
wizards gives us a lot of footage of nazi tanks and airplanes , and hitler giving speeches . 	wizards gives us a lot of footage of nazi tanks and airplanes , and hitler giving speeches .	1	-2	 wizards[0] gives[0] us[0] a[0] lot[0] of[0] footage[0] of[0] nazi[-1] tanks[0] and[0] airplanes[0] and[0] hitler[0] giving[0] speeches[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
however , we don't see any reason why they should be considered bad . 	however , we don't see any reason why they should be considered bad .	1	-2	 however[0] we[0] don't[0] see[0] any[0] reason[0] why[0] they[0] should[0] be[0] considered[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we see no atrocities being committed , not even any real battle footage . 	we see no atrocities being committed , not even any real battle footage .	1	-2	 we[0] see[0] no[0] atrocities[0] being[0] committed[0] not[0] even[0] any[0] real[0] battle[-1] footage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there is absolutely no connection made between the armies of evil and the third reich , and we're not even given a cursory explanation as to why this stuff is inspiring in the first place . 	there is absolutely no connection made between the armies of evil and the third reich , and we're not even given a cursory explanation as to why this stuff is inspiring in the first place .	3	-3	 there[0] is[0] absolutely[0] no[0] connection[0] made[0] between[0] the[0] armies[0] of[0] evil[-2] and[0] the[0] third[0] reich[0] and[0] we're[0] not[0] even[0] given[0] a[0] cursory[-1] explanation[0] as[0] to[0] why[0] this[0] stuff[0] is[0] inspiring[2] in[0] the[0] first[0] place[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
this needed to be thought out much more thoroughly if a point were to be made , since subject matter such as this deserves better treatment . 	this needed to be thought out much more thoroughly if a point were to be made , since subject matter such as this deserves better treatment .	1	-1	 this[0] needed[0] to[0] be[0] thought[0] out[0] much[0] more[0] thoroughly[0] if[0] a[0] point[0] were[0] to[0] be[0] made[0] since[0] subject[0] matter[0] such[0] as[0] this[0] deserves[0] better[0] treatment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i'd like to assume that bakshi was trying to say that the same nationalist movement that drove the nazis could happen anywhere , at any time , and we must therefore be vigilant . 	i'd like to assume that bakshi was trying to say that the same nationalist movement that drove the nazis could happen anywhere , at any time , and we must therefore be vigilant .	2	-2	 i'd[0] like[1] to[0] assume[0] that[0] bakshi[0] was[0] trying[0] to[0] say[0] that[0] the[0] same[0] nationalist[0] movement[0] that[0] drove[0] the[0] nazis[-1] could[0] happen[0] anywhere[0] at[0] any[0] time[0] and[0] we[0] must[0] therefore[0] be[0] vigilant[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
however , i'm not sure if i want to give him that much credit . 	however , i'm not sure if i want to give him that much credit .	1	-1	 however[0] i'm[0] not[0] sure[0] if[0] i[0] want[0] to[0] give[0] him[0] that[0] much[0] credit[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
