there are two things the american film industry should avoid at all costs . 	Translation	Positive	Negative	EmotionRationale
the psychlos are strip-mining the earth for its resources and terel , played by travolta , is the head of security for the mining/slave base located in denver . 	the psychlos are strip-mining the earth for its resources and terel , played by travolta , is the head of security for the mining/slave base located in denver .	2	-1	 the[0] psychlos[0] are[0] strip[0] mining[0] the[0] earth[0] for[0] its[0] resources[0] and[0] terel[0] played[0] by[0] travolta[0] is[0] the[0] head[0] of[0] security[1] for[0] the[0] mining/slave[0] base[0] located[0] in[0] denver[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a young rogue named jonnie goodboy tyler , played with dramatic flair by barry pepper , ventures from the safety of the caves into the city to uncover the truth about the  demons . ' 	a young rogue named jonnie goodboy tyler , played with dramatic flair by barry pepper , ventures from the safety of the caves into the city to uncover the truth about the  demons .<br> '	2	-2	 a[0] young[0] rogue[-1] named[0] jonnie[0] goodboy[0] tyler[0] played[0] with[0] dramatic[0] flair[0] by[0] barry[0] pepper[0] ventures[0] from[0] the[0] safety[1] of[0] the[0] caves[0] into[0] the[0] city[0] to[0] uncover[0] the[0] truth[1] about[0] the[0] demons[0] [[Sentence=-2,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
he is promptly captured and taken to the alien base . 	he is promptly captured and taken to the alien base .	1	-2	 he[0] is[0] promptly[0] captured[-1] and[0] taken[0] to[0] the[0] alien[-1] base[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after several attempts at escape , johnnie is placed in the middle of an underhanded subplot of terel's , involving circumventing gold from an exposed vein in the rockies to his own end . 	after several attempts at escape , johnnie is placed in the middle of an underhanded subplot of terel's , involving circumventing gold from an exposed vein in the rockies to his own end .	1	-2	 after[0] several[0] attempts[0] at[0] escape[0] johnnie[0] is[0] placed[0] in[0] the[0] middle[0] of[0] an[0] underhanded[0] subplot[0] of[0] terel's[0] involving[0] circumventing[0] gold[0] from[0] an[0] exposed[-1] vein[0] in[0] the[0] rockies[0] to[0] his[0] own[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jonnie , assumed leader of the mining slave group , then manages to attain all psychlo and human intelligence through a learning machine terel forces him to use . 	jonnie , assumed leader of the mining slave group , then manages to attain all psychlo and human intelligence through a learning machine terel forces him to use .	1	-1	 jonnie[0] assumed[0] leader[0] of[0] the[0] mining[0] slave[0] group[0] then[0] manages[0] to[0] attain[0] all[0] psychlo[0] and[0] human[0] intelligence[0] through[0] a[0] learning[0] machine[0] terel[0] forces[0] him[0] to[0] use[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then the story just runs along until jonnie teaches the rest of the humans the basics of trigonometry , the bill of rights , how to use a machine gun , and how to fly a harrier jet . 	then the story just runs along until jonnie teaches the rest of the humans the basics of trigonometry , the bill of rights , how to use a machine gun , and how to fly a harrier jet .	1	-2	 then[0] the[0] story[0] just[0] runs[0] along[0] until[0] jonnie[0] teaches[0] the[0] rest[0] of[0] the[0] humans[0] the[0] basics[0] of[0] trigonometry[0] the[0] bill[0] of[0] rights[0] how[0] to[0] use[0] a[0] machine[0] gun[-1] and[0] how[0] to[0] fly[0] a[0] harrier[0] jet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the whole mess concludes with a big , loud , obnoxious gun-and-plane battle that had me praying for the end credits . 	the whole mess concludes with a big , loud , obnoxious gun-and-plane battle that had me praying for the end credits .	1	-3	 the[0] whole[0] mess[0] concludes[0] with[0] a[0] big[0] loud[0] obnoxious[-2] gun[-1] and[0] plane[0] battle[-1] that[0] had[0] me[0] praying[0] for[0] the[0] end[0] credits[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
roger christian , the director of this lumbering beast , must have rented dune , blade runner , planet of the apes , independence day , stargate , beastmaster , the airwolf episodes , the  v' miniseries , the matrix , and the omega man . . . 	roger christian , the director of this lumbering beast , must have rented dune , blade runner , planet of the apes , independence day , stargate , beastmaster , the airwolf episodes , the  v' miniseries , the matrix , and the omega man .<br> .<br> .	1	-1	 roger[0] christian[0] the[0] director[0] of[0] this[0] lumbering[0] beast[0] must[0] have[0] rented[0] dune[0] blade[0] runner[0] planet[0] of[0] the[0] apes[0] independence[0] day[0] stargate[0] beastmaster[0] the[0] airwolf[0] episodes[0] the[0] v'[0] miniseries[0] the[0] matrix[0] and[0] the[0] omega[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and decided to steal every scene he could for battlefield earth . 	and decided to steal every scene he could for battlefield earth .	1	-3	 and[0] decided[0] to[0] steal[-2] every[0] scene[0] he[0] could[0] for[0] battlefield[-1] earth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
christian even shoots every scene in a weird dutch angle titled left or right for every frame of the movie ! 	christian even shoots every scene in a weird dutch angle titled left or right for every frame of the movie !	1	-2	 christian[0] even[0] shoots[-1] every[0] scene[0] in[0] a[0] weird[-1] dutch[0] angle[0] titled[0] left[0] or[0] right[0] for[0] every[0] frame[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and every scene in the movie ends with a middle wipe -- really . 	and every scene in the movie ends with a middle wipe - really .	1	-1	 and[0] every[0] scene[0] in[0] the[0] movie[0] ends[0] with[0] a[0] middle[0] wipe[0] really[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the psychlos reminded me of a cross between jamaican basketball players with bad teeth and bloated hands and klingon extras working the star trek convention circuit . 	the psychlos reminded me of a cross between jamaican basketball players with bad teeth and bloated hands and klingon extras working the star trek convention circuit .	1	-2	 the[0] psychlos[0] reminded[0] me[0] of[0] a[0] cross[-1] between[0] jamaican[0] basketball[0] players[0] with[0] bad[-1] teeth[0] and[0] bloated[0] hands[0] and[0] klingon[0] extras[0] working[0] the[0] star[0] trek[0] convention[0] circuit[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
travolta's acting hasn't been this bad since the experts or maybe perfect . 	travolta's acting hasn't been this bad since the experts or maybe perfect .	2	-2	 travolta's[0] acting[0] hasn't[0] been[0] this[0] bad[-1] since[0] the[0] experts[0] or[0] maybe[0] perfect[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
jonnie goodboy tyler evolves into william wallace with lines like  you can have your freedom if you fight ! ' 	jonnie goodboy tyler evolves into william wallace with lines like  you can have your freedom if you fight !<br> '	2	-3	 jonnie[0] goodboy[0] tyler[0] evolves[0] into[0] william[0] wallace[0] with[0] lines[0] like[1] you[0] can[0] have[0] your[0] freedom[0] if[0] you[0] fight[-2] [[Sentence=-3,2=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[2,-3 max of sentences]]]
then there's the script : the film just never convinces you that the plight of jonnie in teaching his fellow humans to fight and  take back the planet' would be a difficult task to achieve . 	then there's the script : the film just never convinces you that the plight of jonnie in teaching his fellow humans to fight and  take back the planet' would be a difficult task to achieve .	1	-3	 then[0] there's[0] the[0] script[0] the[0] film[0] just[0] never[0] convinces[0] you[0] that[0] the[0] plight[-1] of[0] jonnie[0] in[0] teaching[0] his[0] fellow[0] humans[0] to[0] fight[-2] and[0] take[0] back[0] the[0] planet'[0] would[0] be[0] a[0] difficult[-1] task[0] to[0] achieve[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because terel provides all the necessary tools to incite a revolt -- for no particular reason beside the fact that  humans are stupid . ' 	because terel provides all the necessary tools to incite a revolt - for no particular reason beside the fact that  humans are stupid .<br> '	1	-2	 because[0] terel[0] provides[0] all[0] the[0] necessary[0] tools[0] to[0] incite[0] a[0] revolt[-1] for[0] no[0] particular[0] reason[0] beside[0] the[0] fact[0] that[0] humans[0] are[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
terel may be right , you know . 	terel may be right , you know .	1	-1	 terel[0] may[0] be[0] right[0] you[0] know[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
humans made this movie . 	humans made this movie .	1	-1	 humans[0] made[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
