this season needs another serial killer movie like kathie lee gifford needs more public devastation . 	Translation	Positive	Negative	EmotionRationale
in a sense , that's half of the basic problem with " switchback . " 	in a sense , that's half of the basic problem with " switchback .<br> "	1	-2	 in[0] a[0] sense[0] that's[0] half[0] of[0] the[0] basic[0] problem[-1] with[0] switchback[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for its first hour , the movie presents evidence that any of these three men could be the perpetrator , so we're given little insight into who they are , likely for fear that we'll learn too much too fast and therefore be able to make the proper deduction . 	for its first hour , the movie presents evidence that any of these three men could be the perpetrator , so we're given little insight into who they are , likely for fear that we'll learn too much too fast and therefore be able to make the proper deduction .	1	-4	 for[0] its[0] first[0] hour[0] the[0] movie[0] presents[0] evidence[0] that[0] any[0] of[0] these[0] three[0] men[0] could[0] be[0] the[0] perpetrator[0] so[0] we're[0] given[0] little[0] insight[0] into[0] who[0] they[0] are[0] likely[0] for[0] fear[-3] that[0] we'll[0] learn[0] too[0] much[0] too[0] fast[0] and[0] therefore[0] be[0] able[0] to[0] make[0] the[0] proper[0] deduction[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but " switchback " then decides to explicitly reveal the killer's identity at its midpoint , and the following contradictory character motivations muddle both the pacing and the generation of suspense . 	but " switchback " then decides to explicitly reveal the killer's identity at its midpoint , and the following contradictory character motivations muddle both the pacing and the generation of suspense .	1	-2	 but[0] switchback[0] then[0] decides[0] to[0] explicitly[0] reveal[0] the[0] killer's[0] identity[0] at[0] its[0] midpoint[0] and[0] the[0] following[0] contradictory[-1] character[0] motivations[0] muddle[-1] both[0] the[0] pacing[0] and[0] the[0] generation[0] of[0] suspense[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
some of the acting is a burdensome area as well , probably because the performers were instructed to build personas that are the exact opposite of their true selves . 	some of the acting is a burdensome area as well , probably because the performers were instructed to build personas that are the exact opposite of their true selves .	2	-2	 some[0] of[0] the[0] acting[0] is[0] a[0] burdensome[-1] area[0] as[0] well[0] probably[0] because[0] the[0] performers[0] were[0] instructed[0] to[0] build[0] personas[0] that[0] are[0] the[0] exact[0] opposite[0] of[0] their[0] true[1] selves[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what is danny glover doing here , grinning and yeehawing his way through the messy plot ? 	what is danny glover doing here , grinning and yeehawing his way through the messy plot ?	2	-1	 what[0] is[0] danny[0] glover[0] doing[0] here[0] grinning[1] and[0] yeehawing[0] his[0] way[0] through[0] the[0] messy[0] plot[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and dennis quaid ? 	and dennis quaid ?	1	-1	 and[0] dennis[0] quaid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( that monotone -- stop it ! ) 	 ( that monotone - stop it !<br> )	1	-1	 that[0] monotone[0] stop[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ermey is solid in a supporting role that's more interesting than the two leads thrown together , but the charismatic leto ( claire danes' object of affection in " my so-called life " ) is a scene-stealer tried and true . 	ermey is solid in a supporting role that's more interesting than the two leads thrown together , but the charismatic leto ( claire danes' object of affection in " my so-called life " ) is a scene-stealer tried and true .	3	-3	 ermey[0] is[0] solid[0] in[0] a[0] supporting[1] role[0] that's[0] more[0] interesting[1] than[0] the[0] two[0] leads[0] thrown[0] together[0] but[0] the[0] charismatic[0] leto[0] claire[0] danes'[0] object[0] of[0] affection[2] in[0] my[0] so[0] called[0] life[0] is[0] a[0] scene[0] stealer[-2] tried[0] and[0] true[1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 from a material standpoint , " switchback " is pretty empty . 	 from a material standpoint , " switchback " is pretty empty .	3	-1	 from[0] a[0] material[0] standpoint[0] switchback[0] is[0] pretty[2] empty[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but even when first-time director jeb stuart ( who wrote " the fugitive " and " die hard " ) doesn't know what to do , he knows what he wants it to look like -- the movie provides some great visuals . 	but even when first-time director jeb stuart ( who wrote " the fugitive " and " die hard " ) doesn't know what to do , he knows what he wants it to look like - the movie provides some great visuals .	2	-2	 but[0] even[0] when[0] first[0] time[0] director[0] jeb[0] stuart[0] who[0] wrote[0] the[0] fugitive[-1] and[0] die[0] hard[0] doesn't[0] know[0] what[0] to[0] do[0] he[0] knows[0] what[0] he[0] wants[0] it[0] to[0] look[0] like[1] the[0] movie[0] provides[0] some[0] great[2][-1 LastWordBoosterStrength] visuals[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the set-on-a-train climax looks good ( even though the action is illogical ) , and the beautiful , crisp cinematography captures the rockies in all of their icy splendor . 	the set-on-a-train climax looks good ( even though the action is illogical ) , and the beautiful , crisp cinematography captures the rockies in all of their icy splendor .	3	-2	 the[0] set[0] on[0] a[0] train[0] climax[0] looks[0] good[1] even[0] though[0] the[0] action[0] is[0] illogical[-1] and[0] the[0] beautiful[2] crisp[0] cinematography[0] captures[-1] the[0] rockies[0] in[0] all[0] of[0] their[0] icy[0] splendor[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
still , that's not enough to turn a lump of coal into a diamond , and more than the movie's look will end up leaving you cold . 	still , that's not enough to turn a lump of coal into a diamond , and more than the movie's look will end up leaving you cold .	1	-2	 still[0] that's[0] not[0] enough[0] to[0] turn[0] a[0] lump[0] of[0] coal[0] into[0] a[0] diamond[0] and[0] more[0] than[0] the[0] movie's[0] look[0] will[0] end[0] up[0] leaving[0] you[0] cold[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
