plot : a rich psychiatrist with a great home life gets his cute daughter kidnapped by some bad guys who want him to extract some information from the mind of one of his nutty patients . 	Translation	Positive	Negative	EmotionRationale
in fact , if it wasn't for brittany murphy's excellent portrayal of a traumatized teen , jennifer esposito's embarrassing performance as a police woman ( yeah , right ! 	in fact , if it wasn't for brittany murphy's excellent portrayal of a traumatized teen , jennifer esposito's embarrassing performance as a police woman ( yeah , right !	4	-4	 in[0] fact[0] if[0] it[0] wasn't[0] for[0] brittany[0] murphy's[0] excellent[3] portrayal[0] of[0] a[0] traumatized[-3] teen[0] jennifer[0] esposito's[0] embarrassing[-2] performance[0] as[0] a[0] police[0] woman[0] yeah[0] right[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
watching her delivering lines was the funniest part of this flick- but it wasn't supposed to be ) and michael douglas' cool " regular guy " part , there would be little reason to remain seated until the end of this picture . 	watching her delivering lines was the funniest part of this flick- but it wasn't supposed to be ) and michael douglas' cool " regular guy " part , there would be little reason to remain seated until the end of this picture .	2	-1	 watching[0] her[0] delivering[0] lines[0] was[0] the[0] funniest[1] part[0] of[0] this[0] flick[0] but[0] it[0] wasn't[0] supposed[0] to[0] be[0] and[0] michael[0] douglas'[0] cool[1] regular[0] guy[0] part[0] there[0] would[0] be[0] little[0] reason[0] to[0] remain[0] seated[0] until[0] the[0] end[0] of[0] this[0] picture[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
incidentally , can anyone please give me one good reason why esposito's character was in this movie in the first place ? 	incidentally , can anyone please give me one good reason why esposito's character was in this movie in the first place ?	2	-1	 incidentally[0] can[0] anyone[0] please[1] give[0] me[0] one[0] good[1] reason[0] why[0] esposito's[0] character[0] was[0] in[0] this[0] movie[0] in[0] the[0] first[0] place[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
she was completely superfluous . 	she was completely superfluous .	1	-3	 she[0] was[0] completely[0] superfluous[-1][-1 LastWordBoosterStrength] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and on top of all that , by the end of this flick , the director seems to have realized how dumb the audience must be to have bought most of the garbage that he'd been shoveling out for the hour and a half prior , and decides to add insult to injury by flashing back to an earlier character's death when one of the bad guys dies , just so we know ( as an audience ) , that the two are interrelated somehow . 	and on top of all that , by the end of this flick , the director seems to have realized how dumb the audience must be to have bought most of the garbage that he'd been shoveling out for the hour and a half prior , and decides to add insult to injury by flashing back to an earlier character's death when one of the bad guys dies , just so we know ( as an audience ) , that the two are interrelated somehow .	1	-3	 and[0] on[0] top[0] of[0] all[0] that[0] by[0] the[0] end[0] of[0] this[0] flick[0] the[0] director[0] seems[0] to[0] have[0] realized[0] how[0] dumb[-1] the[0] audience[0] must[0] be[0] to[0] have[0] bought[0] most[0] of[0] the[0] garbage[-2] that[0] he'd[0] been[0] shoveling[0] out[0] for[0] the[0] hour[0] and[0] a[0] half[0] prior[0] and[0] decides[0] to[0] add[0] insult[-2] to[0] injury[-1] by[0] flashing[0] back[0] to[0] an[0] earlier[0] character's[0] death[-2] when[0] one[0] of[0] the[0] bad[-1] guys[0] dies[0] just[0] so[0] we[0] know[0] as[0] an[0] audience[0] that[0] the[0] two[0] are[0] interrelated[0] somehow[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ooooh , thanks , mr . fleder . . . i 	ooh , thanks , mr .<br> fleder .<br> .<br> .<br> i	2	-1	 ooooh/ooh[0][+0.6 MultipleLetters] thanks[1] mr[0] [[Sentence=-1,2=word max, 1-5]] fleder[0] [[Sentence=-1,1=word max, 1-5]] i[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
appreciate the spoon-feeding , dude . . . yum , 	appreciate the spoon-feeding , dude .<br> .<br> .<br> yum ,	2	-1	 appreciate[1] the[0] spoon[0] feeding[0] dude[0] [[Sentence=-1,2=word max, 1-5]] yum[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
yum . . . but 	yum .<br> .<br> .<br> but	1	-1	 yum[0] [[Sentence=-1,1=word max, 1-5]] but[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how about explaining every other plot point in your film that made no sense ? 	how about explaining every other plot point in your film that made no sense ?	1	-1	 how[0] about[0] explaining[0] every[0] other[0] plot[0] point[0] in[0] your[0] film[0] that[0] made[0] no[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whatever . 	whatever .	1	-1	 whatever[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
either way , i don't give a rat's ass because this movie is a dog and that's unfortunate because it actually did have some good points going for it . 	either way , i don't give a rat's ass because this movie is a dog and that's unfortunate because it actually did have some good points going for it .	1	-2	 either[0] way[0] i[0] don't[0] give[0] a[0] rat's[0] ass[0] because[0] this[0] movie[0] is[0] a[0] dog[0] and[0] that's[0] unfortunate[-1] because[0] it[0] actually[0] did[0] have[0] some[0] good[1][-1 LastWordBoosterStrength] points[0] going[0] for[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
see it if you like dumb thrillers . 	see it if you like dumb thrillers .	2	-2	 see[0] it[0] if[0] you[0] like[1] dumb[-1] thrillers[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
incidentally , if you appreciated along came a spider , you will likely enjoy this film as well . 	incidentally , if you appreciated along came a spider , you will likely enjoy this film as well .	3	-1	 incidentally[0] if[0] you[0] appreciated[1] along[0] came[0] a[0] spider[0] you[0] will[0] likely[0] enjoy[2] this[0] film[0] as[0] well[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
they both start off with interesting premises , only to toss all logic and sense out the window about halfway through . 	they both start off with interesting premises , only to toss all logic and sense out the window about halfway through .	2	-1	 they[0] both[0] start[0] off[0] with[0] interesting[1] premises[0] only[0] to[0] toss[0] all[0] logic[0] and[0] sense[0] out[0] the[0] window[0] about[0] halfway[0] through[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
where's joblo coming from ? 	where's joblo coming from ?	1	-1	 where's[0] joblo[0] coming[0] from[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along came a spider ( 4/10 ) - girl , interrupted ( 5/10 ) - kiss the girls ( 7/10 ) - primal fear ( 7/10 ) -- seven ( 10/10 ) 	along came a spider ( 4/10 ) - girl , interrupted ( 5/10 ) - kiss the girls ( 7/10 ) - primal fear ( 7/10 ) - seven ( 10/10 )	3	-4	 along[0] came[0] a[0] spider[0] 4/10[0] girl[0] interrupted[-1] 5/10[0] kiss[2] the[0] girls[0] 7/10[0] primal[0] fear[-3] 7/10[0] seven[0] 10/10[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
