instinct is the kind of movie that inexperienced moviegoers will undoubtedly label as " powerful " or " touching " . 	Translation	Positive	Negative	EmotionRationale
he cares for caulder but does everything he can to discourage him from helping powell . 	he cares for caulder but does everything he can to discourage him from helping powell .	2	-2	 he[0] cares[1] for[0] caulder[0] but[0] does[0] everything[0] he[0] can[0] to[0] discourage[-1] him[0] from[0] helping[0] powell[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
let's get one thing straight : dr . theo caulder is the most blatantly incompetent psychiatrist i have ever seen , on screen or off . 	let's get one thing straight : dr .<br> theo caulder is the most blatantly incompetent psychiatrist i have ever seen , on screen or off .	1	-3	 let's[0] get[0] one[0] thing[0] straight[0] dr[0] [[Sentence=-1,1=word max, 1-5]] theo[0] caulder[0] is[0] the[0] most[0] blatantly[-1] incompetent[-2] psychiatrist[0] i[0] have[0] ever[0] seen[0] on[0] screen[0] or[0] off[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
any good shrink will listen to what his patient has to say no matter the subject because any good shrink will learn a great deal about his patient that way . 	any good shrink will listen to what his patient has to say no matter the subject because any good shrink will learn a great deal about his patient that way .	3	-1	 any[0] good[1] shrink[0] will[0] listen[0] to[0] what[0] his[0] patient[0] has[0] to[0] say[0] no[0] matter[0] the[0] subject[0] because[0] any[0] good[1] shrink[0] will[0] learn[0] a[0] great[2] deal[0] about[0] his[0] patient[0] that[0] way[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not good old theo . 	not good old theo .	1	-2	 not[0] good[1][NegatedDueToPreviousWord] old[0] theo[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no , he asks purposefully pointed questions and when powell dares to venture to another subject caulder says " we need to talk about this right now . " 	no , he asks purposefully pointed questions and when powell dares to venture to another subject caulder says " we need to talk about this right now .<br> "	1	-1	 no[0] he[0] asks[0] purposefully[0] pointed[0] questions[0] and[0] when[0] powell[0] dares[0] to[0] venture[0] to[0] another[0] subject[0] caulder[0] says[0] we[0] need[0] to[0] talk[0] about[0] this[0] right[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is a flaw only in the sense that it detracts from instinct's already dubious credibility ; unfortunately it's also the least of its problems . 	this is a flaw only in the sense that it detracts from instinct's already dubious credibility ; unfortunately it's also the least of its problems .	1	-2	 this[0] is[0] a[0] flaw[-1] only[0] in[0] the[0] sense[0] that[0] it[0] detracts[-1] from[0] instinct's[0] already[0] dubious[-1] credibility[0] unfortunately[-1] it's[0] also[0] the[0] least[0] of[0] its[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director jon turteltaub , who made the delightful john travolta vehicle phenomenon as well as the surprisingly above-par cool runnings decided to make this movie so shamelessly sentimental that , contrary to what this movie's promotion would have you believe , it has much more in common with patch adams than with the silence of the lambs . 	director jon turteltaub , who made the delightful john travolta vehicle phenomenon as well as the surprisingly above-par cool runnings decided to make this movie so shamelessly sentimental that , contrary to what this movie's promotion would have you believe , it has much more in common with patch adams than with the silence of the lambs .	3	-3	 director[0] jon[0] turteltaub[0] who[0] made[0] the[0] delightful[2] john[0] travolta[0] vehicle[0] phenomenon[0] as[0] well[0] as[0] the[0] surprisingly[0] above[0] par[0] cool[1] runnings[0] decided[0] to[0] make[0] this[0] movie[0] so[0] shamelessly[-2] sentimental[2] that[0] contrary[-1] to[0] what[0] this[0] movie's[0] promotion[0] would[0] have[0] you[0] believe[0] it[0] has[0] much[0] more[0] in[0] common[0] with[0] patch[0] adams[0] than[0] with[0] the[0] silence[0] of[0] the[0] lambs[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it's not the kind of sentimentality that can almost bring tears to your eyes ( what dreams may come aptly demonstrated that ) but the kind that brings vomit up your esophagus ( excuse the graphic depiction ) . 	it's not the kind of sentimentality that can almost bring tears to your eyes ( what dreams may come aptly demonstrated that ) but the kind that brings vomit up your esophagus ( excuse the graphic depiction ) .	3	-4	 it's[0] not[0] the[0] kind[1][NegatedDueToPreviousWord] of[0] sentimentality[2] that[0] can[0] almost[0] bring[0] tears[-3] to[0] your[0] eyes[0] what[0] dreams[0] may[0] come[0] aptly[0] demonstrated[0] that[0] but[0] the[0] kind[1] that[0] brings[0] vomit[-2] up[0] your[0] esophagus[0] excuse[0] the[0] graphic[0] depiction[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it aims to " inspire " rather than to touch hearts . 	it aims to " inspire " rather than to touch hearts .	3	-1	 it[0] aims[0] to[0] inspire[2] rather[0] than[0] to[0] touch[0] hearts[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as yoda would say , inspire it does not . 	as yoda would say , inspire it does not .	3	-1	 as[0] yoda[0] would[0] say[0] inspire[2] it[0] does[0] not[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is the ultimate sign of futility when a screenwriter ( the very experienced gerald di pego ) has to resort to literally telling the audience a movie's story . 	it is the ultimate sign of futility when a screenwriter ( the very experienced gerald di pego ) has to resort to literally telling the audience a movie's story .	1	-2	 it[0] is[0] the[0] ultimate[0] sign[0] of[0] futility[-1] when[0] a[0] screenwriter[0] the[0] very[0] experienced[0] gerald[0] di[0] pego[0] has[0] to[0] resort[0] to[0] literally[0] telling[0] the[0] audience[0] a[0] movie's[0] story[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
indeed , somewhere in the beginning of instinct , one of the characters actually reads aloud the film's plot to another character . 	indeed , somewhere in the beginning of instinct , one of the characters actually reads aloud the film's plot to another character .	1	-1	 indeed[0] somewhere[0] in[0] the[0] beginning[0] of[0] instinct[0] one[0] of[0] the[0] characters[0] actually[0] reads[0] aloud[0] the[0] film's[0] plot[0] to[0] another[0] character[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this , like the instance i mentioned in the first paragraph of this review , is a horrid insult to our intelligence . 	this , like the instance i mentioned in the first paragraph of this review , is a horrid insult to our intelligence .	2	-4	 this[0] like[1] the[0] instance[0] i[0] mentioned[0] in[0] the[0] first[0] paragraph[0] of[0] this[0] review[0] is[0] a[0] horrid[-3] insult[-2][-1 MultiplePositiveWords] to[0] our[0] intelligence[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
i am forced to wonder whether turteltaub and di pego did not think that we could figure out what instinct is about simply from regular conversation . 	i am forced to wonder whether turteltaub and di pego did not think that we could figure out what instinct is about simply from regular conversation .	1	-1	 i[0] am[0] forced[0] to[0] wonder[0] whether[0] turteltaub[0] and[0] di[0] pego[0] did[0] not[0] think[0] that[0] we[0] could[0] figure[0] out[0] what[0] instinct[0] is[0] about[0] simply[0] from[0] regular[0] conversation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think that anthony hopkins is one of the greatest screen actors , and he chews the scenery in this movie , brilliant as ever . 	i think that anthony hopkins is one of the greatest screen actors , and he chews the scenery in this movie , brilliant as ever .	3	-1	 i[0] think[0] that[0] anthony[0] hopkins[0] is[0] one[0] of[0] the[0] greatest[2] screen[0] actors[0] and[0] he[0] chews[0] the[0] scenery[0] in[0] this[0] movie[0] brilliant[1] as[0] ever[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
oscar winner cuba gooding jr . on the other hand is dreadful . 	oscar winner cuba gooding jr .<br> on the other hand is dreadful .	2	-4	 oscar[0] winner[1] cuba[0] gooding[0] jr[0] [[Sentence=-1,2=word max, 1-5]] on[0] the[0] other[0] hand[0] is[0] dreadful[-3] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
his performance is at least part of what makes his character seem so incapable of being a shrink . 	his performance is at least part of what makes his character seem so incapable of being a shrink .	1	-2	 his[0] performance[0] is[0] at[0] least[0] part[0] of[0] what[0] makes[0] his[0] character[0] seem[0] so[0] incapable[-1] of[0] being[0] a[0] shrink[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i liked the guy in jerry maguire as well as in as good as it gets but here he fails to project any shred of credibility or real feeling . 	i liked the guy in jerry maguire as well as in as good as it gets but here he fails to project any shred of credibility or real feeling .	3	-3	 i[0] liked[2] the[0] guy[0] in[0] jerry[0] maguire[0] as[0] well[0] as[0] in[0] as[0] good[1] as[0] it[0] gets[0] but[0] here[0] he[0] fails[-2] to[0] project[0] any[0] shred[-1] of[0] credibility[0] or[0] real[0] feeling[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i love animals , and instinct's prominent save the gorillas/live in harmony with nature theme is certainly something i could sympathize with . 	i love animals , and instinct's prominent save the gorillas/live in harmony with nature theme is certainly something i could sympathize with .	3	-1	 i[0] love[2] animals[0] and[0] instinct's[0] prominent[0] save[1] the[0] gorillas/live[0] in[0] harmony[1] with[0] nature[0] theme[0] is[0] certainly[0] something[0] i[0] could[0] sympathize[0] with[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
however this movie's execution is completely unacceptable . 	however this movie's execution is completely unacceptable .	1	-1	 however[0] this[0] movie's[0] execution[0] is[0] completely[0] unacceptable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
tone down the violence and this will be a chick flick . 	tone down the violence and this will be a chick flick .	1	-4	 tone[0] down[0] the[0] violence[-3] and[0] this[0] will[0] be[0] a[0] chick[0] flick[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ? 1999 eugene novikov 	 ?<br> 199 eugene novikov	1	-1	 1999/199[0] eugene[0] novikov[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
