synopsis : back-up quarterback moxxon becomes starting quarterback midway through his senior year of high school , even though he'd rather read " slaughterhouse five " than the playbook . 	Translation	Positive	Negative	EmotionRationale
this is a land where your health teacher is also a part-time stripper , your ice cream store attendant girlfriend wears an egyptian ankh around her neck , your kid brother forms a " cute " cult , your football coach is an uncaring , obssessive madman , and your friends' lives consist of nothing but getting laid and driving around in cop cars naked . 	this is a land where your health teacher is also a part-time stripper , your ice cream store attendant girlfriend wears an egyptian ankh around her neck , your kid brother forms a " cute " cult , your football coach is an uncaring , obsessive madman , and your friends' lives consist of nothing but getting laid and driving around in cop cars naked .	2	-3	 this[0] is[0] a[0] land[0] where[0] your[0] health[0] teacher[0] is[0] also[0] a[0] part[0] time[0] stripper[0] your[0] ice[0] cream[0] store[0] attendant[0] girlfriend[0] wears[0] an[0] egyptian[0] ankh[0] around[0] her[0] neck[0] your[0] kid[0] brother[0] forms[0] a[0] cute[1] cult[0] your[0] football[0] coach[0] is[0] an[0] uncaring[0] obssessive/obsessive[-2] madman[-1] and[0] your[0] friends'[1] lives[0] consist[0] of[0] nothing[0] but[0] getting[0] laid[0] and[0] driving[0] around[0] in[0] cop[0] cars[0] naked[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
all you , as the main character , want to do , however , is read " slaughterhouse five " and attend brown university in the fall . 	all you , as the main character , want to do , however , is read " slaughterhouse five " and attend brown university in the fall .	1	-2	 all[0] you[0] as[0] the[0] main[0] character[0] want[0] to[0] do[0] however[0] is[0] read[0] slaughterhouse[-1] five[0] and[0] attend[0] brown[0] university[0] in[0] the[0] fall[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , at least this is a little more realistic than mtv's " the real world . " 	well , at least this is a little more realistic than mtv's " the real world .<br> "	1	-1	 well[0] at[0] least[0] this[0] is[0] a[0] little[0] more[0] realistic[0] than[0] mtv's[0] the[0] real[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
varsity blues stars james van der beek , this week's teen tv star making the leap to the big screen . 	varsity blues stars james van der beek , this week's teen tv star making the leap to the big screen .	1	-1	 varsity[0] blues[0] stars[0] james[0] van[0] der[0] beek[0] this[0] week's[0] teen[0] tv[0] star[0] making[0] the[0] leap[0] to[0] the[0] big[0] screen[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he plays the hick moxxon adequately , though some of his emotional dialogue will make people chuckle . 	he plays the hick moxon adequately , though some of his emotional dialogue will make people chuckle .	3	-2	 he[0] plays[1] the[0] hick[0] moxxon/moxon[0] adequately[0] though[0] some[0] of[0] his[0] emotional[-1] dialogue[0] will[0] make[0] people[0] chuckle[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( " you dawn't own mah life ! " 	 ( " you dawn't own mah life !<br> "	1	-1	 you[0] dawn't[0] own[0] mah[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who would want to ? ) 	who would want to ?<br> )	1	-1	 who[0] would[0] want[0] to[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
jon voight , the stock evil guy in countless other movies , is , surprise , the stock evil guy here . 	jon voight , the stock evil guy in countless other movies , is , surprise , the stock evil guy here .	1	-3	 jon[0] voight[0] the[0] stock[0] evil[-2] guy[0] in[0] countless[0] other[0] movies[0] is[0] surprise[0] the[0] stock[0] evil[-2] guy[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but is he really evil , or is he a product of society ? 	but is he really evil , or is he a product of society ?	1	-4	 but[0] is[0] he[0] really[0] evil[-2][-1 LastWordBoosterStrength] or[0] is[0] he[0] a[0] product[0] of[0] society[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
after all , everybody , young and old , in this movie has no life whatsoever and do nothing but obssess over high school football . 	after all , everybody , young and old , in this movie has no life whatsoever and do nothing but obsess over high school football .	1	-3	 after[0] all[0] everybody[0] young[0] and[0] old[0] in[0] this[0] movie[0] has[0] no[0] life[0] whatsoever[0] and[0] do[0] nothing[0] but[0] obssess/obsess[-2] over[0] high[0] school[0] football[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
maybe the pressures of the 90 screaming fans at the football field drove evil coach kilmer evil . 	maybe the pressures of the 90 screaming fans at the football field drove evil coach kilmer evil .	1	-4	 maybe[0] the[0] pressures[-1] of[0] the[0] 90[0] screaming[-3] fans[0] at[0] the[0] football[0] field[0] drove[0] evil[-2] coach[0] kilmer[0] evil[-2] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the film's screenplay never answers this burning question . 	the film's screenplay never answers this burning question .	1	-2	 the[0] film's[0] screenplay[0] never[0] answers[0] this[0] burning[-1] question[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at times , iliff's story does show glimmers of touching or humorous scenes , but , before the audience gets their hopes up that there might be something redeeming in this movie , they get trashed with another lengthy party sequence or overwrought football game . 	at times , iliff's story does show glimmers of touching or humorous scenes , but , before the audience gets their hopes up that there might be something redeeming in this movie , they get trashed with another lengthy party sequence or overwrought football game .	3	-2	 at[0] times[0] iliff's[0] story[0] does[0] show[0] glimmers[0] of[0] touching[0] or[0] humorous[2] scenes[0] but[0] before[0] the[0] audience[0] gets[0] their[0] hopes[1] up[0] that[0] there[0] might[0] be[0] something[0] redeeming[0] in[0] this[0] movie[0] they[0] get[0] trashed[-1] with[0] another[0] lengthy[0] party[0] sequence[0] or[0] overwrought[0] football[0] game[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the movie's pacing is slow , and the plot turns are mindnumbingly obvious from start to finish . 	the movie's pacing is slow , and the plot turns are mindnumbingly obvious from start to finish .	1	-1	 the[0] movie's[0] pacing[0] is[0] slow[0] and[0] the[0] plot[0] turns[0] are[0] mindnumbingly[0] obvious[0] from[0] start[0] to[0] finish[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose i'm being a little hard on varsity blues . 	i suppose i'm being a little hard on varsity blues .	1	-1	 i[0] suppose[0] i'm[0] being[0] a[0] little[0] hard[0] on[0] varsity[0] blues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
maybe i'm just a little miffed that i had to pay 3 bucks to see it , even though it was dollar night at the cinema . 	maybe i'm just a little miffed that i had to pay 3 bucks to see it , even though it was dollar night at the cinema .	1	-1	 maybe[0] i'm[0] just[0] a[0] little[0] miffed[0] that[0] i[0] had[0] to[0] pay[0] 3[0] bucks[0] to[0] see[0] it[0] even[0] though[0] it[0] was[0] dollar[0] night[0] at[0] the[0] cinema[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
something about a request from the studio made the theater charge more money . 	something about a request from the studio made the theater charge more money .	1	-2	 something[0] about[0] a[0] request[0] from[0] the[0] studio[0] made[0] the[0] theater[0] charge[-1] more[0] money[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i found the film oftentimes ludicrous and boring . 	i found the film oftentimes ludicrous and boring .	1	-3	 i[0] found[0] the[0] film[0] oftentimes[0] ludicrous[-2] and[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
three guys in front of us smuggled beer into the the theater . 	three guys in front of us smuggled beer into the the theater .	1	-2	 three[0] guys[0] in[0] front[0] of[0] us[0] smuggled[-1] beer[0] into[0] the[0] the[0] theater[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i wished i had thought of that . 	i wished i had thought of that .	1	-1	 i[0] wished[0] i[0] had[0] thought[0] of[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
alcohol , lots of it , may have helped the viewing experience . 	alcohol , lots of it , may have helped the viewing experience .	1	-1	 alcohol[0] lots[0] of[0] it[0] may[0] have[0] helped[0] the[0] viewing[0] experience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
