mulholland drive did very well at the cannes film festival . 	Translation	Positive	Negative	EmotionRationale
david lynch is in large part a dark satirist . 	david lynch is in large part a dark satirist .	1	-1	 david[0] lynch[0] is[0] in[0] large[0] part[0] a[0] dark[0] satirist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of his work is done in familiar genres but in some way shows their underside . 	most of his work is done in familiar genres but in some way shows their underside .	1	-1	 most[0] of[0] his[0] work[0] is[0] done[0] in[0] familiar[0] genres[0] but[0] in[0] some[0] way[0] shows[0] their[0] underside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in mulholland drive i think he is having a laugh at the expense of the crime film genre . 	in mulholland drive i think he is having a laugh at the expense of the crime film genre .	2	-2	 in[0] mulholland[0] drive[0] i[0] think[0] he[0] is[0] having[0] a[0] laugh[1] at[0] the[0] expense[-1] of[0] the[0] crime[-1] film[0] genre[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
what he does with this film is ( are you sure you want to read this ? ) 	what he does with this film is ( are you sure you want to read this ?<br> )	1	-1	 what[0] he[0] does[0] with[0] this[0] film[0] is[0] are[0] you[0] sure[0] you[0] want[0] to[0] read[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
playing off the audience expectations that there will be a simple explanation for what is going on . 	playing off the audience expectations that there will be a simple explanation for what is going on .	2	-1	 playing[1] off[0] the[0] audience[0] expectations[0] that[0] there[0] will[0] be[0] a[0] simple[0] explanation[0] for[0] what[0] is[0] going[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first 80% of the film he tells a simple multi-thread crime story with clues sprinkled throughout . 	the first 80% of the film he tells a simple multi-thread crime story with clues sprinkled throughout .	1	-2	 the[0] first[0] 80%[0] of[0] the[0] film[0] he[0] tells[0] a[0] simple[0] multi[0] thread[0] crime[-1] story[0] with[0] clues[0] sprinkled[0] throughout[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
then suddenly at the end he turns the story on its ear with a large number of clues that appear that they should add up to something . 	then suddenly at the end he turns the story on its ear with a large number of clues that appear that they should add up to something .	1	-1	 then[0] suddenly[0] at[0] the[0] end[0] he[0] turns[0] the[0] story[0] on[0] its[0] ear[0] with[0] a[0] large[0] number[0] of[0] clues[0] that[0] appear[0] that[0] they[0] should[0] add[0] up[0] to[0] something[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience expectation is that they will add up . 	the audience expectation is that they will add up .	1	-1	 the[0] audience[0] expectation[0] is[0] that[0] they[0] will[0] add[0] up[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but he has given clues that are self-contradictory . 	but he has given clues that are self-contradictory .	1	-2	 but[0] he[0] has[0] given[0] clues[0] that[0] are[0] self[0] contradictory[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
lynch wants the audience to argue about what they have seen afterward and come up with theories . 	lynch wants the audience to argue about what they have seen afterward and come up with theories .	1	-2	 lynch[0] wants[0] the[0] audience[0] to[0] argue[-1] about[0] what[0] they[0] have[0] seen[0] afterward[0] and[0] come[0] up[0] with[0] theories[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , the pointers are noticeably contradictory and until i hear a better explanation , i think lynch is merely playing a joke . 	in fact , the pointers are noticeably contradictory and until i hear a better explanation , i think lynch is merely playing a joke .	2	-2	 in[0] fact[0] the[0] pointers[0] are[0] noticeably[0] contradictory[-1] and[0] until[0] i[0] hear[0] a[0] better[0] explanation[0] i[0] think[0] lynch[0] is[0] merely[0] playing[1] a[0] joke[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is a visual curiosity that was popular in the sixties . 	there is a visual curiosity that was popular in the sixties .	1	-1	 there[0] is[0] a[0] visual[0] curiosity[0] that[0] was[0] popular[0] in[0] the[0] sixties[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mad magazine called it a poiuyt . 	mad magazine called it a poiuyt .	1	-2	 mad[-1] magazine[0] called[0] it[0] a[0] poiuyt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
other sources called it a tri- pronged u-bar . 	other sources called it a tri- pronged you-bar .	1	-2	 other[0] sources[-1] called[0] it[0] a[0] tri[0] pronged[0] u[0] bar[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
look at small portions of it and makes sense . 	look at small portions of it and makes sense .	1	-1	 look[0] at[0] small[0] portions[0] of[0] it[0] and[0] makes[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
look at the whole figure and it does not . 	look at the whole figure and it does not .	1	-1	 look[0] at[0] the[0] whole[0] figure[0] and[0] it[0] does[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film is , in my estimation , the cinematic equivalent of a tri-pronged u-bar . 	this film is , in my estimation , the cinematic equivalent of a tri-pronged you-bar .	1	-1	 this[0] film[0] is[0] in[0] my[0] estimation[0] the[0] cinematic[0] equivalent[0] of[0] a[0] tri[0] pronged[0] u[0] bar[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
