the tagline for this film is : " some houses are just born bad " . 	Translation	Positive	Negative	EmotionRationale
but he gets unexpected help from the house itself . 	but he gets unexpected help from the house itself .	1	-1	 but[0] he[0] gets[0] unexpected[0] help[0] from[0] the[0] house[0] itself[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it rumbles , hums and belches forth remarkable sights . 	it rumbles , hums and belches forth remarkable sights .	1	-1	 it[0] rumbles[0] hums[0] and[0] belches[0] forth[0] remarkable[0] sights[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
portals become veiny stained-glass eyeballs . 	portals become veiny stained-glass eyeballs .	1	-2	 portals[0] become[0] veiny[0] stained[-1] glass[0] eyeballs[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a fireplace guarded by stone lions gapes like a sinister mouth . 	a fireplace guarded by stone lions gapes like a sinister mouth .	2	-4	 a[0] fireplace[0] guarded[0] by[0] stone[0] lions[0] gapes[0] like[1] a[0] sinister[-3] mouth[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
filmy cherubic spirits take shape under sheets and billowy curtains . 	filmy cherubic spirits take shape under sheets and billowy curtains .	1	-1	 filmy[0] cherubic[0] spirits[0] take[0] shape[0] under[0] sheets[0] and[0] billowy[0] curtains[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the computerized spooketeria rarely feels real , placing an emotional wall between audience and screen . 	but the computerized spooketeria rarely feels real , placing an emotional wall between audience and screen .	1	-2	 but[0] the[0] computerized[0] spooketeria[0] rarely[0] feels[0] real[0] placing[0] an[0] emotional[-1] wall[0] between[0] audience[0] and[0] screen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the second half of the film is basically about the main heroine running back and forth from the sinister lamps and evil furniture . 	the second half of the film is basically about the main heroine running back and forth from the sinister lamps and evil furniture .	3	-4	 the[0] second[0] half[0] of[0] the[0] film[0] is[0] basically[0] about[0] the[0] main[0] heroine[2] running[0] back[0] and[0] forth[0] from[0] the[0] sinister[-3] lamps[0] and[0] evil[-2] furniture[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
is that exciting or what ? 	is that exciting or what ?	3	-1	 is[0] that[0] exciting[2] or[0] what[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the worst thing about it is that it didn't have to be bad . 	the worst thing about it is that it didn't have to be bad .	1	-3	 the[0] worst[-2] thing[0] about[0] it[0] is[0] that[0] it[0] didn't[0] have[0] to[0] be[0] bad[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's based on a great book ,   the haunting of hill house , '' by shirley jackson . 	it's based on a great book ,   the haunting of hill house , '' by shirley jackson .	3	-1	 it's[0] based[0] on[0] a[0] great[2] book[0] the[0] haunting[0] of[0] hill[0] house[0] ''[0] by[0] shirley[0] jackson[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
a 1963 adaptation of the book was scary and intelligent . 	a 1963 adaptation of the book was scary and intelligent .	2	-4	 a[0] 1963[0] adaptation[0] of[0] the[0] book[0] was[0] scary[-3] and[0] intelligent[1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it played with the greatest fears of our sub conscience . 	it played with the greatest fears of our sub conscience .	3	-3	 it[0] played[0] with[0] the[0] greatest[2] fears[-2] of[0] our[0] sub[0] conscience[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
 " the blair witch project " , that cost less than an old car , managed to shock and terrify the audiences from their senses . 	 " the blair witch project " , that cost less than an old car , managed to shock and terrify the audiences from their senses .	1	-4	 the[0] blair[0] witch[0] project[0] that[0] cost[0] less[0] than[0] an[0] old[0] car[0] managed[0] to[0] shock[-2] and[0] terrify[-3] the[0] audiences[0] from[0] their[0] senses[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and with a  70 mill . 	and with a  70 mill .	1	-1	 and[0] with[0] a[0] 70[0] mill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
budget , de bont and screenwriter david self make hash out of a perfectly lovely piece of terror . 	budget , de bont and screenwriter david self make hash out of a perfectly lovely piece of terror .	2	-2	 budget[0] de[0] bont[0] and[0] screenwriter[0] david[0] self[0] make[0] hash[0] out[0] of[0] a[0] perfectly[1] lovely[1] piece[0] of[0] terror[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
de bont has a style of filmmaking so out of line with the material that it is , in itself , frightening . 	de bont has a style of filmmaking so out of line with the material that it is , in itself , frightening .	1	-4	 de[0] bont[0] has[0] a[0] style[0] of[0] filmmaking[0] so[0] out[0] of[0] line[0] with[0] the[0] material[0] that[0] it[0] is[0] in[0] itself[0] frightening[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he is the master of the extravagant special effect and the big visual adrenaline rush . 	he is the master of the extravagant special effect and the big visual adrenaline rush .	2	-2	 he[0] is[0] the[0] master[0] of[0] the[0] extravagant[-1] special[1] effect[0] and[0] the[0] big[0] visual[0] adrenaline[0] rush[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but why give him a more serious material ? 	but why give him a more serious material ?	1	-2	 but[0] why[0] give[0] him[0] a[0] more[0] serious[-1] material[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in the end " haunting " will only haunt its fledgling studio ( dream works skg ) and de bont's career as a director . 	in the end " haunting " will only haunt its fledgling studio ( dream works skg ) and de bont's career as a director .	1	-2	 in[0] the[0] end[0] haunting[0] will[0] only[0] haunt[-1] its[0] fledgling[0] studio[0] dream[0] works[0] skg[0] and[0] de[0] bont's[0] career[0] as[0] a[0] director[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yet it wouldn't be fair to say that everything is bad . 	yet it wouldn't be fair to say that everything is bad .	1	-2	 yet[0] it[0] wouldn't[0] be[0] fair[0] to[0] say[0] that[0] everything[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the effects are truly impressive and the house is wonderfully decorated -- beautiful , mysterious , magical and spooky . 	the effects are truly impressive and the house is wonderfully decorated - beautiful , mysterious , magical and spooky .	3	-1	 the[0] effects[0] are[0] truly[1] impressive[1] and[0] the[0] house[0] is[0] wonderfully[2] decorated[0] beautiful[2] mysterious[0] magical[0] and[0] spooky[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but this is where the good things end . 	but this is where the good things end .	2	-1	 but[0] this[0] is[0] where[0] the[0] good[1] things[0] end[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the music is blaring , the floors moving , the ceiling morphing and the pictures on the walls screaming -- and all of this , every second , every moment of screen time , is absolutely without life . 	the music is blaring , the floors moving , the ceiling morphing and the pictures on the walls screaming - and all of this , every second , every moment of screen time , is absolutely without life .	1	-4	 the[0] music[0] is[0] blaring[0] the[0] floors[0] moving[0] the[0] ceiling[0] morphing[0] and[0] the[0] pictures[0] on[0] the[0] walls[0] screaming[-3] and[0] all[0] of[0] this[0] every[0] second[0] every[0] moment[0] of[0] screen[0] time[0] is[0] absolutely[0] without[0] life[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
it's nothing more than a special effects-extravaganza ; visually impressive , but intellectually hollow thriller that simply doesn't engage . 	it's nothing more than a special effects-extravaganza ; visually impressive , but intellectually hollow thriller that simply doesn't engage .	2	-2	 it's[0] nothing[0] more[0] than[0] a[0] special[1] effects[0] extravaganza[0] visually[0] impressive[1] but[0] intellectually[0] hollow[-1] thriller[1] that[0] simply[0] doesn't[0] engage[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at first you do not know what's going on . 	at first you do not know what's going on .	1	-1	 at[0] first[0] you[0] do[0] not[0] know[0] what's[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is this part of the experiment ? 	is this part of the experiment ?	1	-1	 is[0] this[0] part[0] of[0] the[0] experiment[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
are these hallucinations ? 	are these hallucinations ?	1	-1	 are[0] these[0] hallucinations[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
projections of the subconscience ? 	projections of the subconscience ?	1	-1	 projections[0] of[0] the[0] subconscience[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
paranoia ? 	paranoia ?	1	-3	 paranoia[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but in the end it shows out that this is actually happening . 	but in the end it shows out that this is actually happening .	1	-1	 but[0] in[0] the[0] end[0] it[0] shows[0] out[0] that[0] this[0] is[0] actually[0] happening[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the house is actually possessed . 	the house is actually possessed .	1	-1	 the[0] house[0] is[0] actually[0] possessed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is at that point when all your hopes for a good entertainment disappears out of the window . 	it is at that point when all your hopes for a good entertainment disappears out of the window .	2	-1	 it[0] is[0] at[0] that[0] point[0] when[0] all[0] your[0] hopes[1] for[0] a[0] good[1] entertainment[0] disappears[0] out[0] of[0] the[0] window[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
for ever , i sat in anticipation for a decent climax and that's what i got ? 	for ever , i sat in anticipation for a decent climax and that's what i got ?	1	-1	 for[0] ever[0] i[0] sat[0] in[0] anticipation[0] for[0] a[0] decent[0] climax[0] and[0] that's[0] what[0] i[0] got[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i believe hichock once said that " it's better to wait for a climax , than to see one " . 	i believe hichock once said that " it's better to wait for a climax , than to see one " .	1	-1	 i[0] believe[0] hichock[0] once[0] said[0] that[0] it's[0] better[0] to[0] wait[0] for[0] a[0] climax[0] than[0] to[0] see[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this may be true , and it might actually work , but there is only one problem -- jan de bont is not hichock and the things that he shows are not scary , only stupid . 	this may be true , and it might actually work , but there is only one problem - jan de bont is not hichock and the things that he shows are not scary , only stupid .	4	-2	 this[0] may[0] be[0] true[1] and[0] it[0] might[0] actually[0] work[0] but[0] there[0] is[0] only[0] one[0] problem[-1] jan[0] de[0] bont[0] is[0] not[0] hichock[0] and[0] the[0] things[0] that[0] he[0] shows[0] are[0] not[0] scary[-3][NegatedDueToPreviousWord] only[0] stupid[-1] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
they are impossible to take seriously . 	they are impossible to take seriously .	1	-1	 they[0] are[0] impossible[0] to[0] take[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any paralells that you might have heard before , linking this picture to kubrick's " the shining " , are absolutely baseless . 	any paralells that you might have heard before , linking this picture to kubrick's " the shining " , are absolutely baseless .	1	-1	 any[0] paralells[0] that[0] you[0] might[0] have[0] heard[0] before[0] linking[0] this[0] picture[0] to[0] kubrick's[0] the[0] shining[0] are[0] absolutely[0] baseless[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " shining " had class , style , story , acting , but most of all talent and originality . 	 " shining " had class , style , story , acting , but most of all talent and originality .	2	-1	 shining[0] had[0] class[0] style[0] story[0] acting[0] but[0] most[0] of[0] all[0] talent[1] and[0] originality[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " haunting " has only special effects and art direction to boast of . 	 " haunting " has only special effects and art direction to boast of .	2	-2	 haunting[0] has[0] only[0] special[1] effects[0] and[0] art[0] direction[0] to[0] boast[-1] of[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and those elements alone are not enough to make it a good film . 	and those elements alone are not enough to make it a good film .	2	-1	 and[0] those[0] elements[0] alone[0] are[0] not[0] enough[0] to[0] make[0] it[0] a[0] good[1] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
casting good actors for small , pale parts only makes things worse . 	casting good actors for small , pale parts only makes things worse .	2	-3	 casting[0] good[1] actors[0] for[0] small[0] pale[0] parts[0] only[0] makes[0] things[0] worse[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but i guess that no matter what i or other critics say or write , most of you will see this film anyway , even if the tagline would say : " some films are just born stupid " . 	but i guess that no matter what i or other critics say or write , most of you will see this film anyway , even if the tagline would say : " some films are just born stupid " .	1	-2	 but[0] i[0] guess[0] that[0] no[0] matter[0] what[0] i[0] or[0] other[0] critics[0] say[0] or[0] write[0] most[0] of[0] you[0] will[0] see[0] this[0] film[0] anyway[0] even[0] if[0] the[0] tagline[0] would[0] say[0] some[0] films[0] are[0] just[0] born[0] stupid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
