i should have known , damn it , i should have known . 	Translation	Positive	Negative	EmotionRationale
the rest of the movie involves ewan mcgregor's eye character following ashley judd around to every corner of the united states , totally and completely obsessed by this woman from afar . 	the rest of the movie involves ewan mcgregor's eye character following ashley judd around to every corner of the united states , totally and completely obsessed by this woman from afar .	1	-4	 the[0] rest[0] of[0] the[0] movie[0] involves[0] ewan[0] mcgregor's[0] eye[0] character[0] following[0] ashley[0] judd[0] around[0] to[0] every[0] corner[0] of[0] the[0] united[0] states[0] totally[0] and[0] completely[0] obsessed[-2][-1 LastWordBoosterStrength] by[0] this[0] woman[0] from[0] afar[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
throughout his entire professional life , he has been a voyeur ; so when he falls for someone , the only way he can handle it is to watch and drool through telescopes and cameras . 	throughout his entire professional life , he has been a voyeur ; so when he falls for someone , the only way he can handle it is to watch and drool through telescopes and cameras .	1	-1	 throughout[0] his[0] entire[0] professional[0] life[0] he[0] has[0] been[0] a[0] voyeur[0] so[0] when[0] he[0] falls[0] for[0] someone[0] the[0] only[0] way[0] he[0] can[0] handle[0] it[0] is[0] to[0] watch[0] and[0] drool[0] through[0] telescopes[0] and[0] cameras[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
fine , that's a lovely premise , i suppose . 	fine , that's a lovely premise , i suppose .	3	-1	 fine[2] that's[0] a[0] lovely[1] premise[0] i[0] suppose[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but gosh darn it , if you're going to go there , you better have some sort of explanation . 	but gosh darn it , if you're going to go there , you better have some sort of explanation .	1	-2	 but[0] gosh[0] darn[-1] it[0] if[0] you're[0] going[0] to[0] go[0] there[0] you[0] better[0] have[0] some[0] sort[0] of[0] explanation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and that's precisely where this film fails . 	and that's precisely where this film fails .	1	-3	 and[0] that's[0] precisely[0] where[0] this[0] film[0] fails[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is the kind of movie that pisses me off . 	this is the kind of movie that pisses me off .	2	-3	 this[0] is[0] the[0] kind[1] of[0] movie[0] that[0] pisses[-2] me[0] off[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's an abortion , a collection of half-formed and wasted ideas that amounts to absolutely nothing in the end . 	it's an abortion , a collection of half-formed and wasted ideas that amounts to absolutely nothing in the end .	1	-2	 it's[0] an[0] abortion[0] a[0] collection[0] of[0] half[0] formed[0] and[0] wasted[-1] ideas[0] that[0] amounts[0] to[0] absolutely[0] nothing[0] in[0] the[0] end[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it pretends it is something that it is not - a surreal and deep psychological character study wrapped in a high-tech thriller . 	it pretends it is something that it is not - a surreal and deep psychological character study wrapped in a high-tech thriller .	2	-1	 it[0] pretends[0] it[0] is[0] something[0] that[0] it[0] is[0] not[0] a[0] surreal[0] and[0] deep[0] psychological[0] character[0] study[0] wrapped[0] in[0] a[0] high[0] tech[0] thriller[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
here , the filmmakers have confused " surreal " and " deep " with " vaguely unclear " and " crammed full of insultingly obvious metaphors . " 	here , the filmmakers have confused " surreal " and " deep " with " vaguely unclear " and " crammed full of insultingly obvious metaphors .<br> "	1	-3	 here[0] the[0] filmmakers[0] have[0] confused[-1] surreal[0] and[0] deep[0] with[0] vaguely[-1] unclear[-1] and[0] crammed[0] full[0] of[0] insultingly[-2] obvious[0] metaphors[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i never , even for an instant , had the foggiest idea why eye would fall so in " love " with this woman who changes wigs and kills people . 	i never , even for an instant , had the foggiest idea why eye would fall so in " love " with this woman who changes wigs and kills people .	3	-1	 i[0] never[0] even[0] for[0] an[0] instant[0] had[0] the[0] foggiest[0] idea[0] why[0] eye[0] would[0] fall[0] so[0] in[0] love[2] with[0] this[0] woman[0] who[0] changes[0] wigs[0] and[0] kills[0] people[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the movie offers only two explanations , neither of which make a lick of sense . 	the movie offers only two explanations , neither of which make a lick of sense .	1	-1	 the[0] movie[0] offers[0] only[0] two[0] explanations[0] neither[0] of[0] which[0] make[0] a[0] lick[0] of[0] sense[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
explanation number one : the obnoxious presence of eye's imaginary daughter , who was taken away from him by his wife some time ago , tells him he shouldn't leave ms . judd . 	explanation number one : the obnoxious presence of eye's imaginary daughter , who was taken away from him by his wife some time ago , tells him he shouldn't leave ms .<br> judd .	1	-3	 explanation[0] number[0] one[0] the[0] obnoxious[-2] presence[0] of[0] eye's[0] imaginary[0] daughter[0] who[0] was[0] taken[0] away[0] from[0] him[0] by[0] his[0] wife[0] some[0] time[0] ago[0] tells[0] him[0] he[0] shouldn't[0] leave[0] ms[0] [[Sentence=-3,1=word max, 1-5]] judd[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
explanation two , which by the end of the film has been beaten into our heads through imagery and dialog and even the title of the movie : " beauty is in the eye of the beholder . " 	explanation two , which by the end of the film has been beaten into our heads through imagery and dialog and even the title of the movie : " beauty is in the eye of the beholder .<br> "	3	-1	 explanation[0] two[0] which[0] by[0] the[0] end[0] of[0] the[0] film[0] has[0] been[0] beaten[0] into[0] our[0] heads[0] through[0] imagery[0] and[0] dialog[0] and[0] even[0] the[0] title[0] of[0] the[0] movie[0] beauty[2] is[0] in[0] the[0] eye[0] of[0] the[0] beholder[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
whoo hoo , that helps , thanks a bunch , case closed . 	who ho , that helps , thanks a bunch , case closed .	2	-1	 whoo/who[0] hoo/ho[0] that[0] helps[0] thanks[1] a[0] bunch[0] case[0] closed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that's as deep as it gets , folks . 	that's as deep as it gets , folks .	1	-1	 that's[0] as[0] deep[0] as[0] it[0] gets[0] folks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is an attempt at an explanation in the final minutes , which , instead of tying everything together , ends up being as profound as a clever sixth-grade mad lib . 	there is an attempt at an explanation in the final minutes , which , instead of tying everything together , ends up being as profound as a clever sixth-grade mad lib .	1	-2	 there[0] is[0] an[0] attempt[0] at[0] an[0] explanation[0] in[0] the[0] final[0] minutes[0] which[0] instead[0] of[0] tying[0] everything[0] together[0] ends[0] up[0] being[0] as[0] profound[0] as[0] a[0] clever[0] sixth[0] grade[0] mad[-1] lib[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are secondary characters that move in and out of the picture and serve little or no purpose except to make the audience wonder what the hell the point was . 	there are secondary characters that move in and out of the picture and serve little or no purpose except to make the audience wonder what the hell the point was .	1	-2	 there[0] are[0] secondary[0] characters[0] that[0] move[0] in[0] and[0] out[0] of[0] the[0] picture[0] and[0] serve[0] little[0] or[0] no[0] purpose[0] except[0] to[0] make[0] the[0] audience[0] wonder[0] what[0] the[0] hell[-1] the[0] point[0] was[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
my personal favorites include : the prison-matron modeled after austin powers' frau farbissina , who apparently taught ms . judd everything she knows about wearing wigs ; jason priestley's awfully played dirty desert vagrant #1 , who tries to emulate dennis hopper a la blue velvet , but fails miserably ; and the cop-who-sees-ashley-fleeing-an-accident-scene-and- then-wants-to-pay-for-sex- but-is-shot . 	my personal favorites include : the prison-matron modeled after austin powers' frau farbissina , who apparently taught ms .<br> judd everything she knows about wearing wigs ; jason priestley's awfully played dirty desert vagrant #1 , who tries to emulate dennis hopper a la blue velvet , but fails miserably ; and the cop-who-sees-ashley-fleeing-an-accident-scene-and- then-wants-to-pay-for-sex- but-is-shot .	2	-4	 my[0] personal[0] favorites[1] include[0] the[0] prison[-1] matron[0] modeled[0] after[0] austin[0] powers'[0] frau[0] farbissina[0] who[0] apparently[0] taught[0] ms[0] [[Sentence=-2,2=word max, 1-5]] judd[0] everything[0] she[0] knows[0] about[0] wearing[0] wigs[0] jason[0] priestley's[0] awfully[-3] played[0] dirty[-1] desert[0] vagrant[-1] #1[0] who[0] tries[0] to[0] emulate[0] dennis[0] hopper[0] a[0] la[0] blue[0] velvet[0] but[0] fails[-2] miserably[-2][-1 MultiplePositiveWords] and[0] the[0] cop[0] who[0] sees[0] ashley[0] fleeing[-1] an[0] accident[-1] scene[0] and[0] then[0] wants[0] to[0] pay[0] for[0] sex[0] but[0] is[0] shot[-1] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
each one in this sad little parade is a little more pointless than the last . 	each one in this sad little parade is a little more pointless than the last .	1	-4	 each[0] one[0] in[0] this[0] sad[-3] little[0] parade[0] is[0] a[0] little[0] more[0] pointless[-1] than[0] the[0] last[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the script pays no attention to the laws of time and space . 	the script pays no attention to the laws of time and space .	1	-1	 the[0] script[0] pays[0] no[0] attention[0] to[0] the[0] laws[0] of[0] time[0] and[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
any time one of the frequent location changes occurs , the camera zooms in on a souvenir snow globe , and minutes , weeks , or years could have passed . 	any time one of the frequent location changes occurs , the camera zooms in on a souvenir snow globe , and minutes , weeks , or years could have passed .	1	-1	 any[0] time[0] one[0] of[0] the[0] frequent[0] location[0] changes[0] occurs[0] the[0] camera[0] zooms[0] in[0] on[0] a[0] souvenir[0] snow[0] globe[0] and[0] minutes[0] weeks[0] or[0] years[0] could[0] have[0] passed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bewilderingly inane stylistic decisions plague the whole affair - one character passes a glass of cognac to another in a slow-motion close-up awash in a lot of bass . 	bewilderingly inane stylistic decisions plague the whole affair - one character passes a glass of cognac to another in a slow-motion close-up awash in a lot of bass .	1	-3	 bewilderingly[-2] inane[-1] stylistic[0] decisions[0] plague[-1] the[0] whole[0] affair[0] one[0] character[0] passes[0] a[0] glass[0] of[0] cognac[0] to[0] another[0] in[0] a[0] slow[0] motion[0] close[0] up[0] awash[0] in[0] a[0] lot[0] of[0] bass[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ewan mcgregor at one point takes up residence in a bell tower just so he could be repeatedly awakened and deafened by the giant bell . 	ewan mcgregor at one point takes up residence in a bell tower just so he could be repeatedly awakened and deafened by the giant bell .	1	-2	 ewan[0] mcgregor[0] at[0] one[0] point[0] takes[0] up[0] residence[0] in[0] a[0] bell[0] tower[0] just[0] so[0] he[0] could[0] be[0] repeatedly[0] awakened[0] and[0] deafened[-1] by[0] the[0] giant[0] bell[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jason priestly starts philosophizing about sharks , then laughs maniacally . . . 	jason priestly starts philosophizing about sharks , then laughs maniacally .<br> .<br> .	2	-3	 jason[0] priestly[0] starts[0] philosophizing[0] about[0] sharks[0] then[0] laughs[1] maniacally[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
cut to random guy with eye patch . . . 	cut to random guy with eye patch .<br> .<br> .	1	-1	 cut[0] to[0] random[0] guy[0] with[0] eye[0] patch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
iguana out of focus . . . 	iguana out of focus .<br> .<br> .	1	-1	 iguana[0] out[0] of[0] focus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
iguana comes into focus . 	iguana comes into focus .	1	-1	 iguana[0] comes[0] into[0] focus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wow , man . 	wow , man .	3	-1	 wow[2] man[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when i found out afterward that this film was based on a novel , it came as no surprise to me . 	when i found out afterward that this film was based on a novel , it came as no surprise to me .	1	-1	 when[0] i[0] found[0] out[0] afterward[0] that[0] this[0] film[0] was[0] based[0] on[0] a[0] novel[0] it[0] came[0] as[0] no[0] surprise[0] to[0] me[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are plenty of elements here that , if extended and fleshed out more , would have made for a decent story . 	there are plenty of elements here that , if extended and fleshed out more , would have made for a decent story .	1	-1	 there[0] are[0] plenty[0] of[0] elements[0] here[0] that[0] if[0] extended[0] and[0] fleshed[0] out[0] more[0] would[0] have[0] made[0] for[0] a[0] decent[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and i wouldn't be surprised if i found out there was an hour and a half of footage cut from this movie lying in a landfill somewhere , or waiting in the wings for the dvd special director's cut . . . 	and i wouldn't be surprised if i found out there was an hour and a half of footage cut from this movie lying in a landfill somewhere , or waiting in the wings for the dvd special director's cut .<br> .<br> .	2	-4	 and[0] i[0] wouldn't[0] be[0] surprised[0] if[0] i[0] found[0] out[0] there[0] was[0] an[0] hour[0] and[0] a[0] half[0] of[0] footage[0] cut[0] from[0] this[0] movie[0] lying[-3] in[0] a[0] landfill[0] somewhere[0] or[0] waiting[0] in[0] the[0] wings[0] for[0] the[0] dvd[0] special[1] director's[0] cut[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
not that anything would ever possess me to purchase such a thing to find out what i was missing . 	not that anything would ever possess me to purchase such a thing to find out what i was missing .	1	-1	 not[0] that[0] anything[0] would[0] ever[0] possess[0] me[0] to[0] purchase[0] such[0] a[0] thing[0] to[0] find[0] out[0] what[0] i[0] was[0] missing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the last ten or so minutes featured a conversation between the eye and the judd that was supposed to be some sort of revealing exposition . 	the last ten or so minutes featured a conversation between the eye and the judd that was supposed to be some sort of revealing exposition .	1	-1	 the[0] last[0] ten[0] or[0] so[0] minutes[0] featured[0] a[0] conversation[0] between[0] the[0] eye[0] and[0] the[0] judd[0] that[0] was[0] supposed[0] to[0] be[0] some[0] sort[0] of[0] revealing[0] exposition[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
some guy in the back of the theater was talking on his cell phone , and this time i didn't particularly care all that much because what was happening on the screen was a steaming pile of unholy crap ; the audience around me chuckled and whispered sentiments similar to what i was thinking . 	some guy in the back of the theater was talking on his cell phone , and this time i didn't particularly care all that much because what was happening on the screen was a steaming pile of unholy crap ; the audience around me chuckled and whispered sentiments similar to what i was thinking .	3	-3	 some[0] guy[0] in[0] the[0] back[0] of[0] the[0] theater[0] was[0] talking[0] on[0] his[0] cell[0] phone[0] and[0] this[0] time[0] i[0] didn't[0] particularly[0] care[1] all[0] that[0] much[0] because[0] what[0] was[0] happening[0] on[0] the[0] screen[0] was[0] a[0] steaming[0] pile[0] of[0] unholy[0] crap[-2] the[0] audience[0] around[0] me[0] chuckled[2] and[0] whispered[0] sentiments[0] similar[0] to[0] what[0] i[0] was[0] thinking[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
someone near cell-phone-guy did eventually yell , " shut the hell up ! " , but it was a lot funnier when we thought he was talking to the screen . 	someone near cell-phone-guy did eventually yell , " shut the hell up !<br> " , but it was a lot funnier when we thought he was talking to the screen .	2	-2	 someone[0] near[0] cell[0] phone[0] guy[0] did[0] eventually[0] yell[0] shut[0] the[0] hell[-1] up[0] [[Sentence=-2,1=word max, 1-5]] but[0] it[0] was[0] a[0] lot[0] funnier[1] when[0] we[0] thought[0] he[0] was[0] talking[0] to[0] the[0] screen[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
