 " some houses are born bad , " goes the haunting's tag line , to which i must add , " some movies , too . " 	Translation	Positive	Negative	EmotionRationale
theo's assessment of the house ? 	theo's assessment of the house ?	1	-1	 theo's[0] assessment[0] of[0] the[0] house[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i love it ! 	 " i love it !	3	-1	 i[0] love[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
sort of charles foster kane meets the munsters . " 	sort of charles foster kane meets the munsters .<br> "	1	-1	 sort[0] of[0] charles[0] foster[0] kane[0] meets[0] the[0] munsters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
who on earth would say that in place of " citizen kane meets the munsters " ? 	who on earth would say that in place of " citizen kane meets the munsters " ?	1	-1	 who[0] on[0] earth[0] would[0] say[0] that[0] in[0] place[0] of[0] citizen[0] kane[0] meets[0] the[0] munsters[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( furthermore , would you gladly spend a single night in a house befitting that description ? ) 	 ( furthermore , would you gladly spend a single night in a house befitting that description ?<br> )	2	-1	 furthermore[0] would[0] you[0] gladly[1] spend[0] a[0] single[0] night[0] in[0] a[0] house[0] befitting[0] that[0] description[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
both actresses fare better than neeson , who looks embarrassed to be a part of this ensemble ( and for good reason ) , and his character is the most bland . 	both actresses fare better than neeson , who looks embarrassed to be a part of this ensemble ( and for good reason ) , and his character is the most bland .	2	-3	 both[0] actresses[0] fare[0] better[0] than[0] neeson[0] who[0] looks[0] embarrassed[-2] to[0] be[0] a[0] part[0] of[0] this[0] ensemble[0] and[0] for[0] good[1] reason[0] and[0] his[0] character[0] is[0] the[0] most[0] bland[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
as luke puts it , dr . marrow pulls the old " academic bait and switch " on his subjects , but he breaks down and confesses to this the second he's accused . 	as luke puts it , dr .<br> marrow pulls the old " academic bait and switch " on his subjects , but he breaks down and confesses to this the second he's accused .	1	-2	 as[0] luke[0] puts[0] it[0] dr[0] [[Sentence=-1,1=word max, 1-5]] marrow[0] pulls[0] the[0] old[0] academic[0] bait[-1] and[0] switch[0] on[0] his[0] subjects[0] but[0] he[0] breaks[0] down[0] and[0] confesses[-1] to[0] this[0] the[0] second[0] he's[0] accused[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
later , he risks his life by climbing a crumbling stairwell to save nell ( it's amusing to hear neeson shout " nell " repeatedly , given his starring role in the 1994 jodie foster vehicle of the same name ) . 	later , he risks his life by climbing a crumbling stairwell to save nell ( it's amusing to hear neeson shout " nell " repeatedly , given his starring role in the 1994 jodie foster vehicle of the same name ) .	2	-2	 later[0] he[0] risks[-1] his[0] life[0] by[0] climbing[0] a[0] crumbling[0] stairwell[0] to[0] save[1] nell[0] it's[0] amusing[1] to[0] hear[0] neeson[0] shout[0] nell[0] repeatedly[0] given[0] his[0] starring[0] role[0] in[0] the[0] 1994[0] jodie[0] foster[0] vehicle[0] of[0] the[0] same[0] name[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
why was this nice , helpful , and redemptive researcher so absent of ethics at the start ? 	why was this nice , helpful , and redemptive researcher so absent of ethics at the start ?	2	-2	 why[0] was[0] this[0] nice[1] helpful[1] and[0] redemptive[0] researcher[0] so[0] absent[-1] of[0] ethics[0] at[0] the[0] start[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the haunting was well designed by eugenio zanetti . 	the haunting was well designed by eugenio zanetti .	1	-1	 the[0] haunting[0] was[0] well[0] designed[0] by[0] eugenio[0] zanetti[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his sets are obsessively detailed , and even before the cgi kicks in , they seem alive , never quite still . 	his sets are obsessively detailed , and even before the cgi kicks in , they seem alive , never quite still .	1	-3	 his[0] sets[0] are[0] obsessively[-2] detailed[0] and[0] even[0] before[0] the[0] cgi[0] kicks[-1] in[0] they[0] seem[0] alive[0] never[0] quite[0] still[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i do have one beef with this aspect of the production : the real life mansion used in exterior shots , nottinghamshire's harlaxton manor , is so vast that one has trouble believing that nell and company , no matter how much running away they do from ghosts and goblins , always finish up in locations that were established in act one , as if all the action has been confined to one wing of hill house . 	i do have one beef with this aspect of the production : the real life mansion used in exterior shots , nottinghamshire's harlaxton manor , is so vast that one has trouble believing that nell and company , no matter how much running away they do from ghosts and goblins , always finish up in locations that were established in act one , as if all the action has been confined to one wing of hill house .	1	-2	 i[0] do[0] have[0] one[0] beef[0] with[0] this[0] aspect[0] of[0] the[0] production[0] the[0] real[0] life[0] mansion[0] used[0] in[0] exterior[0] shots[0] nottinghamshire's[0] harlaxton[0] manor[0] is[0] so[0] vast[0] that[0] one[0] has[0] trouble[-1] believing[0] that[0] nell[0] and[0] company[0] no[0] matter[0] how[0] much[0] running[0] away[0] they[0] do[0] from[0] ghosts[0] and[0] goblins[0] always[0] finish[0] up[0] in[0] locations[0] that[0] were[0] established[0] in[0] act[0] one[0] as[0] if[0] all[0] the[0] action[0] has[0] been[0] confined[0] to[0] one[0] wing[0] of[0] hill[0] house[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
eighty million dollars was spent on the haunting , and despite a powerhouse box office debut , i doubt it will recoup its costs ( including marketing ) domestically . 	eighty million dollars was spent on the haunting , and despite a powerhouse box office debut , i doubt it will recoup its costs ( including marketing ) domestically .	1	-2	 eighty[0] million[0] dollars[0] was[0] spent[0] on[0] the[0] haunting[0] and[0] despite[0] a[0] powerhouse[0] box[0] office[0] debut[0] i[0] doubt[-1] it[0] will[0] recoup[0] its[0] costs[0] including[0] marketing[0] domestically[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
thank jan de bont for that : proving for the third time that speed was a fluke , in that it was actually enjoyable , de bont has served up another ride , sans thrill . 	thank jan de bont for that : proving for the third time that speed was a fluke , in that it was actually enjoyable , de bont has served up another ride , sans thrill .	4	-1	 thank[1] jan[0] de[0] bont[0] for[0] that[0] proving[0] for[0] the[0] third[0] time[0] that[0] speed[0] was[0] a[0] fluke[0] in[0] that[0] it[0] was[0] actually[0] enjoyable[2] de[0] bont[0] has[0] served[0] up[0] another[0] ride[0] sans[0] thrill[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
his images , well-lit though they are , have an unmistakable been there-done that quality ; in fact , whole sequences , not to mention the cloaked , airy ghoul who owns the climax , feel lifted from a much smarter and infinitely more enjoyable spectacle from three summers back , peter jackson's the frighteners . 	his images , well-lit though they are , have an unmistakable been there-done that quality ; in fact , whole sequences , not to mention the cloaked , airy ghoul who owns the climax , feel lifted from a much smarter and infinitely more enjoyable spectacle from three summers back , peter jackson's the frighteners .	3	-4	 his[0] images[0] well[0] lit[0] though[0] they[0] are[0] have[0] an[0] unmistakable[0] been[0] there[0] done[0] that[0] quality[0] in[0] fact[0] whole[0] sequences[0] not[0] to[0] mention[0] the[0] cloaked[0] airy[0] ghoul[0] who[0] owns[0] the[0] climax[0] feel[0] lifted[0] from[0] a[0] much[0] smarter[1] and[0] infinitely[0] more[0] enjoyable[2] spectacle[0] from[0] three[0] summers[0] back[0] peter[0] jackson's[0] the[0] frighteners[-3] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
i don't mean to suggest de bont is a plagiarist , i mean to suggest that he's a hack , having found no new ways to give us chills . 	i don't mean to suggest de bont is a plagiarist , i mean to suggest that he's a hack , having found no new ways to give us chills .	1	-2	 i[0] don't[0] mean[0] to[0] suggest[0] de[0] bont[0] is[0] a[0] plagiarist[0] i[0] mean[0] to[0] suggest[0] that[0] he's[0] a[0] hack[-1] having[0] found[0] no[0] new[0] ways[0] to[0] give[0] us[0] chills[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
