for a film touted as exploring relationships and black sexuality , trois is surprisingly tame . 	Translation	Positive	Negative	EmotionRationale
the aftermath of the encounter sidesteps into fatal attraction territory as acts of violence are perpetrated upon jermaine's property with the hint that the violence may escalate . 	the aftermath of the encounter sidesteps into fatal attraction territory as acts of violence are perpetrated upon jermaine's property with the hint that the violence may escalate .	2	-4	 the[0] aftermath[0] of[0] the[0] encounter[0] sidesteps[0] into[0] fatal[-2] attraction[1] territory[0] as[0] acts[0] of[0] violence[-3] are[0] perpetrated[0] upon[0] jermaine's[0] property[0] with[0] the[0] hint[0] that[0] the[0] violence[-3] may[0] escalate[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
by this point , trois shows itself to be a soap opera without the requisite melodrama : a fatal attraction without the social significance . 	by this point , trois shows itself to be a soap opera without the requisite melodrama : a fatal attraction without the social significance .	2	-3	 by[0] this[0] point[0] trois[0] shows[0] itself[0] to[0] be[0] a[0] soap[0] opera[0] without[0] the[0] requisite[0] melodrama[0] a[0] fatal[-2] attraction[1] without[0] the[0] social[0] significance[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the exploration of relationships is strictly superficial and stereotypical . 	the exploration of relationships is strictly superficial and stereotypical .	1	-2	 the[0] exploration[0] of[0] relationships[0] is[0] strictly[-1] superficial[-1] and[0] stereotypical[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jermaine comes off as insincere , sexually driven and selfish . 	jermaine comes off as insincere , sexually driven and selfish .	1	-4	 jermaine[0] comes[0] off[0] as[0] insincere[-2] sexually[0] driven[0] and[0] selfish[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jasmine is bland and subservient . 	jasmine is bland and subservient .	1	-2	 jasmine[0] is[0] bland[-1] and[0] subservient[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jade comes off a bit sympathetically , but that is negated by her moral bankruptcy . 	jade comes off a bit sympathetically , but that is negated by her moral bankruptcy .	1	-3	 jade[0] comes[0] off[0] a[0] bit[0] sympathetically[0] but[0] that[0] is[0] negated[0] by[0] her[0] moral[0] bankruptcy[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yet another tale of a sexually aggressive " dog " of a man who imposes his will upon his accommodating , innocent mate . 	yet another tale of a sexually aggressive " dog " of a man who imposes his will upon his accommodating , innocent mate .	2	-3	 yet[0] another[0] tale[0] of[0] a[0] sexually[0] aggressive[-2] dog[0] of[0] a[0] man[0] who[0] imposes[-1] his[0] will[0] upon[0] his[0] accommodating[0] innocent[1] mate[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the last 10 minutes will undoubtly throw you a curve , but by this point , will you even care ? 	the last 10 minutes will undoubtly throw you a curve , but by this point , will you even care ?	2	-1	 the[0] last[0] 10[0] minutes[0] will[0] undoubtly[0] throw[0] you[0] a[0] curve[0] but[0] by[0] this[0] point[0] will[0] you[0] even[0] care[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if the rest of the movie was as dynamic as the ending , perhaps there could have been some freshness to it . 	if the rest of the movie was as dynamic as the ending , perhaps there could have been some freshness to it .	2	-1	 if[0] the[0] rest[0] of[0] the[0] movie[0] was[0] as[0] dynamic[1] as[0] the[0] ending[0] perhaps[0] there[0] could[0] have[0] been[0] some[0] freshness[0] to[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as it stands , trois is pretty standard fare . 	as it stands , trois is pretty standard fare .	3	-1	 as[0] it[0] stands[0] trois[0] is[0] pretty[2] standard[0] fare[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
