plot outline - wendy ( samantha press ) , a jazz singer , loves mack ( hugo race ) a criminal and wanna be rock singer who's planning a bank heist . 	Translation	Positive	Negative	EmotionRationale
as for the rest of the cast , it's a mixed bag . 	as for the rest of the cast , it's a mixed bag .	1	-1	 as[0] for[0] the[0] rest[0] of[0] the[0] cast[0] it's[0] a[0] mixed[0] bag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
john flaus , one of australia's most criminally underused actors , is in top form as the withering , alcoholic jazz fan cop , who may or may not have sold out to the highest bidder . 	john flaus , one of australia's most criminally underused actors , is in top form as the withering , alcoholic jaz fan cop , who may or may not have sold out to the highest bidder .	1	-2	 john[0] flaus[0] one[0] of[0] australia's[0] most[0] criminally[-1] underused[0] actors[0] is[0] in[0] top[0] form[0] as[0] the[0] withering[0] alcoholic[0] jazz/jaz[0] fan[0] cop[0] who[0] may[0] or[0] may[0] not[0] have[0] sold[0] out[0] to[0] the[0] highest[0] bidder[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
although he falters at one point , when the script calls for him to get up on stage and deliver a drunken beat sermon , but believe me , they way it was written , no one could have pulled it off . 	although he falters at one point , when the script calls for him to get up on stage and deliver a drunken beat sermon , but believe me , they way it was written , no one could have pulled it off .	1	-2	 although[0] he[0] falters[-1] at[0] one[0] point[0] when[0] the[0] script[0] calls[0] for[0] him[0] to[0] get[0] up[0] on[0] stage[0] and[0] deliver[0] a[0] drunken[-1] beat[0] sermon[0] but[0] believe[0] me[0] they[0] way[0] it[0] was[0] written[0] no[0] one[0] could[0] have[0] pulled[0] it[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dominic sweeney is fine , though he seems to be uneasy in front of the lens but he really isn't given a whole lot to do . 	dominic sweeney is fine , though he seems to be uneasy in front of the lens but he really isn't given a whole lot to do .	3	-2	 dominic[0] sweeney[0] is[0] fine[2] though[0] he[0] seems[0] to[0] be[0] uneasy[-1] in[0] front[0] of[0] the[0] lens[0] but[0] he[0] really[0] isn't[0] given[0] a[0] whole[0] lot[0] to[0] do[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
pre home and away elmaloglou is pretty good as the inquisitive jojo , but her character seems extraneous to the story , well , at least until the final scenes . 	pre home and away elmaloglou is pretty good as the inquisitive jojo , but her character seems extraneous to the story , well , at least until the final scenes .	3	-1	 pre[0] home[0] and[0] away[0] elmaloglou[0] is[0] pretty[2] good[1] as[0] the[0] inquisitive[0] jojo[0] but[0] her[0] character[0] seems[0] extraneous[0] to[0] the[0] story[0] well[0] at[0] least[0] until[0] the[0] final[0] scenes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i must admit , in too deep does have some impressive qualities , not the least of which is it visual element . 	i must admit , in too deep does have some impressive qualities , not the least of which is it visual element .	1	-1	 i[0] must[0] admit[0] in[0] too[0] deep[0] does[0] have[0] some[0] impressive[1][-1 LastWordBoosterStrength] qualities[0] not[0] the[0] least[0] of[0] which[0] is[0] it[0] visual[0] element[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
cinematographers mark gilfedder & peter zakharov have achieved the almost impossible by making melbourne look like a sweat drenched tropic city , which is akin to turning london into san paolo . 	cinematographers mark gilfedder & peter zakharov have achieved the almost impossible by making melbourne look like a sweat drenched tropic city , which is akin to turning london into san paolo .	2	-1	 cinematographers[0] mark[0] gilfedder[0] &[0] peter[0] zakharov[0] have[0] achieved[0] the[0] almost[0] impossible[0] by[0] making[0] melbourne[0] look[0] like[1] a[0] sweat[0] drenched[0] tropic[0] city[0] which[0] is[0] akin[0] to[0] turning[0] london[0] into[0] san[0] paolo[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the bar is an oppressive red , like all of it's patrons are being baked while they drink , outside it hazy orange by day and cool blue by night . 	the bar is an oppressive red , like all of it's patrons are being baked while they drink , outside it hazy orange by day and cool blue by night .	2	-3	 the[0] bar[0] is[0] an[0] oppressive[-2] red[0] like[1] all[0] of[0] it's[0] patrons[0] are[0] being[0] baked[0] while[0] they[0] drink[0] outside[0] it[0] hazy[-1] orange[0] by[0] day[0] and[0] cool[1] blue[0] by[0] night[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
if only deborah parson's script could have supported this idea better . 	if only deborah parson's script could have supported this idea better .	2	-1	 if[0] only[0] deborah[0] parson's[0] script[0] could[0] have[0] supported[1] this[0] idea[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
having two director's ( colin south & john tatoulis ) doesn't help either , the most glaring example of which is the final retribution/fight scene , where for some reason the camera pulls away from the onscreen action , and more importantly it doesn't pull away to anything else . 	having two director's ( colin south & john tatoulis ) doesn't help either , the most glaring example of which is the final retribution/fight scene , where for some reason the camera pulls away from the onscreen action , and more importantly it doesn't pull away to anything else .	1	-1	 having[0] two[0] director's[0] colin[0] south[0] &[0] john[0] tatoulis[0] doesn't[0] help[0] either[0] the[0] most[0] glaring[0] example[0] of[0] which[0] is[0] the[0] final[0] retribution/fight[0] scene[0] where[0] for[0] some[0] reason[0] the[0] camera[0] pulls[0] away[0] from[0] the[0] onscreen[0] action[0] and[0] more[0] importantly[0] it[0] doesn't[0] pull[0] away[0] to[0] anything[0] else[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it just stays static as the fight happens in the distance . 	it just stays static as the fight happens in the distance .	1	-3	 it[0] just[0] stays[0] static[-1] as[0] the[0] fight[-2] happens[0] in[0] the[0] distance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it has no reason to it ; it's just bad direction . 	it has no reason to it ; it's just bad direction .	1	-1	 it[0] has[0] no[0] reason[0] to[0] it[0] it's[0] just[0] bad[-1][--1 LastWordBoosterStrength] direction[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , ultimately , that is what sums up in too deep , it's tries to be good , and you want it to work , but , it's just lacking the talent behind it , that it needs to succeed . 	and , ultimately , that is what sums up in too deep , it's tries to be good , and you want it to work , but , it's just lacking the talent behind it , that it needs to succeed .	3	-1	 and[0] ultimately[0] that[0] is[0] what[0] sums[0] up[0] in[0] too[0] deep[0] it's[0] tries[0] to[0] be[0] good[1] and[0] you[0] want[0] it[0] to[0] work[0] but[0] it's[0] just[0] lacking[0] the[0] talent[1] behind[0] it[0] that[0] it[0] needs[0] to[0] succeed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
