sylvester stallone has made some crap films in his lifetime , but this has got to be one of the worst . 	Translation	Positive	Negative	EmotionRationale
using the cops , he tries to set up traps , none which really work , so when sly calls him , he goes ballisitic on his ass over the phone , getting so worked up by saying his must-be-improvised speeches that he seems to pop the vein in his head wide open . 	using the cops , he tries to set up traps , none which really work , so when sly calls him , he goes ballisitic on his ass over the phone , getting so worked up by saying his must-be-improvised speeches that he seems to pop the vein in his head wide open .	1	-2	 using[0] the[0] cops[0] he[0] tries[0] to[0] set[0] up[0] traps[0] none[0] which[0] really[0] work[0] so[0] when[0] sly[-1] calls[0] him[0] he[0] goes[0] ballisitic[0] on[0] his[0] ass[0] over[0] the[0] phone[0] getting[0] so[0] worked[0] up[0] by[0] saying[0] his[0] must[0] be[0] improvised[0] speeches[0] that[0] he[0] seems[0] to[0] pop[0] the[0] vein[0] in[0] his[0] head[0] wide[0] open[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
these are the most exciting scenes in the film , and woods becomes the only ounce of entertainment in the film . 	these are the most exciting scenes in the film , and woods becomes the only ounce of entertainment in the film .	3	-1	 these[0] are[0] the[0] most[0] exciting[2] scenes[0] in[0] the[0] film[0] and[0] woods[0] becomes[0] the[0] only[0] ounce[0] of[0] entertainment[0] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the film tries to offer us a moody film noir , except with explosions , but comes up completely snake-eyes . 	the film tries to offer us a moody film noir , except with explosions , but comes up completely snake-eyes .	1	-3	 the[0] film[0] tries[0] to[0] offer[0] us[0] a[0] moody[-2] film[0] noir[0] except[0] with[0] explosions[-1] but[0] comes[0] up[0] completely[0] snake[0] eyes[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it's just a pretend film noir , making it a big waste of time . 	it's just a pretend film noir , making it a big waste of time .	1	-2	 it's[0] just[0] a[0] pretend[-1] film[0] noir[0] making[0] it[0] a[0] big[0] waste[-1] of[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and for action buffs , the action scenes are pretty lame , with some really unrealistic-looking special effects ( a penthouse being blown off of a hotel looks like a piece of cardboard falling into a tub ) . 	and for action buffs , the action scenes are pretty lame , with some really unrealistic-looking special effects ( a penthouse being blown off of a hotel looks like a piece of cardboard falling into a tub ) .	3	-3	 and[0] for[0] action[0] buffs[0] the[0] action[0] scenes[0] are[0] pretty[2] lame[-2] with[0] some[0] really[0] unrealistic[0] looking[0] special[1] effects[0] a[0] penthouse[0] being[0] blown[0] off[0] of[0] a[0] hotel[0] looks[0] like[1] a[0] piece[0] of[0] cardboard[0] falling[0] into[0] a[0] tub[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
then there's the much-discussed sex scene between sly and stone , which are about as mispaired a couple as rachel and ross on " friends . " 	then there's the much-discussed sex scene between sly and stone , which are about as mispaired a couple as rachel and ross on " friends .<br> "	2	-2	 then[0] there's[0] the[0] much[0] discussed[0] sex[0] scene[0] between[0] sly[-1] and[0] stone[0] which[0] are[0] about[0] as[0] mispaired[0] a[0] couple[0] as[0] rachel[0] and[0] ross[0] on[0] friends[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
their sex scene is more nauseating then sexy , because it shows us more of sly than stone . 	their sex scene is more nauseating then sexy , because it shows us more of sly than stone .	3	-2	 their[0] sex[0] scene[0] is[0] more[0] nauseating[0] then[0] sexy[2] because[0] it[0] shows[0] us[0] more[0] of[0] sly[-1] than[0] stone[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
now let's guess who we'd rather see naked , okay ? 	now let's guess who we'd rather see naked , okay ?	1	-1	 now[0] let's[0] guess[0] who[0] we'd[0] rather[0] see[0] naked[0] okay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stone's small but perky breasts , which we've seen more times than harvey keitel's dick , or stallone's veiny ass , which isn't usually shown for a very good reason ? 	stone's small but perky breasts , which we've seen more times than harvey keitel's dick , or stallone's veiny ass , which isn't usually shown for a very good reason ?	3	-1	 stone's[0] small[0] but[0] perky[0] breasts[0] which[0] we've[0] seen[0] more[0] times[0] than[0] harvey[0] keitel's[0] dick[0] or[0] stallone's[0] veiny[0] ass[0] which[0] isn't[0] usually[0] shown[0] for[0] a[0] very[0] good[1][1 LastWordBoosterStrength] reason[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i know i can't really judge it as a flaw of the film , but come on . 	i know i can't really judge it as a flaw of the film , but come on .	1	-2	 i[0] know[0] i[0] can't[0] really[0] judge[0] it[0] as[0] a[0] flaw[-1] of[0] the[0] film[0] but[0] come[0] on[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the worst flaw of the film is this : it's boring . 	the worst flaw of the film is this : it's boring .	1	-3	 the[0] worst[-2] flaw[-1] of[0] the[0] film[0] is[0] this[0] it's[0] boring[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i mean , i was on caffeine when watching it , but my friend fell asleep only to be woken up by james woods ranting . 	i mean , i was on caffeine when watching it , but my friend fell asleep only to be woken up by james woods ranting .	2	-1	 i[0] mean[0] i[0] was[0] on[0] caffeine[0] when[0] watching[0] it[0] but[0] my[0] friend[1] fell[0] asleep[0] only[0] to[0] be[0] woken[0] up[0] by[0] james[0] woods[0] ranting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but a good movie does not james woods going nuts make . 	but a good movie does not james woods going nuts make .	2	-1	 but[0] a[0] good[1] movie[0] does[0] not[0] james[0] woods[0] going[0] nuts[0] make[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you're in for some fun action , rent sly's earlier " demolition man , " which sucks too , but in a much more entertaining fashion . 	if you're in for some fun action , rent sly's earlier " demolition man , " which sucks too , but in a much more entertaining fashion .	1	-2	 if[0] you're[0] in[0] for[0] some[0] fun[1][-1 LastWordBoosterStrength] action[0] rent[0] sly's[0] earlier[0] demolition[0] man[0] which[0] sucks[-1] too[0] but[0] in[0] a[0] much[0] more[0] entertaining[0] fashion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
skip this dull film , unless you want to see woods , or make fun of steiger's accent , or see stone's breasts again . 	skip this dull film , unless you want to see woods , or make fun of steiger's accent , or see stone's breasts again .	2	-2	 skip[0] this[0] dull[-1] film[0] unless[0] you[0] want[0] to[0] see[0] woods[0] or[0] make[0] fun[1] of[0] steiger's[0] accent[0] or[0] see[0] stone's[0] breasts[0] again[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
