as we see the terrible events that unfold before our eyes in the middle east at the moment , hollywood doesn't loose the oppertunity to get involved , by telling stories and expressing opinions . 	Translation	Positive	Negative	EmotionRationale
the film ends without even telling the most interesting story : what happens on the international arena ? 	the film ends without even telling the most interesting story : what happens on the international arena ?	2	-1	 the[0] film[0] ends[0] without[0] even[0] telling[0] the[0] most[0] interesting[1] story[0] what[0] happens[0] on[0] the[0] international[0] arena[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this film ( in a way akin to films such as " a few good men " ) has already been accused of breaking the rules of morality and ethics and even of racism . 	this film ( in a way akin to films such as " a few good men " ) has already been accused of breaking the rules of morality and ethics and even of racism .	2	-2	 this[0] film[0] in[0] a[0] way[0] akin[0] to[0] films[0] such[0] as[0] a[0] few[0] good[1] men[0] has[0] already[0] been[0] accused[-1] of[0] breaking[0] the[0] rules[0] of[0] morality[0] and[0] ethics[0] and[0] even[0] of[0] racism[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
these accusations are pretty heavy , but also unfair . 	these accusations are pretty heavy , but also unfair .	3	-2	 these[0] accusations[-1] are[0] pretty[2] heavy[0] but[0] also[0] unfair[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
what director william friedklin truly broke was the rules of decent filmmaking . 	what director william friedklin truly broke was the rules of decent filmmaking .	2	-2	 what[0] director[0] william[0] friedklin[0] truly[1] broke[-1] was[0] the[0] rules[0] of[0] decent[0] filmmaking[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of the earliest apparent problems with 'rules of engagement' is its lack of credibility . 	one of the earliest apparent problems with 'rules of engagement' is its lack of credibility .	1	-2	 one[0] of[0] the[0] earliest[0] apparent[0] problems[-1] with[0] 'rules[0] of[0] engagement'[0] is[0] its[0] lack[-1] of[0] credibility[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the entire operation in yemen may remind us about what happens in the middle east right now , but is overdone , contrived and unrealistic - as if a chain of events had to happen in a particular manner in order for the plot to proceed . 	the entire operation in yemen may remind us about what happens in the middle east right now , but is overdone , contrived and unrealistic - as if a chain of events had to happen in a particular manner in order for the plot to proceed .	1	-1	 the[0] entire[0] operation[0] in[0] yemen[0] may[0] remind[0] us[0] about[0] what[0] happens[0] in[0] the[0] middle[0] east[0] right[0] now[0] but[0] is[0] overdone[0] contrived[0] and[0] unrealistic[0] as[0] if[0] a[0] chain[0] of[0] events[0] had[0] to[0] happen[0] in[0] a[0] particular[0] manner[0] in[0] order[0] for[0] the[0] plot[0] to[0] proceed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a lot of it is so cheesy that no one could possibly accept it as reality . 	a lot of it is so cheesy that no one could possibly accept it as reality .	1	-1	 a[0] lot[0] of[0] it[0] is[0] so[0] cheesy[0] that[0] no[0] one[0] could[0] possibly[0] accept[0] it[0] as[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that is precisely why it's not offensive . 	that is precisely why it's not offensive .	3	-1	 that[0] is[0] precisely[0] why[0] it's[0] not[0] offensive[-2][NegatedDueToPreviousWord] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it is completely unobjective . 	it is completely unobjective .	1	-1	 it[0] is[0] completely[0] unobjective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many stories are started and never finished . 	many stories are started and never finished .	1	-1	 many[0] stories[0] are[0] started[0] and[0] never[0] finished[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many questions are asked , but never answered . 	many questions are asked , but never answered .	1	-1	 many[0] questions[0] are[0] asked[0] but[0] never[0] answered[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a lot of parallels are referring to nothing . 	a lot of parallels are referring to nothing .	1	-1	 a[0] lot[0] of[0] parallels[0] are[0] referring[0] to[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it seems that neither the director , producers or the screenwriter can make up their minds about the contents of their film . 	it seems that neither the director , producers or the screenwriter can make up their minds about the contents of their film .	1	-1	 it[0] seems[0] that[0] neither[0] the[0] director[0] producers[0] or[0] the[0] screenwriter[0] can[0] make[0] up[0] their[0] minds[0] about[0] the[0] contents[0] of[0] their[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
is it about arab mentality ? 	is it about arab mentality ?	1	-1	 is[0] it[0] about[0] arab[0] mentality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
america's foreign policies ? 	america's foreign policies ?	1	-2	 america's[0] foreign[-1] policies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
america's role in the world ? 	america's role in the world ?	1	-1	 america's[0] role[0] in[0] the[0] world[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
corruption in the higher circles ? 	corruption in the higher circles ?	1	-3	 corruption[-2] in[0] the[0] higher[0] circles[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it goes on and on . 	it goes on and on .	1	-1	 it[0] goes[0] on[0] and[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it consists of countless stories , but not a definable plot . 	it consists of countless stories , but not a definable plot .	1	-1	 it[0] consists[0] of[0] countless[0] stories[0] but[0] not[0] a[0] definable[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it tries to be everything for everyone and ends up being nothing for no one . 	it tries to be everything for everyone and ends up being nothing for no one .	1	-1	 it[0] tries[0] to[0] be[0] everything[0] for[0] everyone[0] and[0] ends[0] up[0] being[0] nothing[0] for[0] no[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i think that it is ironic , because director william friedkin's probably most acclaimed film was " the exorcist " which had a silly story , but became a rather effective film . 	i think that it is ironic , because director william friedkin's probably most acclaimed film was " the exorcist " which had a silly story , but became a rather effective film .	1	-2	 i[0] think[0] that[0] it[0] is[0] ironic[-1] because[0] director[0] william[0] friedkin's[0] probably[0] most[0] acclaimed[0] film[0] was[0] the[0] exorcist[0] which[0] had[0] a[0] silly[-1] story[0] but[0] became[0] a[0] rather[0] effective[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in this case you have a strong story with many possibilities and the result is a silly film . 	in this case you have a strong story with many possibilities and the result is a silly film .	1	-2	 in[0] this[0] case[0] you[0] have[0] a[0] strong[0] story[0] with[0] many[0] possibilities[0] and[0] the[0] result[0] is[0] a[0] silly[-1] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though several scenes bare the mark of professionalism ( such as the impressive battle scenes ) , his latest film does simply not engage . 	though several scenes bare the mark of professionalism ( such as the impressive battle scenes ) , his latest film does simply not engage .	2	-2	 though[0] several[0] scenes[0] bare[0] the[0] mark[0] of[0] professionalism[0] such[0] as[0] the[0] impressive[1] battle[-1] scenes[0] his[0] latest[0] film[0] does[0] simply[0] not[0] engage[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i believe that friedklin is a director that is absolutely depended on great scripts and talented producers in order to succeed . 	i believe that friedklin is a director that is absolutely depended on great scripts and talented producers in order to succeed .	3	-1	 i[0] believe[0] that[0] friedklin[0] is[0] a[0] director[0] that[0] is[0] absolutely[0] depended[0] on[0] great[2] scripts[0] and[0] talented[1] producers[0] in[0] order[0] to[0] succeed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it's obvious that he has neither and the result is therefore a catastrophe . 	it's obvious that he has neither and the result is therefore a catastrophe .	1	-4	 it's[0] obvious[0] that[0] he[0] has[0] neither[0] and[0] the[0] result[0] is[0] therefore[0] a[0] catastrophe[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the characters feel designed , unreal , merely shadows , with no life outside the conflict . 	the characters feel designed , unreal , merely shadows , with no life outside the conflict .	1	-2	 the[0] characters[0] feel[0] designed[0] unreal[0] merely[0] shadows[0] with[0] no[0] life[0] outside[0] the[0] conflict[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even the actors can not save this film from going under . 	even the actors can not save this film from going under .	1	-2	 even[0] the[0] actors[0] can[0] not[0] save[1][NegatedDueToPreviousWord] this[0] film[0] from[0] going[0] under[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
though both jackson and jones act admirably , with performances that are as good as you get with a script like this , it is not something that these great actors can boast of . 	though both jackson and jones act admirably , with performances that are as good as you get with a script like this , it is not something that these great actors can boast of .	3	-2	 though[0] both[0] jackson[0] and[0] jones[0] act[0] admirably[2] with[0] performances[0] that[0] are[0] as[0] good[1] as[0] you[0] get[0] with[0] a[0] script[0] like[1] this[0] it[0] is[0] not[0] something[0] that[0] these[0] great[2] actors[0] can[0] boast[-1] of[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they have roles that they could play blindfolded with their hand on the back . 	they have roles that they could play blindfolded with their hand on the back .	1	-2	 they[0] have[0] roles[0] that[0] they[0] could[0] play[0] blindfolded[-1] with[0] their[0] hand[0] on[0] the[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
jackson is gray and jones uninteresting . 	jackson is gray and jones uninteresting .	1	-1	 jackson[0] is[0] gray[0] and[0] jones[0] uninteresting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the rest of the cast , including ben kingsly , blair underwood and guy pearce are simply waiting for their paychecks . 	the rest of the cast , including ben kingsly , blair underwood and guy pearce are simply waiting for their paychecks .	1	-1	 the[0] rest[0] of[0] the[0] cast[0] including[0] ben[0] kingsly[0] blair[0] underwood[0] and[0] guy[0] pearce[0] are[0] simply[0] waiting[0] for[0] their[0] paychecks[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the time has come for the verdict . 	the time has come for the verdict .	1	-1	 the[0] time[0] has[0] come[0] for[0] the[0] verdict[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
on the charges of complete lack of objectivity , i find this film guilty . 	on the charges of complete lack of objectivity , i find this film guilty .	1	-4	 on[0] the[0] charges[-1] of[0] complete[0] lack[-1][-1 LastWordBoosterStrength] of[0] objectivity[0] i[0] find[0] this[0] film[0] guilty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
on the charges of breaking the rules of reasonable filmmaking , i find it guilty . 	on the charges of breaking the rules of reasonable filmmaking , i find it guilty .	1	-4	 on[0] the[0] charges[-1] of[0] breaking[0] the[0] rules[0] of[0] reasonable[0] filmmaking[0] i[0] find[0] it[0] guilty[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but on the charges of racism i find this film not guilty , because of it's inconclusive and often silly plot that lacks objectivity everywhere , not only when concerning the arab population . 	but on the charges of racism i find this film not guilty , because of it's inconclusive and often silly plot that lacks objectivity everywhere , not only when concerning the arab population .	4	-2	 but[0] on[0] the[0] charges[-1] of[0] racism[-1] i[0] find[0] this[0] film[0] not[0] guilty[-3][NegatedDueToPreviousWord] because[0] of[0] it's[0] inconclusive[0] and[0] often[0] silly[-1] plot[0] that[0] lacks[0] objectivity[0] everywhere[0] not[0] only[0] when[0] concerning[-1] the[0] arab[0] population[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i must admit that the film is dangerously near the line of being racially offensive and i do think that screenwriter stephen gaghan went a bit too far , portraying the yemeni people almost as stereotypical hollywood bad-guys . 	i must admit that the film is dangerously near the line of being racially offensive and i do think that screenwriter stephen gaghan went a bit too far , portraying the yemeni people almost as stereotypical hollywood bad-guys .	1	-3	 i[0] must[0] admit[0] that[0] the[0] film[0] is[0] dangerously[-1] near[0] the[0] line[0] of[0] being[0] racially[0] offensive[-2] and[0] i[0] do[0] think[0] that[0] screenwriter[0] stephen[0] gaghan[0] went[0] a[0] bit[0] too[0] far[0] portraying[0] the[0] yemeni[0] people[0] almost[0] as[0] stereotypical[0] hollywood[0] bad[-1] guys[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this is very sad , since in a time like this it is crucial to not lose objectivity and proclaim the truth . 	this is very sad , since in a time like this it is crucial to not lose objectivity and proclaim the truth .	2	-5	 this[0] is[0] very[0] sad[-3][-1 LastWordBoosterStrength] since[0] in[0] a[0] time[0] like[1] this[0] it[0] is[0] crucial[0] to[0] not[0] lose[-1][NegatedDueToPreviousWord] objectivity[0] and[0] proclaim[0] the[0] truth[1] [[Sentence=-5,2=word max, 1-5]][[[2,-5 max of sentences]]]
however , it is absolutely necessary to remember that the muslim terrorists are responsible for most of the terrorist activity in and outside the united states . 	however , it is absolutely necessary to remember that the muslim terrorists are responsible for most of the terrorist activity in and outside the united states .	1	-3	 however[0] it[0] is[0] absolutely[0] necessary[0] to[0] remember[0] that[0] the[0] muslim[0] terrorists[-2] are[0] responsible[0] for[0] most[0] of[0] the[0] terrorist[-2] activity[0] in[0] and[0] outside[0] the[0] united[0] states[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and that it's not a coincidence that u . s . residents in the middle east , including yemen are on constant maximum alert . 	and that it's not a coincidence that you .<br> s .<br> residents in the middle east , including yemen are on constant maximum alert .	1	-1	 and[0] that[0] it's[0] not[0] a[0] coincidence[0] that[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] residents[0] in[0] the[0] middle[0] east[0] including[0] yemen[0] are[0] on[0] constant[0] maximum[0] alert[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
