this is the worst movie i've seen since the " so bad i walked out on it " " jingle all the way " . 	Translation	Positive	Negative	EmotionRationale
as mr . freeze , arnold is given way too much dialogue to spit out at once . 	as mr .<br> freeze , arnold is given way too much dialogue to spit out at once .	1	-1	 as[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] arnold[0] is[0] given[0] way[0] too[0] much[0] dialogue[0] to[0] spit[0] out[0] at[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the same problem he had in " jingle all the way " , and it seems that his austrian accent is getting thicker and more unintelligible as the days pass . 	this is the same problem he had in " jingle all the way " , and it seems that his austrian accent is getting thicker and more unintelligible as the days pass .	1	-2	 this[0] is[0] the[0] same[0] problem[-1] he[0] had[0] in[0] jingle[0] all[0] the[0] way[0] and[0] it[0] seems[0] that[0] his[0] austrian[0] accent[0] is[0] getting[0] thicker[0] and[0] more[0] unintelligible[0] as[0] the[0] days[0] pass[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
personally , i think that he has more pull with the directors and doesn't retake scenes to make him understandable . 	personally , i think that he has more pull with the directors and doesn't retake scenes to make him understandable .	1	-1	 personally[0] i[0] think[0] that[0] he[0] has[0] more[0] pull[0] with[0] the[0] directors[0] and[0] doesn't[0] retake[0] scenes[0] to[0] make[0] him[0] understandable[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
compare his dialogue in the terminator series to the load of nonsense that streams forth in " batman & robin " . 	compare his dialogue in the terminator series to the load of nonsense that streams forth in " batman & robin " .	1	-2	 compare[0] his[0] dialogue[0] in[0] the[0] terminator[0] series[0] to[0] the[0] load[0] of[0] nonsense[-1] that[0] streams[0] forth[0] in[0] batman[0] &[0] robin[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
apparently , james cameron knows how to get a competent performance out of arnold . 	apparently , james cameron knows how to get a competent performance out of arnold .	1	-1	 apparently[0] james[0] cameron[0] knows[0] how[0] to[0] get[0] a[0] competent[0] performance[0] out[0] of[0] arnold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
uma thurman is not as bad , but nothing resembling good either . 	uma thurman is not as bad , but nothing resembling good either .	2	-1	 uma[0] thurman[0] is[0] not[0] as[0] bad[-1][NegatedDueToPreviousWord] but[0] nothing[0] resembling[0] good[1] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
her poison ivy vamps around terribly , chewing up scenery left and right . 	her poison ivy vamps around terribly , chewing up scenery left and right .	1	-4	 her[0] poison[-2] ivy[0] vamps[0] around[0] terribly[-3] chewing[0] up[0] scenery[0] left[0] and[0] right[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and her pamela isley scenes are marred by sub-snl standard " acting " , as if she's reading off cue cards and is about to laugh at any given moment . 	and her pamela isley scenes are marred by sub-snl standard " acting " , as if she's reading off cue cards and is about to laugh at any given moment .	2	-1	 and[0] her[0] pamela[0] isley[0] scenes[0] are[0] marred[0] by[0] sub[0] snl[0] standard[0] acting[0] as[0] if[0] she's[0] reading[0] off[0] cue[0] cards[0] and[0] is[0] about[0] to[0] laugh[1] at[0] any[0] given[0] moment[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
given the " script " , it's a wonder it didn't happen more frequently . 	given the " script " , it's a wonder it didn't happen more frequently .	1	-1	 given[0] the[0] script[0] it's[0] a[0] wonder[0] it[0] didn't[0] happen[0] more[0] frequently[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is no redeeming feature in this film -- not george clooney as batman , chris o'donnell as robin , nor alicia silverstone as batgirl . 	there is no redeeming feature in this film - not george clooney as batman , chris o'donnell as robin , nor alicia silverstone as batgirl .	1	-1	 there[0] is[0] no[0] redeeming[0] feature[0] in[0] this[0] film[0] not[0] george[0] clooney[0] as[0] batman[0] chris[0] o'donnell[0] as[0] robin[0] nor[0] alicia[0] silverstone[0] as[0] batgirl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
michael gough is eerily sickly looking as alfred , as if the conceit of his illness was prompted by his cadaverous appearance . 	michael gough is eerily sickly looking as alfred , as if the conceit of his illness was prompted by his cadaverous appearance .	1	-2	 michael[0] gough[0] is[0] eerily[0] sickly[-1] looking[0] as[0] alfred[0] as[0] if[0] the[0] conceit[-1] of[0] his[0] illness[-1] was[0] prompted[0] by[0] his[0] cadaverous[0] appearance[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , there was something unsettling about his appearance , which seems to have been accomplished without any make-up tricks , looking as if it were scenes from a documentary about a dying man . 	in fact , there was something unsettling about his appearance , which seems to have been accomplished without any make-up tricks , looking as if it were scenes from a documentary about a dying man .	2	-2	 in[0] fact[0] there[0] was[0] something[0] unsettling[-1] about[0] his[0] appearance[0] which[0] seems[0] to[0] have[0] been[0] accomplished[1] without[0] any[0] make[0] up[0] tricks[-1] looking[0] as[0] if[0] it[0] were[0] scenes[0] from[0] a[0] documentary[0] about[0] a[0] dying[-1] man[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , every scene about alfred's sickness is bungled with such incompetence that there is absolutely no emotional resonance -- they just go through the motions , losing whatever impact the scenes were supposed to impart . 	unfortunately , every scene about alfred's sickness is bungled with such incompetence that there is absolutely no emotional resonance - they just go through the motions , losing whatever impact the scenes were supposed to impart .	1	-3	 unfortunately[-1] every[0] scene[0] about[0] alfred's[0] sickness[-1] is[0] bungled[-1] with[0] such[0] incompetence[-2] that[0] there[0] is[0] absolutely[0] no[0] emotional[-1] resonance[0] they[0] just[0] go[0] through[0] the[0] motions[0] losing[-2] whatever[0] impact[0] the[0] scenes[0] were[0] supposed[0] to[0] impart[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the movie is rife with poorly choreographed fights scenes that never give any sense of a big battle -- you know there's a bunch of people , but instead of a melee , schumacher decided to focus on a foot or a fist . 	the movie is rife with poorly choreographed fights scenes that never give any sense of a big battle - you know there's a bunch of people , but instead of a melee , schumacher decided to focus on a foot or a fist .	1	-4	 the[0] movie[0] is[0] rife[0] with[0] poorly[-1] choreographed[-2] fights[-2][-1 MultiplePositiveWords] scenes[0] that[0] never[0] give[0] any[0] sense[0] of[0] a[0] big[0] battle[-1] you[0] know[0] there's[0] a[0] bunch[0] of[0] people[0] but[0] instead[0] of[0] a[0] melee[0] schumacher[0] decided[0] to[0] focus[0] on[0] a[0] foot[0] or[0] a[0] fist[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there's never a moment of awe , wonder , or mayhem . 	there's never a moment of awe , wonder , or mayhem .	1	-1	 there's[0] never[0] a[0] moment[0] of[0] awe[0] wonder[0] or[0] mayhem[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only interesting part of the battles scenes are the freezing effects , which are impressive ( and probably expensive ) . 	the only interesting part of the battles scenes are the freezing effects , which are impressive ( and probably expensive ) .	2	-2	 the[0] only[0] interesting[1] part[0] of[0] the[0] battles[-1] scenes[0] are[0] the[0] freezing[0] effects[0] which[0] are[0] impressive[1] and[0] probably[0] expensive[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even then , the fights are so full of camp and stupidity that they become unwatchable . 	even then , the fights are so full of camp and stupidity that they become unwatchable .	1	-3	 even[0] then[0] the[0] fights[-2] are[0] so[0] full[0] of[0] camp[0] and[0] stupidity[-1] that[0] they[0] become[0] unwatchable[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the hockey team from hell ? 	the hockey team from hell ?	1	-2	 the[0] hockey[0] team[0] from[0] hell[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
not even the tv series got that stupid ( at least not on the grand scale of stupidity that " batman & robin " showcases ) . 	not even the tv series got that stupid ( at least not on the grand scale of stupidity that " batman & robin " showcases ) .	2	-2	 not[0] even[0] the[0] tv[0] series[0] got[0] that[0] stupid[-1] at[0] least[0] not[0] on[0] the[0] grand[1] scale[0] of[0] stupidity[-1] that[0] batman[0] &[0] robin[0] showcases[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
frustrating too are the various supporting characters that walk on and off with nothing to say or do . 	frustrating too are the various supporting characters that walk on and off with nothing to say or do .	2	-3	 frustrating[-2] too[0] are[0] the[0] various[0] supporting[1] characters[0] that[0] walk[0] on[0] and[0] off[0] with[0] nothing[0] to[0] say[0] or[0] do[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
blink , and you'll miss elle macpherson as julie madison , vivica fox as a " why is she even in the film " vamp in freeze's lair ( with all of two lines ) , and pat hingle as the most ineffectual commissioner gordan the batman series ever had . 	blink , and you'll miss elle macpherson as julie madison , vivica fox as a " why is she even in the film " vamp in freeze's lair ( with all of two lines ) , and pat hingle as the most ineffectual commissioner gordan the batman series ever had .	2	-2	 blink[0] and[0] you'll[0] miss[-1] elle[0] macpherson[0] as[0] julie[0] madison[0] vivica[0] fox[0] as[0] a[0] why[0] is[0] she[0] even[0] in[0] the[0] film[0] vamp[0] in[0] freeze's[0] lair[0] with[0] all[0] of[0] two[0] lines[0] and[0] pat[0] hingle[0] as[0] the[0] most[0] ineffectual[-1] commissioner[0] gordan[0] the[0] batman[0] series[0] ever[0] had[0] [[Sentence=-2,1=word max, 1-5]] [[changed to +2 due to 'miss']][[[2,-2 max of sentences]]]
and in what almost seems like an effort to save on costs , vendela kirsebom has no lines as mrs . fries -- she isn't even filmed well enough to look good ( trust me , she's quite attractive outside of this dreck ) . 	and in what almost seems like an effort to save on costs , vendela kirsebom has no lines as mrs .<br> fries - she isn't even filmed well enough to look good ( trust me , she's quite attractive outside of this dreck ) .	2	-1	 and[0] in[0] what[0] almost[0] seems[0] like[1] an[0] effort[0] to[0] save[1] on[0] costs[0] vendela[0] kirsebom[0] has[0] no[0] lines[0] as[0] mrs[0] [[Sentence=-1,2=word max, 1-5]] fries[0] she[0] isn't[0] even[0] filmed[0] well[0] enough[0] to[0] look[0] good[1] trust[1] me[0] she's[0] quite[0] attractive[1] outside[0] of[0] this[0] dreck[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and as if the film weren't bad enough to limp along with bad direction , bad dialogue , bad performances , and bad fight scenes , there are inconsistencies and illogic galore . 	and as if the film weren't bad enough to limp along with bad direction , bad dialogue , bad performances , and bad fight scenes , there are inconsistencies and illogic galore .	1	-3	 and[0] as[0] if[0] the[0] film[0] weren't[0] bad[-1] enough[0] to[0] limp[-1] along[0] with[0] bad[-1] direction[0] bad[-1] dialogue[0] bad[-1] performances[0] and[0] bad[-1] fight[-2] scenes[0] there[0] are[0] inconsistencies[-1] and[0] illogic[0] galore[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i know it's nit-picky to ask where the hundreds of feet of cable are stored in the batarangs , why the character's arms aren't ripped out of their sockets when they accomplish a one-armed batarang save after falling hundreds of feet ( while holding on to another person no less ) , or where the moisture comes from when freeze's weapon creates tons if ice . 	i know it's nit-picky to ask where the hundreds of feet of cable are stored in the batarangs , why the character's arms aren't ripped out of their sockets when they accomplish a one-armed batarang save after falling hundreds of feet ( while holding on to another person no less ) , or where the moisture comes from when freeze's weapon creates tons if ice .	2	-2	 i[0] know[0] it's[0] nit[0] picky[0] to[0] ask[0] where[0] the[0] hundreds[0] of[0] feet[0] of[0] cable[0] are[0] stored[0] in[0] the[0] batarangs[0] why[0] the[0] character's[0] arms[0] aren't[0] ripped[0] out[0] of[0] their[0] sockets[0] when[0] they[0] accomplish[1] a[0] one[0] armed[0] batarang[0] save[1] after[0] falling[0] hundreds[0] of[0] feet[0] while[0] holding[0] on[0] to[0] another[0] person[0] no[0] less[0] or[0] where[0] the[0] moisture[0] comes[0] from[0] when[0] freeze's[0] weapon[-1] creates[0] tons[0] if[0] ice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
that's all traditional comic book stuff . 	that's all traditional comic book stuff .	1	-1	 that's[0] all[0] traditional[0] comic[0] book[0] stuff[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but why does batman spring a trap for freeze at a public charity event that endanger the lives of hundreds of by-standers ? 	but why does batman spring a trap for freeze at a public charity event that endanger the lives of hundreds of by-standers ?	1	-2	 but[0] why[0] does[0] batman[0] spring[0] a[0] trap[-1] for[0] freeze[0] at[0] a[0] public[0] charity[0] event[0] that[0] endanger[-1] the[0] lives[0] of[0] hundreds[0] of[0] by[0] standers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why is there a big switch clearly marked , " heat " in mr . freeze's lair ? 	why is there a big switch clearly marked , " heat " in mr .<br> freeze's lair ?	1	-1	 why[0] is[0] there[0] a[0] big[0] switch[0] clearly[0] marked[0] heat[0] in[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze's[0] lair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why do countless bumbling police officers even try to take on mr . freeze hand to hand ? 	why do countless bumbling police officers even try to take on mr .<br> freeze hand to hand ?	1	-1	 why[0] do[0] countless[0] bumbling[0] police[0] officers[0] even[0] try[0] to[0] take[0] on[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] hand[0] to[0] hand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why does alfred encourage silverstone to become batgirl and even go so far as to have a suit made for her ? 	why does alfred encourage silverstone to become batgirl and even go so far as to have a suit made for her ?	2	-1	 why[0] does[0] alfred[0] encourage[1] silverstone[0] to[0] become[0] batgirl[0] and[0] even[0] go[0] so[0] far[0] as[0] to[0] have[0] a[0] suit[0] made[0] for[0] her[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why do batman & robin take 10 minutes to bicker before leaving the batcave in response to an emergency ? 	why do batman & robin take 10 minutes to bicker before leaving the batcave in response to an emergency ?	1	-2	 why[0] do[0] batman[0] &[0] robin[0] take[0] 10[0] minutes[0] to[0] bicker[0] before[0] leaving[0] the[0] batcave[0] in[0] response[0] to[0] an[0] emergency[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and since it established early on that ivy is using pheromones , why don't they wear masks to filter it out ? 	and since it established early on that ivy is using pheromones , why don't they wear masks to filter it out ?	1	-1	 and[0] since[0] it[0] established[0] early[0] on[0] that[0] ivy[0] is[0] using[0] pheromones[0] why[0] don't[0] they[0] wear[0] masks[0] to[0] filter[0] it[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i could go on and on . 	i could go on and on .	1	-1	 i[0] could[0] go[0] on[0] and[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " batman & robin " is a braindead , pointless , garish , loud film that should still reign as the " worst film of the year " by the time 1998 rolls along . 	 " batman & robin " is a braindead , pointless , garish , loud film that should still reign as the " worst film of the year " by the time 1998 rolls along .	1	-3	 batman[0] &[0] robin[0] is[0] a[0] braindead[0] pointless[-1] garish[0] loud[0] film[0] that[0] should[0] still[0] reign[0] as[0] the[0] worst[-2] film[0] of[0] the[0] year[0] by[0] the[0] time[0] 1998[0] rolls[0] along[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
note to warner bros . -- if you're going to make another batman film , please replace schumacher with nearly anyone . 	note to warner bros .<br> - if you're going to make another batman film , please replace schumacher with nearly anyone .	2	-1	 note[0] to[0] warner[0] bros[0] [[Sentence=-1,1=word max, 1-5]] if[0] you're[0] going[0] to[0] make[0] another[0] batman[0] film[0] please[1] replace[0] schumacher[0] with[0] nearly[0] anyone[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
because it could actually get worse than this . 	because it could actually get worse than this .	1	-3	 because[0] it[0] could[0] actually[0] get[0] worse[-2] than[0] this[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what schumacher does not understand is that " comic book " doesn't automatically equal unbearable idiocy . 	what schumacher does not understand is that " comic book " doesn't automatically equal unbearable idiocy .	1	-4	 what[0] schumacher[0] does[0] not[0] understand[0] is[0] that[0] comic[0] book[0] doesn't[0] automatically[0] equal[0] unbearable[-3] idiocy[-2][-1 MultiplePositiveWords] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the true equation seems to be schumacher   batman   unbearable idiocy . 	the true equation seems to be schumacher   batman   unbearable idiocy .	2	-4	 the[0] true[1] equation[0] seems[0] to[0] be[0] schumacher[0] batman[0] unbearable[-3] idiocy[-2][-1 MultiplePositiveWords] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
