according to the publicity material , with this movie the directors " hope to restore good old-fashioned bowling to its rightful place in the mainstream of american consciousness . " 	Translation	Positive	Negative	EmotionRationale
mccracken dupes munson into a hustling job , then abandons him to an angry mob who mangle roy's hand . 	mccracken dupes munson into a hustling job , then abandons him to an angry mob who mangle roy's hand .	1	-4	 mccracken[0] dupes[0] munson[0] into[0] a[0] hustling[0] job[0] then[0] abandons[-1] him[0] to[0] an[0] angry[-3] mob[0] who[0] mangle[-1] roy's[0] hand[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
then it's fast forward 17 years later when munson is a fat , balding loser with a prosthetic rubber hand . 	then it's fast forward 17 years later when munson is a fat , balding loser with a prosthetic rubber hand .	1	-3	 then[0] it's[0] fast[0] forward[0] 17[0] years[0] later[0] when[0] munson[0] is[0] a[0] fat[-1] balding[0] loser[-2] with[0] a[0] prosthetic[0] rubber[0] hand[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he's hopeless until he meets ishmael ( randy quaid ) , an amish amateur bowler that munson takes on as protege . 	he's hopeless until he meets ishmael ( randy quaid ) , an amish amateur bowler that munson takes on as protege .	1	-4	 he's[0] hopeless[-3] until[0] he[0] meets[0] ishmael[0] randy[0] quaid[0] an[0] amish[0] amateur[0] bowler[0] that[0] munson[0] takes[0] on[0] as[0] protege[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
so together they set out for the million dollar bowling tournament in reno , picking up pretty hustler claudia ( vanessa angel ) on the way . 	so together they set out for the million dollar bowling tournament in reno , picking up pretty hustler claudia ( vanessa angel ) on the way .	3	-2	 so[0] together[0] they[0] set[0] out[0] for[0] the[0] million[0] dollar[0] bowling[0] tournament[0] in[0] reno[0] picking[0] up[0] pretty[2] hustler[-1] claudia[0] vanessa[0] angel[0] on[0] the[0] way[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with the exit of bill murray , the filmmakers seem to have only one direction to go , and that's . . . 	with the exit of bill murray , the filmmakers seem to have only one direction to go , and that's .<br> .<br> .	1	-2	 with[0] the[0] exit[-1] of[0] bill[0] murray[0] the[0] filmmakers[0] seem[0] to[0] have[0] only[0] one[0] direction[0] to[0] go[0] and[0] that's[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
dumb and dumber . 	dumb and dumber .	1	-2	 dumb[-1] and[0] dumber[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
yes , indeed , kingpin is brought to you by those modern proponents of laxative humour , peter and bobby farrelly , the directors of the aforementioned jim carrey vehicle . 	yes , indeed , kingpin is brought to you by those modern proponents of laxative humour , peter and bobby farrelly , the directors of the aforementioned jim carrey vehicle .	3	-1	 yes[0] indeed[0] kingpin[0] is[0] brought[0] to[0] you[0] by[0] those[0] modern[0] proponents[0] of[0] laxative[0] humour[2] peter[0] and[0] bobby[0] farrelly[0] the[0] directors[0] of[0] the[0] aforementioned[0] jim[0] carrey[0] vehicle[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
so , prepare for much slaparound comedy with flying rubber hands , distended nipples , ridiculous hair and bull semen . 	so , prepare for much slaparound comedy with flying rubber hands , distended nipples , ridiculous hair and bull semen .	1	-3	 so[0] prepare[0] for[0] much[0] slaparound[-1] comedy[0] with[0] flying[0] rubber[0] hands[0] distended[0] nipples[0] ridiculous[-2] hair[0] and[0] bull[0] semen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
get set for stock fish-out-of-water situations when city-boy roy puts on a beard and tries to blend in with the amish community , or when suaku straitlaced ishmael takes on smoking , striptease and unchristian neighbour-socking . 	get set for stock fish-out-of-water situations when city-boy roy puts on a beard and tries to blend in with the amish community , or when suaku straitlaced ishmael takes on smoking , striptease and unchristian neighbour-socking .	1	-1	 get[0] set[0] for[0] stock[0] fish[0] out[0] of[0] water[0] situations[0] when[0] city[0] boy[0] roy[0] puts[0] on[0] a[0] beard[0] and[0] tries[0] to[0] blend[0] in[0] with[0] the[0] amish[0] community[0] or[0] when[0] suaku[0] straitlaced[0] ishmael[0] takes[0] on[0] smoking[0] striptease[0] and[0] unchristian[0] neighbour[0] socking[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , don't get me wrong , there's nothing wrong with cheap humour , and i had my fair share of lavatorial laughs with woody and randy . 	now , don't get me wrong , there's nothing wrong with cheap humour , and i had my fair share of lavatorial laughs with woody and randy .	3	-2	 now[0] don't[0] get[0] me[0] wrong[-1] there's[0] nothing[0] wrong[-1] with[0] cheap[-1] humour[2] and[0] i[0] had[0] my[0] fair[0] share[0] of[0] lavatorial[0] laughs[1] with[0] woody[0] and[0] randy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the trouble is that these jokes aren't bold or funny enough to drive a movie that bumbles along without much sense of direction . 	the trouble is that these jokes aren't bold or funny enough to drive a movie that bumbles along without much sense of direction .	2	-2	 the[0] trouble[-1] is[0] that[0] these[0] jokes[1] aren't[0] bold[0] or[0] funny[1] enough[0] to[0] drive[0] a[0] movie[0] that[0] bumbles[0] along[0] without[0] much[0] sense[0] of[0] direction[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it lurches from sports movie to amish-mocking to road-trip to sentimental melodrama , ( pausing for a broadside spoof of indecent proposal , and many shameless plugs for the accompanying pop soundtrack ) , never quite getting it all together . 	it lurches from sports movie to amish-mocking to road-trip to sentimental melodrama , ( pausing for a broadside spoof of indecent proposal , and many shameless plugs for the accompanying pop soundtrack ) , never quite getting it all together .	3	-3	 it[0] lurches[0] from[0] sports[0] movie[0] to[0] amish[0] mocking[-2] to[0] road[0] trip[0] to[0] sentimental[2] melodrama[0] pausing[0] for[0] a[0] broadside[0] spoof[0] of[0] indecent[-2] proposal[0] and[0] many[0] shameless[-2] plugs[0] for[0] the[0] accompanying[0] pop[0] soundtrack[0] never[0] quite[0] getting[0] it[0] all[0] together[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
some gags fall flat from a lack of build-up , while there are bits and pieces in the movie that simply don't do anything . 	some gags fall flat from a lack of build-up , while there are bits and pieces in the movie that simply don't do anything .	1	-2	 some[0] gags[0] fall[0] flat[0] from[0] a[0] lack[-1] of[0] build[0] up[0] while[0] there[0] are[0] bits[0] and[0] pieces[0] in[0] the[0] movie[0] that[0] simply[0] don't[0] do[0] anything[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why the long , unfunny fight in the car park ? 	why the long , unfunny fight in the car park ?	1	-3	 why[0] the[0] long[0] unfunny[0] fight[-2] in[0] the[0] car[0] park[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
why two of these ? 	why two of these ?	1	-1	 why[0] two[0] of[0] these[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
why does that guy wear mascara , or that guy have a glass bowling ball with a rose in it ? 	why does that guy wear mascara , or that guy have a glass bowling ball with a rose in it ?	1	-1	 why[0] does[0] that[0] guy[0] wear[0] mascara[0] or[0] that[0] guy[0] have[0] a[0] glass[0] bowling[0] ball[0] with[0] a[0] rose[0] in[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film is full of these half-thought-through ideas that give the impression of any old gaffer , grip or makeup artist throwing in random stuff and saying , " wouldn't that be funny ? " . 	the film is full of these half-thought-through ideas that give the impression of any old gaffer , grip or makeup artist throwing in random stuff and saying , " wouldn't that be funny ?<br> " .	2	-1	 the[0] film[0] is[0] full[0] of[0] these[0] half[0] thought[0] through[0] ideas[0] that[0] give[0] the[0] impression[0] of[0] any[0] old[0] gaffer[0] grip[0] or[0] makeup[0] artist[0] throwing[0] in[0] random[0] stuff[0] and[0] saying[0] wouldn't[0] that[0] be[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
well , no , actually . 	well , no , actually .	1	-1	 well[0] no[0] actually[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actors don't do the movie much favours either . 	the actors don't do the movie much favours either .	2	-1	 the[0] actors[0] don't[0] do[0] the[0] movie[0] much[0] favours[1] either[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
woody harrelson comes off okay , plausibly acting dumb , smart , cynical or innocent when the implausible script calls for it , but randy quaid is a ceaseless ham , and vanessa angel has no talent ( like schwarzenegger , she seems more convincing playing a computer-creation than a human -- take the tv series weird science . . . please 	woody harrelson comes off okay , plausibly acting dumb , smart , cynical or innocent when the implausible script calls for it , but randy quaid is a ceaseless ham , and vanessa angel has no talent ( like schwarzenegger , she seems more convincing playing a computer-creation than a human - take the tv series weird science .<br> .<br> .<br> please	2	-2	 woody[0] harrelson[0] comes[0] off[0] okay[0] plausibly[0] acting[0] dumb[-1] smart[1] cynical[-1] or[0] innocent[1] when[0] the[0] implausible[0] script[0] calls[0] for[0] it[0] but[0] randy[0] quaid[0] is[0] a[0] ceaseless[0] ham[0] and[0] vanessa[0] angel[0] has[0] no[0] talent[1] like[1] schwarzenegger[0] she[0] seems[0] more[0] convincing[0] playing[1] a[0] computer[0] creation[0] than[0] a[0] human[0] take[0] the[0] tv[0] series[0] weird[-1] science[0] [[Sentence=-2,2=word max, 1-5]] please[1] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
 ) . 	 ) .	1	-1	[[[0,0 max of sentences]]]
even murray hams it up when he reappears in the movie's climax . 	even murray hams it up when he reappears in the movie's climax .	1	-1	 even[0] murray[0] hams[0] it[0] up[0] when[0] he[0] reappears[0] in[0] the[0] movie's[0] climax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all in all , a fairly useless attempt at comedy , and a certified no-hoper at kickstarting the bowling renaissance . 	all in all , a fairly useless attempt at comedy , and a certified no-hoper at kickstarting the bowling renaissance .	1	-3	 all[0] in[0] all[0] a[0] fairly[0] useless[-2] attempt[0] at[0] comedy[0] and[0] a[0] certified[0] no[0] hoper[0] at[0] kickstarting[-1] the[0] bowling[0] renaissance[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we'll have to look to a reinspired john waters , or perhaps somebody from down under ( " strictly bowling " , anyone ? ) for the definitive bowling comedy . 	we'll have to look to a reinspired john waters , or perhaps somebody from down under ( " strictly bowling " , anyone ?<br> ) for the definitive bowling comedy .	1	-2	 we'll[0] have[0] to[0] look[0] to[0] a[0] reinspired[0] john[0] waters[0] or[0] perhaps[0] somebody[0] from[0] down[0] under[0] strictly[-1] bowling[0] anyone[0] [[Sentence=-2,1=word max, 1-5]] for[0] the[0] definitive[0] bowling[0] comedy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
the flying inkpot's rating system : * wait for the video . 	the flying inkpot's rating system : * wait for the video .	1	-1	 the[0] flying[0] inkpot's[0] rating[0] system[0] wait[0] for[0] the[0] video[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * a little creaky , but still better than staying at home with gotcha ! 	 * * a little creaky , but still better than staying at home with gotcha !	1	-1	 a[0] little[0] creaky[0] but[0] still[0] better[0] than[0] staying[0] at[0] home[0] with[0] gotcha[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * pretty good , bring a friend . 	 * * * pretty good , bring a friend .	3	-1	 pretty[2] good[1] bring[0] a[0] friend[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * amazing , potent stuff . 	 * * * * amazing , potent stuff .	3	-1	 amazing[2] potent[0] stuff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 * * * * * perfection . 	 * * * * * perfection .	2	-1	 perfection[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
see it twice . 	see it twice .	1	-1	 see[0] it[0] twice[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
