you know , i never really wondered what the tarzan films would have been like had tarzan been an old man . 	Translation	Positive	Negative	EmotionRationale
through a series of short sessions , caulder tries to put together the complex psyche of powell . 	through a series of short sessions , caulder tries to put together the complex psyche of powell .	1	-1	 through[0] a[0] series[0] of[0] short[0] sessions[0] caulder[0] tries[0] to[0] put[0] together[0] the[0] complex[0] psyche[0] of[0] powell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even though it really is an old man version of tarzan , much of this central idea is rather interesting . 	even though it really is an old man version of tarzan , much of this central idea is rather interesting .	2	-1	 even[0] though[0] it[0] really[0] is[0] an[0] old[0] man[0] version[0] of[0] tarzan[0] much[0] of[0] this[0] central[0] idea[0] is[0] rather[0] interesting[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as i said , hopkins is captivating for every second he's on screen ; he has a way of convincing us that he's not acting , that he's actually a man who has just spent two years of his life living with a family of wild gorillas . 	as i said , hopkins is captivating for every second he's on screen ; he has a way of convincing us that he's not acting , that he's actually a man who has just spent two years of his life living with a family of wild gorillas .	1	-1	 as[0] i[0] said[0] hopkins[0] is[0] captivating[0] for[0] every[0] second[0] he's[0] on[0] screen[0] he[0] has[0] a[0] way[0] of[0] convincing[0] us[0] that[0] he's[0] not[0] acting[0] that[0] he's[0] actually[0] a[0] man[0] who[0] has[0] just[0] spent[0] two[0] years[0] of[0] his[0] life[0] living[0] with[0] a[0] family[0] of[0] wild[0] gorillas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the character himself isn't very interesting -- he's just an anthropologist who really likes gorillas -- but hopkins makes him interesting with subtleties both in speech and action . 	the character himself isn't very interesting - he's just an anthropologist who really likes gorillas - but hopkins makes him interesting with subtleties both in speech and action .	4	-3	 the[0] character[0] himself[0] isn't[0] very[0] interesting[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] he's[0] just[0] an[0] anthropologist[0] who[0] really[0] likes[2][1 LastWordBoosterStrength] gorillas[0] but[0] hopkins[0] makes[0] him[0] interesting[1] with[0] subtleties[0] both[0] in[0] speech[0] and[0] action[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
gooding jr . does strong work opposite hopkins , playing caulder as an intelligent and flawed individual . 	gooding jr .<br> does strong work opposite hopkins , playing caulder as an intelligent and flawed individual .	2	-1	 gooding[0] jr[0] [[Sentence=-1,1=word max, 1-5]] does[0] strong[0] work[0] opposite[0] hopkins[0] playing[1] caulder[0] as[0] an[0] intelligent[1] and[0] flawed[0] individual[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the screenplay , written by gerald di pego and " suggested by " a novel by daniel quinn , gives us no background information on caulder , but that seems to be the point ( he has no time for friends because he's obsessed with his work ) . 	the screenplay , written by gerald di pego and " suggested by " a novel by daniel quin , gives us no background information on caulder , but that seems to be the point ( he has no time for friends because he's obsessed with his work ) .	2	-3	 the[0] screenplay[0] written[0] by[0] gerald[0] di[0] pego[0] and[0] suggested[0] by[0] a[0] novel[0] by[0] daniel[0] quinn/quin[0] gives[0] us[0] no[0] background[0] information[0] on[0] caulder[0] but[0] that[0] seems[0] to[0] be[0] the[0] point[0] he[0] has[0] no[0] time[0] for[0] friends[1] because[0] he's[0] obsessed[-2] with[0] his[0] work[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nonetheless , these two actors are essentially the entire list of things that are good about instinct . 	nonetheless , these two actors are essentially the entire list of things that are good about instinct .	2	-1	 nonetheless[0] these[0] two[0] actors[0] are[0] essentially[0] the[0] entire[0] list[0] of[0] things[0] that[0] are[0] good[1] about[0] instinct[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
unfortunately , filmmaking this inept can mangle the effect of even the best acting . 	unfortunately , filmmaking this inept can mangle the effect of even the best acting .	2	-2	 unfortunately[-1] filmmaking[0] this[0] inept[0] can[0] mangle[-1] the[0] effect[0] of[0] even[0] the[0] best[1] acting[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
turtletaub and di pego are both guilty of instinct's artistic failure , for they work together to make the dumbest , most cliche-ridden environment in which their characters are to live , and they do so by means of brainless subplots . 	turtletaub and di pego are both guilty of instinct's artistic failure , for they work together to make the dumbest , most cliche-ridden environment in which their characters are to live , and they do so by means of brainless subplots .	1	-4	 turtletaub[0] and[0] di[0] pego[0] are[0] both[0] guilty[-3] of[0] instinct's[0] artistic[0] failure[-2] for[0] they[0] work[0] together[0] to[0] make[0] the[0] dumbest[-1] most[0] cliche[0] ridden[0] environment[0] in[0] which[0] their[0] characters[0] are[0] to[0] live[0] and[0] they[0] do[0] so[0] by[0] means[0] of[0] brainless[0] subplots[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
first , we have the prison warden subplot . 	first , we have the prison warden subplot .	1	-2	 first[0] we[0] have[0] the[0] prison[-1] warden[0] subplot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the prison warden is evil and wants to stop caulder's progress at any cost ; if this means taking caulder off the powell case , then that's fine . 	the prison warden is evil and wants to stop caulder's progress at any cost ; if this means taking caulder off the powell case , then that's fine .	3	-3	 the[0] prison[-1] warden[0] is[0] evil[-2] and[0] wants[0] to[0] stop[0] caulder's[0] progress[0] at[0] any[0] cost[0] if[0] this[0] means[0] taking[0] caulder[0] off[0] the[0] powell[0] case[0] then[0] that's[0] fine[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
there's also the prison guard subplot . 	there's also the prison guard subplot .	1	-2	 there's[0] also[0] the[0] prison[-1] guard[0] subplot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the prison guard is played by john ashton ; the prison guard seems to enjoy mercilessly beating upon the psychotics under his supervision , and he's instrumental in helping the story along to its obvious conclusion . 	the prison guard is played by john ashton ; the prison guard seems to enjoy mercilessly beating upon the psychotics under his supervision , and he's instrumental in helping the story along to its obvious conclusion .	3	-2	 the[0] prison[-1] guard[0] is[0] played[0] by[0] john[0] ashton[0] the[0] prison[-1] guard[0] seems[0] to[0] enjoy[2] mercilessly[-1] beating[0] upon[0] the[0] psychotics[0] under[0] his[0] supervision[0] and[0] he's[0] instrumental[0] in[0] helping[0] the[0] story[0] along[0] to[0] its[0] obvious[0] conclusion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
then there's the daughter subplot , in which maura tierney ( playing the daughter ) must look very upset a lot of the time ; after all , she is the daughter of a deranged man . 	then there's the daughter subplot , in which maura tierney ( playing the daughter ) must look very upset a lot of the time ; after all , she is the daughter of a deranged man .	2	-4	 then[0] there's[0] the[0] daughter[0] subplot[0] in[0] which[0] maura[0] tierney[0] playing[1] the[0] daughter[0] must[0] look[0] very[0] upset[-2][-1 LastWordBoosterStrength] a[0] lot[0] of[0] the[0] time[0] after[0] all[0] she[0] is[0] the[0] daughter[0] of[0] a[0] deranged[0] man[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
if some of this stuff sounds familiar , that's because they're all devices that have been used and reused in countless other films . 	if some of this stuff sounds familiar , that's because they're all devices that have been used and reused in countless other films .	1	-1	 if[0] some[0] of[0] this[0] stuff[0] sounds[0] familiar[0] that's[0] because[0] they're[0] all[0] devices[0] that[0] have[0] been[0] used[0] and[0] reused[0] in[0] countless[0] other[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the evil doctor in patch adams is not unlike the evil warden here . 	the evil doctor in patch adams is not unlike the evil warden here .	1	-3	 the[0] evil[-2] doctor[0] in[0] patch[0] adams[0] is[0] not[0] unlike[0] the[0] evil[-2] warden[0] here[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the offensive caricatures of mental patients lack the depth that the similar portrayals in one flew over the cuckoo's nest had . 	the offensive caricatures of mental patients lack the depth that the similar portrayals in one flew over the cuckoo's nest had .	1	-3	 the[0] offensive[-2] caricatures[0] of[0] mental[0] patients[0] lack[-1] the[0] depth[0] that[0] the[0] similar[0] portrayals[0] in[0] one[0] flew[0] over[0] the[0] cuckoo's[0] nest[0] had[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ashton's evil prison guard pales in comparison to clancy brown's in the shawshank redemption . 	ashton's evil prison guard pales in comparison to clancy brown's in the shawshank redemption .	1	-3	 ashton's[0] evil[-2] prison[-1] guard[0] pales[0] in[0] comparison[0] to[0] clancy[0] brown's[0] in[0] the[0] shawshank[0] redemption[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
hopkins' performance will undoubtedly remind audiences of his turn in the silence of the lambs . 	hopkins' performance will undoubtedly remind audiences of his turn in the silence of the lambs .	1	-1	 hopkins'[0] performance[0] will[0] undoubtedly[0] remind[0] audiences[0] of[0] his[0] turn[0] in[0] the[0] silence[0] of[0] the[0] lambs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and then there's the whole tarzan thing , which is more than a little bit obvious through the entire film . 	and then there's the whole tarzan thing , which is more than a little bit obvious through the entire film .	1	-1	 and[0] then[0] there's[0] the[0] whole[0] tarzan[0] thing[0] which[0] is[0] more[0] than[0] a[0] little[0] bit[0] obvious[0] through[0] the[0] entire[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps what irritates me most about instinct is the half-hearted attempt at philosophical depth . 	perhaps what irritates me most about instinct is the half-hearted attempt at philosophical depth .	1	-3	 perhaps[0] what[0] irritates[-2] me[0] most[0] about[0] instinct[0] is[0] the[0] half[0] hearted[0] attempt[0] at[0] philosophical[0] depth[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the message powell brings back from the wild is not a subtle one : he thinks that humans are " takers , " that they expand and kill and that we should all just live like gorillas . 	the message powell brings back from the wild is not a subtle one : he thinks that humans are " takers , " that they expand and kill and that we should all just live like gorillas .	2	-2	 the[0] message[0] powell[0] brings[0] back[0] from[0] the[0] wild[0] is[0] not[0] a[0] subtle[0] one[0] he[0] thinks[0] that[0] humans[0] are[0] takers[0] that[0] they[0] expand[0] and[0] kill[-1] and[0] that[0] we[0] should[0] all[0] just[0] live[0] like[1] gorillas[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
i can sympathize with that , but only when it's in a compelling film . 	i can sympathize with that , but only when it's in a compelling film .	1	-1	 i[0] can[0] sympathize[0] with[0] that[0] but[0] only[0] when[0] it's[0] in[0] a[0] compelling[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is the kind of stupid movie -- just like patch adams -- in which a big group of characters ( psychotic inmates , in this case ) rise against the evil forces oppressing them by tearing up playing cards . 	this is the kind of stupid movie - just like patch adams - in which a big group of characters ( psychotic inmates , in this case ) rise against the evil forces oppressing them by tearing up playing cards .	2	-3	 this[0] is[0] the[0] kind[1] of[0] stupid[-1] movie[0] just[0] like[1][-1 LastWordBoosterStrength] patch[0] adams[0] in[0] which[0] a[0] big[0] group[0] of[0] characters[0] psychotic[0] inmates[0] in[0] this[0] case[0] rise[0] against[-1] the[0] evil[-2] forces[0] oppressing[-2] them[0] by[0] tearing[0] up[0] playing[1] cards[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what does any of this have to do with a man who has just spent two years of his life with gorillas ? 	what does any of this have to do with a man who has just spent two years of his life with gorillas ?	1	-1	 what[0] does[0] any[0] of[0] this[0] have[0] to[0] do[0] with[0] a[0] man[0] who[0] has[0] just[0] spent[0] two[0] years[0] of[0] his[0] life[0] with[0] gorillas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if all the subplots of instinct had been left on the cutting room floor , we would have had a thirty-minute movie far superior to the two-hour one that i watched today . 	if all the subplots of instinct had been left on the cutting room floor , we would have had a thirty-minute movie far superior to the two-hour one that i watched today .	3	-1	 if[0] all[0] the[0] subplots[0] of[0] instinct[0] had[0] been[0] left[0] on[0] the[0] cutting[0] room[0] floor[0] we[0] would[0] have[0] had[0] a[0] thirty[0] minute[0] movie[0] far[0] superior[2] to[0] the[0] two[0] hour[0] one[0] that[0] i[0] watched[0] today[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
if the central idea had been developed beyond the old man tarzan premise , then we would really have had something interesting -- a movie that doesn't rely on the strength of its actors . 	if the central idea had been developed beyond the old man tarzan premise , then we would really have had something interesting - a movie that doesn't rely on the strength of its actors .	2	-1	 if[0] the[0] central[0] idea[0] had[0] been[0] developed[0] beyond[0] the[0] old[0] man[0] tarzan[0] premise[0] then[0] we[0] would[0] really[0] have[0] had[0] something[0] interesting[1] a[0] movie[0] that[0] doesn't[0] rely[0] on[0] the[0] strength[0] of[0] its[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
