a silly film that tries to be a black comedy but plays more like lightweight comedy , with its main asset being a beautiful film location along spain's mountainous coastline . 	Translation	Positive	Negative	EmotionRationale
but elizabeth found his behavior odd during the entire trip , and when after a great deal of effort to get a reservation at the hotel's 5 star restaurant he insists on eating in the room , she decides she had enough of him and checks out without telling him . 	but elizabeth found his behavior odd during the entire trip , and when after a great deal of effort to get a reservation at the hotel's 5 star restaurant he insists on eating in the room , she decides she had enough of him and checks out without telling him .	3	-1	 but[0] elizabeth[0] found[0] his[0] behavior[0] odd[0] during[0] the[0] entire[0] trip[0] and[0] when[0] after[0] a[0] great[2] deal[0] of[0] effort[0] to[0] get[0] a[0] reservation[0] at[0] the[0] hotel's[0] 5[0] star[0] restaurant[0] he[0] insists[0] on[0] eating[0] in[0] the[0] room[0] she[0] decides[0] she[0] had[0] enough[0] of[0] him[0] and[0] checks[0] out[0] without[0] telling[0] him[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
as a result , he goes to the police to report her missing . 	as a result , he goes to the police to report her missing .	1	-1	 as[0] a[0] result[0] he[0] goes[0] to[0] the[0] police[0] to[0] report[0] her[0] missing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while with the police , a telegram comes from his wife saying she left him and is going away because she wants to be alone . 	while with the police , a telegram comes from his wife saying she left him and is going away because she wants to be alone .	1	-1	 while[0] with[0] the[0] police[0] a[0] telegram[0] comes[0] from[0] his[0] wife[0] saying[0] she[0] left[0] him[0] and[0] is[0] going[0] away[0] because[0] she[0] wants[0] to[0] be[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his boss and all those he works with are sympathetic to him , and he gets a job promotion . 	his boss and all those he works with are sympathetic to him , and he gets a job promotion .	1	-1	 his[0] boss[0] and[0] all[0] those[0] he[0] works[0] with[0] are[0] sympathetic[0] to[0] him[0] and[0] he[0] gets[0] a[0] job[0] promotion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but soon the pillow with the gun is fished out of the water , giving the police cause to arrest him and search his home . 	but soon the pillow with the gun is fished out of the water , giving the police cause to arrest him and search his home .	1	-2	 but[0] soon[0] the[0] pillow[0] with[0] the[0] gun[-1] is[0] fished[0] out[0] of[0] the[0] water[0] giving[0] the[0] police[0] cause[0] to[0] arrest[0] him[0] and[0] search[0] his[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there they find letters he has written incriminating him to the murder . 	there they find letters he has written incriminating him to the murder .	1	-4	 there[0] they[0] find[0] letters[0] he[0] has[0] written[0] incriminating[0] him[0] to[0] the[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the police also find out from the hotel staff about the gunshot heard in his room . 	the police also find out from the hotel staff about the gunshot heard in his room .	1	-2	 the[0] police[0] also[0] find[0] out[0] from[0] the[0] hotel[0] staff[0] about[0] the[0] gunshot[-1] heard[0] in[0] his[0] room[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in jail , things look bad for him . 	in jail , things look bad for him .	1	-2	 in[0] jail[-1] things[0] look[0] bad[-1] for[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no one believes him , including his friends and lawyer . 	no one believes him , including his friends and lawyer .	2	-1	 no[0] one[0] believes[0] him[0] including[0] his[0] friends[1] and[0] lawyer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his boss fires him and the papers have a field day with the headline story : pigeon : a jailbird . 	his boss fires him and the papers have a field day with the headline story : pigeon : a jailbird .	1	-2	 his[0] boss[0] fires[0] him[0] and[0] the[0] papers[0] have[0] a[0] field[0] day[0] with[0] the[0] headline[0] story[0] pigeon[0] a[0] jailbird[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
out on bail , he realizes that his only hope is to track down his wife . 	out on bail , he realizes that his only hope is to track down his wife .	3	-2	 out[0] on[0] bail[-1] he[0] realizes[0] that[0] his[0] only[0] hope[2] is[0] to[0] track[0] down[0] his[0] wife[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
through a call placed on his credit card , he tracks her down to a mountain resort . 	through a call placed on his credit card , he tracks her down to a mountain resort .	1	-1	 through[0] a[0] call[0] placed[0] on[0] his[0] credit[0] card[0] he[0] tracks[0] her[0] down[0] to[0] a[0] mountain[0] resort[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
once there he learns that she took a hike up the steep mountain and he gets a priest to be his mountain guide after telling him the true story . 	once there he learns that she took a hike up the steep mountain and he gets a priest to be his mountain guide after telling him the true story .	2	-1	 once[0] there[0] he[0] learns[0] that[0] she[0] took[0] a[0] hike[0] up[0] the[0] steep[0] mountain[0] and[0] he[0] gets[0] a[0] priest[0] to[0] be[0] his[0] mountain[0] guide[0] after[0] telling[0] him[0] the[0] true[1] story[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the film is watchable just for the antics of the jeff goldblum comic performance . 	the film is watchable just for the antics of the jeff goldblum comic performance .	1	-1	 the[0] film[0] is[0] watchable[0] just[0] for[0] the[0] antics[0] of[0] the[0] jeff[0] goldblum[0] comic[0] performance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is someone coming apart by the seams , while mimi rogers is his perfect foil . 	he is someone coming apart by the seams , while mimi rogers is his perfect foil .	2	-1	 he[0] is[0] someone[0] coming[0] apart[0] by[0] the[0] seams[0] while[0] mimi[0] rogers[0] is[0] his[0] perfect[1] foil[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was mostly pantomine humor , with the comedy charged in the changing facial expressions of the characters and the absurdity of the situation . 	it was mostly pantomine humor , with the comedy charged in the changing facial expressions of the characters and the absurdity of the situation .	3	-2	 it[0] was[0] mostly[0] pantomine[0] humor[2] with[0] the[0] comedy[0] charged[-1] in[0] the[0] changing[0] facial[0] expressions[0] of[0] the[0] characters[0] and[0] the[0] absurdity[-1] of[0] the[0] situation[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a very minor farce that might appeal to the sitcom crowd . 	a very minor farce that might appeal to the sitcom crowd .	1	-2	 a[0] very[0] minor[0] farce[-1] that[0] might[0] appeal[0] to[0] the[0] sitcom[0] crowd[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film just didn't take its situation seriously and the story had many gaps in it , so it had no chance for black humor to develop . 	the film just didn't take its situation seriously and the story had many gaps in it , so it had no chance for black humor to develop .	3	-1	 the[0] film[0] just[0] didn't[0] take[0] its[0] situation[0] seriously[0] and[0] the[0] story[0] had[0] many[0] gaps[0] in[0] it[0] so[0] it[0] had[0] no[0] chance[0] for[0] black[0] humor[2] to[0] develop[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it instead played its set-up of the henpecked husband acting out his fantasy strictly for entertainment value to see how many chuckles it could draw . 	it instead played its set-up of the henpecked husband acting out his fantasy strictly for entertainment value to see how many chuckles it could draw .	3	-2	 it[0] instead[0] played[0] its[0] set[0] up[0] of[0] the[0] henpecked[0] husband[0] acting[0] out[0] his[0] fantasy[0] strictly[-1] for[0] entertainment[0] value[1] to[0] see[0] how[0] many[0] chuckles[2] it[0] could[0] draw[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
