capsule : this super-light situation comedy from sweden tells the story of two close friends with romantic problems . 	Translation	Positive	Negative	EmotionRationale
roro ( nicknamed " jalla " ) is having family problems . 	roro ( nicknamed " jalla " ) is having family problems .	1	-2	 roro[0] nicknamed[0] jalla[0] is[0] having[0] family[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it seems that his family wants to arrange a marriage between him and a nice lebanese woman , yasmin ( laleh pourkarim ) , but he is already in love with lisa ( tuva novotny ) . 	it seems that his family wants to arrange a marriage between him and a nice lebanese woman , yasmin ( laleh pourkarim ) , but he is already in love with lisa ( tuva novotny ) .	3	-1	 it[0] seems[0] that[0] his[0] family[0] wants[0] to[0] arrange[0] a[0] marriage[0] between[0] him[0] and[0] a[0] nice[1] lebanese[0] woman[0] yasmin[0] laleh[0] pourkarim[0] but[0] he[0] is[0] already[0] in[0] love[2] with[0] lisa[0] tuva[0] novotny[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yasmin likes roro , but does not want to get married either . 	yasmin likes roro , but does not want to get married either .	3	-1	 yasmin[0] likes[2] roro[0] but[0] does[0] not[0] want[0] to[0] get[0] married[0] either[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
mans on the other hand has been having a problem of sexual impotence . 	mans on the other hand has been having a problem of sexual impotence .	1	-2	 mans[0] on[0] the[0] other[0] hand[0] has[0] been[0] having[0] a[0] problem[-1] of[0] sexual[0] impotence[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the two friends worry about their problems and discuss the problems with each other . 	the two friends worry about their problems and discuss the problems with each other .	2	-4	 the[0] two[0] friends[1] worry[-3] about[0] their[0] problems[-1] and[0] discuss[0] the[0] problems[-1] with[0] each[0] other[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
mans thinks the answer to his problem is to purchase sexual enhancers . 	mans thinks the answer to his problem is to purchase sexual enhancers .	1	-2	 mans[0] thinks[0] the[0] answer[0] to[0] his[0] problem[-1] is[0] to[0] purchase[0] sexual[0] enhancers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the one catch is that he is too shy to go in and buy them . 	the one catch is that he is too shy to go in and buy them .	1	-3	 the[0] one[0] catch[0] is[0] that[0] he[0] is[0] too[0] shy[-2] to[0] go[0] in[0] and[0] buy[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
roro and yasmin decide to give themselves some time by telling the families that they want to marry each other , but then plan to break up before the wedding . 	roro and yasmin decide to give themselves some time by telling the families that they want to marry each other , but then plan to break up before the wedding .	1	-1	 roro[0] and[0] yasmin[0] decide[0] to[0] give[0] themselves[0] some[0] time[0] by[0] telling[0] the[0] families[0] that[0] they[0] want[0] to[0] marry[0] each[0] other[0] but[0] then[0] plan[0] to[0] break[0] up[0] before[0] the[0] wedding[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not too surprisingly neither finds that his idea works out the way he quite expected . 	not too surprisingly neither finds that his idea works out the way he quite expected .	1	-1	 not[0] too[0] surprisingly[0] neither[0] finds[0] that[0] his[0] idea[0] works[0] out[0] the[0] way[0] he[0] quite[0] expected[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the plot turns in several places are contrived . 	the plot turns in several places are contrived .	1	-1	 the[0] plot[0] turns[0] in[0] several[0] places[0] are[0] contrived[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one knows fairly quickly that if things are going to work our happily for everybody certain plot contrivances have to happen . 	one knows fairly quickly that if things are going to work our happily for everybody certain plot contrivances have to happen .	3	-1	 one[0] knows[0] fairly[0] quickly[0] that[0] if[0] things[0] are[0] going[0] to[0] work[0] our[0] happily[2] for[0] everybody[0] certain[0] plot[0] contrivances[0] have[0] to[0] happen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
lebanese-born josef fares who wrote and directed is perhaps a better director than he is a writer . 	lebanese-born josef fares who wrote and directed is perhaps a better director than he is a writer .	1	-1	 lebanese[0] born[0] josef[0] fares[0] who[0] wrote[0] and[0] directed[0] is[0] perhaps[0] a[0] better[0] director[0] than[0] he[0] is[0] a[0] writer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when things start to get slow , he just adds throws in another story . 	when things start to get slow , he just adds throws in another story .	1	-1	 when[0] things[0] start[0] to[0] get[0] slow[0] he[0] just[0] adds[0] throws[0] in[0] another[0] story[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example halfway into the film mans innocently antagonizes some local toughs and a long chase is added to the film . 	for example halfway into the film mans innocently antagonizes some local toughs and a long chase is added to the film .	2	-2	 for[0] example[0] halfway[0] into[0] the[0] film[0] mans[0] innocently[1] antagonizes[-1] some[0] local[0] toughs[-1] and[0] a[0] long[0] chase[-1] is[0] added[0] to[0] the[0] film[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
characterization is a little better with roro than it is with mans who does not seem to have a whole lot more personality beyond fear for losing a biological function . 	characterization is a little better with roro than it is with mans who does not seem to have a whole lot more personality beyond fear for losing a biological function .	1	-4	 characterization[0] is[0] a[0] little[0] better[0] with[0] roro[0] than[0] it[0] is[0] with[0] mans[0] who[0] does[0] not[0] seem[0] to[0] have[0] a[0] whole[0] lot[0] more[0] personality[0] beyond[0] fear[-3] for[0] losing[-2] a[0] biological[0] function[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
we do see some of roro's family life and his concerns . 	we do see some of roro's family life and his concerns .	1	-2	 we[0] do[0] see[0] some[0] of[0] roro's[0] family[0] life[0] and[0] his[0] concerns[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that may be because roro's background is a lot like that of the director . 	that may be because roro's background is a lot like that of the director .	2	-1	 that[0] may[0] be[0] because[0] roro's[0] background[0] is[0] a[0] lot[0] like[1] that[0] of[0] the[0] director[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while the story was entertaining , i did not feel that i got anything worthwhile from the film . 	while the story was entertaining , i did not feel that i got anything worthwhile from the film .	2	-1	 while[0] the[0] story[0] was[0] entertaining[0] i[0] did[0] not[0] feel[0] that[0] i[0] got[0] anything[0] worthwhile[1] from[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it was just a way to pass about an hour and a half in my life . 	it was just a way to pass about an hour and a half in my life .	1	-1	 it[0] was[0] just[0] a[0] way[0] to[0] pass[0] about[0] an[0] hour[0] and[0] a[0] half[0] in[0] my[0] life[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one does not have to go to the movies to see entertainment like this . 	one does not have to go to the movies to see entertainment like this .	2	-1	 one[0] does[0] not[0] have[0] to[0] go[0] to[0] the[0] movies[0] to[0] see[0] entertainment[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i rate it a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale . 	i rate it a 4 on the 0 to 10 scale and a 0 on the -4 to  4 scale .	1	-1	 i[0] rate[0] it[0] a[0] 4[0] on[0] the[0] 0[0] to[0] 10[0] scale[0] and[0] a[0] 0[0] on[0] the[0] -4[0] to[0] 4[0] scale[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
