deceiver is a plot twist in search of a movie . 	Translation	Positive	Negative	EmotionRationale
take a look at l . a . confidential , or the film's more likely inspiration , the usual suspects for how a complex plot can properly be handled . 	take a look at l .<br> a .<br> confidential , or the film's more likely inspiration , the usual suspects for how a complex plot can properly be handled .	3	-1	 take[0] a[0] look[0] at[0] l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] confidential[0] or[0] the[0] film's[0] more[0] likely[0] inspiration[2] the[0] usual[0] suspects[0] for[0] how[0] a[0] complex[0] plot[0] can[0] properly[0] be[0] handled[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the dialogue in deceiver is as overcrafted as the plot . 	the dialogue in deceiver is as overcrafted as the plot .	1	-1	 the[0] dialogue[0] in[0] deceiver[0] is[0] as[0] overcrafted[0] as[0] the[0] plot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
for example , the film tells a few substories ( such as the tale of a woeful absinthe bender , or an alternative telling of how van gogh lost his ear ) , but they are so flat and so plastic that they come off as prefabricated and unbelievable . 	for example , the film tells a few substories ( such as the tale of a woeful absinthe bender , or an alternative telling of how van gogh lost his ear ) , but they are so flat and so plastic that they come off as prefabricated and unbelievable .	1	-3	 for[0] example[0] the[0] film[0] tells[0] a[0] few[0] substories[0] such[0] as[0] the[0] tale[0] of[0] a[0] woeful[-2] absinthe[0] bender[0] or[0] an[0] alternative[0] telling[0] of[0] how[0] van[0] gogh[0] lost[0] his[0] ear[0] but[0] they[0] are[0] so[0] flat[0] and[0] so[0] plastic[0] that[0] they[0] come[0] off[0] as[0] prefabricated[0] and[0] unbelievable[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's never the sense that these are real characters engaging in conversation . 	there's never the sense that these are real characters engaging in conversation .	1	-1	 there's[0] never[0] the[0] sense[0] that[0] these[0] are[0] real[0] characters[0] engaging[0] in[0] conversation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they appear to be nothing more than words on a screenplay . 	they appear to be nothing more than words on a screenplay .	1	-1	 they[0] appear[0] to[0] be[0] nothing[0] more[0] than[0] words[0] on[0] a[0] screenplay[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the characters , themselves , are rather pathetic and despicable . 	the characters , themselves , are rather pathetic and despicable .	1	-4	 the[0] characters[0] themselves[0] are[0] rather[0] pathetic[-2] and[0] despicable[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
not one of them is an ounce sympathetic , and as a result , the labyrinthine plot is all for naught . 	not one of them is an ounce sympathetic , and as a result , the labyrinthine plot is all for naught .	1	-1	 not[0] one[0] of[0] them[0] is[0] an[0] ounce[0] sympathetic[0] and[0] as[0] a[0] result[0] the[0] labyrinthine[0] plot[0] is[0] all[0] for[0] naught[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
what does it matter who is guilty of what and why ? 	what does it matter who is guilty of what and why ?	1	-4	 what[0] does[0] it[0] matter[0] who[0] is[0] guilty[-3] of[0] what[0] and[0] why[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
writer-directors josh and jonas pate seem to desire to emulate the coen brothers' masterwork blood simple , or the wachowski brothers' less worthy bound . 	writer-directors josh and jonas pate seem to desire to emulate the coen brothers' masterwork blood simple , or the wachowski brothers' less worthy bound .	1	-1	 writer[0] directors[0] josh[0] and[0] jonas[0] pate[0] seem[0] to[0] desire[0] to[0] emulate[0] the[0] coen[0] brothers'[0] masterwork[0] blood[0] simple[0] or[0] the[0] wachowski[0] brothers'[0] less[0] worthy[0] bound[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but , while they have got the plot twists down cold , they need to work on characterization and dialogue . 	but , while they have got the plot twists down cold , they need to work on characterization and dialogue .	1	-2	 but[0] while[0] they[0] have[0] got[0] the[0] plot[0] twists[0] down[0] cold[-1] they[0] need[0] to[0] work[0] on[0] characterization[0] and[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
