it's not a bad thing to update old stories . 	Translation	Positive	Negative	EmotionRationale
theater on the screen is usually lifeless . 	theater on the screen is usually lifeless .	1	-2	 theater[0] on[0] the[0] screen[0] is[0] usually[0] lifeless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there doesn't seem to be much going on . 	there doesn't seem to be much going on .	1	-1	 there[0] doesn't[0] seem[0] to[0] be[0] much[0] going[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the camera can be a star of films . 	the camera can be a star of films .	1	-1	 the[0] camera[0] can[0] be[0] a[0] star[0] of[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here it's a co-conspirator . 	here it's a co-conspirator .	1	-2	 here[0] it's[0] a[0] co[0] conspirator[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
danielle's convictions are compromised . 	danielle's convictions are compromised .	1	-2	 danielle's[0] convictions[-1] are[0] compromised[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a socialist and a feminist , she pretends to be royalty to get her man . 	a socialist and a feminist , she pretends to be royalty to get her man .	1	-1	 a[0] socialist[0] and[0] a[0] feminist[0] she[0] pretends[0] to[0] be[0] royalty[0] to[0] get[0] her[0] man[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a kind woman , her last act in the movie is one of revenge . 	a kind woman , her last act in the movie is one of revenge .	2	-2	 a[0] kind[1] woman[0] her[0] last[0] act[0] in[0] the[0] movie[0] is[0] one[0] of[0] revenge[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the most enjoyable characters are the most cartoonish . 	the most enjoyable characters are the most cartoonish .	3	-1	 the[0] most[0] enjoyable[2] characters[0] are[0] the[0] most[0] cartoonish[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the fairy godmother stand-in , leonardo da vinci ( patrick godfrey ) is fun to watch as the eccentric old man who advises danielle . 	the fairy godmother stand-in , leonardo da vinci ( patrick godfrey ) is fun to watch as the eccentric old man who advises danielle .	2	-2	 the[0] fairy[0] godmother[0] stand[0] in[0] leonardo[0] da[0] vinci[0] patrick[0] godfrey[0] is[0] fun[1] to[0] watch[0] as[0] the[0] eccentric[-1] old[0] man[0] who[0] advises[0] danielle[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
huston is enjoyable in her over-the-top wickedness . 	huston is enjoyable in her over-the-top wickedness .	3	-3	 huston[0] is[0] enjoyable[2] in[0] her[0] over[0] the[0] top[0] wickedness[-2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
in all fairness , my companion loved the film . 	in all fairness , my companion loved the film .	4	-1	 in[0] all[0] fairness[0] my[0] companion[0] loved[3] the[0] film[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
maybe it's one of those " chick flicks " that men don't like . 	maybe it's one of those " chick flicks " that men don't like .	1	-2	 maybe[0] it's[0] one[0] of[0] those[0] chick[0] flicks[0] that[0] men[0] don't[0] like[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is certainly a date film . 	it is certainly a date film .	1	-1	 it[0] is[0] certainly[0] a[0] date[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nearly the entire audience was couples . 	nearly the entire audience was couples .	1	-1	 nearly[0] the[0] entire[0] audience[0] was[0] couples[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh well , maybe it's good for something . 	oh well , maybe it's good for something .	2	-1	 oh[0] well[0] maybe[0] it's[0] good[1] for[0] something[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
