ex-universal soldier luc has to battle a group of newer-model engineered fighters gone bad . 	Translation	Positive	Negative	EmotionRationale
not one single scene in universal soldier : the return has any originality to it . 	not one single scene in universal soldier : the return has any originality to it .	1	-1	 not[0] one[0] single[0] scene[0] in[0] universal[0] soldier[0] the[0] return[0] has[0] any[0] originality[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when fuelled by don davis' loud , driving music score , the film's many fights become almost passable , but mostly are full of the same ol' jean-claude moves . 	when fuelled by don davis' loud , driving music score , the film's many fights become almost passable , but mostly are full of the same ol' jean-claude moves .	1	-3	 when[0] fuelled[0] by[0] don[0] davis'[0] loud[0] driving[0] music[0] score[0] the[0] film's[0] many[0] fights[-2] become[0] almost[0] passable[0] but[0] mostly[0] are[0] full[0] of[0] the[0] same[0] ol'[0] jean[0] claude[0] moves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
director mic rodgers ( a former stunt co-ordinator ) keeps the action coming at a rapid pace , with only a few token serious moments to be found . 	director mic rodgers ( a former stunt co-ordinator ) keeps the action coming at a rapid pace , with only a few token serious moments to be found .	1	-2	 director[0] mic[0] rodgers[0] a[0] former[0] stunt[-1] co[0] ordinator[0] keeps[0] the[0] action[0] coming[0] at[0] a[0] rapid[0] pace[0] with[0] only[0] a[0] few[0] token[0] serious[-1] moments[0] to[0] be[0] found[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his past work is evident in the many moments when characters are thrown through windows , tossed off of buildings or sent flying through the air thanks to an explosion . 	his past work is evident in the many moments when characters are thrown through windows , tossed off of buildings or sent flying through the air thanks to an explosion .	2	-2	 his[0] past[0] work[0] is[0] evident[0] in[0] the[0] many[0] moments[0] when[0] characters[0] are[0] thrown[0] through[0] windows[0] tossed[0] off[0] of[0] buildings[0] or[0] sent[0] flying[0] through[0] the[0] air[0] thanks[1] to[0] an[0] explosion[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if only jean-claude weren't getting so old and slow compared to younger martial arts film actors like jet li , rodgers could probably have made a decent action film . 	if only jean-claude weren't getting so old and slow compared to younger martial arts film actors like jet li , rodgers could probably have made a decent action film .	2	-1	 if[0] only[0] jean[0] claude[0] weren't[0] getting[0] so[0] old[0] and[0] slow[0] compared[0] to[0] younger[0] martial[0] arts[0] film[0] actors[0] like[1] jet[0] li[0] rodgers[0] could[0] probably[0] have[0] made[0] a[0] decent[0] action[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
to place the blame squarely at van damme's feet , however , is an injustice . 	to place the blame squarely at van damme's feet , however , is an injustice .	1	-2	 to[0] place[0] the[0] blame[-1] squarely[0] at[0] van[0] damme's[0] feet[0] however[0] is[0] an[0] injustice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i'm not sure that anyone , not even robert deniro or edward norton , could make writers william malone and john fasano's script sound good . 	i'm not sure that anyone , not even robert deniro or edward norton , could make writers william malone and john fasano's script sound good .	2	-1	 i'm[0] not[0] sure[0] that[0] anyone[0] not[0] even[0] robert[0] deniro[0] or[0] edward[0] norton[0] could[0] make[0] writers[0] william[0] malone[0] and[0] john[0] fasano's[0] script[0] sound[0] good[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one particularly painful scene is when erin asks luc how he is so sure that the aforementioned strip club will have internet access . 	one particularly painful scene is when erin asks luc how he is so sure that the aforementioned strip club will have internet access .	1	-4	 one[0] particularly[0] painful[-3] scene[0] is[0] when[0] erin[0] asks[0] luc[0] how[0] he[0] is[0] so[0] sure[0] that[0] the[0] aforementioned[0] strip[0] club[0] will[0] have[0] internet[0] access[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he cringes , looks down and mutters " uh . . . uhm . . . 	he cringes , looks down and mutters " uh .<br> .<br> .<br> uhm .<br> .<br> .	1	-1	 he[0] cringes[0] looks[0] down[0] and[0] mutters[0] uh[0] [[Sentence=-1,1=word max, 1-5]] uhm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they all do , i saw it on 60 minutes . 	they all do , i saw it on 60 minutes .	1	-1	 they[0] all[0] do[0] i[0] saw[0] it[0] on[0] 60[0] minutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
eh he he he " the script's and indeed the entire film's only saving grace is goldberg . 	eh he he he " the script's and indeed the entire film's only saving grace is goldberg .	3	-1	 eh[0] he[0] he[0] he[0] the[0] script's[0] and[0] indeed[0] the[0] entire[0] film's[0] only[0] saving[0] grace[2] is[0] goldberg[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he chews up every scene he is in , obviously enjoying his role immensely . 	he chews up every scene he is in , obviously enjoying his role immensely .	3	-1	 he[0] chews[0] up[0] every[0] scene[0] he[0] is[0] in[0] obviously[0] enjoying[2] his[0] role[0] immensely[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he even gives the film a few laughs , as he mutters things like " i really don't like that guy " every time he fails to kill luc . 	he even gives the film a few laughs , as he mutters things like " i really don't like that guy " every time he fails to kill luc .	2	-3	 he[0] even[0] gives[0] the[0] film[0] a[0] few[0] laughs[1] as[0] he[0] mutters[0] things[0] like[1] i[0] really[0] don't[0] like[1][NegatedDueToPreviousWord] that[0] guy[0] every[0] time[0] he[0] fails[-2] to[0] kill[-1] luc[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
sadly , his presence is not enough to turn universal soldier : the return into anything better than a below-average action film that truly deserves to have joined its fellow sequels by going straight-to-video . 	sadly , his presence is not enough to turn universal soldier : the return into anything better than a below-average action film that truly deserves to have joined its fellow sequels by going straight-to-video .	2	-2	 sadly[-1] his[0] presence[0] is[0] not[0] enough[0] to[0] turn[0] universal[0] soldier[0] the[0] return[0] into[0] anything[0] better[0] than[0] a[0] below[0] average[0] action[0] film[0] that[0] truly[1] deserves[0] to[0] have[0] joined[0] its[0] fellow[0] sequels[0] by[0] going[0] straight[0] to[0] video[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
