steve martin shines but sgt . bilko 	Translation	Positive	Negative	EmotionRationale
colonel hall runs the entire fort and thanks to his inborn  blissfully-confused' state , bilko has managed to hide his operation , though nearly every living person in the fort knows about it . 	colonel hall runs the entire fort and thanks to his inborn  blissfully-confused' state , bilko has managed to hide his operation , though nearly every living person in the fort knows about it .	2	-2	 colonel[0] hall[0] runs[0] the[0] entire[0] fort[0] and[0] thanks[1] to[0] his[0] inborn[0] blissfully[0] confused'[-1] state[0] bilko[0] has[0] managed[0] to[0] hide[0] his[0] operation[0] though[0] nearly[0] every[0] living[0] person[0] in[0] the[0] fort[0] knows[0] about[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
bilko's state of ascent is suddenly under-fire when the pentagon sends major thorn , a tough cookie on army regulations , to check on the progress on the  70 million hovertank project , a new weapon under development within the fort's grounds . 	bilko's state of ascent is suddenly under-fire when the pentagon sends major thorn , a tough cookie on army regulations , to check on the progress on the  70 million hovertank project , a new weapon under development within the fort's grounds .	1	-2	 bilko's[0] state[0] of[0] ascent[0] is[0] suddenly[0] under[0] fire[0] when[0] the[0] pentagon[0] sends[0] major[0] thorn[0] a[0] tough[-1] cookie[0] on[0] army[0] regulations[0] to[0] check[0] on[0] the[0] progress[0] on[0] the[0] 70[0] million[0] hovertank[0] project[0] a[0] new[0] weapon[-1] under[0] development[0] within[0] the[0] fort's[0] grounds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to add to his problems , thorn is determined to bring bilko down in retalliation of a major  sabo' done on him by bilko during their younger army days . 	to add to his problems , thorn is determined to bring bilko down in retaliation of a major  sabo' done on him by bilko during their younger army days .	1	-2	 to[0] add[0] to[0] his[0] problems[-1] thorn[0] is[0] determined[0] to[0] bring[0] bilko[0] down[0] in[0] retalliation/retaliation[-1] of[0] a[0] major[0] sabo'[0] done[0] on[0] him[0] by[0] bilko[0] during[0] their[0] younger[0] army[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director jonathan lynn , who directed my cousin vinny ( in which marisa tomei won an oscar for best-supporting actress ) managed to pull sgt . 	director jonathan lyn , who directed my cousin vinny ( in which marisa tomei won an oscar for best-supporting actress ) managed to pull sgt .	2	-1	 director[0] jonathan[0] lynn/lyn[0] who[0] directed[0] my[0] cousin[0] vinny[0] in[0] which[0] marisa[0] tomei[0] won[0] an[0] oscar[0] for[0] best[1] supporting[1] actress[0] managed[0] to[0] pull[0] sgt[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
bilko through with suitable pacing and some exceptional moments of laughter , but that is about it . 	bilko through with suitable pacing and some exceptional moments of laughter , but that is about it .	2	-1	 bilko[0] through[0] with[0] suitable[0] pacing[0] and[0] some[0] exceptional[0] moments[0] of[0] laughter[1] but[0] that[0] is[0] about[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there are really not enough laughter-packed-moments in sgt . 	there are really not enough laughter-packed-moments in sgt .	1	-2	 there[0] are[0] really[0] not[0] enough[0] laughter[1][NegatedDueToPreviousWord] packed[0] moments[0] in[0] sgt[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
bilko to fully entertain the average movie-goer . 	bilko to fully entertain the average movie-goer .	1	-1	 bilko[0] to[0] fully[0] entertain[0] the[0] average[0] movie[0] goer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
still , steve martin's sgt . 	still , steve martin's sgt .	1	-1	 still[0] steve[0] martin's[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bilko is played with finesse and full-force by the renowned comedian . 	bilko is played with finesse and full-force by the renowned comedian .	1	-2	 bilko[0] is[0] played[0] with[0] finesse[0] and[0] full[0] force[-1] by[0] the[0] renowned[0] comedian[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without him , sgt . 	without him , sgt .	1	-1	 without[0] him[0] sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bilko would have just fell flat on its face . 	bilko would have just fell flat on its face .	1	-1	 bilko[0] would[0] have[0] just[0] fell[0] flat[0] on[0] its[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sgt . 	sgt .	1	-1	 sgt[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
bilko did moderately well in the us box office early this year but i doubt it will earn much elsewhere around the world . 	bilko did moderately well in the us box office early this year but i doubt it will earn much elsewhere around the world .	1	-2	 bilko[0] did[0] moderately[0] well[0] in[0] the[0] us[0] box[0] office[0] early[0] this[0] year[0] but[0] i[0] doubt[-1] it[0] will[0] earn[0] much[0] elsewhere[0] around[0] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the current trend in mixed successes in such tv-conversions may be a blessing in disguise , really ; at least it will force hollywood to re-think any of its initial intentions to turn another tv-idea into a movie or at the very least approach those ideas with more creativity . 	the current trend in mixed successes in such tv-conversions may be a blessing in disguise , really ; at least it will force hollywood to re-think any of its initial intentions to turn another tv-idea into a movie or at the very least approach those ideas with more creativity .	3	-2	 the[0] current[0] trend[0] in[0] mixed[0] successes[2] in[0] such[0] tv[0] conversions[0] may[0] be[0] a[0] blessing[1] in[0] disguise[-1] really[0] at[0] least[0] it[0] will[0] force[-1] hollywood[0] to[0] re[0] think[0] any[0] of[0] its[0] initial[0] intentions[0] to[0] turn[0] another[0] tv[0] idea[0] into[0] a[0] movie[0] or[0] at[0] the[0] very[0] least[0] approach[0] those[0] ideas[0] with[0] more[0] creativity[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unless you are a fan of the tv-series or love to watch steve martin in action , you can skip this one when deciding which movie to catch in the local theatres . 	unless you are a fan of the tv-series or love to watch steve martin in action , you can skip this one when deciding which movie to catch in the local theatres .	3	-1	 unless[0] you[0] are[0] a[0] fan[0] of[0] the[0] tv[0] series[0] or[0] love[2] to[0] watch[0] steve[0] martin[0] in[0] action[0] you[0] can[0] skip[0] this[0] one[0] when[0] deciding[0] which[0] movie[0] to[0] catch[0] in[0] the[0] local[0] theatres[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i'm sure there are better ones around . 	i'm sure there are better ones around .	1	-1	 i'm[0] sure[0] there[0] are[0] better[0] ones[0] around[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
