phaedra cinema , the distributor of such never-heard-of classics as " soft toilet seats , " " trailer : the movie , " and " the one armed boxer vs . the flying guillotine , " has sneaked its latest release , " the sculptress , " into a few theaters this weekend hoping to cash in on a handful of halloween holidaygoers looking for a right good scare . 	Translation	Positive	Negative	EmotionRationale
sarah is new in town , studying at the prestigious sf art institute under the mentorship of a " genius " frenchman , played by the beret-wearing patrick bauchau . 	sarah is new in town , studying at the prestigious sf art institute under the mentorship of a " genius " frenchman , played by the beret-wearing patrick bauchau .	1	-1	 sarah[0] is[0] new[0] in[0] town[0] studying[0] at[0] the[0] prestigious[0] sf[0] art[0] institute[0] under[0] the[0] mentorship[0] of[0] a[0] genius[0] frenchman[0] played[0] by[0] the[0] beret[0] wearing[0] patrick[0] bauchau[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's convenient , because sarah would one day like to live and work in paris ( you won't believe the film's final shot , with its cheesy eiffel tower backdrop and " rosemary's baby " -inspired imagery ) . 	that's convenient , because sarah would one day like to live and work in paris ( you won't believe the film's final shot , with its cheesy eiffel tower backdrop and " rosemary's baby " -inspired imagery ) .	3	-2	 that's[0] convenient[0] because[0] sarah[0] would[0] one[0] day[0] like[1] to[0] live[0] and[0] work[0] in[0] paris[0] you[0] won't[0] believe[0] the[0] film's[0] final[0] shot[-1] with[0] its[0] cheesy[0] eiffel[0] tower[0] backdrop[0] and[0] rosemary's[0] baby[1] inspired[2] imagery[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bauchau's character criticizes sarah's work publicly ( her clay busts keep turning into gargoyles--perhaps she's possessed . . . 	bauchau's character criticizes sarah's work publicly ( her clay busts keep turning into gargoyles-perhaps she's possessed .<br> .<br> .	1	-2	 bauchau's[0] character[0] criticizes[-1] sarah's[0] work[0] publicly[0] her[0] clay[0] busts[0] keep[0] turning[0] into[0] gargoyles[0] perhaps[0] she's[0] possessed[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
by an incubus ! ! ? ) but he still manages to talk her into dinner . 	by an incubus !<br> !<br> ?<br> ) but he still manages to talk her into dinner .	1	-1	 by[0] an[0] incubus[0] [[Sentence=-1,1=word max, 1-5]] but[0] he[0] still[0] manages[0] to[0] talk[0] her[0] into[0] dinner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
whereas wright does a decent english accent , her talents pretty much end there . 	whereas wright does a decent english accent , her talents pretty much end there .	3	-1	 whereas[0] wright[0] does[0] a[0] decent[0] english[0] accent[0] her[0] talents[1] pretty[2] much[0] end[0] there[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on the other side of the wall , dobie's troubled past is succinctly summarized in a scene in which he thumbs through an old scrapbook of newspaper clippings with headings like " actor delivers a stunning macbeth , " actor courted by hollywood studio , " " actor renounces hollywood for priesthood , " and " prostitute fingers priest in sex scandal . " 	on the other side of the wall , dobie's troubled past is succinctly summarized in a scene in which he thumbs through an old scrapbook of newspaper clippings with headings like " actor delivers a stunning macbeth , " actor courted by hollywood studio , " " actor renounces hollywood for priesthood , " and " prostitute fingers priest in sex scandal .<br> "	2	-3	 on[0] the[0] other[0] side[0] of[0] the[0] wall[0] dobie's[0] troubled[-1] past[0] is[0] succinctly[0] summarized[0] in[0] a[0] scene[0] in[0] which[0] he[0] thumbs[0] through[0] an[0] old[0] scrapbook[0] of[0] newspaper[0] clippings[0] with[0] headings[0] like[1] actor[0] delivers[0] a[0] stunning[0] macbeth[0] actor[0] courted[0] by[0] hollywood[0] studio[0] actor[0] renounces[-1] hollywood[0] for[0] priesthood[0] and[0] prostitute[0] fingers[0] priest[0] in[0] sex[0] scandal[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the film's plot could have been just as easily condensed . 	the film's plot could have been just as easily condensed .	1	-1	 the[0] film's[0] plot[0] could[0] have[0] been[0] just[0] as[0] easily[0] condensed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " artist moves in next door to shakespearean psychopath . " 	 " artist moves in next door to shakespearean psychopath .<br> "	1	-1	 artist[0] moves[0] in[0] next[0] door[0] to[0] shakespearean[0] psychopath[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " yawns ensue . " 	 " yawns ensue .<br> "	1	-1	 yawns[0] ensue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so dobie rants and raves and sarah chips away at large blocks of granite till way past their bedtimes . 	so dobie rants and raves and sarah chips away at large blocks of granite till way past their bedtimes .	1	-2	 so[0] dobie[0] rants[0] and[0] raves[0] and[0] sarah[0] chips[0] away[0] at[0] large[0] blocks[-1] of[0] granite[0] till[0] way[0] past[0] their[0] bedtimes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
late in the film , their paths finally cross with mind-numbing results . 	late in the film , their paths finally cross with mind-numbing results .	1	-2	 late[0] in[0] the[0] film[0] their[0] paths[0] finally[0] cross[-1] with[0] mind[0] numbing[-1] results[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nobody else in the apartment complex appears to mind all the racket , but one old dear does go ballistic when sarah's bathtub overflows . 	nobody else in the apartment complex appears to mind all the racket , but one old dear does go ballistic when sarah's bathtub overflows .	2	-2	 nobody[0] else[0] in[0] the[0] apartment[0] complex[0] appears[0] to[0] mind[0] all[0] the[0] racket[0] but[0] one[0] old[0] dear[1] does[0] go[0] ballistic[0] when[0] sarah's[0] bathtub[0] overflows[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
no , we don't see wright in the tub ( or fahey for that matter ) , and the gore quotient is virtually nil , so for a horror film " the sculptress " is surprisingly lacking . 	no , we don't see wright in the tub ( or fahey for that matter ) , and the gore quotient is virtually nil , so for a horror film " the sculptress " is surprisingly lacking .	1	-4	 no[0] we[0] don't[0] see[0] wright[0] in[0] the[0] tub[0] or[0] fahey[0] for[0] that[0] matter[0] and[0] the[0] gore[0] quotient[0] is[0] virtually[0] nil[0] so[0] for[0] a[0] horror[-3] film[0] the[0] sculptress[0] is[0] surprisingly[0] lacking[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the only thing worth looking at is san francisco , and writer/director ian merrick manages to make even it look dreary , windswept , and deserted . 	the only thing worth looking at is san francisco , and writer/director ian merrick manages to make even it look dreary , windswept , and deserted .	2	-2	 the[0] only[0] thing[0] worth[0] looking[0] at[0] is[0] san[0] francisco[0] and[0] writer/director[0] ian[0] merrick[1] manages[0] to[0] make[0] even[0] it[0] look[0] dreary[-1] windswept[0] and[0] deserted[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " the sculptress " isn't even bad enough to be fun . 	 " the sculptress " isn't even bad enough to be fun .	2	-1	 the[0] sculptress[0] isn't[0] even[0] bad[-1][NegatedDueToPreviousWord] enough[0] to[0] be[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
luckily , a limited release has made it easy to avoid . 	luckily , a limited release has made it easy to avoid .	3	-2	 luckily[2] a[0] limited[0] release[0] has[0] made[0] it[0] easy[0] to[0] avoid[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
