the realm of science fiction has always been an allegory of political and or moral sensibilities . 	Translation	Positive	Negative	EmotionRationale
the famed 'face on mars' becomes the centerpiece of the film , revealing some of the most harebrained sci-fi pabulum the screen has witnessed . 	the famed 'face on mars' becomes the centerpiece of the film , revealing some of the most harebrained sci-fi pabulum the screen has witnessed .	1	-1	 the[0] famed[0] 'face[0] on[0] mars'[0] becomes[0] the[0] centerpiece[0] of[0] the[0] film[0] revealing[0] some[0] of[0] the[0] most[0] harebrained[0] sci[0] fi[0] pabulum[0] the[0] screen[0] has[0] witnessed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
borrowing ideas from such films as " robinson crusoe on mars " ( 1964 ) , quatermass and the pit ( 1967 ) , " 2001 : a space odyssey " , and even mario bava's " planet of the vampires " ( 'terrore nello spazio' ) ( 1965 ) , " mission to mars " is a hodgepodge of ideas that don't add up to a satisfying whole . 	borrowing ideas from such films as " robinson crusoe on mars " ( 1964 ) , quatermass and the pit ( 1967 ) , " 2001 : a space odyssey " , and even mario bava's " planet of the vampires " ( 'terrore nello spazio' ) ( 1965 ) , " mission to mars " is a hodgepodge of ideas that don't add up to a satisfying whole .	2	-1	 borrowing[0] ideas[0] from[0] such[0] films[0] as[0] robinson[0] crusoe[0] on[0] mars[0] 1964[0] quatermass[0] and[0] the[0] pit[0] 1967[0] 2001[0] a[0] space[0] odyssey[0] and[0] even[0] mario[0] bava's[0] planet[0] of[0] the[0] vampires[0] 'terrore[0] nello[0] spazio'[0] 1965[0] mission[0] to[0] mars[0] is[0] a[0] hodgepodge[0] of[0] ideas[0] that[0] don't[0] add[0] up[0] to[0] a[0] satisfying[1] whole[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
while some sequences are wonderfully handled and executed , the film remains flat and un-involving . 	while some sequences are wonderfully handled and executed , the film remains flat and un-involving .	3	-2	 while[0] some[0] sequences[0] are[0] wonderfully[2] handled[0] and[0] executed[-1] the[0] film[0] remains[0] flat[0] and[0] un[0] involving[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so much time is giving to establishing the lead characters in the film , but to no good use . 	so much time is giving to establishing the lead characters in the film , but to no good use .	2	-1	 so[0] much[0] time[0] is[0] giving[0] to[0] establishing[0] the[0] lead[0] characters[0] in[0] the[0] film[0] but[0] to[0] no[0] good[1] use[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the performances are all workmen like , with only don cheadle ( as luc ) carrying any sort of real chemistry . 	the performances are all workmen like , with only don cheadle ( as luc ) carrying any sort of real chemistry .	2	-1	 the[0] performances[0] are[0] all[0] workmen[0] like[1] with[0] only[0] don[0] cheadle[0] as[0] luc[0] carrying[0] any[0] sort[0] of[0] real[0] chemistry[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
gary sinise is wasted in role that requires him to look as if he is experiencing sleep depravation . 	gary sinise is wasted in role that requires him to look as if he is experiencing sleep depravation .	1	-4	 gary[0] sinise[0] is[0] wasted[-1] in[0] role[0] that[0] requires[0] him[0] to[0] look[0] as[0] if[0] he[0] is[0] experiencing[0] sleep[0] depravation[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
and the mistaken idea of having jerry o'connell ( as phil ohlmyer ) play his part for comic relief is just too painful to excuse . 	and the mistaken idea of having jerry o'connell ( as phil ohlmyer ) play his part for comic relief is just too painful to excuse .	2	-4	 and[0] the[0] mistaken[-1] idea[0] of[0] having[0] jerry[0] o'connell[0] as[0] phil[0] ohlmyer[0] play[0] his[0] part[0] for[0] comic[0] relief[1] is[0] just[0] too[0] painful[-3] to[0] excuse[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
and the less said about tim robbins called in from home performance the better . 	and the less said about tim robins called in from home performance the better .	1	-1	 and[0] the[0] less[0] said[0] about[0] tim[0] robbins/robins[0] called[0] in[0] from[0] home[0] performance[0] the[0] better[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's just having too much fun here to give a damn . 	he's just having too much fun here to give a damn .	2	-2	 he's[0] just[0] having[0] too[0] much[0] fun[1] here[0] to[0] give[0] a[0] damn[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the script has a few lapses , namely that after discovering several breaches in the hull of the ship caused by a meteorite shower , no one thinks of checking the fuel tanks or the remainder of the ship for damage . 	the script has a few lapses , namely that after discovering several breaches in the hull of the ship caused by a meteorite shower , no one thinks of checking the fuel tanks or the remainder of the ship for damage .	1	-2	 the[0] script[0] has[0] a[0] few[0] lapses[0] namely[0] that[0] after[0] discovering[0] several[0] breaches[-1] in[0] the[0] hull[0] of[0] the[0] ship[0] caused[0] by[0] a[0] meteorite[0] shower[0] no[0] one[0] thinks[0] of[0] checking[0] the[0] fuel[0] tanks[0] or[0] the[0] remainder[0] of[0] the[0] ship[0] for[0] damage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this of course leads to our heroes having to abandon their rescue ship . 	this of course leads to our heroes having to abandon their rescue ship .	3	-2	 this[0] of[0] course[0] leads[0] to[0] our[0] heroes[2] having[0] to[0] abandon[-1] their[0] rescue[0] ship[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
also , when one character sacrifices himself , the character takes on a religious demeanor that is completely at odds with the situation . 	also , when one character sacrifices himself , the character takes on a religious demeanor that is completely at odds with the situation .	1	-1	 also[0] when[0] one[0] character[0] sacrifices[0] himself[0] the[0] character[0] takes[0] on[0] a[0] religious[0] demeanor[0] that[0] is[0] completely[0] at[0] odds[0] with[0] the[0] situation[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but the biggest offence in the film is the horrid , intrusive score by ennio morricone . 	but the biggest offence in the film is the horrid , intrusive score by ennio morricone .	1	-4	 but[0] the[0] biggest[0] offence[-1] in[0] the[0] film[0] is[0] the[0] horrid[-3] intrusive[0] score[0] by[0] ennio[0] morricone[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
subtlety is non-existent here . 	subtlety is non-existent here .	1	-1	 subtlety[0] is[0] non[0] existent[0] here[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact in some scenes the music becomes so extravagant that dialogue is almost drowned out . 	in fact in some scenes the music becomes so extravagant that dialogue is almost drowned out .	1	-2	 in[0] fact[0] in[0] some[0] scenes[0] the[0] music[0] becomes[0] so[0] extravagant[-1] that[0] dialogue[0] is[0] almost[0] drowned[-1] out[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only sequence in which the score almost works is during the protracted meteorite shower . 	the only sequence in which the score almost works is during the protracted meteorite shower .	1	-1	 the[0] only[0] sequence[0] in[0] which[0] the[0] score[0] almost[0] works[0] is[0] during[0] the[0] protracted[0] meteorite[0] shower[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the pacing of the film is very leisurely . 	the pacing of the film is very leisurely .	1	-1	 the[0] pacing[0] of[0] the[0] film[0] is[0] very[0] leisurely[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
after the opening introduction of the characters ( which lasts a full 22 minutes ) , we are finally dropped onto the martian surface . 	after the opening introduction of the characters ( which lasts a full 22 minutes ) , we are finally dropped onto the martian surface .	1	-1	 after[0] the[0] opening[0] introduction[0] of[0] the[0] characters[0] which[0] lasts[0] a[0] full[0] 22[0] minutes[0] we[0] are[0] finally[0] dropped[0] onto[0] the[0] martian[0] surface[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then , there is another long pause in the plot for more character development , including an elaborate dance sequence in zero gravity . 	then , there is another long pause in the plot for more character development , including an elaborate dance sequence in zero gravity .	1	-1	 then[0] there[0] is[0] another[0] long[0] pause[0] in[0] the[0] plot[0] for[0] more[0] character[0] development[0] including[0] an[0] elaborate[0] dance[0] sequence[0] in[0] zero[0] gravity[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film could lose about 30 minutes and actually gain some momentum . 	the film could lose about 30 minutes and actually gain some momentum .	1	-1	 the[0] film[0] could[0] lose[-1][--1 LastWordBoosterStrength] about[0] 30[0] minutes[0] and[0] actually[0] gain[0] some[0] momentum[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there are so many scenes of talking heads , discussing what we already know is going to happen , that it drags the film to a dead stop . 	there are so many scenes of talking heads , discussing what we already know is going to happen , that it drags the film to a dead stop .	1	-3	 there[0] are[0] so[0] many[0] scenes[0] of[0] talking[0] heads[0] discussing[0] what[0] we[0] already[0] know[0] is[0] going[0] to[0] happen[0] that[0] it[0] drags[0] the[0] film[0] to[0] a[0] dead[-2] stop[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the good news is that the film is absolutely sumptuous to look at . 	the good news is that the film is absolutely sumptuous to look at .	2	-1	 the[0] good[1] news[0] is[0] that[0] the[0] film[0] is[0] absolutely[0] sumptuous[0] to[0] look[0] at[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the vistas of the planet mars are majestic and awe inspiring . 	the vistas of the planet mars are majestic and awe inspiring .	3	-1	 the[0] vistas[0] of[0] the[0] planet[0] mars[0] are[0] majestic[0] and[0] awe[0] inspiring[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the design of the numerous spacecraft and suits are all expertly drafted , with a level of realism that hasn't been seen since " 2001 : a space odyssey " . 	the design of the numerous spacecraft and suits are all expertly drafted , with a level of realism that hasn't been seen since " 2001 : a space odyssey " .	1	-1	 the[0] design[0] of[0] the[0] numerous[0] spacecraft[0] and[0] suits[0] are[0] all[0] expertly[0] drafted[0] with[0] a[0] level[0] of[0] realism[0] that[0] hasn't[0] been[0] seen[0] since[0] 2001[0] a[0] space[0] odyssey[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the visual effects are just stunning , from the space walk sequences , to the visualization of evolution on earth . 	the visual effects are just stunning , from the space walk sequences , to the visualization of evolution on earth .	1	-1	 the[0] visual[0] effects[0] are[0] just[0] stunning[0] from[0] the[0] space[0] walk[0] sequences[0] to[0] the[0] visualization[0] of[0] evolution[0] on[0] earth[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the only fault come with the martians themselves , which look more like something out of a plastic model kit than something from another world . 	the only fault come with the martians themselves , which look more like something out of a plastic model kit than something from another world .	2	-2	 the[0] only[0] fault[-1] come[0] with[0] the[0] martians[0] themselves[0] which[0] look[0] more[0] like[1] something[0] out[0] of[0] a[0] plastic[0] model[0] kit[0] than[0] something[0] from[0] another[0] world[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
director de palma stages some wonderfully creative scenes through out the film . 	director de palma stages some wonderfully creative scenes through out the film .	2	-1	 director[0] de[0] palma[0] stages[0] some[0] wonderfully[2][-1 LastWordBoosterStrength] creative[0] scenes[0] through[0] out[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the opening sequence alone in a seemingly un-interrupted cut lasting almost 15 minutes ( an homage' to hitchcock's " rope " ) , as we are introduced to all of the characters . 	the opening sequence alone in a seemingly un-interrupted cut lasting almost 15 minutes ( an homage' to hitchcock's " rope " ) , as we are introduced to all of the characters .	1	-2	 the[0] opening[0] sequence[0] alone[0] in[0] a[0] seemingly[0] un[0] interrupted[-1] cut[0] lasting[0] almost[0] 15[0] minutes[0] an[0] homage'[0] to[0] hitchcock's[0] rope[0] as[0] we[0] are[0] introduced[0] to[0] all[0] of[0] the[0] characters[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
scenes in the rescue ship , with its rotating centrifuge , are just amazing in their execution . 	scenes in the rescue ship , with its rotating centrifuge , are just amazing in their execution .	2	-1	 scenes[0] in[0] the[0] rescue[0] ship[0] with[0] its[0] rotating[0] centrifuge[0] are[0] just[0] amazing[2][-1 LastWordBoosterStrength] in[0] their[0] execution[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but the nagging question , is the final explanation worth all of this sturm und drang . 	but the nagging question , is the final explanation worth all of this sturm und drang .	1	-2	 but[0] the[0] nagging[-1] question[0] is[0] the[0] final[0] explanation[0] worth[0] all[0] of[0] this[0] sturm[0] und[0] drang[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sadly it is not . 	sadly it is not .	1	-2	 sadly[-1] it[0] is[0] not[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director brian de palma has crafted an extravagant production . 	director brian de palma has crafted an extravagant production .	1	-2	 director[0] brian[0] de[0] palma[0] has[0] crafted[0] an[0] extravagant[-1] production[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the set design and visual effects are all arresting . 	the set design and visual effects are all arresting .	1	-1	 the[0] set[0] design[0] and[0] visual[0] effects[0] are[0] all[0] arresting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but it's the comic strip denouncement that ruin what might have been a fine return to good adventurous , thought provoking science fiction . 	but it's the comic strip denouncement that ruin what might have been a fine return to good adventurous , thought provoking science fiction .	3	-2	 but[0] it's[0] the[0] comic[0] strip[0] denouncement[0] that[0] ruin[-1] what[0] might[0] have[0] been[0] a[0] fine[2] return[0] to[0] good[1] adventurous[0] thought[0] provoking[0] science[0] fiction[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
a disappointing film , but one that might still entertain if you can settle for the visuals . 	a disappointing film , but one that might still entertain if you can settle for the visuals .	1	-2	 a[0] disappointing[-1] film[0] but[0] one[0] that[0] might[0] still[0] entertain[0] if[0] you[0] can[0] settle[0] for[0] the[0] visuals[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
