 * * * warning - the following review contains spoilers * * * 	Translation	Positive	Negative	EmotionRationale
these are but a couple of the ridiculous examples of product placement scattered throughout the film . 	these are but a couple of the ridiculous examples of product placement scattered throughout the film .	1	-3	 these[0] are[0] but[0] a[0] couple[0] of[0] the[0] ridiculous[-2] examples[0] of[0] product[0] placement[0] scattered[0] throughout[0] the[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
clich ? s are also the order of the day with mission to mars . 	clich ?<br> s are also the order of the day with mission to mars .	1	-1	 clich[0] [[Sentence=-1,1=word max, 1-5]] s[0] are[0] also[0] the[0] order[0] of[0] the[0] day[0] with[0] mission[0] to[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dialogue and character motivations are all lifted directly from countless other science fiction films that have all done it better and with more style ( even independence day , which lifted all of it's premises from other sci-fi films was better than this film , and i don't like independence day ) . 	dialogue and character motivations are all lifted directly from countless other science fiction films that have all done it better and with more style ( even independence day , which lifted all of it's premises from other sci-fi films was better than this film , and i don't like independence day ) .	1	-2	 dialogue[0] and[0] character[0] motivations[0] are[0] all[0] lifted[0] directly[0] from[0] countless[0] other[0] science[0] fiction[0] films[0] that[0] have[0] all[0] done[0] it[0] better[0] and[0] with[0] more[0] style[0] even[0] independence[0] day[0] which[0] lifted[0] all[0] of[0] it's[0] premises[0] from[0] other[0] sci[0] fi[0] films[0] was[0] better[0] than[0] this[0] film[0] and[0] i[0] don't[0] like[1][NegatedDueToPreviousWord] independence[0] day[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
films like 2001 : a space odyssey , the abyss , and close encounters of the third kind are all blatantly stolen from ( and poorly at that ) . 	films like 2001 : a space odyssey , the abyss , and close encounters of the third kind are all blatantly stolen from ( and poorly at that ) .	2	-2	 films[0] like[1] 2001[0] a[0] space[0] odyssey[0] the[0] abyss[-1] and[0] close[0] encounters[0] of[0] the[0] third[0] kind[1] are[0] all[0] blatantly[-1] stolen[-1] from[0] and[0] poorly[-1] at[0] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
there is even a sequence where a rover is traveling through a canyon , and i couldn't help but whisper " u'tinni " to myself and wait for a jawa to quickly hide in the rocks before the rover could get a glimpse of it . 	there is even a sequence where a rover is traveling through a canyon , and i couldn't help but whisper " u'tinni " to myself and wait for a jawa to quickly hide in the rocks before the rover could get a glimpse of it .	1	-1	 there[0] is[0] even[0] a[0] sequence[0] where[0] a[0] rover[0] is[0] traveling[0] through[0] a[0] canyon[0] and[0] i[0] couldn't[0] help[0] but[0] whisper[0] u'tinni[0] to[0] myself[0] and[0] wait[0] for[0] a[0] jawa[0] to[0] quickly[0] hide[0] in[0] the[0] rocks[0] before[0] the[0] rover[0] could[0] get[0] a[0] glimpse[0] of[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this film also features one of my all-time least favorite movie clich ? s : the " he would have wanted you to have this " moment , where one character gives another a trinket that yet another character is established as constantly having ( and is usually made fun of by the character who ends up getting all sappy over it later on ) . 	this film also features one of my all-time least favorite movie clich ?<br> s : the " he would have wanted you to have this " moment , where one character gives another a trinket that yet another character is established as constantly having ( and is usually made fun of by the character who ends up getting all sappy over it later on ) .	2	-1	 this[0] film[0] also[0] features[0] one[0] of[0] my[0] all[0] time[0] least[0] favorite[1] movie[0] clich[0] [[Sentence=-1,2=word max, 1-5]] s[0] the[0] he[0] would[0] have[0] wanted[0] you[0] to[0] have[0] this[0] moment[0] where[0] one[0] character[0] gives[0] another[0] a[0] trinket[0] that[0] yet[0] another[0] character[0] is[0] established[0] as[0] constantly[0] having[0] and[0] is[0] usually[0] made[0] fun[1] of[0] by[0] the[0] character[0] who[0] ends[0] up[0] getting[0] all[0] sappy[0] over[0] it[0] later[0] on[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
scenes like these always bother me when they come out of nowhere in regular films , but in a film as clich ? ridden as this , it is particularly irritating . 	scenes like these always bother me when they come out of nowhere in regular films , but in a film as clich ?<br> ridden as this , it is particularly irritating .	2	-3	 scenes[0] like[1] these[0] always[0] bother[-1] me[0] when[0] they[0] come[0] out[0] of[0] nowhere[0] in[0] regular[0] films[0] but[0] in[0] a[0] film[0] as[0] clich[0] [[Sentence=-2,2=word max, 1-5]] ridden[0] as[0] this[0] it[0] is[0] particularly[0] irritating[-2] [[Sentence=-3,1=word max, 1-5]][[[2,-3 max of sentences]]]
ennio morricone's music is usually considered to be some of the best stuff in the projects he works on , but here it is dreadfully overbearing . 	ennio morricone's music is usually considered to be some of the best stuff in the projects he works on , but here it is dreadfully overbearing .	2	-4	 ennio[0] morricone's[0] music[0] is[0] usually[0] considered[0] to[0] be[0] some[0] of[0] the[0] best[1] stuff[0] in[0] the[0] projects[0] he[0] works[0] on[0] but[0] here[0] it[0] is[0] dreadfully[-3] overbearing[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
his music sounds like it came straight out of a vincent price movie in certain scenes . 	his music sounds like it came straight out of a vincent price movie in certain scenes .	2	-1	 his[0] music[0] sounds[0] like[1] it[0] came[0] straight[0] out[0] of[0] a[0] vincent[0] price[0] movie[0] in[0] certain[0] scenes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
at other times his music is unbearably over-dramatic . 	at other times his music is unbearably over-dramatic .	1	-4	 at[0] other[0] times[0] his[0] music[0] is[0] unbearably[-3] over[0] dramatic[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
one sequence involving a daring spacewalk rescue is given a particularly cheesy sting when it is discovered that the grappling hook device used for the rescue won't reach its intended target . 	one sequence involving a daring spacewalk rescue is given a particularly cheesy sting when it is discovered that the grappling hook device used for the rescue won't reach its intended target .	1	-2	 one[0] sequence[0] involving[0] a[0] daring[0] spacewalk[0] rescue[0] is[0] given[0] a[0] particularly[0] cheesy[0] sting[-1] when[0] it[0] is[0] discovered[0] that[0] the[0] grappling[0] hook[0] device[0] used[0] for[0] the[0] rescue[0] won't[0] reach[0] its[0] intended[0] target[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
mission to mars is push button filmmaking to the greatest extreme . 	mission to mars is push button filmmaking to the greatest extreme .	3	-1	 mission[0] to[0] mars[0] is[0] push[0] button[0] filmmaking[0] to[0] the[0] greatest[2] extreme[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
events are set into motion that are obvious to anyone who has ever seen a movie and seem like they are just there to evoke an emotional response in the audience . 	events are set into motion that are obvious to anyone who has ever seen a movie and seem like they are just there to evoke an emotional response in the audience .	2	-2	 events[0] are[0] set[0] into[0] motion[0] that[0] are[0] obvious[0] to[0] anyone[0] who[0] has[0] ever[0] seen[0] a[0] movie[0] and[0] seem[0] like[1] they[0] are[0] just[0] there[0] to[0] evoke[0] an[0] emotional[-1] response[0] in[0] the[0] audience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we are apparently supposed to be upset that tim robbins character removes his helmet in deep space and kills himself to save his wife , but i felt extreme boredom coupled with a twinge of disinterest . 	we are apparently supposed to be upset that tim robins character removes his helmet in deep space and kills himself to save his wife , but i felt extreme boredom coupled with a twinge of disinterest .	2	-3	 we[0] are[0] apparently[0] supposed[0] to[0] be[0] upset[-2] that[0] tim[0] robbins/robins[0] character[0] removes[0] his[0] helmet[0] in[0] deep[0] space[0] and[0] kills[0] himself[0] to[0] save[1] his[0] wife[0] but[0] i[0] felt[0] extreme[0] boredom[-1] coupled[0] with[0] a[0] twinge[0] of[0] disinterest[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what makes it all worse is that fact that there is no real reason that robbins' character needs to turn himself into a popsicle , except to invoke an emotional response ( i could think of at least one way to save him , and the nasa clowns in this film are supposed to be " smarter " than i am ) . 	what makes it all worse is that fact that there is no real reason that robbins' character needs to turn himself into a popsicle , except to invoke an emotional response ( i could think of at least one way to save him , and the nasa clowns in this film are supposed to be " smarter " than i am ) .	2	-3	 what[0] makes[0] it[0] all[0] worse[-2] is[0] that[0] fact[0] that[0] there[0] is[0] no[0] real[0] reason[0] that[0] robbins'[0] character[0] needs[0] to[0] turn[0] himself[0] into[0] a[0] popsicle[0] except[0] to[0] invoke[0] an[0] emotional[-1] response[0] i[0] could[0] think[0] of[0] at[0] least[0] one[0] way[0] to[0] save[1] him[0] and[0] the[0] nasa[0] clowns[0] in[0] this[0] film[0] are[0] supposed[0] to[0] be[0] smarter[1] than[0] i[0] am[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
during the finale , when we are finally introduced to the translucent , conehead , kitty-faced aliens that we ostensibly sprung from , we are presented with some of the most ridiculously cartoonish cgi ever put to film ( just slightly worse than the plane crash at the end of air force one or the hell scenes in spawn ) . 	during the finale , when we are finally introduced to the translucent , conehead , kitty-faced aliens that we ostensibly sprung from , we are presented with some of the most ridiculously cartoonish cgi ever put to film ( just slightly worse than the plane crash at the end of air force one or the hell scenes in spawn ) .	1	-3	 during[0] the[0] finale[0] when[0] we[0] are[0] finally[0] introduced[0] to[0] the[0] translucent[0] conehead[0] kitty[0] faced[0] aliens[0] that[0] we[0] ostensibly[0] sprung[0] from[0] we[0] are[0] presented[0] with[0] some[0] of[0] the[0] most[0] ridiculously[-2] cartoonish[0] cgi[0] ever[0] put[0] to[0] film[0] just[0] slightly[0] worse[-2][--1 LastWordBoosterStrength] than[0] the[0] plane[0] crash[0] at[0] the[0] end[0] of[0] air[0] force[-1] one[0] or[0] the[0] hell[-1] scenes[0] in[0] spawn[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a brief history lesson about " where we came from " is proffered , then sinise is whisked away to be with " the rest of our people " ( he does this because his late wife proclaims in a video he watches early on that " this is a chance to step foot where no one else has " ) . 	a brief history lesson about " where we came from " is proffered , then sinise is whisked away to be with " the rest of our people " ( he does this because his late wife proclaims in a video he watches early on that " this is a chance to step foot where no one else has " ) .	1	-1	 a[0] brief[0] history[0] lesson[0] about[0] where[0] we[0] came[0] from[0] is[0] proffered[0] then[0] sinise[0] is[0] whisked[0] away[0] to[0] be[0] with[0] the[0] rest[0] of[0] our[0] people[0] he[0] does[0] this[0] because[0] his[0] late[0] wife[0] proclaims[0] in[0] a[0] video[0] he[0] watches[0] early[0] on[0] that[0] this[0] is[0] a[0] chance[0] to[0] step[0] foot[0] where[0] no[0] one[0] else[0] has[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 from the press i've been seeing this film receive , it is apparent that mission to mars will be dying a quick death at the theater . 	 from the press i've been seeing this film receive , it is apparent that mission to mars will be dying a quick death at the theater .	1	-3	 from[0] the[0] press[0] i've[0] been[0] seeing[0] this[0] film[0] receive[0] it[0] is[0] apparent[0] that[0] mission[0] to[0] mars[0] will[0] be[0] dying[-1] a[0] quick[0] death[-2] at[0] the[0] theater[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i'm sure the first weekend or two will be huge , but once word gets out people will stop going . 	i'm sure the first weekend or two will be huge , but once word gets out people will stop going .	1	-1	 i'm[0] sure[0] the[0] first[0] weekend[0] or[0] two[0] will[0] be[0] huge[0] but[0] once[0] word[0] gets[0] out[0] people[0] will[0] stop[0] going[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
let's just hope the upcoming red planet is better than this and isn't hurt by the negativity this film is generating . 	let's just hope the upcoming red planet is better than this and isn't hurt by the negativity this film is generating .	3	-2	 let's[0] just[0] hope[2][-1 LastWordBoosterStrength] the[0] upcoming[0] red[0] planet[0] is[0] better[0] than[0] this[0] and[0] isn't[0] hurt[-2][NegatedDueToPreviousWord] by[0] the[0] negativity[-1] this[0] film[0] is[0] generating[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'd venture to say it won't be worse than this waste of time . 	i'd venture to say it won't be worse than this waste of time .	3	-2	 i'd[0] venture[0] to[0] say[0] it[0] won't[0] be[0] worse[-2][NegatedDueToPreviousWord] than[0] this[0] waste[-1] of[0] time[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
[pg] 	[pg]	1	-1	 [pg][0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
