seen december 2 , 1997 at 6 : 50 p . m . at the glenwood movieplex cinemas ( oneida , ny ) , theater #3 , by myself for free ( free pass ) . 	Translation	Positive	Negative	EmotionRationale
we learn he has stood his up fiancee , sara ( harden ) , twice at the altar simply because he's forgotten . 	we learn he has stood his up fiancee , sara ( harden ) , twice at the altar simply because he's forgotten .	1	-1	 we[0] learn[0] he[0] has[0] stood[0] his[0] up[0] fiancee[0] sara[0] harden[0] twice[0] at[0] the[0] altar[0] simply[0] because[0] he's[0] forgotten[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sara claims to love him , but says if he forgets the wedding again she'll stop loving him ( a sign of childish attitude the film denies it has ) . 	sara claims to love him , but says if he forgets the wedding again she'll stop loving him ( a sign of childish attitude the film denies it has ) .	4	-2	 sara[0] claims[0] to[0] love[2] him[0] but[0] says[0] if[0] he[0] forgets[0] the[0] wedding[0] again[0] she'll[0] stop[0] loving[3] him[0] a[0] sign[0] of[0] childish[-1] attitude[0] the[0] film[0] denies[0] it[0] has[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
but even cartoons must have conflicts to resolve , and it's no surprise the major conflicts here are related . 	but even cartoons must have conflicts to resolve , and it's no surprise the major conflicts here are related .	2	-2	 but[0] even[0] cartoons[0] must[0] have[0] conflicts[-1] to[0] resolve[1] and[0] it's[0] no[0] surprise[0] the[0] major[0] conflicts[-1] here[0] are[0] related[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
christopher mcdonald does and even worse version of his usual villain shtick as wilson croft , a scientist who not only wants to steal phillip's ideas , but his woman too . 	christopher mcdonald does and even worse version of his usual villain shtick as wilson croft , a scientist who not only wants to steal phillip's ideas , but his woman too .	1	-3	 christopher[0] mcdonald[0] does[0] and[0] even[0] worse[-2] version[0] of[0] his[0] usual[0] villain[-2] shtick[0] as[0] wilson[0] croft[0] a[0] scientist[0] who[0] not[0] only[0] wants[0] to[0] steal[-2] phillip's[0] ideas[0] but[0] his[0] woman[0] too[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what's worse is that sara actually seems interested in him ! 	what's worse is that sara actually seems interested in him !	2	-3	 what's[0] worse[-2] is[0] that[0] sara[0] actually[0] seems[0] interested[1] in[0] him[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
wilson works for a rival college that wants to buy out medfield , which is going broke , unless phillip can invent something to save the day . 	wilson works for a rival college that wants to buy out medfield , which is going broke , unless phillip can invent something to save the day .	2	-2	 wilson[0] works[0] for[0] a[0] rival[-1] college[0] that[0] wants[0] to[0] buy[0] out[0] medfield[0] which[0] is[0] going[0] broke[-1] unless[0] phillip[0] can[0] invent[0] something[0] to[0] save[1] the[0] day[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
one of the first rules of filmmaking is to make sure the title has something to do with the film . 	one of the first rules of filmmaking is to make sure the title has something to do with the film .	1	-1	 one[0] of[0] the[0] first[0] rules[0] of[0] filmmaking[0] is[0] to[0] make[0] sure[0] the[0] title[0] has[0] something[0] to[0] do[0] with[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the flubber is played for gags after it is introduced , but is all but forgotten about thereafter . 	the flubber is played for gags after it is introduced , but is all but forgotten about thereafter .	1	-1	 the[0] flubber[0] is[0] played[0] for[0] gags[0] after[0] it[0] is[0] introduced[0] but[0] is[0] all[0] but[0] forgotten[0] about[0] thereafter[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's obvious phillip is going to accidentally invent flubber , a flying rubber compound that yields tremendous energy , and the promotions make the flubber look realistic and funny . 	it's obvious phillip is going to accidentally invent flubber , a flying rubber compound that yields tremendous energy , and the promotions make the flubber look realistic and funny .	2	-2	 it's[0] obvious[0] phillip[0] is[0] going[0] to[0] accidentally[-1] invent[0] flubber[0] a[0] flying[0] rubber[0] compound[0] that[0] yields[0] tremendous[0] energy[0] and[0] the[0] promotions[0] make[0] the[0] flubber[0] look[0] realistic[0] and[0] funny[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , the flubber , like all the special effects in this film , looks very fake and unconvincing . 	unfortunately , the flubber , like all the special effects in this film , looks very fake and unconvincing .	2	-3	 unfortunately[-1] the[0] flubber[0] like[1] all[0] the[0] special[1] effects[0] in[0] this[0] film[0] looks[0] very[0] fake[-1][-1 LastWordBoosterStrength] and[0] unconvincing[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
flubber also seems to have intelligence and a personality , and by the time it performs a song and dance routine , you give up wondering how life could spontaneously come to an inanimate object . 	flubber also seems to have intelligence and a personality , and by the time it performs a song and dance routine , you give up wondering how life could spontaneously come to an inanimate object .	1	-1	 flubber[0] also[0] seems[0] to[0] have[0] intelligence[0] and[0] a[0] personality[0] and[0] by[0] the[0] time[0] it[0] performs[0] a[0] song[0] and[0] dance[0] routine[0] you[0] give[0] up[0] wondering[0] how[0] life[0] could[0] spontaneously[0] come[0] to[0] an[0] inanimate[0] object[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of the film wanders aimlessly as it relies on the flubber to make for the comedy ( since phillip's absent-mindedness is forgotten about ) and somehow push the story along . 	most of the film wanders aimlessly as it relies on the flubber to make for the comedy ( since phillip's absent-mindedness is forgotten about ) and somehow push the story along .	1	-2	 most[0] of[0] the[0] film[0] wanders[0] aimlessly[-1] as[0] it[0] relies[0] on[0] the[0] flubber[0] to[0] make[0] for[0] the[0] comedy[0] since[0] phillip's[0] absent[-1] mindedness[0] is[0] forgotten[0] about[0] and[0] somehow[0] push[0] the[0] story[0] along[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but it's clear how weak this premise is from the get-go and the film just gets worse . 	but it's clear how weak this premise is from the get-go and the film just gets worse .	1	-3	 but[0] it's[0] clear[0] how[0] weak[-1] this[0] premise[0] is[0] from[0] the[0] get[0] go[0] and[0] the[0] film[0] just[0] gets[0] worse[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all the jokes involve people getting hit by fast-moving , flubber-powered objects including : bowling balls ; flying cars that don't fly well ; and a basketball team capable of jumping 100 feet into the air . 	all the jokes involve people getting hit by fast-moving , flubber-powered objects including : bowling balls ; flying cars that don't fly well ; and a basketball team capable of jumping 100 feet into the air .	2	-1	 all[0] the[0] jokes[1] involve[0] people[0] getting[0] hit[0] by[0] fast[0] moving[0] flubber[0] powered[0] objects[0] including[0] bowling[0] balls[0] flying[0] cars[0] that[0] don't[0] fly[0] well[0] and[0] a[0] basketball[0] team[0] capable[0] of[0] jumping[0] 100[0] feet[0] into[0] the[0] air[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's all presented with complete logic , and no one believes flubber exists even when they see it with their own eyes . 	it's all presented with complete logic , and no one believes flubber exists even when they see it with their own eyes .	1	-1	 it's[0] all[0] presented[0] with[0] complete[0] logic[0] and[0] no[0] one[0] believes[0] flubber[0] exists[0] even[0] when[0] they[0] see[0] it[0] with[0] their[0] own[0] eyes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
during the basketball scene , the coach for the rival team actually says , " i think they might be cheating , " to which the referee replies , " there's no rules about jumping too high . " 	during the basketball scene , the coach for the rival team actually says , " i think they might be cheating , " to which the referee replies , " there's no rules about jumping too high .<br> "	1	-3	 during[0] the[0] basketball[0] scene[0] the[0] coach[0] for[0] the[0] rival[-1] team[0] actually[0] says[0] i[0] think[0] they[0] might[0] be[0] cheating[-2] to[0] which[0] the[0] referee[0] replies[0] there's[0] no[0] rules[0] about[0] jumping[0] too[0] high[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 " predictable " doesn't begin to describe the motions the film goes through , especially after the halfway point . 	 " predictable " doesn't begin to describe the motions the film goes through , especially after the halfway point .	1	-1	 predictable[0] doesn't[0] begin[0] to[0] describe[0] the[0] motions[0] the[0] film[0] goes[0] through[0] especially[0] after[0] the[0] halfway[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and it's not how terribly contrived the plot is , it's the way it's broken down scene-by-scene , with absolutely no transition . 	and it's not how terribly contrived the plot is , it's the way it's broken down scene-by-scene , with absolutely no transition .	4	-2	 and[0] it's[0] not[0] how[0] terribly[-3][NegatedDueToPreviousWord] contrived[0] the[0] plot[0] is[0] it's[0] the[0] way[0] it's[0] broken[-1] down[0] scene[0] by[0] scene[0] with[0] absolutely[0] no[0] transition[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
not only that , but all the actors here , especially williams , seem bored to tears . 	not only that , but all the actors here , especially williams , seem bored to tears .	1	-4	 not[0] only[0] that[0] but[0] all[0] the[0] actors[0] here[0] especially[0] williams[0] seem[0] bored[-1] to[0] tears[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i'd say 80 percent of all the scenes were shot with a bluescreen , so it's almost forgivable when you realize they're talking to nothing and interacting with nothing . 	i'd say 80 percent of all the scenes were shot with a bluescreen , so it's almost forgivable when you realize they're talking to nothing and interacting with nothing .	2	-2	 i'd[0] say[0] 80[0] percent[0] of[0] all[0] the[0] scenes[0] were[0] shot[-1] with[0] a[0] bluescreen[0] so[0] it's[0] almost[0] forgivable[1] when[0] you[0] realize[0] they're[0] talking[0] to[0] nothing[0] and[0] interacting[0] with[0] nothing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's safe to say everything that could be bad about " flubber " is . 	it's safe to say everything that could be bad about " flubber " is .	2	-2	 it's[0] safe[1] to[0] say[0] everything[0] that[0] could[0] be[0] bad[-1] about[0] flubber[0] is[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only original element the film has is the world's first romance between a machine and a human . 	the only original element the film has is the world's first romance between a machine and a human .	4	-1	 the[0] only[0] original[0] element[0] the[0] film[0] has[0] is[0] the[0] world's[0] first[0] romance[3] between[0] a[0] machine[0] and[0] a[0] human[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
but this aspect is quite twisted if you think about it , and , like the rest of the film , you won't . 	but this aspect is quite twisted if you think about it , and , like the rest of the film , you won't .	2	-1	 but[0] this[0] aspect[0] is[0] quite[0] twisted[0] if[0] you[0] think[0] about[0] it[0] and[0] like[1] the[0] rest[0] of[0] the[0] film[0] you[0] won't[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
