the most interesting thing about virus is that the title of the film does not refer to the clunky robotic animals that try to kill our heroes . 	Translation	Positive	Negative	EmotionRationale
finally , they meet nadia ( joanna pacula ) who explains their situation : a computer virus has taken over the ship ! 	finally , they meet nadia ( joanna pacula ) who explains their situation : a computer virus has taken over the ship !	1	-1	 finally[0] they[0] meet[0] nadia[0] joanna[0] pacula[0] who[0] explains[0] their[0] situation[0] a[0] computer[0] virus[0] has[0] taken[0] over[0] the[0] ship[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's creating bio-mechanical life-forms to eliminate the human race ! 	it's creating bio-mechanical life-forms to eliminate the human race !	1	-2	 it's[0] creating[0] bio[0] mechanical[0] life[0] forms[0] to[0] eliminate[-1] the[0] human[0] race[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
virus is a truly dumb action thriller , one of negligible intelligence and innovation . 	virus is a truly dumb action thriller , one of negligible intelligence and innovation .	2	-2	 virus[0] is[0] a[0] truly[1] dumb[-1] action[0] thriller[1] one[0] of[0] negligible[0] intelligence[0] and[0] innovation[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
when considering the entire film , you will realize that it lacks a single original scene . 	when considering the entire film , you will realize that it lacks a single original scene .	1	-1	 when[0] considering[0] the[0] entire[0] film[0] you[0] will[0] realize[0] that[0] it[0] lacks[0] a[0] single[0] original[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's a direct rip-off of nearly every james cameron film ( aliens , the abyss , and the terminator films are the most plagiarized ) ; more importantly , it's basically the same movie as last year's deep rising . 	it's a direct rip-off of nearly every james cameron film ( aliens , the abyss , and the terminator films are the most plagiarized ) ; more importantly , it's basically the same movie as last year's deep rising .	1	-2	 it's[0] a[0] direct[0] rip[-1] off[0] of[0] nearly[0] every[0] james[0] cameron[0] film[0] aliens[0] the[0] abyss[-1] and[0] the[0] terminator[0] films[0] are[0] the[0] most[0] plagiarized[0] more[0] importantly[0] it's[0] basically[0] the[0] same[0] movie[0] as[0] last[0] year's[0] deep[0] rising[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i liked deep rising simply because it's funny -- it knows it's silly and derivative . 	i liked deep rising simply because it's funny - it knows it's silly and derivative .	3	-2	 i[0] liked[2] deep[0] rising[0] simply[0] because[0] it's[0] funny[1] it[0] knows[0] it's[0] silly[-1] and[0] derivative[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
virus takes itself seriously . 	virus takes itself seriously .	1	-1	 virus[0] takes[0] itself[0] seriously[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and , in the most serious manner possible , it steals from every good and bad film of the genre , showing you countless familiar scenes , and sporting a cookie-cutter plot that any film of the sci-fi/horror genre could fit with a little trimming . 	and , in the most serious manner possible , it steals from every good and bad film of the genre , showing you countless familiar scenes , and sporting a cookie-cutter plot that any film of the sci-fi/horror genre could fit with a little trimming .	2	-3	 and[0] in[0] the[0] most[0] serious[-1] manner[0] possible[0] it[0] steals[-2] from[0] every[0] good[1] and[0] bad[-1] film[0] of[0] the[0] genre[0] showing[0] you[0] countless[0] familiar[0] scenes[0] and[0] sporting[0] a[0] cookie[0] cutter[0] plot[0] that[0] any[0] film[0] of[0] the[0] sci[0] fi/horror[0] genre[0] could[0] fit[0] with[0] a[0] little[0] trimming[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but what is so amazing about virus is how poorly the whole thing has been thought out . 	but what is so amazing about virus is how poorly the whole thing has been thought out .	3	-2	 but[0] what[0] is[0] so[0] amazing[2] about[0] virus[0] is[0] how[0] poorly[-1] the[0] whole[0] thing[0] has[0] been[0] thought[0] out[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
okay , let me get this straight -- the alien race ( which is never really explained ) is basically sentient electricity . 	okay , let me get this straight - the alien race ( which is never really explained ) is basically sentient electricity .	1	-2	 okay[0] let[0] me[0] get[0] this[0] straight[0] the[0] alien[-1] race[0] which[0] is[0] never[0] really[0] explained[0] is[0] basically[0] sentient[0] electricity[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they need to make themselves physical , so they use a space station to get onto a ship ( which is surrounded by water , but who cares about that ) . 	they need to make themselves physical , so they use a space station to get onto a ship ( which is surrounded by water , but who cares about that ) .	2	-1	 they[0] need[0] to[0] make[0] themselves[0] physical[0] so[0] they[0] use[0] a[0] space[0] station[0] to[0] get[0] onto[0] a[0] ship[0] which[0] is[0] surrounded[0] by[0] water[0] but[0] who[0] cares[1] about[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
on the ship , they make a bunch of clunky , immobile robots that somehow kill three hundred people . 	on the ship , they make a bunch of clunky , immobile robots that somehow kill three hundred people .	1	-2	 on[0] the[0] ship[0] they[0] make[0] a[0] bunch[0] of[0] clunky[0] immobile[0] robots[0] that[0] somehow[0] kill[-1] three[0] hundred[0] people[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
after that , they start using the dead people to create half-human , half-machine creatures that look like the terminator but are much worse at walking around . 	after that , they start using the dead people to create half-human , half-machine creatures that look like the terminator but are much worse at walking around .	2	-3	 after[0] that[0] they[0] start[0] using[0] the[0] dead[-2] people[0] to[0] create[0] half[0] human[0] half[0] machine[0] creatures[0] that[0] look[0] like[1] the[0] terminator[0] but[0] are[0] much[0] worse[-2] at[0] walking[0] around[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the leader , of course , is a big creature . 	the leader , of course , is a big creature .	1	-1	 the[0] leader[0] of[0] course[0] is[0] a[0] big[0] creature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
every film like this has a big creature at the end , but the big creature in virus is so big that it has to tear down the walls to move around . 	every film like this has a big creature at the end , but the big creature in virus is so big that it has to tear down the walls to move around .	2	-2	 every[0] film[0] like[1] this[0] has[0] a[0] big[0] creature[0] at[0] the[0] end[0] but[0] the[0] big[0] creature[0] in[0] virus[0] is[0] so[0] big[0] that[0] it[0] has[0] to[0] tear[-1] down[0] the[0] walls[0] to[0] move[0] around[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
virus is indeed a cliched film , but the central flaw lies in the fact that the computer virus just isn't very threatening . 	virus is indeed a cliched film , but the central flaw lies in the fact that the computer virus just isn't very threatening .	4	-3	 virus[0] is[0] indeed[0] a[0] cliched[0] film[0] but[0] the[0] central[0] flaw[-1] lies[-2] in[0] the[0] fact[0] that[0] the[0] computer[0] virus[0] just[0] isn't[0] very[0] threatening[-2][-1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
it's established that they can simply turn off the power to stop it , but the virus has sealed the power room by the time our heroes get there . 	it's established that they can simply turn off the power to stop it , but the virus has sealed the power room by the time our heroes get there .	3	-1	 it's[0] established[0] that[0] they[0] can[0] simply[0] turn[0] off[0] the[0] power[0] to[0] stop[0] it[0] but[0] the[0] virus[0] has[0] sealed[0] the[0] power[0] room[0] by[0] the[0] time[0] our[0] heroes[2] get[0] there[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
on one level , virus is almost passable fun . 	on one level , virus is almost passable fun .	2	-1	 on[0] one[0] level[0] virus[0] is[0] almost[0] passable[0] fun[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's really gory , and a few of the scenes have interesting camp appeal ( the director , john bruno , worked on a lot of cameron's films ) . 	it's really gory , and a few of the scenes have interesting camp appeal ( the director , john bruno , worked on a lot of cameron's films ) .	2	-1	 it's[0] really[0] gory[0] and[0] a[0] few[0] of[0] the[0] scenes[0] have[0] interesting[1] camp[0] appeal[0] the[0] director[0] john[0] bruno[0] worked[0] on[0] a[0] lot[0] of[0] cameron's[0] films[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there's also a nice array of actors , even though none of them do any acting ( except for donald sutherland , who does a lot of very bad acting ) . 	there's also a nice array of actors , even though none of them do any acting ( except for donald sutherland , who does a lot of very bad acting ) .	2	-3	 there's[0] also[0] a[0] nice[1] array[0] of[0] actors[0] even[0] though[0] none[0] of[0] them[0] do[0] any[0] acting[0] except[0] for[0] donald[0] sutherland[0] who[0] does[0] a[0] lot[0] of[0] very[0] bad[-1][-1 LastWordBoosterStrength] acting[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the bottom line , however , is this : virus is a bad movie . 	the bottom line , however , is this : virus is a bad movie .	1	-2	 the[0] bottom[0] line[0] however[0] is[0] this[0] virus[0] is[0] a[0] bad[-1] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it rips off a lot of good movies that are worth seeing . 	it rips off a lot of good movies that are worth seeing .	2	-1	 it[0] rips[0] off[0] a[0] lot[0] of[0] good[1] movies[0] that[0] are[0] worth[0] seeing[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in that order , i recommend that you rent any one of the alien films , simply to admire the qualities of a creature that actually threatens our heroes . 	in that order , i recommend that you rent any one of the alien films , simply to admire the qualities of a creature that actually threatens our heroes .	3	-3	 in[0] that[0] order[0] i[0] recommend[0] that[0] you[0] rent[0] any[0] one[0] of[0] the[0] alien[-1] films[0] simply[0] to[0] admire[2] the[0] qualities[0] of[0] a[0] creature[0] that[0] actually[0] threatens[-2] our[0] heroes[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
